Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,50.11,50.32,50.11,50.22,76759,0
2017-04-10,15:40:00,50.22,50.24,50.03,50.04,123766,0
2017-04-10,15:45:00,50.01,50.2,49.95,50.2,100454,0
2017-04-10,15:50:00,50.21,50.23,50.12,50.16,52354,0
2017-04-10,15:55:00,50.17,50.195,50.11,50.195,18525,0
2017-04-10,16:00:00,50.2,50.44,50.2,50.396,52664,0
2017-04-10,16:05:00,50.44,50.61,50.39,50.44,392559,0
2017-04-10,16:10:00,50.43,50.53,50.42,50.455,40116,0
2017-04-10,16:15:00,50.48,50.52,50.4,50.47,81944,0
2017-04-10,16:20:00,50.46,50.48,50.25,50.272,60354,0
2017-04-10,16:25:00,50.25,50.3,50.24,50.25,25154,0
2017-04-10,16:30:00,50.26,50.29,50.2,50.28,23960,0
2017-04-10,16:35:00,50.26,50.41,50.26,50.3,47759,0
2017-04-10,16:40:00,50.29,50.3,50.22,50.26,49594,0
2017-04-10,16:45:00,50.24,50.25,50.11,50.17,24525,0
2017-04-10,16:50:00,50.18,50.22,50.07,50.14,37889,0
2017-04-10,16:55:00,50.15,50.18,50.08,50.09,20070,0
2017-04-10,17:00:00,50.06,50.08,49.86,49.9,84645,0
2017-04-10,17:05:00,49.88,49.93,49.86,49.88,25500,0
2017-04-10,17:10:00,49.885,49.9,49.83,49.88,66616,0
2017-04-10,17:15:00,49.872,49.99,49.86,49.97,18300,0
2017-04-10,17:20:00,49.96,49.98,49.89,49.89,55306,0
2017-04-10,17:25:00,49.9,50.05,49.9,50,48223,0
2017-04-10,17:30:00,50,50,49.94,49.98,24137,0
2017-04-10,17:35:00,49.98,50,49.77,49.795,53051,0
2017-04-10,17:40:00,49.8,49.83,49.74,49.775,27557,0
2017-04-10,17:45:00,49.775,49.82,49.72,49.74,21729,0
2017-04-10,17:50:00,49.75,49.8,49.73,49.79,16580,0
2017-04-10,17:55:00,49.79,49.8,49.72,49.74,19537,0
2017-04-10,18:00:00,49.74,49.74,49.71,49.73,7718,0
2017-04-10,18:05:00,49.73,49.77,49.715,49.74,17920,0
2017-04-10,18:10:00,49.75,49.79,49.73,49.7635,34170,0
2017-04-10,18:15:00,49.77,49.77,49.67,49.7,25506,0
2017-04-10,18:20:00,49.685,49.75,49.685,49.74,7366,0
2017-04-10,18:25:00,49.75,49.75,49.72,49.73,7250,0
2017-04-10,18:30:00,49.72,49.77,49.72,49.75,13151,0
2017-04-10,18:35:00,49.75,49.78,49.735,49.765,39568,0
2017-04-10,18:40:00,49.77,49.78,49.725,49.75,68755,0
2017-04-10,18:45:00,49.75,49.8,49.74,49.8,54321,0
2017-04-10,18:50:00,49.795,49.89,49.77,49.88,18797,0
2017-04-10,18:55:00,49.8899,49.94,49.84,49.84,15346,0
2017-04-10,19:00:00,49.83,49.9,49.82,49.9,36951,0
2017-04-10,19:05:00,49.895,49.9,49.851,49.9,38542,0
2017-04-10,19:10:00,49.895,49.95,49.895,49.91,14000,0
2017-04-10,19:15:00,49.91,49.92,49.83,49.84,32397,0
2017-04-10,19:20:00,49.84,49.93,49.84,49.895,27379,0
2017-04-10,19:25:00,49.895,49.92,49.88,49.92,11654,0
2017-04-10,19:30:00,49.93,49.94,49.91,49.94,14325,0
2017-04-10,19:35:00,49.94,49.98,49.935,49.96,18540,0
2017-04-10,19:40:00,49.96,50,49.95,49.97,24165,0
2017-04-10,19:45:00,49.97,49.99,49.96,49.965,11202,0
2017-04-10,19:50:00,49.96,49.98,49.91,49.92,41229,0
2017-04-10,19:55:00,49.925,49.93,49.88,49.89,11557,0
2017-04-10,20:00:00,49.89,49.9,49.88,49.89,11096,0
2017-04-10,20:05:00,49.89,49.91,49.89,49.89,28540,0
2017-04-10,20:10:00,49.9,49.99,49.9,49.95,15138,0
2017-04-10,20:15:00,49.95,49.96,49.94,49.95,20756,0
2017-04-10,20:20:00,49.94,49.95,49.91,49.91,12770,0
2017-04-10,20:25:00,49.92,49.92,49.875,49.89,55614,0
2017-04-10,20:30:00,49.88,49.9,49.88,49.8999,41879,0
2017-04-10,20:35:00,49.9,49.99,49.9,49.9599,30680,0
2017-04-10,20:40:00,49.95,49.96,49.92,49.93,66614,0
2017-04-10,20:45:00,49.9399,49.95,49.915,49.92,41413,0
2017-04-10,20:50:00,49.92,49.96,49.92,49.945,21801,0
2017-04-10,20:55:00,49.94,49.95,49.92,49.94,17464,0
2017-04-10,21:00:00,49.94,49.98,49.94,49.96,14986,0
2017-04-10,21:05:00,49.96,49.97,49.92,49.94,12844,0
2017-04-10,21:10:00,49.94,49.96,49.93,49.93,10708,0
2017-04-10,21:15:00,49.93,49.95,49.91,49.94,18000,0
2017-04-10,21:20:00,49.939,49.94,49.91,49.9152,14626,0
2017-04-10,21:25:00,49.91,49.92,49.82,49.87,53240,0
2017-04-10,21:30:00,49.87,49.92,49.86,49.89,18485,0
2017-04-10,21:35:00,49.89,49.89,49.845,49.86,27261,0
2017-04-10,21:40:00,49.87,49.915,49.87,49.9,38089,0
2017-04-10,21:45:00,49.9,49.9,49.83,49.83,34533,0
2017-04-10,21:50:00,49.83,49.85,49.8,49.8,42774,0
2017-04-10,21:55:00,49.81,49.82,49.75,49.8,77546,0
2017-04-10,22:00:00,49.8,49.885,49.7968,49.85,207285,0
2017-04-11,15:35:00,49.92,50.43,49.92,50.3179,76930,0
2017-04-11,15:40:00,50.3304,50.38,49.86,49.9,34673,0
2017-04-11,15:45:00,49.93,49.93,49.43,49.465,35973,0
2017-04-11,15:50:00,49.44,49.64,49.367,49.61,51025,0
2017-04-11,15:55:00,49.6,49.6,49.37,49.37,51343,0
2017-04-11,16:00:00,49.37,49.37,49.16,49.29,106179,0
2017-04-11,16:05:00,49.29,49.39,49.23,49.365,33979,0
2017-04-11,16:10:00,49.38,49.38,49.15,49.18,43281,0
2017-04-11,16:15:00,49.18,49.24,49.07,49.08,41316,0
2017-04-11,16:20:00,49.07,49.16,49.07,49.095,22229,0
2017-04-11,16:25:00,49.1,49.1,48.84,48.95,144350,0
2017-04-11,16:30:00,48.96,49.01,48.91,48.97,33422,0
2017-04-11,16:35:00,48.97,48.97,48.85,48.88,31928,0
2017-04-11,16:40:00,48.88,48.89,48.69,48.78,64052,0
2017-04-11,16:45:00,48.79,48.79,48.52,48.63,56540,0
2017-04-11,16:50:00,48.61,48.63,48.51,48.53,54519,0
2017-04-11,16:55:00,48.54,48.58,48.39,48.48,82084,0
2017-04-11,17:00:00,48.49,48.67,48.485,48.67,49964,0
2017-04-11,17:05:00,48.67,48.7,48.62,48.65,31023,0
2017-04-11,17:10:00,48.64,48.68,48.55,48.55,32336,0
2017-04-11,17:15:00,48.55,48.61,48.53,48.54,24346,0
2017-04-11,17:20:00,48.54,48.635,48.52,48.59,21339,0
2017-04-11,17:25:00,48.59,48.6,48.562,48.566,12886,0
2017-04-11,17:30:00,48.56,48.56,48.5,48.54,21946,0
2017-04-11,17:35:00,48.55,48.63,48.535,48.621,32500,0
2017-04-11,17:40:00,48.62,48.65,48.5899,48.59,23627,0
2017-04-11,17:45:00,48.59,48.59,48.515,48.533,18888,0
