Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,6.92,6.92,6.89,6.89,1848,0
2017-04-07,15:40:00,6.88,6.91,6.84,6.91,4900,0
2017-04-07,15:45:00,6.91,6.91,6.91,6.91,1259,0
2017-04-07,15:50:00,6.91,6.94,6.91,6.9192,3330,0
2017-04-07,15:55:00,6.94,6.94,6.94,6.94,100,0
2017-04-07,16:00:00,6.93,6.93,6.93,6.93,300,0
2017-04-07,16:05:00,6.93,6.95,6.92,6.94,1313,0
2017-04-07,16:10:00,6.95,6.98,6.935,6.98,2637,0
2017-04-07,16:15:00,6.9799,7.05,6.97,6.99,21777,0
2017-04-07,16:20:00,6.99,6.99,6.98,6.98,1005,0
2017-04-07,16:25:00,7,7.0099,7,7.0099,1012,0
2017-04-07,16:30:00,7.0003,7.01,6.97,6.97,4250,0
2017-04-07,16:35:00,6.95,6.995,6.95,6.96,5412,0
2017-04-07,16:40:00,6.98,6.98,6.96,6.96,1000,0
2017-04-07,16:50:00,6.91,6.91,6.91,6.91,500,0
2017-04-07,16:55:00,6.905,6.93,6.905,6.925,2600,0
2017-04-07,17:05:00,6.925,6.98,6.925,6.9647,2500,0
2017-04-07,17:10:00,6.98,7.02,6.98,7.01,1000,0
2017-04-07,17:15:00,7.0199,7.02,6.9901,7.02,4046,0
2017-04-07,17:20:00,7.04,7.06,7.04,7.04,1700,0
2017-04-07,17:25:00,7.05,7.05,7.03,7.05,3600,0
2017-04-07,17:30:00,7.04,7.04,7,7,3604,0
2017-04-07,17:35:00,6.971,7.01,6.971,7.01,2928,0
2017-04-07,17:45:00,7.0126,7.03,7.0126,7.03,340,0
2017-04-07,17:50:00,7.03,7.03,7.01,7.03,1000,0
2017-04-07,17:55:00,7.03,7.03,7.02,7.03,300,0
2017-04-07,18:00:00,7.035,7.04,7.03,7.03,300,0
2017-04-07,18:05:00,7.04,7.05,6.97,6.99,5200,0
2017-04-07,18:10:00,7.02,7.02,7.02,7.02,100,0
2017-04-07,18:15:00,7.02,7.045,7.01,7.02,1500,0
2017-04-07,18:20:00,7.03,7.03,7.03,7.03,100,0
2017-04-07,18:25:00,7.04,7.04,7.03,7.03,700,0
2017-04-07,18:30:00,7.03,7.06,7.02,7.045,1500,0
2017-04-07,18:40:00,7.06,7.06,7.04,7.04,300,0
2017-04-07,18:45:00,7.06,7.08,7.05,7.08,800,0
2017-04-07,18:55:00,7.09,7.09,7.09,7.09,200,0
2017-04-07,19:00:00,7.09,7.12,7.09,7.12,4440,0
2017-04-07,19:05:00,7.12,7.12,7.11,7.11,500,0
2017-04-07,19:10:00,7.11,7.11,7.1,7.1,1600,0
2017-04-07,19:15:00,7.0929,7.11,7.08,7.1,2200,0
2017-04-07,19:20:00,7.1,7.14,7.08,7.1,3708,0
2017-04-07,19:25:00,7.11,7.11,7.1,7.11,3500,0
2017-04-07,19:30:00,7.11,7.11,7.08,7.1,1228,0
2017-04-07,19:35:00,7.11,7.11,7.1,7.1,300,0
2017-04-07,19:40:00,7.08,7.08,7.08,7.08,100,0
2017-04-07,19:45:00,7.09,7.09,7.09,7.09,400,0
2017-04-07,19:50:00,7.1,7.11,7.09,7.09,1000,0
2017-04-07,19:55:00,7.1,7.11,7.1,7.1,1400,0
2017-04-07,20:05:00,7.1,7.105,7.095,7.1,700,0
2017-04-07,20:15:00,7.1098,7.1099,7.09,7.09,3321,0
2017-04-07,20:20:00,7.085,7.085,7.085,7.085,100,0
2017-04-07,20:25:00,7.08,7.08,7.0406,7.055,3096,0
2017-04-07,20:30:00,7.07,7.07,7.07,7.07,100,0
2017-04-07,20:35:00,7.07,7.07,7.07,7.07,100,0
2017-04-07,20:40:00,7.05,7.05,7.05,7.05,100,0
2017-04-07,20:45:00,7.05,7.05,7.05,7.05,100,0
2017-04-07,20:50:00,7.06,7.09,7.06,7.07,1289,0
2017-04-07,20:55:00,7.06,7.06,7.06,7.06,400,0
2017-04-07,21:00:00,7.05,7.05,7.05,7.05,200,0
2017-04-07,21:05:00,7.06,7.06,7.05,7.05,500,0
2017-04-07,21:10:00,7.05,7.05,7,7,2585,0
2017-04-07,21:15:00,7,7.01,6.995,7,4500,0
2017-04-07,21:20:00,6.99,7,6.99,7,300,0
2017-04-07,21:25:00,6.995,7,6.995,6.9992,1400,0
2017-04-07,21:30:00,7,7,6.99,6.99,200,0
2017-04-07,21:35:00,7,7,6.9442,6.97,14514,0
2017-04-07,21:40:00,6.97,6.98,6.97,6.9792,2000,0
2017-04-07,21:45:00,6.971,6.99,6.971,6.99,7729,0
2017-04-07,21:50:00,7,7,6.9913,7,708,0
2017-04-07,21:55:00,7,7,6.98,6.98,3400,0
2017-04-07,22:00:00,6.9833,6.995,6.91,6.91,22514,0
2017-04-10,15:35:00,6.99,7.1,6.99,7.0779,10105,0
2017-04-10,15:40:00,7.09,7.1,7.04,7.05,8018,0
2017-04-10,15:45:00,7.07,7.15,7.07,7.15,44841,0
2017-04-10,15:50:00,7.15,7.22,7.15,7.18,21537,0
2017-04-10,15:55:00,7.26,7.29,7.26,7.27,2186,0
2017-04-10,16:00:00,7.28,7.28,7.271,7.271,700,0
2017-04-10,16:05:00,7.271,7.42,7.271,7.37,20973,0
2017-04-10,16:10:00,7.39,7.4126,7.3524,7.4,16329,0
2017-04-10,16:15:00,7.4299,7.48,7.4299,7.46,8810,0
2017-04-10,16:20:00,7.45,7.45,7.37,7.3711,6900,0
2017-04-10,16:25:00,7.41,7.41,7.395,7.41,400,0
2017-04-10,16:30:00,7.38,7.38,7.31,7.34,6150,0
2017-04-10,16:35:00,7.35,7.35,7.35,7.35,100,0
2017-04-10,16:40:00,7.36,7.37,7.3586,7.3586,400,0
2017-04-10,16:45:00,7.34,7.34,7.33,7.33,200,0
2017-04-10,16:50:00,7.3004,7.33,7.3004,7.33,425,0
2017-04-10,16:55:00,7.3,7.32,7.3,7.32,500,0
2017-04-10,17:00:00,7.29,7.29,7.29,7.29,100,0
2017-04-10,17:05:00,7.29,7.29,7.22,7.22,4711,0
2017-04-10,17:10:00,7.28,7.31,7.24,7.3,10737,0
2017-04-10,17:15:00,7.31,7.34,7.31,7.34,1000,0
2017-04-10,17:20:00,7.33,7.33,7.285,7.31,1400,0
2017-04-10,17:25:00,7.31,7.4,7.31,7.4,4700,0
2017-04-10,17:30:00,7.39,7.39,7.38,7.38,517,0
2017-04-10,17:35:00,7.39,7.39,7.34,7.349,4271,0
2017-04-10,17:40:00,7.35,7.37,7.35,7.36,600,0
2017-04-10,17:45:00,7.37,7.38,7.37,7.37,1000,0
2017-04-10,17:50:00,7.35,7.4,7.35,7.4,5037,0
2017-04-10,17:55:00,7.43,7.49,7.415,7.49,14027,0
2017-04-10,18:00:00,7.485,7.495,7.46,7.47,3414,0
2017-04-10,18:05:00,7.48,7.57,7.47,7.56,28240,0
2017-04-10,18:10:00,7.5105,7.54,7.48,7.5,8089,0
2017-04-10,18:15:00,7.49,7.49,7.39,7.425,2331,0
2017-04-10,18:20:00,7.44,7.44,7.425,7.44,494,0
2017-04-10,18:25:00,7.415,7.43,7.415,7.43,400,0
2017-04-10,18:30:00,7.4498,7.4498,7.4498,7.4498,300,0
2017-04-10,18:35:00,7.45,7.45,7.44,7.4401,500,0
2017-04-10,18:40:00,7.4779,7.49,7.4601,7.49,600,0
2017-04-10,18:45:00,7.49,7.49,7.46,7.46,1100,0
2017-04-10,18:50:00,7.49,7.49,7.4601,7.49,800,0
2017-04-10,18:55:00,7.4701,7.5,7.47,7.49,3064,0
2017-04-10,19:00:00,7.5199,7.5199,7.5,7.5001,900,0
2017-04-10,19:05:00,7.5016,7.52,7.5,7.5,1100,0
2017-04-10,19:10:00,7.51,7.51,7.415,7.415,1805,0
2017-04-10,19:15:00,7.4001,7.45,7.4001,7.43,3600,0
2017-04-10,19:20:00,7.42,7.46,7.4,7.42,5508,0
2017-04-10,19:25:00,7.42,7.46,7.38,7.38,2900,0
2017-04-10,19:30:00,7.38,7.38,7.38,7.38,392,0
2017-04-10,19:35:00,7.4,7.45,7.39,7.44,13235,0
2017-04-10,19:40:00,7.44,7.44,7.34,7.37,24035,0
2017-04-10,19:45:00,7.355,7.39,7.35,7.39,1380,0
2017-04-10,19:50:00,7.4,7.4,7.34,7.36,4678,0
2017-04-10,19:55:00,7.3655,7.38,7.3655,7.37,1410,0
2017-04-10,20:00:00,7.37,7.37,7.35,7.35,200,0
2017-04-10,20:05:00,7.36,7.36,7.3599,7.3599,885,0
2017-04-10,20:10:00,7.35,7.35,7.31,7.31,2029,0
2017-04-10,20:15:00,7.2901,7.32,7.2901,7.3,400,0
2017-04-10,20:20:00,7.2701,7.2701,7.26,7.27,1090,0
2017-04-10,20:25:00,7.2601,7.3479,7.2601,7.32,3593,0
2017-04-10,20:30:00,7.33,7.33,7.31,7.31,500,0
2017-04-10,20:35:00,7.3,7.3,7.2501,7.28,1204,0
2017-04-10,20:40:00,7.25,7.32,7.25,7.32,3219,0
2017-04-10,20:45:00,7.31,7.31,7.2901,7.3001,784,0
2017-04-10,20:50:00,7.3001,7.33,7.3001,7.3101,1100,0
2017-04-10,20:55:00,7.31,7.31,7.2701,7.2801,2800,0
2017-04-10,21:00:00,7.2801,7.3,7.2801,7.3,2400,0
2017-04-10,21:05:00,7.3,7.34,7.2901,7.2901,5133,0
2017-04-10,21:10:00,7.2901,7.305,7.28,7.28,1000,0
2017-04-10,21:15:00,7.2601,7.27,7.26,7.2601,1000,0
2017-04-10,21:20:00,7.26,7.2779,7.25,7.25,862,0
2017-04-10,21:25:00,7.25,7.25,7.21,7.2298,2450,0
2017-04-10,21:30:00,7.21,7.22,7.19,7.19,1000,0
2017-04-10,21:35:00,7.19,7.21,7.1001,7.1001,4655,0
2017-04-10,21:40:00,7.12,7.19,7.11,7.18,3740,0
2017-04-10,21:45:00,7.18,7.18,7.17,7.17,1200,0
2017-04-10,21:50:00,7.17,7.17,7.13,7.165,2425,0
2017-04-10,21:55:00,7.175,7.21,7.14,7.14,4320,0
2017-04-10,22:00:00,7.14,7.15,7.11,7.12,7904,0
2017-04-11,15:35:00,7.18,7.2,7.16,7.1798,7084,0
2017-04-11,15:40:00,7.16,7.1758,7.03,7.055,6056,0
2017-04-11,15:45:00,7.05,7.09,7.03,7.08,1403,0
2017-04-11,15:50:00,7.0525,7.09,7.05,7.06,3506,0
2017-04-11,15:55:00,7.07,7.15,7.07,7.11,4719,0
2017-04-11,16:00:00,7.1283,7.14,7.12,7.14,1200,0
2017-04-11,16:05:00,7.1379,7.14,7.12,7.12,3000,0
2017-04-11,16:10:00,7.12,7.16,7.12,7.16,900,0
2017-04-11,16:15:00,7.176,7.176,7.17,7.17,1169,0
2017-04-11,16:20:00,7.17,7.17,7.1301,7.15,900,0
2017-04-11,16:25:00,7.14,7.15,7.13,7.145,1900,0
2017-04-11,16:30:00,7.14,7.17,7.1301,7.17,700,0
2017-04-11,16:35:00,7.19,7.19,7.16,7.16,500,0
2017-04-11,16:40:00,7.16,7.19,7.1499,7.19,1550,0
2017-04-11,16:45:00,7.18,7.18,7.1457,7.1457,1600,0
2017-04-11,16:50:00,7.13,7.15,7.13,7.13,1500,0
2017-04-11,16:55:00,7.15,7.15,7.1377,7.1377,1300,0
2017-04-11,17:00:00,7.15,7.17,7.15,7.17,400,0
2017-04-11,17:05:00,7.17,7.17,7.15,7.165,2000,0
2017-04-11,17:10:00,7.17,7.17,7.17,7.17,300,0
2017-04-11,17:15:00,7.17,7.18,7.17,7.18,400,0
2017-04-11,17:20:00,7.16,7.16,7.16,7.16,400,0
2017-04-11,17:25:00,7.1501,7.17,7.1501,7.17,500,0
2017-04-11,17:30:00,7.18,7.18,7.14,7.14,2200,0
2017-04-11,17:35:00,7.14,7.17,7.14,7.17,900,0
2017-04-11,17:40:00,7.2,7.2,7.17,7.18,4866,0
2017-04-11,17:45:00,7.18,7.18,7.12,7.15,1812,0
2017-04-11,17:50:00,7.15,7.15,7.14,7.14,1000,0
2017-04-11,17:55:00,7.16,7.19,7.16,7.19,1500,0
2017-04-11,18:00:00,7.19,7.2,7.18,7.19,1800,0
2017-04-11,18:05:00,7.18,7.19,7.16,7.18,1200,0
2017-04-11,18:10:00,7.1656,7.17,7.1656,7.17,200,0
2017-04-11,18:15:00,7.18,7.27,7.17,7.27,10490,0
2017-04-11,18:20:00,7.26,7.32,7.22,7.26,19751,0
2017-04-11,18:25:00,7.295,7.33,7.295,7.33,3400,0
2017-04-11,18:30:00,7.33,7.33,7.315,7.33,800,0
2017-04-11,18:35:00,7.34,7.34,7.34,7.34,200,0
2017-04-11,18:40:00,7.36,7.38,7.36,7.37,2200,0
2017-04-11,18:45:00,7.35,7.35,7.35,7.35,400,0
2017-04-11,18:50:00,7.36,7.36,7.33,7.33,659,0
2017-04-11,18:55:00,7.34,7.4,7.34,7.39,1219,0
2017-04-11,19:00:00,7.39,7.39,7.31,7.31,2700,0
