Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-26,15:35:00,9.9,9.9,9.9,9.9,360,0
2017-01-26,16:00:00,9.8782,9.8782,9.8782,9.8782,1000,0
2017-01-26,16:25:00,9.8598,9.8598,9.8598,9.8598,100,0
2017-01-26,16:50:00,9.86,9.86,9.86,9.86,100,0
2017-01-26,17:15:00,9.84,9.84,9.84,9.84,1308,0
2017-01-26,17:20:00,9.77,9.8288,9.77,9.8088,700,0
2017-01-26,17:40:00,9.78,9.8093,9.77,9.7993,600,0
2017-01-26,18:50:00,9.8,9.8,9.8,9.8,200,0
2017-01-26,18:55:00,9.8,9.8,9.8,9.8,200,0
2017-01-26,19:40:00,9.8,9.8,9.8,9.8,400,0
2017-01-26,19:45:00,9.8,9.815,9.8,9.8,300,0
2017-01-26,19:50:00,9.8,9.8,9.8,9.8,400,0
2017-01-26,19:55:00,9.8,9.8,9.8,9.8,200,0
2017-01-26,20:05:00,9.83,9.83,9.83,9.83,100,0
2017-01-26,20:10:00,9.85,9.85,9.85,9.85,100,0
2017-01-26,21:25:00,9.8499,9.8499,9.8499,9.8499,300,0
2017-01-26,21:35:00,9.84,9.84,9.84,9.84,1000,0
2017-01-26,22:00:00,9.81,9.8252,9.81,9.81,600,0
2017-01-27,15:55:00,10.0376,10.0376,9.9416,9.9416,306,0
2017-01-27,16:55:00,9.8,9.8,9.8,9.8,100,0
2017-01-27,17:45:00,9.92,9.92,9.92,9.92,100,0
2017-01-27,18:00:00,9.828,9.828,9.828,9.828,150,0
2017-01-27,18:20:00,9.8747,9.8747,9.8747,9.8747,200,0
2017-01-27,19:15:00,9.8,9.8,9.8,9.8,485,0
2017-01-27,19:35:00,9.81,9.81,9.8,9.8001,2811,0
2017-01-27,19:55:00,9.9599,9.9599,9.9599,9.9599,250,0
2017-01-27,21:05:00,9.92,9.92,9.92,9.92,200,0
2017-01-27,21:35:00,9.9,9.9,9.9,9.9,100,0
2017-01-27,22:00:00,9.87,9.87,9.87,9.87,400,0
