Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-09,18:05:00,24.6053,24.6299,24.6053,24.6299,1000,0
2016-11-09,19:20:00,24.35,24.35,24.34,24.34,336,0
2016-11-09,20:50:00,24.3,24.3,24.2999,24.2999,800,0
2016-11-10,21:45:00,22.7,22.7,22.69,22.69,200,0
2016-11-10,22:00:00,22.73,22.73,22.7,22.7,200,0
2016-11-14,15:35:00,22.72,22.72,22.72,22.72,200,0
2016-11-14,16:30:00,23.58,27.58,23.58,27.21,1200,0
2016-11-14,17:30:00,22.12,22.13,22.12,22.12,500,0
2016-11-14,17:35:00,21.05,21.05,21.05,21.05,400,0
2016-11-14,18:45:00,20.74,20.74,20.74,20.74,100,0
2016-11-16,16:30:00,22.503,22.5099,22.503,22.5099,1000,0
2016-11-16,16:40:00,22.565,22.62,22.565,22.62,200,0
2016-11-16,17:35:00,22.73,22.73,22.682,22.682,1000,0
2016-11-16,17:45:00,22.71,22.71,22.6874,22.6874,400,0
2016-11-16,18:10:00,22.6,22.61,22.6,22.606,1750,0
2016-11-16,18:15:00,22.62,22.62,22.612,22.612,2000,0
2016-11-16,18:20:00,22.5939,22.62,22.5939,22.62,1000,0
2016-11-16,18:50:00,22.6,22.6,22.6,22.6,500,0
2016-11-16,20:15:00,22.51,22.51,22.4428,22.4428,300,0
2016-11-16,21:25:00,22.6,22.6,22.6,22.6,354,0
2016-11-16,21:45:00,22.55,22.55,22.5163,22.5163,1000,0
2016-11-17,16:10:00,22.95,22.95,22.95,22.95,500,0
2016-11-17,16:40:00,22.81,22.81,22.81,22.81,100,0
2016-11-17,18:20:00,22.99,22.99,22.9306,22.9306,200,0
2016-11-17,20:10:00,22.81,22.81,22.81,22.81,100,0
2016-11-17,20:15:00,22.8,22.8,22.8,22.8,275,0
2016-11-18,15:35:00,23.36,23.36,23.36,23.36,140,0
2016-11-18,15:45:00,23.075,23.11,23.075,23.11,2000,0
2016-11-18,16:00:00,23.05,23.05,23.05,23.05,500,0
2016-11-18,16:15:00,22.7982,22.7982,22.7982,22.7982,100,0
2016-11-18,19:10:00,22.81,22.81,22.81,22.81,800,0
2016-11-18,19:15:00,22.81,22.81,22.7407,22.7407,700,0
2016-11-21,15:35:00,23.22,23.22,23.22,23.22,142,0
2016-11-21,17:20:00,22.79,22.79,22.7592,22.7592,2000,0
2016-11-21,20:55:00,22.836,22.836,22.836,22.836,100,0
2016-11-21,21:20:00,22.8403,22.8403,22.8403,22.8403,140,0
2016-11-22,15:40:00,22.8108,22.8108,22.8108,22.8108,200,0
2016-11-22,15:45:00,22.81,22.81,22.81,22.81,1000,0
2016-11-22,15:55:00,23.02,23.02,23.02,23.02,100,0
2016-11-22,16:30:00,22.9747,22.9747,22.9747,22.9747,355,0
2016-11-23,21:20:00,23.1,23.1,23.1,23.1,800,0
2016-11-25,16:10:00,23.3513,23.3513,23.3513,23.3513,400,0
2016-11-25,16:30:00,23.3649,23.3649,23.3649,23.3649,200,0
2016-11-25,16:40:00,23.3787,23.3787,23.3787,23.3787,100,0
2016-11-28,15:35:00,23.41,23.41,23.38,23.38,350,0
2016-11-29,15:50:00,23.11,23.11,23.11,23.11,1000,0
2016-11-29,18:25:00,23.5454,23.5454,23.5454,23.5454,250,0
2016-12-01,20:55:00,21.7601,21.8025,21.7601,21.8025,2000,0
2016-12-01,21:00:00,21.74,21.844,21.74,21.844,994,0
2016-12-02,15:50:00,21.1734,21.1734,21.11,21.11,2100,0
2016-12-05,16:45:00,21.7694,21.7694,21.7694,21.7694,300,0
2016-12-05,18:25:00,21.7018,21.7018,21.7018,21.7018,100,0
2016-12-05,18:30:00,21.6966,21.6966,21.6966,21.6966,100,0
2016-12-06,15:35:00,22.99,26.09,22.99,26.09,400,0
2016-12-06,16:50:00,22.01,22.01,22.01,22.01,100,0
2016-12-06,17:20:00,21.51,21.51,21.51,21.51,800,0
2016-12-06,17:30:00,21.32,21.32,21.32,21.32,250,0
2016-12-08,21:05:00,22.12,22.12,22.12,22.12,100,0
2016-12-08,21:40:00,22.186,22.186,22.186,22.186,840,0
2016-12-13,16:40:00,22,22,22,22,100,0
2016-12-13,16:45:00,21.74,21.74,21.74,21.74,100,0
2016-12-13,17:40:00,21.73,21.8071,21.73,21.8041,1050,0
2016-12-14,21:40:00,20.96,21.0029,20.96,21.0029,1000,0
2016-12-15,20:35:00,20.1699,20.1699,20.1699,20.1699,100,0
2016-12-16,15:35:00,19.86,19.86,19.57,19.57,1250,0
2016-12-16,15:40:00,19.85,19.86,19.85,19.86,300,0
2016-12-16,16:00:00,19.8719,19.8719,19.83,19.83,400,0
2016-12-16,16:40:00,20.0199,20.0199,19.96,19.96,1000,0
2016-12-16,16:45:00,20.01,20.0301,20.01,20.0301,550,0
2016-12-16,21:40:00,19.8876,19.8876,19.8876,19.8876,350,0
2016-12-16,22:00:00,19.73,19.73,19.73,19.73,699,0
2016-12-20,21:50:00,19.6144,19.6144,19.6144,19.6144,1000,0
2016-12-27,15:50:00,19.71,19.71,19.71,19.71,500,0
2016-12-27,16:40:00,20.0406,20.0406,20.0406,20.0406,101,0
2016-12-27,21:45:00,19.91,19.91,19.91,19.91,100,0
2016-12-30,16:10:00,19.8389,19.8389,19.8389,19.8389,685,0
2016-12-30,16:25:00,19.82,19.82,19.82,19.82,252,0
2017-01-03,15:50:00,20.33,20.33,20.33,20.33,600,0
2017-01-04,15:45:00,20.5299,20.5299,20.5299,20.5299,100,0
2017-01-05,16:25:00,21.8301,21.8301,21.8301,21.8301,100,0
2017-01-05,19:30:00,21.96,21.96,21.96,21.96,100,0
2017-01-05,20:10:00,22.07,22.11,22.0301,22.11,300,0
2017-01-09,21:45:00,22.3572,22.3572,22.3572,22.3572,586,0
2017-01-11,20:35:00,22.83,22.8851,22.83,22.8851,2000,0
2017-01-12,17:00:00,22.11,22.11,22.11,22.11,499,0
2017-01-19,17:00:00,21.51,21.5309,20.8509,20.8509,352,0
2017-01-24,17:00:00,23.65,23.65,23.65,23.65,300,0
2017-01-24,20:20:00,23.65,23.65,23.65,23.65,100,0
2017-01-24,21:15:00,23.7599,23.7599,23.7599,23.7599,100,0
2017-01-25,20:30:00,23.9904,23.9904,23.985,23.985,200,0
2017-01-25,20:40:00,23.91,23.92,23.9,23.92,1800,0
2017-01-26,16:10:00,23.835,23.835,23.835,23.835,200,0
2017-01-26,16:25:00,23.76,23.76,23.76,23.76,100,0
