Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-13,15:25:00,5.04,5.04,5.04,5.04,2000,0
2017-03-13,15:30:00,5.01,5.01,5,5,512,0
2017-03-13,15:55:00,5,5,5,5,200,0
2017-03-13,16:00:00,5,5,4.99,4.9992,2200,0
2017-03-13,16:05:00,4.995,5,4.99,4.99,5600,0
2017-03-13,16:40:00,5,5,5,5,300,0
2017-03-13,16:45:00,5,5.0219,5,5.0219,1800,0
2017-03-13,17:05:00,5,5,5,5,300,0
2017-03-13,17:15:00,5,5,5,5,300,0
2017-03-13,17:25:00,4.99,5,4.99,4.99,800,0
2017-03-13,17:30:00,4.99,5,4.99,5,4977,0
2017-03-13,17:45:00,5,5,5,5,300,0
2017-03-13,18:35:00,5,5,5,5,15000,0
2017-03-13,18:45:00,4.9999,5,4.9999,5,3200,0
2017-03-13,18:50:00,5,5,5,5,100,0
2017-03-13,18:55:00,5,5,4.95,4.98,6100,0
2017-03-13,19:05:00,4.95,4.95,4.95,4.95,100,0
2017-03-13,19:15:00,4.95,4.95,4.95,4.95,500,0
2017-03-13,19:20:00,4.91,4.91,4.9,4.9,200,0
2017-03-13,19:25:00,4.89,4.89,4.89,4.89,100,0
2017-03-13,20:40:00,4.89,4.91,4.89,4.9092,2000,0
2017-03-13,21:00:00,4.939,4.939,4.91,4.91,921,0
2017-03-14,15:15:00,4.93,4.95,4.93,4.95,900,0
2017-03-14,15:25:00,4.93,4.93,4.93,4.93,100,0
2017-03-14,15:45:00,4.9284,4.9284,4.9284,4.9284,100,0
2017-03-14,16:00:00,4.95,4.95,4.95,4.95,100,0
2017-03-14,17:05:00,4.95,4.95,4.95,4.95,600,0
2017-03-14,17:10:00,4.95,4.95,4.95,4.95,1460,0
2017-03-14,17:15:00,4.926,4.926,4.926,4.926,200,0
2017-03-14,17:50:00,4.93,4.93,4.93,4.93,100,0
2017-03-14,18:35:00,4.9393,4.94,4.9393,4.94,600,0
2017-03-14,18:55:00,4.95,4.95,4.95,4.95,300,0
2017-03-14,19:20:00,4.94,4.94,4.94,4.94,100,0
2017-03-14,19:30:00,4.9599,4.96,4.9599,4.96,1100,0
2017-03-14,19:55:00,4.94,4.94,4.94,4.94,300,0
2017-03-14,20:10:00,4.94,4.94,4.94,4.94,100,0
2017-03-14,21:00:00,4.96,4.96,4.95,4.95,1500,0
2017-03-15,15:20:00,4.965,4.965,4.965,4.965,100,0
2017-03-15,15:40:00,4.97,4.97,4.97,4.97,100,0
2017-03-15,15:45:00,4.924,4.97,4.924,4.97,2970,0
2017-03-15,15:55:00,4.95,4.95,4.95,4.95,100,0
2017-03-15,16:05:00,4.95,4.95,4.95,4.95,100,0
2017-03-15,16:10:00,4.97,4.97,4.955,4.955,2500,0
2017-03-15,16:35:00,4.97,4.97,4.97,4.97,100,0
2017-03-15,16:55:00,4.97,4.98,4.948,4.948,5592,0
2017-03-15,17:15:00,4.98,4.98,4.95,4.965,1200,0
2017-03-15,17:25:00,4.91,4.9374,4.91,4.9374,300,0
2017-03-15,18:05:00,4.95,4.95,4.95,4.95,500,0
2017-03-15,18:10:00,4.94,4.94,4.9,4.9,339,0
2017-03-15,18:20:00,4.9336,4.9336,4.9336,4.9336,250,0
2017-03-15,19:05:00,4.96,4.96,4.96,4.96,100,0
2017-03-15,19:10:00,4.95,4.95,4.95,4.95,100,0
2017-03-15,19:15:00,4.93,4.96,4.91,4.91,800,0
2017-03-15,19:50:00,4.94,4.94,4.94,4.94,100,0
2017-03-15,20:20:00,4.925,4.925,4.925,4.925,125,0
2017-03-15,20:35:00,4.93,4.94,4.91,4.91,2600,0
2017-03-15,20:45:00,4.93,4.93,4.93,4.93,300,0
2017-03-15,20:50:00,4.95,4.95,4.94,4.94,200,0
2017-03-15,20:55:00,4.94,4.94,4.93,4.93,993,0
2017-03-15,21:00:00,4.96,4.96,4.93,4.93,1131,0
2017-03-16,14:35:00,4.93,4.93,4.93,4.93,236,0
2017-03-16,14:40:00,4.94,4.94,4.94,4.94,1935,0
2017-03-16,15:10:00,4.97,4.98,4.97,4.98,200,0
2017-03-16,15:25:00,4.95,4.95,4.91,4.935,500,0
2017-03-16,15:30:00,4.9356,4.9356,4.935,4.935,1000,0
2017-03-16,15:40:00,4.95,4.95,4.95,4.95,300,0
2017-03-16,17:55:00,4.965,4.965,4.965,4.965,100,0
2017-03-16,18:10:00,4.98,4.98,4.97,4.97,300,0
2017-03-16,18:20:00,4.98,4.98,4.96,4.96,200,0
2017-03-16,18:30:00,4.98,4.98,4.96,4.96,200,0
2017-03-16,18:45:00,4.98,4.98,4.9775,4.98,500,0
2017-03-16,18:50:00,4.98,4.98,4.97,4.97,1646,0
2017-03-16,18:55:00,4.9979,4.9979,4.97,4.97,300,0
2017-03-16,19:00:00,4.985,4.985,4.97,4.97,700,0
2017-03-16,19:05:00,4.99,5,4.94,4.99,400,0
2017-03-16,19:10:00,4.96,4.96,4.96,4.96,100,0
2017-03-16,19:25:00,4.97,4.99,4.96,4.99,700,0
2017-03-16,19:45:00,4.97,4.97,4.97,4.97,100,0
2017-03-16,20:25:00,4.99,4.99,4.97,4.98,400,0
2017-03-16,20:50:00,4.98,4.99,4.98,4.9886,1900,0
2017-03-16,20:55:00,4.9999,5,4.97,4.98,1300,0
2017-03-16,21:00:00,4.99,5,4.96,4.96,800,0
2017-03-17,14:35:00,4.96,4.96,4.96,4.96,126,0
2017-03-17,14:55:00,4.99,4.99,4.99,4.99,100,0
2017-03-17,15:10:00,4.94,4.94,4.94,4.94,300,0
2017-03-17,15:50:00,4.955,4.955,4.91,4.91,536,0
2017-03-17,16:35:00,4.9,4.9,4.9,4.9,1100,0
2017-03-17,16:50:00,4.895,4.91,4.895,4.91,700,0
2017-03-17,17:10:00,4.9021,4.9021,4.9021,4.9021,200,0
2017-03-17,17:35:00,4.9,4.92,4.9,4.92,1500,0
2017-03-17,18:00:00,4.9023,4.9023,4.9023,4.9023,205,0
2017-03-17,18:25:00,4.91,4.91,4.91,4.91,200,0
2017-03-17,18:50:00,4.915,4.915,4.915,4.915,250,0
2017-03-17,19:05:00,4.915,4.93,4.9,4.93,1800,0
2017-03-17,19:25:00,4.905,4.905,4.9,4.9,200,0
2017-03-17,19:35:00,4.91,4.91,4.91,4.91,200,0
