Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,4.48,4.54,4.47,4.54,27365,0
2017-04-10,15:40:00,4.54,4.55,4.53,4.55,6389,0
2017-04-10,15:45:00,4.54,4.55,4.53,4.54,13825,0
2017-04-10,15:50:00,4.5352,4.57,4.534,4.57,8362,0
2017-04-10,15:55:00,4.575,4.58,4.56,4.575,11600,0
2017-04-10,16:00:00,4.575,4.6,4.57,4.6,7890,0
2017-04-10,16:05:00,4.6,4.62,4.5934,4.615,36845,0
2017-04-10,16:10:00,4.615,4.625,4.6147,4.6147,7300,0
2017-04-10,16:15:00,4.62,4.62,4.59,4.595,48619,0
2017-04-10,16:20:00,4.595,4.595,4.59,4.595,2140,0
2017-04-10,16:25:00,4.595,4.595,4.58,4.585,9040,0
2017-04-10,16:30:00,4.58,4.59,4.58,4.59,3800,0
2017-04-10,16:35:00,4.59,4.62,4.59,4.615,22871,0
2017-04-10,16:40:00,4.62,4.64,4.6101,4.64,18016,0
2017-04-10,16:45:00,4.635,4.64,4.61,4.615,15400,0
2017-04-10,16:50:00,4.62,4.62,4.61,4.61,7500,0
2017-04-10,16:55:00,4.6,4.6086,4.6,4.6,1123,0
2017-04-10,17:00:00,4.6,4.6,4.6,4.6,900,0
2017-04-10,17:05:00,4.604,4.61,4.6,4.605,2870,0
2017-04-10,17:10:00,4.6,4.605,4.6,4.605,400,0
2017-04-10,17:15:00,4.6056,4.6275,4.605,4.6275,11035,0
2017-04-10,17:20:00,4.62,4.6275,4.62,4.6275,1318,0
2017-04-10,17:25:00,4.625,4.63,4.62,4.625,2200,0
2017-04-10,17:30:00,4.63,4.65,4.62,4.65,54820,0
2017-04-10,17:35:00,4.65,4.65,4.63,4.645,17600,0
2017-04-10,17:40:00,4.64,4.65,4.63,4.65,27455,0
2017-04-10,17:45:00,4.65,4.65,4.615,4.6201,15516,0
2017-04-10,17:50:00,4.62,4.626,4.62,4.62,8000,0
2017-04-10,17:55:00,4.625,4.63,4.62,4.63,2900,0
2017-04-10,18:00:00,4.635,4.64,4.635,4.635,1200,0
2017-04-10,18:05:00,4.635,4.65,4.6301,4.65,17733,0
2017-04-10,18:10:00,4.65,4.65,4.635,4.635,19126,0
2017-04-10,18:15:00,4.635,4.635,4.61,4.61,7612,0
2017-04-10,18:20:00,4.61,4.62,4.61,4.61,1594,0
2017-04-10,18:25:00,4.615,4.615,4.61,4.61,1500,0
2017-04-10,18:30:00,4.61,4.615,4.61,4.61,1000,0
2017-04-10,18:35:00,4.615,4.62,4.61,4.615,1800,0
2017-04-10,18:40:00,4.615,4.63,4.615,4.63,8884,0
2017-04-10,18:45:00,4.63,4.63,4.63,4.63,1800,0
2017-04-10,18:50:00,4.63,4.63,4.62,4.63,2200,0
2017-04-10,18:55:00,4.63,4.64,4.63,4.64,2200,0
2017-04-10,19:00:00,4.64,4.645,4.64,4.645,2907,0
2017-04-10,19:05:00,4.6475,4.65,4.645,4.65,1100,0
2017-04-10,19:10:00,4.65,4.65,4.635,4.65,7044,0
2017-04-10,19:15:00,4.64,4.655,4.64,4.64,60765,0
2017-04-10,19:20:00,4.64,4.65,4.64,4.645,6600,0
2017-04-10,19:25:00,4.64,4.64,4.63,4.635,7400,0
2017-04-10,19:30:00,4.63,4.6384,4.63,4.63,1900,0
2017-04-10,19:35:00,4.63,4.64,4.63,4.64,3800,0
2017-04-10,19:40:00,4.635,4.65,4.635,4.645,56156,0
2017-04-10,19:45:00,4.645,4.645,4.61,4.61,17436,0
2017-04-10,19:50:00,4.61,4.6142,4.61,4.61,1050,0
2017-04-10,19:55:00,4.61,4.62,4.6,4.605,11693,0
2017-04-10,20:00:00,4.603,4.61,4.6,4.6025,3500,0
2017-04-10,20:05:00,4.6094,4.61,4.59,4.59,17745,0
2017-04-10,20:10:00,4.6,4.6,4.59,4.59,2000,0
2017-04-10,20:15:00,4.59,4.6,4.59,4.595,2600,0
2017-04-10,20:20:00,4.6,4.61,4.6,4.61,10367,0
2017-04-10,20:25:00,4.61,4.625,4.61,4.625,3400,0
2017-04-10,20:30:00,4.625,4.65,4.62,4.645,16193,0
2017-04-10,20:35:00,4.645,4.645,4.63,4.635,10614,0
2017-04-10,20:40:00,4.635,4.64,4.63,4.64,1200,0
2017-04-10,20:45:00,4.63,4.64,4.63,4.64,1200,0
2017-04-10,20:50:00,4.635,4.645,4.63,4.635,21601,0
2017-04-10,20:55:00,4.635,4.635,4.625,4.63,11205,0
2017-04-10,21:00:00,4.63,4.63,4.62,4.6281,7194,0
2017-04-10,21:05:00,4.625,4.63,4.62,4.625,5159,0
2017-04-10,21:10:00,4.63,4.64,4.625,4.64,9118,0
2017-04-10,21:15:00,4.64,4.64,4.63,4.64,5200,0
2017-04-10,21:20:00,4.64,4.64,4.63,4.64,4200,0
2017-04-10,21:25:00,4.63,4.64,4.62,4.62,8600,0
2017-04-10,21:30:00,4.625,4.625,4.61,4.615,10500,0
2017-04-10,21:35:00,4.61,4.62,4.61,4.61,4200,0
2017-04-10,21:40:00,4.615,4.63,4.61,4.625,20300,0
2017-04-10,21:45:00,4.625,4.63,4.62,4.62,12000,0
2017-04-10,21:50:00,4.625,4.63,4.62,4.62,8963,0
2017-04-10,21:55:00,4.625,4.63,4.62,4.625,23752,0
2017-04-10,22:00:00,4.625,4.64,4.62,4.64,76295,0
2017-04-11,15:35:00,4.63,4.63,4.57,4.605,24493,0
2017-04-11,15:40:00,4.59,4.59,4.58,4.59,2200,0
2017-04-11,15:45:00,4.5899,4.59,4.58,4.58,12362,0
2017-04-11,15:50:00,4.57,4.58,4.56,4.565,10481,0
2017-04-11,15:55:00,4.56,4.56,4.55,4.56,6500,0
2017-04-11,16:00:00,4.5569,4.57,4.555,4.565,8725,0
2017-04-11,16:05:00,4.565,4.585,4.56,4.575,20410,0
2017-04-11,16:10:00,4.58,4.59,4.58,4.5899,2702,0
2017-04-11,16:15:00,4.585,4.585,4.54,4.55,11053,0
2017-04-11,16:20:00,4.55,4.55,4.54,4.54,700,0
2017-04-11,16:25:00,4.54,4.54,4.53,4.54,3200,0
2017-04-11,16:30:00,4.535,4.54,4.53,4.54,6270,0
2017-04-11,16:35:00,4.54,4.54,4.5,4.51,11132,0
2017-04-11,16:40:00,4.5099,4.53,4.5099,4.52,8104,0
2017-04-11,16:45:00,4.525,4.53,4.505,4.51,11809,0
2017-04-11,16:50:00,4.52,4.55,4.515,4.515,34798,0
2017-04-11,16:55:00,4.515,4.525,4.51,4.51,9349,0
2017-04-11,17:00:00,4.5101,4.515,4.5042,4.5042,5805,0
2017-04-11,17:05:00,4.51,4.54,4.51,4.54,17904,0
2017-04-11,17:10:00,4.535,4.55,4.535,4.545,3100,0
2017-04-11,17:15:00,4.545,4.545,4.522,4.53,3322,0
2017-04-11,17:20:00,4.53,4.54,4.5247,4.54,2083,0
2017-04-11,17:25:00,4.535,4.555,4.535,4.55,17000,0
2017-04-11,17:30:00,4.55,4.56,4.55,4.555,1100,0
2017-04-11,17:35:00,4.56,4.5775,4.56,4.5775,4043,0
2017-04-11,17:40:00,4.575,4.58,4.57,4.575,3034,0
2017-04-11,17:45:00,4.58,4.58,4.575,4.575,2300,0
2017-04-11,17:50:00,4.575,4.6,4.57,4.6,17786,0
2017-04-11,17:55:00,4.6,4.61,4.6,4.61,2000,0
2017-04-11,18:00:00,4.6,4.605,4.595,4.605,10405,0
2017-04-11,18:05:00,4.59,4.6,4.59,4.6,4300,0
2017-04-11,18:15:00,4.59,4.605,4.59,4.6,6037,0
2017-04-11,18:20:00,4.61,4.61,4.61,4.61,2000,0
2017-04-11,18:25:00,4.61,4.62,4.61,4.615,3145,0
2017-04-11,18:30:00,4.62,4.62,4.61,4.62,15442,0
2017-04-11,18:35:00,4.63,4.635,4.625,4.63,10166,0
2017-04-11,18:40:00,4.63,4.65,4.62,4.625,24187,0
2017-04-11,18:45:00,4.62,4.625,4.62,4.625,3800,0
2017-04-11,18:50:00,4.63,4.63,4.62,4.625,7894,0
2017-04-11,18:55:00,4.615,4.64,4.6137,4.635,8900,0
2017-04-11,19:00:00,4.64,4.65,4.64,4.65,3299,0
2017-04-11,19:05:00,4.65,4.65,4.6469,4.65,857,0
2017-04-11,19:10:00,4.65,4.65,4.65,4.65,900,0
2017-04-11,19:15:00,4.645,4.645,4.62,4.625,29553,0
2017-04-11,19:20:00,4.63,4.64,4.625,4.635,2400,0
2017-04-11,19:25:00,4.6365,4.64,4.635,4.635,1250,0
2017-04-11,19:30:00,4.635,4.64,4.63,4.635,1600,0
2017-04-11,19:35:00,4.635,4.64,4.635,4.635,1100,0
2017-04-11,19:40:00,4.6346,4.64,4.63,4.64,1618,0
2017-04-11,19:45:00,4.64,4.65,4.64,4.644,5908,0
2017-04-11,19:50:00,4.645,4.6498,4.645,4.645,2400,0
2017-04-11,19:55:00,4.645,4.645,4.64,4.64,500,0
2017-04-11,20:00:00,4.645,4.6476,4.645,4.645,2700,0
2017-04-11,20:05:00,4.6465,4.6465,4.64,4.645,2000,0
2017-04-11,20:10:00,4.6432,4.65,4.6432,4.645,3800,0
2017-04-11,20:15:00,4.645,4.645,4.63,4.6393,5436,0
2017-04-11,20:20:00,4.635,4.635,4.635,4.635,243,0
2017-04-11,20:25:00,4.635,4.639,4.635,4.635,1300,0
2017-04-11,20:30:00,4.635,4.645,4.635,4.645,4164,0
2017-04-11,20:35:00,4.645,4.65,4.645,4.65,9750,0
2017-04-11,20:40:00,4.645,4.65,4.64,4.645,10300,0
2017-04-11,20:45:00,4.645,4.645,4.645,4.645,700,0
2017-04-11,20:50:00,4.6484,4.65,4.645,4.65,2400,0
2017-04-11,20:55:00,4.65,4.65,4.645,4.65,6463,0
2017-04-11,21:00:00,4.66,4.66,4.64,4.65,12650,0
2017-04-11,21:05:00,4.645,4.645,4.64,4.64,4300,0
2017-04-11,21:10:00,4.63,4.635,4.62,4.62,11500,0
2017-04-11,21:15:00,4.63,4.63,4.625,4.63,400,0
2017-04-11,21:20:00,4.62,4.625,4.615,4.62,5100,0
2017-04-11,21:25:00,4.62,4.62,4.61,4.61,600,0
2017-04-11,21:30:00,4.62,4.635,4.615,4.625,25320,0
2017-04-11,21:35:00,4.625,4.63,4.62,4.625,5887,0
