Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-22,14:35:00,4.39,4.65,4.39,4.5,1298,0
2017-03-22,14:55:00,4.5618,4.5618,4.5618,4.5618,3000,0
2017-03-22,15:00:00,4.5241,4.5241,4.5241,4.5241,716,0
2017-03-22,15:15:00,4.5,4.5,4.4,4.4125,1650,0
2017-03-22,15:20:00,4.401,4.401,4.4,4.4,1500,0
2017-03-22,15:35:00,4.35,4.35,4.2501,4.28,2700,0
2017-03-22,15:55:00,4.399,4.399,4.399,4.399,100,0
2017-03-22,16:00:00,4.2801,4.2801,4.28,4.28,600,0
2017-03-22,16:10:00,4.287,4.29,4.28,4.2892,500,0
2017-03-22,16:30:00,4.2619,4.2619,4.2619,4.2619,1000,0
2017-03-22,16:50:00,4.415,4.415,4.39,4.405,400,0
2017-03-22,17:10:00,4.44,4.45,4.43,4.45,2900,0
2017-03-22,17:20:00,4.544,4.544,4.544,4.544,100,0
2017-03-22,17:30:00,4.4,4.4001,4.4,4.4001,1080,0
2017-03-22,17:55:00,4.3784,4.3784,4.37,4.37,1500,0
2017-03-22,18:15:00,4.41,4.41,4.41,4.41,500,0
2017-03-22,18:25:00,4.45,4.45,4.45,4.45,100,0
2017-03-22,19:00:00,4.45,4.45,4.45,4.45,100,0
2017-03-22,19:45:00,4.48,4.48,4.48,4.48,100,0
2017-03-22,19:50:00,4.46,4.46,4.46,4.46,144,0
2017-03-22,20:05:00,4.45,4.45,4.45,4.45,200,0
2017-03-22,20:10:00,4.42,4.42,4.4,4.4,3800,0
2017-03-22,20:15:00,4.33,4.33,4.33,4.33,100,0
2017-03-22,20:20:00,4.33,4.33,4.3,4.3108,6600,0
2017-03-22,20:25:00,4.32,4.32,4.25,4.25,9000,0
2017-03-22,20:40:00,4.23,4.25,4.23,4.25,9700,0
2017-03-22,20:45:00,4.2,4.25,4.05,4.25,7400,0
2017-03-22,20:50:00,4.24,4.25,4.24,4.25,5500,0
2017-03-22,20:55:00,4.4553,4.4553,4.362,4.41,7100,0
2017-03-22,21:00:00,4.4007,4.5,4.4007,4.5,9900,0
2017-03-23,14:35:00,4.5,4.65,4.28,4.65,6382,0
2017-03-23,14:40:00,4.5,4.5716,4.4324,4.5716,1100,0
2017-03-23,14:45:00,4.4534,4.5381,4.44,4.51,4900,0
2017-03-23,14:50:00,4.47,4.47,4.47,4.47,100,0
2017-03-23,14:55:00,4.4,4.4,4.25,4.2912,11453,0
2017-03-23,15:00:00,4.3,4.41,4.3,4.4092,8800,0
2017-03-23,15:05:00,4.4,4.41,4.4,4.41,3056,0
2017-03-23,15:10:00,4.49,4.5,4.4201,4.4201,1309,0
2017-03-23,15:15:00,4.42,4.423,4.42,4.4208,950,0
2017-03-23,15:20:00,4.3,4.3,3.89,4.25,14500,0
2017-03-23,15:35:00,4.012,4.2278,4.012,4.2278,1900,0
2017-03-23,16:05:00,4.06,4.06,4.06,4.06,100,0
2017-03-23,16:10:00,4.112,4.112,4.112,4.112,110,0
2017-03-23,16:20:00,4.1,4.1088,4.1,4.1088,2600,0
2017-03-23,16:25:00,4.14,4.15,4.14,4.15,300,0
2017-03-23,16:35:00,4.1902,4.1902,4.1902,4.1902,100,0
2017-03-23,17:10:00,4.1,4.11,4.1,4.11,524,0
2017-03-23,17:15:00,4.18,4.2,4.18,4.2,2000,0
2017-03-23,17:25:00,4.08,4.08,4.08,4.08,500,0
2017-03-23,17:40:00,4.079,4.08,4.079,4.08,976,0
2017-03-23,18:25:00,4.08,4.16,4.0701,4.0701,4634,0
2017-03-23,18:30:00,4.16,4.16,4.16,4.16,189,0
2017-03-23,18:40:00,4.06,4.06,4.06,4.06,100,0
2017-03-23,18:45:00,4.14,4.16,4.14,4.16,2400,0
2017-03-23,19:00:00,4.15,4.15,4.15,4.15,324,0
2017-03-23,19:35:00,4.15,4.15,4.102,4.102,800,0
2017-03-23,19:45:00,4.09,4.09,4.07,4.07,1100,0
2017-03-23,20:00:00,4.0775,4.0775,4.0775,4.0775,1328,0
2017-03-23,20:25:00,4.0815,4.0815,4.0815,4.0815,254,0
2017-03-23,20:50:00,4.065,4.07,4.065,4.07,1700,0
2017-03-23,20:55:00,4.12,4.15,4.1,4.1,9775,0
2017-03-23,21:00:00,4.138,4.14,4.1001,4.14,1400,0
2017-03-24,14:35:00,4.25,4.25,4.25,4.25,100,0
2017-03-24,14:45:00,4.0261,4.0261,4.02,4.02,1300,0
2017-03-24,15:10:00,4.2342,4.2342,4.2342,4.2342,100,0
