Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-31,15:35:00,25.97,25.99,25.97,25.99,2933,0
2017-03-31,15:40:00,25.99,25.99,25.9741,25.9741,952,0
2017-03-31,15:50:00,25.971,25.971,25.96,25.96,915,0
2017-03-31,16:15:00,25.96,25.96,25.96,25.96,100,0
2017-03-31,16:20:00,25.96,25.98,25.96,25.9799,1467,0
2017-03-31,16:25:00,25.98,25.99,25.96,25.96,1615,0
2017-03-31,16:35:00,25.98,25.98,25.93,25.93,1900,0
2017-03-31,16:40:00,25.94,25.94,25.9301,25.9301,700,0
2017-03-31,16:45:00,25.95,25.95,25.938,25.938,2500,0
2017-03-31,16:50:00,25.95,25.95,25.9374,25.94,1805,0
2017-03-31,17:00:00,25.9462,25.9462,25.9462,25.9462,600,0
2017-03-31,17:05:00,25.9499,25.9499,25.9499,25.9499,300,0
2017-03-31,17:10:00,25.93,25.93,25.92,25.93,6489,0
2017-03-31,17:15:00,25.93,25.93,25.92,25.92,400,0
2017-03-31,17:25:00,25.93,25.93,25.93,25.93,1600,0
2017-03-31,17:35:00,25.92,25.9233,25.92,25.9233,200,0
2017-03-31,17:40:00,25.92,25.92,25.92,25.92,1700,0
2017-03-31,17:45:00,25.901,25.93,25.9,25.93,14219,0
2017-03-31,17:50:00,25.9201,25.94,25.9201,25.94,1200,0
2017-03-31,17:55:00,25.936,25.936,25.936,25.936,1330,0
2017-03-31,18:05:00,25.949,25.949,25.949,25.949,1000,0
2017-03-31,18:20:00,25.945,25.95,25.945,25.95,1235,0
2017-03-31,18:50:00,25.99,25.99,25.99,25.99,1500,0
2017-03-31,18:55:00,25.982,25.982,25.982,25.982,1450,0
2017-03-31,19:10:00,25.99,25.99,25.9865,25.9865,2000,0
2017-03-31,19:15:00,25.99,25.99,25.99,25.99,597,0
2017-03-31,19:25:00,26,26.04,25.9987,26.04,8266,0
2017-03-31,19:30:00,26.0103,26.0103,26.0103,26.0103,1500,0
2017-03-31,19:35:00,26.0211,26.0211,26.0211,26.0211,350,0
2017-03-31,19:55:00,26.0354,26.04,26.0354,26.04,1480,0
2017-03-31,20:05:00,26.031,26.04,26.031,26.04,1100,0
2017-03-31,20:10:00,26.0323,26.0323,26.0323,26.0323,320,0
2017-03-31,20:20:00,26.0353,26.0353,26.0353,26.0353,208,0
2017-03-31,20:25:00,26.04,26.04,26.0375,26.0375,1000,0
2017-03-31,20:35:00,26.03,26.0314,26,26,8200,0
2017-03-31,20:40:00,26.04,26.04,26.0287,26.0287,2263,0
2017-03-31,20:55:00,26.02,26.02,26.01,26.01,1569,0
2017-03-31,21:05:00,26.0499,26.0499,26.0499,26.0499,1480,0
2017-03-31,21:10:00,26.02,26.0245,26.0001,26.0001,3776,0
2017-03-31,21:15:00,26,26,26,26,300,0
2017-03-31,21:20:00,26.0299,26.0299,26.0299,26.0299,674,0
2017-03-31,21:25:00,26.0089,26.03,26.0089,26.017,2320,0
2017-03-31,21:40:00,26.01,26.0183,26.01,26.0114,5200,0
2017-03-31,21:45:00,26.01,26.01,26.01,26.01,200,0
2017-03-31,21:55:00,26.024,26.028,26.02,26.02,4235,0
2017-03-31,22:00:00,26.0399,26.0399,25.99,25.99,2388,0
2017-04-03,15:35:00,25.97,25.97,25.97,25.97,107,0
2017-04-03,15:40:00,25.96,25.96,25.96,25.96,800,0
2017-04-03,15:45:00,26,26,26,26,5257,0
2017-04-03,15:50:00,25.99,25.99,25.99,25.99,706,0
2017-04-03,16:00:00,26.01,26.022,26.01,26.022,550,0
2017-04-03,16:05:00,26.04,26.05,26.04,26.05,2186,0
2017-04-03,16:10:00,26.05,26.07,26.044,26.0683,1320,0
2017-04-03,16:15:00,26.04,26.06,26.03,26.03,1992,0
2017-04-03,16:20:00,26.0414,26.06,26.04,26.06,6082,0
2017-04-03,16:30:00,26.04,26.0441,26.04,26.04,2400,0
2017-04-03,16:35:00,26.04,26.0454,26.03,26.0454,885,0
2017-04-03,16:40:00,26.0479,26.0599,26.0479,26.0599,4000,0
2017-04-03,16:45:00,26.06,26.06,26.06,26.06,100,0
2017-04-03,16:55:00,26.0539,26.0539,26.0539,26.0539,161,0
2017-04-03,17:00:00,26.05,26.0535,26.05,26.05,3911,0
2017-04-03,17:15:00,26.07,26.07,26.05,26.07,1294,0
2017-04-03,17:20:00,26.056,26.07,26.056,26.07,700,0
2017-04-03,17:25:00,26.07,26.07,26.0546,26.0546,345,0
2017-04-03,17:30:00,26.05,26.07,26.0321,26.06,2325,0
2017-04-03,17:35:00,26.05,26.0662,26.05,26.0662,900,0
2017-04-03,17:40:00,26.07,26.07,26.065,26.07,400,0
2017-04-03,17:45:00,26.0799,26.08,26.05,26.08,1455,0
2017-04-03,17:50:00,26.06,26.09,26.06,26.067,3107,0
2017-04-03,17:55:00,26.09,26.09,26.07,26.07,400,0
2017-04-03,18:00:00,26.08,26.08,26.08,26.08,100,0
2017-04-03,18:05:00,26.078,26.078,26.078,26.078,400,0
2017-04-03,18:10:00,26.09,26.09,26.09,26.09,200,0
2017-04-03,18:20:00,26.08,26.0899,26.08,26.0899,600,0
2017-04-03,18:25:00,26.09,26.09,26.09,26.09,161,0
2017-04-03,18:30:00,26.09,26.09,26.09,26.09,300,0
2017-04-03,18:35:00,26.1,26.1,26.0969,26.0969,1000,0
2017-04-03,18:40:00,26.09,26.09,26.0855,26.0855,1679,0
2017-04-03,18:50:00,26.08,26.1,26.08,26.1,200,0
2017-04-03,18:55:00,26.08,26.08,26.08,26.08,100,0
2017-04-03,19:00:00,26.09,26.09,26.09,26.09,348,0
2017-04-03,19:10:00,26.0909,26.0909,26.0909,26.0909,103,0
2017-04-03,19:15:00,26.1,26.1,26.0999,26.1,600,0
2017-04-03,19:30:00,26.1,26.15,26.095,26.13,7092,0
2017-04-03,19:50:00,26.1299,26.13,26.1299,26.13,716,0
2017-04-03,20:00:00,26.15,26.15,26.14,26.15,3300,0
2017-04-03,20:05:00,26.14,26.14,26.07,26.09,4965,0
2017-04-03,20:10:00,26.1,26.1,26.09,26.09,248,0
2017-04-03,20:15:00,26.1,26.11,26.079,26.11,900,0
2017-04-03,20:20:00,26.08,26.08,26.051,26.051,1900,0
2017-04-03,20:25:00,26.07,26.07,25.53,26.0433,5500,0
2017-04-03,20:30:00,26.0485,26.0485,26.0169,26.0169,1994,0
2017-04-03,20:35:00,26.0334,26.0346,26.02,26.03,4200,0
2017-04-03,20:40:00,26.0517,26.07,26.0517,26.056,1138,0
2017-04-03,20:45:00,26.067,26.067,26.0424,26.0424,500,0
2017-04-03,20:50:00,26.07,26.1,26.07,26.09,1946,0
2017-04-03,20:55:00,26.09,26.09,26.09,26.09,100,0
2017-04-03,21:00:00,26.1,26.14,26.1,26.1289,750,0
2017-04-03,21:05:00,26.13,26.15,26.13,26.15,1874,0
2017-04-03,21:15:00,26.17,26.17,26.15,26.15,300,0
2017-04-03,21:25:00,26.15,26.15,26.14,26.14,500,0
2017-04-03,21:30:00,26.14,26.14,26.13,26.13,200,0
2017-04-03,21:40:00,26.14,26.14,26.13,26.13,700,0
2017-04-03,21:45:00,26.108,26.108,26.108,26.108,377,0
2017-04-03,21:55:00,26.13,26.13,26.11,26.13,3370,0
2017-04-03,22:00:00,26.1169,26.14,26.11,26.11,539,0
2017-04-04,15:35:00,26.14,26.14,26.11,26.11,10567,0
2017-04-04,15:40:00,26.139,26.139,26.131,26.131,2800,0
2017-04-04,15:45:00,26.14,26.14,26.14,26.14,250,0
2017-04-04,15:55:00,26.16,26.17,26.15,26.15,1600,0
2017-04-04,16:05:00,26.14,26.1425,26.14,26.14,512,0
2017-04-04,16:10:00,26.1,26.1,26.1,26.1,100,0
2017-04-04,16:15:00,26.13,26.13,26.13,26.13,100,0
2017-04-04,16:20:00,26.1252,26.1252,26.07,26.07,2700,0
2017-04-04,16:25:00,26.07,26.0937,26.07,26.0937,1160,0
2017-04-04,16:30:00,26.07,26.07,26.07,26.07,500,0
2017-04-04,16:35:00,26.0766,26.0766,26.0766,26.0766,2000,0
2017-04-04,16:45:00,26.1,26.1,26.1,26.1,200,0
2017-04-04,16:50:00,26.08,26.08,26,26.05,8197,0
2017-04-04,16:55:00,26.059,26.06,26.03,26.0599,3110,0
2017-04-04,17:05:00,26.02,26.03,25.98,26,6778,0
2017-04-04,17:10:00,26,26,25.98,25.9999,2700,0
2017-04-04,17:25:00,25.99,26,25.99,26,2200,0
2017-04-04,17:30:00,26,26,25.98,25.9827,7039,0
2017-04-04,17:35:00,25.99,26.02,25.99,26.02,2430,0
2017-04-04,17:40:00,26.0399,26.0399,26.0399,26.0399,144,0
2017-04-04,17:55:00,26.04,26.08,26.04,26.08,500,0
2017-04-04,18:00:00,26.0699,26.0699,26.0699,26.0699,115,0
2017-04-04,18:05:00,26.05,26.05,26.03,26.03,2000,0
2017-04-04,18:10:00,26.06,26.06,26.06,26.06,100,0
2017-04-04,18:20:00,26.0498,26.0498,26.0498,26.0498,100,0
2017-04-04,18:30:00,26.06,26.06,26,26.04,3775,0
2017-04-04,18:35:00,26.01,26.01,26.01,26.01,100,0
2017-04-04,18:40:00,26.0109,26.0109,26.0109,26.0109,200,0
2017-04-04,18:50:00,26.03,26.03,26.03,26.03,100,0
2017-04-04,19:00:00,26.0225,26.0287,26.01,26.0287,4250,0
2017-04-04,19:10:00,26.03,26.03,26,26.003,4276,0
2017-04-04,19:20:00,26.0268,26.0299,26.0207,26.0207,2000,0
2017-04-04,19:30:00,26.0231,26.0231,26.0231,26.0231,106,0
2017-04-04,19:35:00,26.02,26.02,26.0069,26.0069,243,0
2017-04-04,19:40:00,26.02,26.04,26.02,26.0344,1458,0
2017-04-04,19:45:00,26.07,26.0793,26.06,26.06,2560,0
2017-04-04,19:50:00,26.03,26.0547,26.03,26.0507,1865,0
2017-04-04,20:10:00,26.04,26.04,26.03,26.04,1100,0
2017-04-04,20:15:00,26.0401,26.1,26.0401,26.09,8659,0
2017-04-04,20:20:00,26.08,26.1,26.08,26.09,838,0
2017-04-04,20:25:00,26.1,26.1,26.1,26.1,800,0
2017-04-04,20:35:00,26.08,26.08,26.05,26.08,2820,0
2017-04-04,20:40:00,26.0717,26.0717,26.06,26.06,891,0
2017-04-04,20:45:00,26.06,26.08,26.06,26.0675,803,0
2017-04-04,20:55:00,26.0607,26.0607,26.0528,26.0528,2880,0
2017-04-04,21:05:00,26.0475,26.086,26.045,26.054,2935,0
2017-04-04,21:10:00,26.09,26.09,26.09,26.09,200,0
2017-04-04,21:15:00,26.09,26.1,26.09,26.1,300,0
2017-04-04,21:20:00,26.1,26.1,26.1,26.1,400,0
2017-04-04,21:25:00,26.1,26.1,26.09,26.09,500,0
2017-04-04,21:30:00,26.09,26.09,26.09,26.09,300,0
2017-04-04,21:35:00,26.0891,26.13,26.0877,26.13,2200,0
2017-04-04,21:40:00,26.14,26.14,26.14,26.14,400,0
2017-04-04,21:45:00,26.14,26.14,26.14,26.14,400,0
2017-04-04,21:50:00,26.14,26.14,26.1,26.14,2597,0
2017-04-04,21:55:00,26.14,26.14,26.1,26.11,8189,0
2017-04-04,22:00:00,26.12,26.16,26.12,26.16,6795,0
