Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-06,15:35:00,9.239,9.239,9.239,9.239,3208,0
2017-03-06,15:45:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,15:50:00,9.2002,9.2002,9.2002,9.2002,102,0
2017-03-06,16:10:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,16:25:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,16:30:00,9.1994,9.1994,9.1994,9.1994,202,0
2017-03-06,16:40:00,9.1994,9.2092,9.1994,9.1994,1110,0
2017-03-06,16:45:00,9.1994,9.2044,9.1994,9.1994,2144,0
2017-03-06,16:50:00,9.1994,9.1994,9.1994,9.1994,202,0
2017-03-06,16:55:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,17:00:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,17:05:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,17:15:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,17:20:00,9.1994,9.1994,9.1994,9.1994,202,0
2017-03-06,17:25:00,9.1994,9.1994,9.1994,9.1994,808,0
2017-03-06,17:30:00,9.1994,9.1994,9.1994,9.1994,202,0
2017-03-06,17:35:00,9.2092,9.2092,9.1994,9.1994,8946,0
2017-03-06,17:45:00,9.1994,9.2092,9.1994,9.1994,1820,0
2017-03-06,17:50:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,18:05:00,9.1994,9.2092,9.1994,9.1994,1461,0
2017-03-06,18:20:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,18:35:00,9.1995,9.1995,9.1994,9.1994,1491,0
2017-03-06,18:40:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,19:05:00,9.1994,9.2092,9.1994,9.2092,506,0
2017-03-06,19:15:00,9.2071,9.2071,9.2071,9.2071,708,0
2017-03-06,19:25:00,9.1994,9.1994,9.1994,9.1994,102,0
2017-03-06,19:35:00,9.2076,9.2092,9.1994,9.1994,3084,0
2017-03-06,19:45:00,9.2044,9.2092,9.1994,9.2092,1010,0
2017-03-06,19:50:00,9.203,9.2092,9.1994,9.1994,5155,0
2017-03-06,20:00:00,9.1994,9.1994,9.1994,9.1994,102,0
