Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-20,15:30:00,67.12,67.12,67.11,67.11,200,0
2017-03-20,15:35:00,67.11,67.11,67.09,67.09,1600,0
2017-03-20,18:45:00,67.16,67.16,67.15,67.15,800,0
2017-03-20,19:05:00,67.08,67.08,67.07,67.07,600,0
2017-03-20,20:35:00,66.71,66.71,66.58,66.71,400,0
2017-03-20,20:55:00,66.7,66.7,66.69,66.69,200,0
2017-03-21,14:35:00,66.4,66.4,66.4,66.4,401,0
2017-03-21,15:25:00,65.11,65.11,65,65,1400,0
2017-03-21,15:30:00,65.24,65.24,65.24,65.24,100,0
2017-03-21,17:05:00,65.21,65.21,65.21,65.21,100,0
2017-03-21,17:25:00,65.11,65.11,65.1,65.1,300,0
2017-03-21,17:50:00,64.7,64.7,64.68,64.68,700,0
2017-03-21,17:55:00,64.55,64.55,64.55,64.55,100,0
2017-03-21,18:35:00,64.86,64.86,64.83,64.83,1000,0
2017-03-21,18:40:00,64.89,64.89,64.89,64.89,100,0
2017-03-21,19:00:00,64.06,64.06,64.06,64.06,100,0
2017-03-21,19:50:00,64.97,64.97,64.93,64.93,1100,0
2017-03-22,14:50:00,65.35,65.35,65.35,65.35,100,0
2017-03-22,14:55:00,65.24,65.24,65.18,65.18,1200,0
2017-03-22,18:50:00,65.45,65.45,65.45,65.45,100,0
2017-03-22,18:55:00,65.26,65.26,65.26,65.26,100,0
2017-03-23,15:40:00,67,67,67,67,100,0
2017-03-23,16:45:00,66.9,66.9,66.9,66.9,100,0
2017-03-23,20:35:00,67.13,67.13,67.13,67.13,100,0
2017-03-24,14:50:00,68.47,68.47,68.47,68.47,1000,0
2017-03-24,20:45:00,68.36,68.36,68.36,68.36,225,0
2017-03-27,15:40:00,66.5,66.5,66.5,66.5,100,0
2017-03-27,16:10:00,65.82,65.82,65.82,65.82,100,0
2017-03-27,19:20:00,67,67,66.98,66.98,200,0
2017-03-27,20:00:00,67,67,67,67,100,0
2017-03-28,15:35:00,68.95,68.95,68.95,68.95,192,0
2017-03-28,15:40:00,69,69,69,69,192,0
2017-03-29,15:40:00,68.25,68.25,68.25,68.25,100,0
2017-03-29,15:45:00,68,68,68,68,100,0
2017-03-29,16:15:00,69.3,69.3,69.3,69.3,100,0
2017-03-29,16:20:00,70.6,72,70.6,72,300,0
2017-03-29,16:40:00,73,73,73,73,100,0
2017-03-29,21:20:00,72.54,72.54,72.54,72.54,200,0
2017-03-30,16:00:00,72.3,72.3,72.3,72.3,100,0
2017-03-30,16:10:00,72.32,72.32,72.32,72.32,100,0
2017-03-30,17:15:00,72.01,72.01,72,72,700,0
2017-03-30,17:20:00,71.7,71.7,71.7,71.7,100,0
2017-03-30,17:25:00,71.6,71.6,71.5,71.5,600,0
2017-03-30,17:30:00,71.6,71.6,71.34,71.41,1000,0
2017-03-30,17:45:00,71.49,71.49,71.41,71.41,500,0
2017-03-30,20:20:00,70.75,70.75,70.75,70.75,100,0
2017-03-31,17:00:00,70.67,70.7,70.67,70.7,700,0
2017-03-31,17:40:00,70.34,70.34,70.34,70.34,200,0
2017-03-31,18:15:00,70.22,70.22,70.22,70.22,100,0
2017-03-31,20:55:00,69.28,69.3,69.28,69.3,600,0
2017-03-31,21:20:00,69.27,69.27,69.27,69.27,157,0
2017-03-31,21:50:00,69.56,69.56,69.29,69.29,200,0
2017-03-31,22:00:00,69.5,69.51,68.95,69.2,17913,0
