Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-20,15:35:00,33.56,33.56,33.56,33.56,300,0
2017-01-20,16:00:00,33.52,33.52,33.52,33.52,300,0
2017-01-20,16:35:00,33.5272,33.5272,33.5272,33.5272,128,0
2017-01-20,17:25:00,33.53,33.53,33.53,33.53,700,0
2017-01-20,17:35:00,33.5735,33.5735,33.5735,33.5735,113,0
2017-01-20,17:50:00,33.58,33.58,33.58,33.58,200,0
2017-01-20,18:05:00,33.56,33.57,33.56,33.57,300,0
2017-01-20,18:55:00,33.52,33.52,33.52,33.52,1400,0
2017-01-20,19:10:00,33.52,33.52,33.52,33.52,200,0
2017-01-20,20:05:00,33.55,33.55,33.55,33.55,700,0
2017-01-20,20:45:00,33.59,33.59,33.59,33.59,354,0
2017-01-20,21:00:00,33.6,33.61,33.6,33.61,382,0
2017-01-20,21:10:00,33.6,33.6,33.6,33.6,129,0
2017-01-20,21:50:00,33.59,33.59,33.59,33.59,207,0
2017-01-20,21:55:00,33.6,33.6,33.6,33.6,392,0
2017-01-20,22:00:00,33.61,33.63,33.61,33.63,659,0
2017-01-23,16:35:00,33.54,33.55,33.54,33.55,604,0
2017-01-23,16:40:00,33.54,33.54,33.54,33.54,888,0
2017-01-23,16:55:00,33.5,33.5,33.5,33.5,252,0
2017-01-23,17:20:00,33.4487,33.4487,33.44,33.44,809,0
2017-01-23,17:25:00,33.44,33.44,33.44,33.44,254,0
2017-01-23,17:35:00,33.51,33.52,33.51,33.52,2400,0
2017-01-23,17:40:00,33.52,33.56,33.52,33.56,8212,0
2017-01-23,17:45:00,33.51,33.51,33.51,33.51,527,0
2017-01-23,19:00:00,33.4799,33.4799,33.4799,33.4799,149,0
2017-01-23,19:10:00,33.48,33.48,33.48,33.48,1000,0
2017-01-23,19:30:00,33.51,33.51,33.51,33.51,100,0
2017-01-23,19:35:00,33.51,33.57,33.51,33.57,1708,0
2017-01-23,19:40:00,33.57,33.57,33.57,33.57,367,0
2017-01-23,20:30:00,33.56,33.56,33.56,33.56,377,0
2017-01-23,20:35:00,33.56,33.56,33.56,33.56,132,0
2017-01-23,21:35:00,33.57,33.57,33.57,33.57,100,0
2017-01-23,21:50:00,33.6,33.6,33.57,33.57,311,0
2017-01-23,21:55:00,33.59,33.59,33.58,33.58,200,0
2017-01-23,22:00:00,33.58,33.61,33.58,33.58,919,0
2017-01-24,16:30:00,33.74,33.74,33.74,33.74,138,0
2017-01-24,17:45:00,33.8531,33.8531,33.8531,33.8531,374,0
2017-01-24,17:50:00,33.82,33.83,33.82,33.83,500,0
2017-01-24,18:35:00,33.87,33.87,33.87,33.87,700,0
2017-01-24,19:15:00,33.9,33.9,33.9,33.9,573,0
2017-01-24,19:35:00,33.89,33.89,33.89,33.89,584,0
2017-01-24,19:50:00,33.9337,33.9337,33.9337,33.9337,360,0
2017-01-24,20:25:00,33.91,33.91,33.91,33.91,100,0
