Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-03,15:35:00,15.21,15.21,15.21,15.21,8357,0
2017-04-03,15:40:00,15.2,15.2,15.2,15.2,200,0
2017-04-03,15:50:00,15.19,15.19,15.19,15.19,200,0
2017-04-03,15:55:00,15.18,15.19,15.16,15.16,1600,0
2017-04-03,16:00:00,15.19,15.19,15.19,15.19,300,0
2017-04-03,16:05:00,15.175,15.1899,15.1692,15.175,5107,0
2017-04-03,16:20:00,15.17,15.17,15.17,15.17,1200,0
2017-04-03,16:25:00,15.16,15.16,15.16,15.16,100,0
2017-04-03,16:30:00,15.1716,15.1716,15.16,15.16,700,0
2017-04-03,16:40:00,15.17,15.1718,15.16,15.1718,1000,0
2017-04-03,16:45:00,15.16,15.16,15.16,15.16,300,0
2017-04-03,16:50:00,15.17,15.17,15.16,15.16,2123,0
2017-04-03,16:55:00,15.17,15.17,15.17,15.17,575,0
2017-04-03,17:00:00,15.1785,15.1785,15.1785,15.1785,200,0
2017-04-03,17:05:00,15.1601,15.17,15.16,15.16,4100,0
2017-04-03,17:10:00,15.1671,15.17,15.15,15.15,6753,0
2017-04-03,17:15:00,15.15,15.15,15.13,15.13,1500,0
2017-04-03,17:20:00,15.12,15.12,15.12,15.12,100,0
2017-04-03,17:25:00,15.1365,15.14,15.13,15.13,2325,0
2017-04-03,17:30:00,15.14,15.14,15.14,15.14,100,0
2017-04-03,17:35:00,15.12,15.14,15.12,15.13,4723,0
2017-04-03,17:45:00,15.1388,15.1388,15.13,15.13,600,0
2017-04-03,17:55:00,15.13,15.13,15.13,15.13,100,0
2017-04-03,18:05:00,15.1287,15.1287,15.1287,15.1287,210,0
2017-04-03,18:15:00,15.12,15.12,15.12,15.12,100,0
2017-04-03,18:20:00,15.13,15.13,15.13,15.13,100,0
2017-04-03,18:35:00,15.12,15.12,15.12,15.12,2600,0
2017-04-03,18:40:00,15.13,15.13,15.13,15.13,406,0
2017-04-03,18:45:00,15.135,15.14,15.12,15.14,1459,0
2017-04-03,18:50:00,15.1324,15.1324,15.1324,15.1324,200,0
2017-04-03,19:00:00,15.1253,15.1253,15.1253,15.1253,270,0
2017-04-03,19:10:00,15.1368,15.1368,15.1368,15.1368,500,0
2017-04-03,19:20:00,15.133,15.133,15.11,15.11,4100,0
2017-04-03,19:25:00,15.11,15.11,15.11,15.11,100,0
2017-04-03,19:45:00,15.11,15.11,15.11,15.11,2600,0
2017-04-03,19:50:00,15.12,15.12,15.12,15.12,450,0
2017-04-03,20:00:00,15.12,15.1272,15.12,15.12,4200,0
2017-04-03,20:05:00,15.12,15.14,15.12,15.14,6841,0
2017-04-03,20:10:00,15.12,15.12,15.09,15.09,11642,0
2017-04-03,20:15:00,15.105,15.12,15.105,15.12,2480,0
2017-04-03,20:20:00,15.099,15.099,15.099,15.099,135,0
2017-04-03,20:35:00,15.12,15.12,15.0975,15.105,528,0
2017-04-03,20:50:00,15.09,15.105,15.09,15.105,300,0
2017-04-03,20:55:00,15.09,15.105,15.09,15.105,3400,0
2017-04-03,21:05:00,15.09,15.105,15.09,15.105,200,0
2017-04-03,21:15:00,15.09,15.09,15.09,15.09,100,0
2017-04-03,21:25:00,15.095,15.095,15.09,15.0908,597,0
2017-04-03,21:30:00,15.095,15.1,15.095,15.095,4184,0
2017-04-03,21:35:00,15.09,15.0959,15.09,15.095,879,0
2017-04-03,21:40:00,15.095,15.095,15.081,15.0864,6310,0
2017-04-03,21:50:00,15.09,15.1,15.085,15.085,2800,0
2017-04-03,21:55:00,15.1,15.12,15.0901,15.12,13300,0
2017-04-03,22:00:00,15.12,15.12,15.09,15.11,3537,0
2017-04-04,15:35:00,15.1,15.11,15.1,15.11,4624,0
2017-04-04,15:50:00,15.082,15.082,15.082,15.082,110,0
2017-04-04,16:00:00,15.0808,15.0808,15.07,15.0797,7540,0
2017-04-04,16:05:00,15.05,15.07,15.05,15.052,1771,0
2017-04-04,16:10:00,15.06,15.06,15.042,15.042,1550,0
2017-04-04,16:15:00,15.046,15.046,15.042,15.042,5352,0
2017-04-04,16:25:00,15.04,15.04,15.0301,15.0301,1200,0
2017-04-04,16:30:00,15.04,15.04,15.04,15.04,100,0
2017-04-04,16:35:00,15.0306,15.0306,15.02,15.03,2271,0
2017-04-04,16:40:00,15.04,15.04,15.0301,15.04,500,0
2017-04-04,16:45:00,15.05,15.05,15.05,15.05,100,0
2017-04-04,16:55:00,15.05,15.05,15.05,15.05,200,0
2017-04-04,17:00:00,15.049,15.05,15.049,15.0499,3900,0
2017-04-04,17:05:00,15.05,15.05,15.03,15.03,15200,0
2017-04-04,17:15:00,15.06,15.06,15.06,15.06,200,0
2017-04-04,17:20:00,15.0401,15.045,15.0401,15.045,1336,0
2017-04-04,17:25:00,15.06,15.06,15.06,15.06,300,0
2017-04-04,17:45:00,15.05,15.08,15.05,15.08,4150,0
2017-04-04,18:15:00,15.04,15.05,15.04,15.05,11100,0
2017-04-04,18:20:00,15.065,15.065,15.065,15.065,100,0
2017-04-04,18:30:00,15.08,15.08,15.065,15.0792,2100,0
2017-04-04,18:45:00,15.0611,15.0611,15.0611,15.0611,600,0
2017-04-04,18:50:00,15.065,15.065,15.065,15.065,185,0
2017-04-04,19:05:00,15.05,15.0575,15.05,15.0575,339,0
2017-04-04,19:15:00,15.065,15.0799,15.065,15.0799,3400,0
2017-04-04,19:25:00,15.051,15.051,15.0501,15.0501,500,0
2017-04-04,19:40:00,15.065,15.065,15.05,15.05,700,0
2017-04-04,20:05:00,15.065,15.0661,15.065,15.0661,322,0
2017-04-04,20:25:00,15.07,15.07,15.07,15.07,100,0
2017-04-04,20:40:00,15.0732,15.0732,15.0732,15.0732,185,0
2017-04-04,20:45:00,15.07,15.07,15.07,15.07,3000,0
2017-04-04,20:50:00,15.07,15.07,15.07,15.07,1000,0
2017-04-04,20:55:00,15.0649,15.0649,15.0649,15.0649,650,0
2017-04-04,21:00:00,15.06,15.07,15.06,15.06,3800,0
2017-04-04,21:10:00,15.0751,15.0751,15.0704,15.0704,200,0
2017-04-04,21:15:00,15.07,15.08,15.07,15.08,2713,0
2017-04-04,21:20:00,15.07,15.08,15.0684,15.08,5266,0
2017-04-04,21:35:00,15.074,15.076,15.06,15.06,3200,0
2017-04-04,21:40:00,15.0672,15.0672,15.0672,15.0672,992,0
2017-04-04,21:55:00,15.06,15.0701,15.06,15.0701,300,0
2017-04-04,22:00:00,15.07,15.1,15.06,15.1,4084,0
2017-04-05,15:35:00,15.13,15.13,15.13,15.13,5161,0
2017-04-05,15:40:00,15.09,15.09,15.09,15.09,100,0
2017-04-05,15:50:00,15.09,15.09,15.09,15.09,200,0
2017-04-05,16:00:00,15.0976,15.0976,15.0976,15.0976,120,0
2017-04-05,16:25:00,15.1,15.1,15.1,15.1,100,0
2017-04-05,16:35:00,15.1,15.116,15.1,15.116,1300,0
2017-04-05,16:40:00,15.1,15.1,15.1,15.1,400,0
2017-04-05,16:45:00,15.1,15.1001,15.1,15.1001,600,0
2017-04-05,16:50:00,15.1001,15.1001,15.1,15.1,1000,0
2017-04-05,16:55:00,15.1001,15.1001,15.09,15.0901,1300,0
2017-04-05,17:00:00,15.0901,15.0901,15.05,15.05,8900,0
2017-04-05,17:05:00,15.0501,15.06,15.0401,15.0401,1100,0
2017-04-05,17:10:00,15.0521,15.0598,15.04,15.0401,4377,0
2017-04-05,17:15:00,15.0401,15.05,15.0401,15.0401,1832,0
2017-04-05,17:20:00,15.0401,15.05,15.04,15.0401,1800,0
2017-04-05,17:25:00,15.04,15.0432,15.04,15.0401,1021,0
2017-04-05,17:30:00,15.0401,15.0401,15.02,15.0201,4300,0
2017-04-05,17:35:00,15.0201,15.03,15.0101,15.0101,2800,0
2017-04-05,17:40:00,15.0101,15.03,15.01,15.0213,17528,0
2017-04-05,17:45:00,15.03,15.03,15.0201,15.0201,4600,0
2017-04-05,17:50:00,15.0201,15.03,15.0201,15.0201,3035,0
2017-04-05,17:55:00,15.0201,15.03,14.99,15,19471,0
2017-04-05,18:00:00,15,15.009,15,15.0008,3635,0
2017-04-05,18:05:00,15.0065,15.0065,15.0049,15.0049,1070,0
2017-04-05,18:10:00,14.9988,15.008,14.99,15,5525,0
2017-04-05,18:15:00,15.0065,15.0065,14.96,14.96,10466,0
2017-04-05,18:20:00,14.9675,14.98,14.9585,14.96,12300,0
2017-04-05,18:30:00,14.955,14.96,14.945,14.95,30131,0
2017-04-05,18:35:00,14.95,14.99,14.93,14.99,63741,0
2017-04-05,18:40:00,14.987,14.987,14.987,14.987,400,0
2017-04-05,19:05:00,14.96,14.96,14.94,14.9482,11522,0
2017-04-05,19:10:00,14.9497,14.9497,14.9497,14.9497,100,0
2017-04-05,19:15:00,14.94,14.94,14.94,14.94,100,0
2017-04-05,19:20:00,14.94,14.96,14.94,14.96,5400,0
2017-04-05,19:25:00,14.95,14.95,14.95,14.95,800,0
2017-04-05,19:30:00,14.94,14.9447,14.93,14.93,5386,0
2017-04-05,19:35:00,14.9367,14.96,14.9367,14.96,2550,0
2017-04-05,19:40:00,14.9485,14.9485,14.9485,14.9485,3150,0
2017-04-05,19:45:00,14.942,14.942,14.942,14.942,350,0
2017-04-05,19:50:00,14.9586,14.96,14.95,14.96,1300,0
2017-04-05,19:55:00,14.95,14.9559,14.95,14.95,3300,0
2017-04-05,20:00:00,14.95,14.95,14.87,14.95,20911,0
2017-04-05,20:10:00,14.93,14.945,14.93,14.945,1400,0
2017-04-05,20:15:00,14.93,14.93,14.93,14.93,100,0
2017-04-05,20:20:00,14.93,14.93,14.93,14.93,100,0
2017-04-05,20:25:00,14.93,14.945,14.93,14.93,850,0
2017-04-05,20:30:00,14.93,14.93,14.93,14.93,100,0
2017-04-05,20:35:00,14.9201,14.9368,14.92,14.92,13700,0
2017-04-05,20:40:00,14.9387,14.9387,14.9387,14.9387,200,0
2017-04-05,20:45:00,14.92,14.9422,14.92,14.9422,435,0
2017-04-05,20:50:00,14.92,14.9479,14.92,14.92,2266,0
2017-04-05,20:55:00,14.92,14.92,14.92,14.92,400,0
2017-04-05,21:00:00,14.92,14.92,14.92,14.92,200,0
2017-04-05,21:05:00,14.94,14.94,14.92,14.92,5151,0
2017-04-05,21:10:00,14.94,14.94,14.92,14.9353,1210,0
2017-04-05,21:15:00,14.93,14.9399,14.91,14.91,17726,0
2017-04-05,21:20:00,14.91,14.93,14.91,14.93,1850,0
2017-04-05,21:25:00,14.925,14.93,14.92,14.9298,900,0
2017-04-05,21:30:00,14.91,14.93,14.91,14.92,900,0
2017-04-05,21:35:00,14.915,14.93,14.915,14.925,9000,0
2017-04-05,21:40:00,14.92,14.92,14.91,14.92,3550,0
2017-04-05,21:45:00,14.92,14.92,14.91,14.9189,1477,0
2017-04-05,21:50:00,14.91,14.92,14.91,14.91,6897,0
2017-04-05,21:55:00,14.91,14.93,14.91,14.93,15725,0
2017-04-05,22:00:00,14.93,14.93,14.92,14.93,13871,0
2017-04-06,15:35:00,14.98,14.98,14.98,14.98,13384,0
2017-04-06,15:40:00,14.98,14.98,14.98,14.98,1100,0
2017-04-06,15:45:00,15,15,15,15,200,0
2017-04-06,15:50:00,14.98,14.98,14.96,14.968,6500,0
2017-04-06,16:00:00,14.98,14.99,14.98,14.99,600,0
2017-04-06,16:10:00,14.99,14.99,14.985,14.985,200,0
2017-04-06,16:15:00,14.9894,14.9894,14.98,14.98,1000,0
2017-04-06,16:25:00,14.96,14.9601,14.94,14.95,3700,0
2017-04-06,16:30:00,14.9483,14.9483,14.92,14.925,8731,0
2017-04-06,16:35:00,14.925,14.925,14.91,14.91,11561,0
