Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,15:35:00,42.35,42.35,42.35,42.35,124,0
2017-04-06,15:45:00,42.45,42.45,42.15,42.3,1400,0
2017-04-06,15:50:00,42,42.05,41.9,42.05,3313,0
2017-04-06,15:55:00,42.2,42.3,42.15,42.3,900,0
2017-04-06,16:00:00,42.35,42.35,42.05,42.05,2805,0
2017-04-06,16:05:00,42.05,42.05,41.9,42,4207,0
2017-04-06,16:10:00,42.1,42.1,41.95,41.95,1200,0
2017-04-06,16:15:00,41.95,42,41.7,41.85,5687,0
2017-04-06,16:20:00,41.75,41.9,41.6,41.6,2600,0
2017-04-06,16:25:00,41.6,41.7,41.5,41.5,4100,0
2017-04-06,16:30:00,41.5,41.6,41.455,41.55,3677,0
2017-04-06,16:35:00,41.55,41.65,41.5,41.555,5264,0
2017-04-06,16:40:00,41.7,41.7,41.7,41.7,300,0
2017-04-06,16:45:00,41.725,41.725,41.575,41.6,1200,0
2017-04-06,16:50:00,41.65,41.75,41.65,41.75,1400,0
2017-04-06,16:55:00,41.7,41.75,41.7,41.7,1700,0
2017-04-06,17:00:00,41.7,41.825,41.7,41.75,1900,0
2017-04-06,17:05:00,41.75,41.75,41.75,41.75,300,0
2017-04-06,17:10:00,41.8,41.975,41.8,41.95,3500,0
2017-04-06,17:15:00,41.95,41.95,41.95,41.95,1328,0
2017-04-06,17:20:00,41.95,41.95,41.95,41.95,600,0
2017-04-06,17:25:00,41.95,42.2,41.95,42.2,2128,0
2017-04-06,17:30:00,42.35,42.35,42.25,42.25,1900,0
2017-04-06,17:35:00,42.35,42.35,42.25,42.25,400,0
2017-04-06,17:40:00,42.15,42.2,42.1,42.1,700,0
2017-04-06,17:50:00,42.05,42.25,42.05,42.25,3200,0
2017-04-06,17:55:00,42.25,42.25,42.2,42.2,700,0
2017-04-06,18:00:00,42.245,42.3,42.245,42.3,927,0
2017-04-06,18:15:00,42.225,42.3,42.15,42.2,1100,0
2017-04-06,18:20:00,42.1,42.1,42.05,42.05,805,0
2017-04-06,18:25:00,42.05,42.1,42,42.05,1300,0
2017-04-06,18:35:00,42.1,42.1,42.05,42.1,1272,0
2017-04-06,18:40:00,42.05,42.05,41.95,41.95,700,0
2017-04-06,18:45:00,41.9,41.9,41.8,41.8,400,0
2017-04-06,18:50:00,41.75,41.75,41.75,41.75,200,0
2017-04-06,18:55:00,41.75,41.75,41.75,41.75,200,0
2017-04-06,19:00:00,41.85,41.9,41.85,41.9,900,0
2017-04-06,19:05:00,42,42,42,42,249,0
2017-04-06,19:15:00,41.95,41.95,41.95,41.95,100,0
2017-04-06,19:20:00,42.05,42.25,42.05,42.25,1200,0
2017-04-06,19:25:00,42.25,42.25,42.25,42.25,100,0
2017-04-06,19:30:00,42.3,42.3,42.3,42.3,200,0
2017-04-06,19:35:00,42.25,42.25,42.25,42.25,100,0
2017-04-06,19:40:00,42.3,42.3,42.15,42.15,1100,0
2017-04-06,19:45:00,42.1,42.125,42.1,42.125,300,0
2017-04-06,19:50:00,42.05,42.05,42.05,42.05,300,0
2017-04-06,19:55:00,42.1,42.15,42.1,42.1,400,0
2017-04-06,20:00:00,42.1,42.1,42.1,42.1,100,0
2017-04-06,20:05:00,42.125,42.125,42.1,42.1,200,0
2017-04-06,20:10:00,42.1,42.1,42.05,42.05,300,0
2017-04-06,20:15:00,42.1,42.1,42,42.1,1800,0
2017-04-06,20:20:00,42.1,42.2,42.1,42.2,600,0
2017-04-06,20:25:00,42.3,42.3,42.2,42.2,1057,0
2017-04-06,20:30:00,42.15,42.15,42,42,1100,0
2017-04-06,20:35:00,42,42,41.95,42,400,0
2017-04-06,20:40:00,41.95,42.15,41.95,42.15,1300,0
2017-04-06,20:45:00,42.1,42.25,42.1,42.25,1100,0
2017-04-06,20:50:00,42.275,42.275,42.15,42.15,1000,0
2017-04-06,20:55:00,42.05,42.05,42.05,42.05,600,0
2017-04-06,21:00:00,42,42.1,42,42,1700,0
2017-04-06,21:05:00,42.025,42.025,41.95,41.95,300,0
2017-04-06,21:10:00,41.95,42,41.95,42,1300,0
2017-04-06,21:15:00,41.975,41.975,41.975,41.975,200,0
2017-04-06,21:20:00,42.05,42.05,42.05,42.05,400,0
2017-04-06,21:25:00,42.15,42.3,42.1,42.15,2838,0
2017-04-06,21:30:00,42.2,42.2,42.2,42.2,200,0
2017-04-06,21:35:00,42.05,42.1,41.95,41.95,2400,0
2017-04-06,21:40:00,41.95,42.1,41.95,42.1,2115,0
2017-04-06,21:45:00,42.1,42.1,42.05,42.05,200,0
2017-04-06,21:50:00,42.05,42.05,42,42,997,0
2017-04-06,21:55:00,42.05,42.15,42.05,42.1,4366,0
2017-04-06,22:00:00,42.1,42.2,42,42.2,3271,0
2017-04-07,15:35:00,41.95,41.95,41.95,41.95,1308,0
2017-04-07,15:40:00,42,42.5,42,42.5,2000,0
2017-04-07,15:45:00,42.5,42.5,42.05,42.05,700,0
2017-04-07,15:50:00,42.2,42.2,42.15,42.15,200,0
2017-04-07,15:55:00,42.05,42.1,42,42.1,300,0
2017-04-07,16:00:00,41.85,41.875,41.75,41.75,1000,0
2017-04-07,16:05:00,41.75,41.8,41.7,41.7,4300,0
2017-04-07,16:10:00,41.7,41.85,41.7,41.7,4405,0
2017-04-07,16:15:00,41.7,41.7,41.7,41.7,700,0
2017-04-07,16:20:00,41.65,41.7,41.65,41.7,2000,0
2017-04-07,16:25:00,41.75,41.9,41.7,41.9,2781,0
2017-04-07,16:30:00,41.85,41.95,41.75,41.75,2200,0
2017-04-07,16:35:00,41.75,41.75,41.75,41.75,500,0
2017-04-07,16:40:00,41.75,42,41.7,41.95,3970,0
2017-04-07,16:45:00,41.9,41.9,41.8,41.8,2800,0
2017-04-07,16:50:00,41.75,41.8,41.65,41.7,800,0
2017-04-07,16:55:00,41.65,41.65,41.6,41.65,1199,0
2017-04-07,17:00:00,41.65,41.65,41.65,41.65,200,0
2017-04-07,17:15:00,41.65,41.65,41.65,41.65,200,0
2017-04-07,17:20:00,41.65,41.65,41.65,41.65,1150,0
2017-04-07,17:25:00,41.65,41.8,41.6,41.8,1500,0
2017-04-07,17:30:00,41.8,41.85,41.775,41.85,400,0
2017-04-07,17:35:00,41.7,41.75,41.6,41.7,2100,0
2017-04-07,17:40:00,41.675,41.75,41.675,41.75,800,0
2017-04-07,17:45:00,41.7,41.75,41.7,41.7,300,0
2017-04-07,17:50:00,41.75,41.75,41.65,41.7,3437,0
2017-04-07,17:55:00,41.675,41.675,41.675,41.675,600,0
2017-04-07,18:00:00,41.675,41.7,41.65,41.7,1300,0
2017-04-07,18:05:00,41.75,41.85,41.7,41.85,500,0
2017-04-07,18:10:00,41.8,41.8,41.8,41.8,100,0
2017-04-07,18:15:00,41.85,41.85,41.85,41.85,200,0
2017-04-07,18:25:00,41.9,41.9,41.9,41.9,100,0
2017-04-07,18:30:00,41.9,41.95,41.85,41.85,2229,0
2017-04-07,18:35:00,41.9,41.95,41.9,41.95,200,0
2017-04-07,18:40:00,41.9,41.9,41.9,41.9,300,0
2017-04-07,18:45:00,41.9,41.9,41.9,41.9,100,0
2017-04-07,18:50:00,41.8,41.9,41.8,41.85,300,0
2017-04-07,18:55:00,41.8,41.9,41.8,41.85,900,0
2017-04-07,19:00:00,41.95,42,41.925,42,900,0
2017-04-07,19:05:00,42,42,42,42,300,0
2017-04-07,19:10:00,42.05,42.05,42.05,42.05,100,0
2017-04-07,19:15:00,42.05,42.15,41.95,41.95,3906,0
2017-04-07,19:20:00,42,42,41.95,41.95,200,0
2017-04-07,19:25:00,42,42,42,42,400,0
2017-04-07,19:30:00,42,42,41.95,41.95,400,0
2017-04-07,19:35:00,41.95,42.1,41.95,42.1,16479,0
2017-04-07,19:40:00,42.1,42.1,42.1,42.1,100,0
2017-04-07,19:45:00,42.1,42.1,42.1,42.1,100,0
2017-04-07,19:50:00,42.05,42.05,42,42,300,0
2017-04-07,20:00:00,42.05,42.05,42.05,42.05,200,0
2017-04-07,20:05:00,42.025,42.05,42.025,42.05,300,0
2017-04-07,20:10:00,42.05,42.05,42.05,42.05,100,0
2017-04-07,20:15:00,42.1,42.1,42.025,42.025,300,0
2017-04-07,20:20:00,42.1,42.1,42.1,42.1,400,0
