Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-08,16:55:00,26.6,26.66,26.6,26.65,1000,0
2015-05-08,17:00:00,26.65,26.66,26.65,26.65,2000,0
2015-05-08,17:30:00,26.65,26.65,26.65,26.65,1100,0
2015-05-08,18:45:00,26.75,26.75,26.75,26.75,10000,0
2015-05-08,20:05:00,26.68,26.68,26.68,26.68,3300,0
2015-05-08,22:00:00,26.65,27.01,26.65,27.01,1100,0
2015-05-11,16:30:00,26.85,26.85,26.85,26.85,20000,0
2015-05-11,17:05:00,26.65,26.6501,26.65,26.65,700,0
2015-05-11,20:45:00,26.7,26.7,26.7,26.7,400,0
2015-05-11,21:20:00,26.7,26.7,26.7,26.7,200,0
2015-05-11,21:40:00,26.65,26.65,26.65,26.65,1948,0
2015-05-11,21:50:00,26.7,26.7,26.7,26.7,100,0
2015-05-12,15:35:00,26.65,26.65,26.65,26.65,120,0
2015-05-12,16:40:00,26.6,26.6,26.6,26.6,900,0
2015-05-12,17:55:00,26.62,26.62,26.62,26.62,300,0
2015-05-12,19:20:00,26.65,26.65,26.63,26.63,500,0
2015-05-12,19:25:00,26.62,26.63,26.62,26.62,4500,0
2015-05-12,21:10:00,26.67,26.67,26.67,26.67,300,0
2015-05-13,21:45:00,26.62,26.62,26.62,26.62,2000,0
2015-05-14,16:55:00,26.65,26.65,26.65,26.65,300,0
2015-05-14,17:15:00,26.65,26.65,26.65,26.65,2200,0
2015-05-14,17:20:00,26.65,26.65,26.65,26.65,5800,0
2015-05-14,18:25:00,26.65,26.66,26.65,26.65,3647,0
2015-05-15,18:25:00,26.65,26.6903,26.65,26.6903,600,0
2015-05-15,20:05:00,26.71,26.77,26.67,26.71,800,0
2015-05-15,21:45:00,26.68,26.68,26.68,26.68,23972,0
2015-05-15,22:00:00,26.65,26.65,26.65,26.65,399,0
2015-05-18,18:15:00,26.7,26.7,26.7,26.7,10000,0
2015-05-18,19:15:00,26.95,26.95,26.95,26.95,800,0
2015-05-19,17:20:00,26.88,26.88,26.73,26.75,300,0
2015-05-19,17:25:00,26.52,26.69,26.52,26.69,200,0
2015-05-19,17:30:00,26.67,26.67,26.67,26.67,1300,0
2015-05-19,17:35:00,26.75,26.76,26.75,26.76,300,0
2015-05-19,17:50:00,26.78,26.78,26.78,26.78,1300,0
2015-05-19,17:55:00,26.72,26.73,26.72,26.73,900,0
2015-05-19,18:00:00,26.73,26.73,26.73,26.73,500,0
2015-05-19,18:05:00,26.88,26.88,26.73,26.73,1500,0
2015-05-19,18:10:00,26.53,26.65,26.53,26.65,1000,0
2015-05-19,18:15:00,26.65,26.83,26.65,26.82,2200,0
2015-05-19,18:20:00,26.72,26.72,26.72,26.72,400,0
2015-05-19,18:35:00,26.52,26.63,26.52,26.63,1500,0
2015-05-19,18:40:00,26.69,26.69,26.69,26.69,200,0
2015-05-19,18:50:00,26.79,26.79,26.67,26.67,1600,0
2015-05-19,18:55:00,26.7,26.7,26.7,26.7,300,0
2015-05-19,19:10:00,26.62,26.62,26.62,26.62,500,0
2015-05-19,19:15:00,26.62,26.83,26.62,26.83,1500,0
2015-05-19,19:25:00,26.89,26.89,26.77,26.77,1500,0
2015-05-19,19:30:00,26.7,26.7,26.7,26.7,200,0
2015-05-19,19:35:00,26.72,26.7299,26.66,26.66,300,0
2015-05-19,20:05:00,26.59,26.63,26.59,26.63,1700,0
2015-05-19,20:10:00,26.69,26.88,26.69,26.88,200,0
2015-05-19,20:15:00,26.71,26.71,26.67,26.68,2191,0
2015-05-20,16:15:00,26.86,26.86,26.64,26.65,600,0
2015-05-20,16:20:00,26.63,26.63,26.54,26.62,1000,0
2015-05-20,16:25:00,26.62,26.77,26.62,26.77,1200,0
2015-05-20,16:30:00,26.84,26.84,26.84,26.84,100,0
2015-05-20,16:55:00,26.76,26.77,26.71,26.71,1500,0
2015-05-20,17:00:00,26.71,26.82,26.71,26.82,900,0
2015-05-20,17:05:00,26.72,26.72,26.72,26.72,100,0
2015-05-21,21:35:00,26.53,26.53,26.51,26.51,300,0
2015-05-22,17:00:00,26.5,26.55,26.5,26.55,423,0
2015-05-26,17:20:00,26.82,26.82,26.8,26.8,400,0
2015-05-27,20:10:00,26.7,26.7,26.7,26.7,202,0
2015-05-28,19:30:00,26.55,26.55,26.54,26.5401,1000,0
2015-05-28,20:00:00,26.54,26.54,26.54,26.54,100,0
2015-05-28,21:05:00,26.54,26.54,26.52,26.52,200,0
2015-05-28,21:55:00,26.52,26.52,26.52,26.52,100,0
2015-05-29,16:05:00,26.53,26.53,26.52,26.52,253,0
2015-06-01,18:45:00,26.52,26.52,26.52,26.52,300,0
2015-06-01,20:20:00,26.55,26.55,26.5,26.5,400,0
2015-06-03,20:50:00,26.5,26.5,26.5,26.5,100,0
2015-06-04,17:40:00,26.47,26.5,26.47,26.5,501,0
2015-06-04,17:45:00,26.5,26.5,26.5,26.5,13555,0
2015-06-04,19:20:00,26.57,26.57,26.57,26.57,14000,0
2015-06-04,20:00:00,26.5001,26.51,26.5001,26.51,200,0
2015-06-05,15:35:00,26.5,26.5,26.5,26.5,100,0
2015-06-05,16:35:00,26.46,26.46,26.45,26.45,200,0
2015-06-08,19:35:00,26.73,26.73,26.73,26.73,100,0
2015-06-08,19:50:00,26.73,26.73,26.73,26.73,300,0
2015-06-08,19:55:00,26.73,26.73,26.73,26.73,100,0
2015-06-08,20:00:00,26.73,26.73,26.73,26.73,300,0
2015-06-08,20:30:00,26.7301,26.7301,26.7301,26.7301,300,0
2015-06-08,21:00:00,26.73,26.73,26.73,26.73,4600,0
2015-06-08,21:20:00,26.73,26.7301,26.73,26.7301,5000,0
2015-06-08,21:35:00,26.73,26.73,26.73,26.73,300,0
2015-06-09,16:55:00,26.841,26.841,26.7695,26.7695,800,0
2015-06-09,19:15:00,26.65,26.65,26.65,26.65,2000,0
2015-06-09,20:00:00,26.65,26.65,26.65,26.65,2000,0
2015-06-09,20:30:00,26.7,26.7,26.7,26.7,4006,0
2015-06-10,18:20:00,26.93,26.93,26.93,26.93,250,0
2015-06-10,20:25:00,26.5142,26.5142,26.5142,26.5142,200,0
2015-06-10,20:55:00,26.5,26.5492,26.5,26.5492,1000,0
2015-06-11,16:10:00,26.95,26.95,26.95,26.95,100,0
2015-06-11,16:50:00,26.9,26.9,26.9,26.9,600,0
2015-06-11,21:15:00,26.85,26.85,26.85,26.85,400,0
2015-06-12,16:10:00,26.91,26.91,26.91,26.91,100,0
2015-06-15,16:10:00,26.82,26.82,26.82,26.82,100,0
2015-06-15,19:45:00,26.82,26.82,26.82,26.82,100,0
2015-06-16,19:50:00,26.83,26.83,26.83,26.83,100,0
2015-06-16,21:30:00,26.8299,26.8299,26.8299,26.8299,100,0
2015-06-18,15:35:00,26.16,26.16,26.16,26.16,107,0
2015-06-18,21:25:00,26.2601,26.2601,26.2601,26.2601,277,0
2015-06-18,21:50:00,26.75,26.75,26.75,26.75,100,0
2015-06-24,20:20:00,26.21,26.21,26.17,26.17,1000,0
2015-06-24,20:25:00,26.2,26.2,26.1701,26.1701,1108,0
2015-06-24,20:55:00,26.25,26.25,26.25,26.25,200,0
2015-06-25,15:35:00,25.94,25.94,25.94,25.94,160,0
2015-06-25,16:20:00,26.15,26.15,26.15,26.15,100,0
2015-06-25,20:40:00,26.2891,26.2891,26.2891,26.2891,300,0
2015-06-29,17:45:00,26.11,26.12,26.11,26.12,700,0
2015-06-29,17:50:00,25.9,25.9,25.9,25.9,100,0
2015-06-29,18:10:00,25.9,25.9,25.9,25.9,218,0
2015-06-29,20:35:00,26.4,26.4,26.4,26.4,100,0
2015-06-30,15:35:00,26.15,26.15,26.15,26.15,300,0
2015-06-30,15:45:00,26.15,26.15,26.15,26.15,200,0
2015-07-01,16:30:00,26.15,26.15,26.15,26.15,3300,0
2015-07-01,20:10:00,26.2936,26.2936,26.2936,26.2936,600,0
2015-07-02,19:45:00,26.16,26.16,26.16,26.16,100,0
2015-07-02,20:35:00,26.1601,26.1601,26.1601,26.1601,100,0
2015-07-09,17:55:00,26.17,26.18,26.17,26.18,582,0
