Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-09,18:25:00,19.34,19.987,18.943,18.943,10253,0
2017-02-09,18:30:00,19.837,19.887,19.837,19.887,201,0
2017-02-09,18:35:00,20.086,20.086,19.39,19.39,805,0
2017-02-09,20:10:00,19.499,19.499,19.499,19.499,503,0
2017-02-09,20:20:00,19.44,19.589,19.44,19.539,4419,0
2017-02-09,21:30:00,19.524,19.688,19.524,19.688,603,0
2017-02-09,22:00:00,18.893,19.39,18.893,19.39,2279,0
2017-02-10,17:05:00,19.39,19.837,19.39,19.44,503,0
2017-02-10,18:05:00,19.539,19.688,19.539,19.688,603,0
2017-02-10,19:15:00,19.34,19.34,19.34,19.34,101,0
2017-02-10,20:55:00,19.39,19.39,19.39,19.39,101,0
2017-02-10,21:00:00,19.353,19.353,19.353,19.353,101,0
2017-02-10,21:55:00,19.291,19.291,19.291,19.291,201,0
2017-02-13,15:35:00,19.39,20.185,19.39,19.887,2444,0
2017-02-13,15:40:00,19.688,19.688,19.688,19.688,101,0
2017-02-13,15:45:00,19.688,19.688,19.39,19.39,1509,0
2017-02-13,16:15:00,19.837,19.837,19.39,19.39,1106,0
2017-02-13,16:25:00,19.738,19.738,19.738,19.738,101,0
2017-02-13,16:35:00,19.44,19.459,19.191,19.21,2816,0
2017-02-13,17:00:00,19.39,19.39,19.39,19.39,101,0
2017-02-13,17:15:00,19.887,19.887,19.887,19.887,389,0
2017-02-13,17:30:00,19.39,19.39,19.39,19.39,101,0
2017-02-13,17:35:00,19.679,19.679,19.679,19.679,151,0
2017-02-13,18:05:00,19.639,19.639,19.291,19.291,402,0
2017-02-13,18:25:00,19.44,19.44,19.44,19.44,302,0
2017-02-13,18:40:00,19.44,19.44,19.44,19.44,302,0
2017-02-13,19:10:00,19.44,19.44,19.44,19.44,101,0
2017-02-13,19:20:00,19.44,19.44,19.44,19.44,1004,0
2017-02-13,19:55:00,19.44,19.44,19.44,19.44,302,0
2017-02-13,20:20:00,19.44,19.44,19.44,19.44,101,0
2017-02-13,21:20:00,19.688,19.688,19.688,19.688,503,0
2017-02-13,21:25:00,19.291,19.291,19.291,19.291,101,0
2017-02-13,21:30:00,19.241,19.39,19.241,19.39,1106,0
2017-02-13,21:35:00,19.332,19.34,19.332,19.34,201,0
2017-02-13,21:40:00,19.365,19.439,19.365,19.39,503,0
