Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-01,15:35:00,3.11,3.11,3.11,3.11,2250,0
2017-02-01,15:55:00,3.1,3.1,3.1,3.1,100,0
2017-02-01,16:10:00,3.1,3.1,3.1,3.1,400,0
2017-02-01,16:25:00,3.1,3.1,3.1,3.1,400,0
2017-02-01,16:50:00,3.1,3.1,3.0916,3.0916,236,0
2017-02-01,17:40:00,3.0901,3.0901,3.0901,3.0901,1344,0
2017-02-01,17:45:00,3.08,3.08,3.08,3.08,137,0
2017-02-01,17:55:00,3.08,3.08,3.08,3.08,100,0
2017-02-01,18:05:00,3.095,3.1,3.08,3.08,3300,0
2017-02-01,18:10:00,3.08,3.09,3.065,3.065,800,0
2017-02-01,18:20:00,3.09,3.09,3.09,3.09,100,0
2017-02-01,18:55:00,3.09,3.09,3.04,3.09,500,0
2017-02-01,19:05:00,3.09,3.09,3.09,3.09,100,0
2017-02-01,19:20:00,3.08,3.08,3.08,3.08,100,0
2017-02-01,19:30:00,3.0456,3.0456,3.0456,3.0456,2302,0
2017-02-01,19:35:00,3.05,3.05,3.05,3.05,100,0
2017-02-01,19:40:00,3.04,3.04,3.04,3.04,100,0
2017-02-01,19:45:00,3.05,3.05,3.05,3.05,100,0
2017-02-01,20:10:00,3.05,3.05,3.05,3.05,100,0
2017-02-01,20:15:00,3.04,3.04,3.04,3.04,100,0
2017-02-01,20:20:00,3.08,3.08,3.04,3.04,1450,0
2017-02-01,20:30:00,3.0552,3.0552,3.04,3.04,1485,0
2017-02-01,20:35:00,3.041,3.041,3.041,3.041,4000,0
2017-02-01,20:40:00,3.05,3.05,3.05,3.05,100,0
2017-02-01,20:50:00,3.05,3.05,3.05,3.05,200,0
2017-02-01,20:55:00,3.041,3.041,3.04,3.04,2547,0
2017-02-01,21:10:00,3.0476,3.0476,3.04,3.04,2600,0
2017-02-01,21:15:00,3.06,3.06,3.06,3.06,100,0
2017-02-01,21:25:00,3.04,3.04,3.04,3.04,2062,0
2017-02-01,21:30:00,3.08,3.08,3.08,3.08,100,0
2017-02-01,21:40:00,3.08,3.08,3.08,3.08,100,0
2017-02-01,21:55:00,3.07,3.07,3.04,3.04,300,0
2017-02-01,22:00:00,3.05,3.05,3.03,3.04,5700,0
2017-02-02,15:35:00,3.08,3.08,3.08,3.08,2006,0
2017-02-02,15:40:00,3.0756,3.0756,3.0756,3.0756,2000,0
2017-02-02,15:45:00,3.1,3.1,3.09,3.09,200,0
2017-02-02,16:00:00,3.08,3.08,3.08,3.08,100,0
2017-02-02,16:15:00,3.0469,3.0469,3.0469,3.0469,224,0
2017-02-02,16:20:00,3.06,3.065,3.06,3.065,200,0
2017-02-02,16:45:00,3.0648,3.0648,3.0648,3.0648,2000,0
2017-02-02,17:50:00,3.08,3.08,3.08,3.08,100,0
2017-02-02,18:50:00,3.0744,3.0744,3.07,3.07,2100,0
2017-02-02,18:55:00,3.08,3.08,3.08,3.08,1300,0
2017-02-02,19:10:00,3.081,3.081,3.081,3.081,400,0
2017-02-02,19:35:00,3.08,3.08,3.08,3.08,1000,0
2017-02-02,20:00:00,3.081,3.081,3.08,3.08,1100,0
2017-02-02,20:40:00,3.08,3.08,3.05,3.07,5400,0
