Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,77.04,77.04,77.04,77.04,2947,0
2017-04-07,15:40:00,77.49,77.49,77.43,77.49,1100,0
2017-04-07,15:45:00,77.9,77.9,77.9,77.9,100,0
2017-04-07,15:50:00,77.26,77.76,77.26,77.46,900,0
2017-04-07,15:55:00,77.45,77.45,77.33,77.33,1500,0
2017-04-07,16:00:00,77.29,77.29,77.1,77.1,500,0
2017-04-07,16:05:00,77.01,77.28,77.01,77.28,2920,0
2017-04-07,16:10:00,77.28,77.38,77.18,77.38,800,0
2017-04-07,16:15:00,77.34,77.52,77.34,77.45,1319,0
2017-04-07,16:20:00,77.34,77.52,77.34,77.52,600,0
2017-04-07,16:25:00,77.38,77.38,77.38,77.38,300,0
2017-04-07,16:30:00,77.55,77.55,77.55,77.55,100,0
2017-04-07,16:35:00,77.41,77.47,77.25,77.47,2300,0
2017-04-07,16:40:00,77.54,77.77,77.46,77.77,1800,0
2017-04-07,16:45:00,77.73,77.79,77.59,77.605,2359,0
2017-04-07,16:50:00,77.52,77.525,77.48,77.48,887,0
2017-04-07,16:55:00,77.42,77.45,77.41,77.42,2399,0
2017-04-07,17:00:00,77.45,77.58,77.45,77.58,1350,0
2017-04-07,17:05:00,77.6,77.68,77.51,77.51,2000,0
2017-04-07,17:10:00,77.56,77.56,77.42,77.5,700,0
2017-04-07,17:15:00,77.36,77.38,77.28,77.38,300,0
2017-04-07,17:20:00,77.39,77.54,77.35,77.465,1000,0
2017-04-07,17:25:00,77.5,77.57,77.485,77.52,900,0
2017-04-07,17:30:00,77.59,77.59,77.52,77.53,500,0
2017-04-07,17:35:00,77.47,77.51,77.43,77.48,3200,0
2017-04-07,17:40:00,77.46,77.54,77.45,77.54,600,0
2017-04-07,17:45:00,77.53,77.55,77.49,77.52,722,0
2017-04-07,17:50:00,77.6,77.6,77.6,77.6,100,0
2017-04-07,17:55:00,77.62,77.65,77.59,77.615,1300,0
2017-04-07,18:00:00,77.64,77.64,77.64,77.64,200,0
2017-04-07,18:05:00,77.7,77.89,77.7,77.89,900,0
2017-04-07,18:10:00,77.88,77.96,77.86,77.92,1100,0
2017-04-07,18:15:00,77.85,77.92,77.83,77.92,800,0
2017-04-07,18:20:00,78.02,78.02,78.02,78.02,100,0
2017-04-07,18:25:00,77.925,77.97,77.925,77.97,300,0
2017-04-07,18:30:00,77.97,78.04,77.86,77.935,3337,0
2017-04-07,18:35:00,77.98,78.04,77.87,78.04,400,0
2017-04-07,18:40:00,77.965,77.965,77.79,77.85,1300,0
2017-04-07,18:45:00,77.82,77.91,77.82,77.91,500,0
2017-04-07,18:50:00,77.96,78.06,77.94,78.06,500,0
2017-04-07,18:55:00,78,78.07,78,78.07,362,0
2017-04-07,19:00:00,77.99,78.07,77.96,77.96,1400,0
2017-04-07,19:05:00,78.051,78.051,77.95,78.02,700,0
2017-04-07,19:10:00,77.98,77.99,77.98,77.99,200,0
2017-04-07,19:15:00,78.057,78.1,77.97,77.97,1700,0
2017-04-07,19:20:00,78.06,78.1,78.06,78.091,400,0
2017-04-07,19:25:00,78.08,78.08,78.075,78.075,200,0
2017-04-07,19:30:00,78.01,78.02,77.92,78.02,1442,0
2017-04-07,19:35:00,78.0659,78.13,77.99,77.99,1470,0
2017-04-07,19:40:00,78.02,78.02,77.79,77.83,800,0
2017-04-07,19:45:00,77.79,77.8,77.79,77.8,400,0
2017-04-07,19:50:00,77.832,77.909,77.832,77.909,650,0
2017-04-07,19:55:00,77.83,77.89,77.7576,77.7576,1072,0
2017-04-07,20:00:00,77.85,77.879,77.77,77.83,700,0
2017-04-07,20:05:00,77.84,77.94,77.84,77.94,200,0
2017-04-07,20:10:00,77.94,77.94,77.94,77.94,100,0
2017-04-07,20:15:00,77.85,77.95,77.85,77.9,1114,0
2017-04-07,20:20:00,77.91,77.934,77.83,77.83,700,0
2017-04-07,20:25:00,77.72,77.8,77.72,77.8,400,0
2017-04-07,20:30:00,77.84,77.84,77.621,77.621,1200,0
2017-04-07,20:35:00,77.61,77.61,77.57,77.57,200,0
2017-04-07,20:40:00,77.65,77.65,77.59,77.59,1500,0
2017-04-07,20:45:00,77.56,77.581,77.55,77.581,600,0
2017-04-07,20:50:00,77.48,77.58,77.44,77.56,984,0
2017-04-07,20:55:00,77.62,77.62,77.46,77.46,800,0
2017-04-07,21:00:00,77.514,77.609,77.5,77.5,616,0
2017-04-07,21:05:00,77.42,77.55,77.42,77.55,800,0
2017-04-07,21:10:00,77.611,77.611,77.45,77.45,2089,0
2017-04-07,21:15:00,77.48,77.58,77.48,77.58,300,0
2017-04-07,21:20:00,77.61,77.61,77.5201,77.5201,500,0
2017-04-07,21:25:00,77.57,77.715,77.57,77.715,400,0
2017-04-07,21:30:00,77.67,77.75,77.59,77.6,1131,0
2017-04-07,21:35:00,77.58,77.65,77.54,77.65,1800,0
2017-04-07,21:40:00,77.66,77.7,77.66,77.7,529,0
2017-04-07,21:45:00,77.73,77.76,77.71,77.73,2275,0
2017-04-07,21:50:00,77.73,77.73,77.68,77.71,1942,0
2017-04-07,21:55:00,77.7,77.79,77.7,77.78,3037,0
2017-04-07,22:00:00,77.77,77.87,77.63,77.66,13751,0
2017-04-10,15:35:00,77.6,78.11,77.6,78.11,714,0
2017-04-10,15:45:00,78.05,78.15,78.05,78.15,300,0
2017-04-10,15:50:00,78.14,78.23,78.05,78.05,3970,0
2017-04-10,15:55:00,78.28,78.28,78.28,78.28,100,0
2017-04-10,16:00:00,78.415,78.43,78.4,78.43,1100,0
2017-04-10,16:05:00,78.43,78.52,78.29,78.52,2000,0
2017-04-10,16:10:00,78.54,78.58,78.54,78.58,500,0
2017-04-10,16:15:00,78.51,78.51,78.43,78.49,800,0
2017-04-10,16:20:00,78.41,78.44,78.35,78.44,400,0
2017-04-10,16:25:00,78.48,78.48,78.45,78.46,900,0
2017-04-10,16:30:00,78.44,78.49,78.39,78.45,1200,0
2017-04-10,16:35:00,78.475,78.63,78.475,78.49,1900,0
2017-04-10,16:40:00,78.45,78.45,78.3,78.42,2468,0
2017-04-10,16:55:00,78.17,78.21,78.11,78.14,800,0
2017-04-10,17:00:00,78.18,78.18,78.03,78.03,1000,0
2017-04-10,17:05:00,78.02,78.07,78.02,78.04,700,0
2017-04-10,17:10:00,77.99,77.99,77.97,77.97,700,0
2017-04-10,17:15:00,78.04,78.1897,78.04,78.1897,300,0
2017-04-10,17:20:00,78.25,78.26,78.25,78.26,300,0
2017-04-10,17:25:00,78.2727,78.29,78.23,78.29,322,0
2017-04-10,17:30:00,78.29,78.315,78.08,78.08,2100,0
2017-04-10,17:35:00,78.07,78.07,77.77,77.77,900,0
2017-04-10,17:40:00,77.61,77.69,77.49,77.69,2100,0
2017-04-10,17:45:00,77.66,77.66,77.54,77.63,1200,0
2017-04-10,17:50:00,77.5,77.5,77.47,77.47,700,0
2017-04-10,17:55:00,77.58,77.675,77.58,77.65,1000,0
2017-04-10,18:00:00,77.58,77.65,77.58,77.65,300,0
2017-04-10,18:10:00,77.55,77.55,77.42,77.42,1000,0
2017-04-10,18:15:00,77.42,77.42,77.12,77.12,1200,0
2017-04-10,18:25:00,77.21,77.27,77.21,77.25,999,0
2017-04-10,18:30:00,77.2,77.38,77.19,77.38,500,0
2017-04-10,18:35:00,77.37,77.43,77.37,77.43,246,0
2017-04-10,18:40:00,77.46,77.46,77.46,77.46,100,0
2017-04-10,18:45:00,77.58,77.65,77.57,77.63,400,0
2017-04-10,18:50:00,77.665,77.665,77.665,77.665,200,0
2017-04-10,18:55:00,77.88,77.94,77.88,77.905,500,0
2017-04-10,19:00:00,77.82,77.84,77.77,77.77,1000,0
2017-04-10,19:05:00,77.75,77.78,77.75,77.78,200,0
2017-04-10,19:10:00,77.77,77.8,77.75,77.75,2105,0
2017-04-10,19:15:00,77.78,77.8,77.77,77.8,400,0
2017-04-10,19:20:00,77.855,77.855,77.8,77.825,300,0
2017-04-10,19:30:00,77.83,77.83,77.78,77.79,900,0
2017-04-10,19:35:00,77.82,77.83,77.78,77.83,1300,0
2017-04-10,19:40:00,77.85,78.115,77.85,78.055,1300,0
2017-04-10,19:45:00,78.05,78.05,77.92,77.92,1200,0
2017-04-10,19:50:00,77.92,77.92,77.825,77.825,500,0
2017-04-10,19:55:00,77.79,77.79,77.79,77.79,100,0
2017-04-10,20:05:00,77.87,77.87,77.64,77.64,1900,0
2017-04-10,20:10:00,77.51,77.623,77.48,77.623,5627,0
