Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,75.65,76.1,75.4,75.95,4684,0
2017-04-10,15:40:00,75.76,75.9,75.7,75.7,682,0
2017-04-10,15:45:00,75.725,75.9,75.5501,75.7,1119,0
2017-04-10,15:50:00,75.6,75.75,75.55,75.75,28400,0
2017-04-10,15:55:00,75.85,76.1,75.8,76,4600,0
2017-04-10,16:00:00,75.8,75.85,75.724,75.8,1700,0
2017-04-10,16:05:00,75.95,76,75.7,75.85,4891,0
2017-04-10,16:10:00,75.85,75.95,75.7,75.7,6560,0
2017-04-10,16:15:00,75.7635,75.8,75.55,75.8,1514,0
2017-04-10,16:20:00,75.75,75.95,75.725,75.85,2830,0
2017-04-10,16:25:00,75.8,75.9,75.75,75.75,6301,0
2017-04-10,16:30:00,75.75,75.85,75.75,75.8,300,0
2017-04-10,16:35:00,75.85,75.85,75.75,75.75,2100,0
2017-04-10,16:40:00,75.65,75.75,75.55,75.6,2400,0
2017-04-10,16:45:00,75.5,75.65,75.45,75.65,3200,0
2017-04-10,16:50:00,75.65,75.65,75.5,75.5,1600,0
2017-04-10,16:55:00,75.45,75.5,75.35,75.5,18079,0
2017-04-10,17:00:00,75.45,75.5,75.2,75.35,7801,0
2017-04-10,17:05:00,75.3,75.4507,75.1,75.25,6179,0
2017-04-10,17:10:00,75.25,75.25,75,75.1175,4616,0
2017-04-10,17:15:00,75.15,75.25,75.1,75.25,5700,0
2017-04-10,17:20:00,75.2,75.242,75.05,75.05,1735,0
2017-04-10,17:25:00,75.15,75.25,75.1,75.2,1800,0
2017-04-10,17:30:00,75.15,75.15,75.01,75.15,1400,0
2017-04-10,17:35:00,75.05,75.05,74.75,74.9,10944,0
2017-04-10,17:40:00,74.9,75,74.8,75,5059,0
2017-04-10,17:45:00,74.95,75.05,74.85,75,2400,0
2017-04-10,17:50:00,75,75.25,74.95,75.15,19269,0
2017-04-10,17:55:00,75.05,75.2,74.85,75,22678,0
2017-04-10,18:00:00,75.1,75.15,75.05,75.055,2985,0
2017-04-10,18:05:00,75.15,75.15,75.15,75.15,400,0
2017-04-10,18:10:00,75.05,75.25,75.05,75.2,3357,0
2017-04-10,18:15:00,75.25,75.25,74.9,75,5400,0
2017-04-10,18:20:00,74.95,75.2,74.95,75.05,21018,0
2017-04-10,18:25:00,75.05,75.15,74.85,74.9,11900,0
2017-04-10,18:30:00,74.9,75,74.85,74.875,8391,0
2017-04-10,18:35:00,74.875,75.25,74.875,75.25,3810,0
2017-04-10,18:40:00,75.15,75.35,75.1,75.35,6250,0
2017-04-10,18:45:00,75.4,75.45,75.3,75.45,2600,0
2017-04-10,18:50:00,75.45,75.55,75.45,75.55,1400,0
2017-04-10,18:55:00,75.55,75.75,75.55,75.7,2500,0
2017-04-10,19:00:00,75.8,75.8,75.65,75.7,1000,0
2017-04-10,19:05:00,75.75,75.75,75.65,75.65,1079,0
2017-04-10,19:10:00,75.675,75.75,75.65,75.675,4400,0
2017-04-10,19:15:00,75.7,75.75,75.6,75.65,8518,0
2017-04-10,19:20:00,75.7,75.7,75.55,75.65,2092,0
2017-04-10,19:25:00,75.65,75.7,75.5,75.55,7980,0
2017-04-10,19:30:00,75.5,75.55,75.45,75.45,1416,0
2017-04-10,19:35:00,75.45,75.65,75.45,75.55,1100,0
2017-04-10,19:40:00,75.65,75.9,75.65,75.9,9600,0
2017-04-10,19:45:00,75.875,75.9,75.8,75.85,5012,0
2017-04-10,19:50:00,75.8,75.8,75.75,75.75,1300,0
2017-04-10,19:55:00,75.8,75.8,75.6,75.65,2200,0
2017-04-10,20:00:00,75.7,75.825,75.7,75.8,850,0
2017-04-10,20:05:00,75.8,75.8,75.5,75.5,1800,0
2017-04-10,20:10:00,75.5,75.65,75.5,75.55,1700,0
2017-04-10,20:15:00,75.55,75.65,75.525,75.625,1800,0
2017-04-10,20:20:00,75.7,75.7,75.5,75.6,1900,0
2017-04-10,20:25:00,75.55,75.65,75.5,75.65,3499,0
2017-04-10,20:30:00,75.6499,75.65,75.4001,75.4001,2700,0
2017-04-10,20:35:00,75.4001,75.55,75.4001,75.45,3216,0
2017-04-10,20:40:00,75.4501,75.5,75.3501,75.3501,2200,0
2017-04-10,20:45:00,75.35,75.5,75.35,75.5,3500,0
2017-04-10,20:50:00,75.6,75.75,75.6,75.65,1323,0
2017-04-10,20:55:00,75.6501,75.75,75.6,75.6,2601,0
2017-04-10,21:00:00,75.6,75.65,75.55,75.6,5640,0
2017-04-10,21:05:00,75.6,75.7,75.6,75.65,1700,0
2017-04-10,21:10:00,75.675,75.725,75.55,75.55,3838,0
2017-04-10,21:15:00,75.55,75.575,75.5,75.5,2732,0
2017-04-10,21:20:00,75.55,75.6,75.4501,75.4501,3807,0
2017-04-10,21:25:00,75.45,75.45,75.25,75.4,10050,0
2017-04-10,21:30:00,75.375,75.375,75.2,75.25,5500,0
2017-04-10,21:35:00,75.225,75.3,75.15,75.3,8368,0
2017-04-10,21:40:00,75.3,75.45,75.3,75.45,4500,0
2017-04-10,21:45:00,75.45,75.45,75.35,75.35,8130,0
2017-04-10,21:50:00,75.35,75.45,75.325,75.425,7940,0
