Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,48.5,48.5,48.5,48.5,630,0
2017-04-07,15:40:00,48.55,48.75,48.55,48.75,900,0
2017-04-07,15:45:00,48.7,48.7,48.6,48.7,999,0
2017-04-07,16:00:00,48.45,48.45,48.3,48.3,1211,0
2017-04-07,16:05:00,48.3,48.45,48.3,48.4,534,0
2017-04-07,16:10:00,48.4,48.5,48.4,48.4,1272,0
2017-04-07,16:15:00,48.4,48.6,48.4,48.55,800,0
2017-04-07,16:20:00,48.55,48.6,48.55,48.5776,1950,0
2017-04-07,16:25:00,48.55,48.6,48.55,48.6,600,0
2017-04-07,16:30:00,48.55,48.7,48.55,48.65,1400,0
2017-04-07,16:35:00,48.7,48.7,48.5,48.55,1500,0
2017-04-07,16:40:00,48.55,48.75,48.55,48.7,600,0
2017-04-07,16:45:00,48.65,48.65,48.6,48.6,300,0
2017-04-07,16:50:00,48.6,48.6,48.45,48.45,700,0
2017-04-07,16:55:00,48.45,48.45,48.35,48.35,1000,0
2017-04-07,17:00:00,48.4,48.4,48.35,48.35,400,0
2017-04-07,17:05:00,48.35,48.4,48.3,48.35,1029,0
2017-04-07,17:10:00,48.35,48.35,48.3,48.3,2000,0
2017-04-07,17:15:00,48.25,48.25,48.15,48.15,600,0
2017-04-07,17:20:00,48.2,48.3,48.2,48.3,1328,0
2017-04-07,17:25:00,48.3,48.45,48.3,48.4,900,0
2017-04-07,17:30:00,48.35,48.4,48.25,48.3,1247,0
2017-04-07,17:35:00,48.2,48.3,48.2,48.3,800,0
2017-04-07,17:40:00,48.25,48.25,48.15,48.15,1000,0
2017-04-07,17:45:00,48.1,48.2,48.1,48.15,1306,0
2017-04-07,17:50:00,48.15,48.3,48.15,48.3,1000,0
2017-04-07,17:55:00,48.25,48.25,48.15,48.2,900,0
2017-04-07,18:00:00,48.15,48.2,48.15,48.175,300,0
2017-04-07,18:05:00,48.15,48.25,48.15,48.2,900,0
2017-04-07,18:10:00,48.225,48.225,48.2,48.2,300,0
2017-04-07,18:15:00,48.2,48.25,48.2,48.2,400,0
2017-04-07,18:20:00,48.225,48.25,48.2,48.2,500,0
2017-04-07,18:25:00,48.2,48.2,48.2,48.2,300,0
2017-04-07,18:30:00,48.25,48.35,48.225,48.3,2558,0
2017-04-07,18:35:00,48.3,48.3,48.25,48.25,500,0
2017-04-07,18:40:00,48.3,48.3,48.2,48.2,1015,0
2017-04-07,18:45:00,48.25,48.25,48.2,48.25,700,0
2017-04-07,18:50:00,48.2,48.3,48.2,48.3,300,0
2017-04-07,18:55:00,48.25,48.4,48.25,48.4,2100,0
2017-04-07,19:00:00,48.4,48.5,48.4,48.5,1800,0
2017-04-07,19:05:00,48.5,48.5,48.45,48.45,1100,0
2017-04-07,19:10:00,48.45,48.45,48.4,48.4,200,0
2017-04-07,19:15:00,48.5,48.5,48.45,48.45,400,0
2017-04-07,19:20:00,48.475,48.6,48.475,48.55,1600,0
2017-04-07,19:25:00,48.5,48.5,48.5,48.5,200,0
2017-04-07,19:30:00,48.5,48.5,48.5,48.5,200,0
2017-04-07,19:35:00,48.55,48.75,48.525,48.6,4166,0
2017-04-07,19:40:00,48.525,48.6,48.45,48.5,1400,0
2017-04-07,19:45:00,48.45,48.5,48.45,48.45,700,0
2017-04-07,19:50:00,48.4,48.55,48.4,48.5,1820,0
2017-04-07,19:55:00,48.55,48.75,48.5,48.65,3900,0
2017-04-07,20:00:00,48.7,48.85,48.7,48.85,2100,0
2017-04-07,20:05:00,48.85,48.9,48.8,48.85,1400,0
2017-04-07,20:10:00,48.8,48.9,48.75,48.85,3208,0
2017-04-07,20:15:00,48.8,48.85,48.8,48.85,200,0
2017-04-07,20:20:00,48.9,48.9,48.7,48.725,1600,0
2017-04-07,20:25:00,48.75,48.8,48.725,48.8,3114,0
2017-04-07,20:30:00,48.8,48.8,48.75,48.8,825,0
2017-04-07,20:35:00,48.75,48.9,48.7,48.9,3418,0
2017-04-07,20:40:00,48.75,48.8,48.75,48.8,300,0
2017-04-07,20:45:00,48.75,48.75,48.6,48.6,3704,0
2017-04-07,20:50:00,48.55,48.75,48.55,48.65,1600,0
2017-04-07,20:55:00,48.6,48.6,48.5,48.55,753,0
2017-04-07,21:00:00,48.6,48.65,48.6,48.6,3438,0
2017-04-07,21:05:00,48.6,48.75,48.55,48.75,900,0
2017-04-07,21:10:00,48.75,48.75,48.7,48.7,2401,0
2017-04-07,21:15:00,48.65,48.7,48.65,48.65,700,0
2017-04-07,21:20:00,48.675,48.7,48.65,48.65,1100,0
2017-04-07,21:25:00,48.65,48.85,48.65,48.8,3585,0
2017-04-07,21:30:00,48.75,48.8,48.7,48.7,1900,0
2017-04-07,21:35:00,48.7,48.75,48.65,48.65,4256,0
2017-04-07,21:40:00,48.65,48.75,48.65,48.7,1500,0
2017-04-07,21:45:00,48.65,48.75,48.65,48.65,3000,0
2017-04-07,21:50:00,48.65,48.825,48.65,48.825,7103,0
2017-04-07,21:55:00,48.8,49,48.8,48.95,15099,0
2017-04-07,22:00:00,48.9,48.95,48.8,48.85,27706,0
2017-04-10,15:35:00,48.85,48.95,48.55,48.55,612,0
2017-04-10,15:40:00,48.75,48.9,48.75,48.9,700,0
2017-04-10,15:45:00,48.9,49,48.9,48.95,1405,0
2017-04-10,15:50:00,48.9,49,48.9,49,1000,0
2017-04-10,15:55:00,49,49.05,49,49.05,300,0
2017-04-10,16:00:00,49,49,49,49,100,0
2017-04-10,16:05:00,49,49,49,49,100,0
2017-04-10,16:10:00,49,49.1,48.95,48.95,1300,0
2017-04-10,16:15:00,48.95,48.95,48.8,48.9,1759,0
2017-04-10,16:20:00,48.9,48.9,48.8,48.9,1500,0
2017-04-10,16:25:00,48.85,48.85,48.8,48.8,500,0
2017-04-10,16:30:00,48.75,48.75,48.75,48.75,200,0
2017-04-10,16:40:00,48.8,48.8,48.6,48.6,1000,0
2017-04-10,16:45:00,48.65,48.7,48.6,48.6,800,0
2017-04-10,16:50:00,48.65,48.7,48.65,48.65,900,0
2017-04-10,16:55:00,48.65,48.6658,48.55,48.6,1422,0
2017-04-10,17:00:00,48.575,48.575,48.4,48.55,2800,0
2017-04-10,17:05:00,48.55,48.7,48.55,48.65,2900,0
2017-04-10,17:10:00,48.6,48.6,48.6,48.6,100,0
2017-04-10,17:15:00,48.6,48.65,48.525,48.55,2200,0
2017-04-10,17:20:00,48.65,48.65,48.65,48.65,200,0
2017-04-10,17:25:00,48.65,48.65,48.55,48.6,900,0
2017-04-10,17:30:00,48.55,48.65,48.55,48.55,2000,0
2017-04-10,17:35:00,48.5,48.5,48.25,48.35,1800,0
2017-04-10,17:40:00,48.35,48.35,48.25,48.25,980,0
2017-04-10,17:45:00,48.2,48.2,48.1,48.2,800,0
2017-04-10,17:50:00,48.15,48.15,48.1,48.15,700,0
2017-04-10,17:55:00,48.1,48.2,48.1,48.2,1100,0
2017-04-10,18:00:00,48.15,48.15,48.1,48.1,700,0
2017-04-10,18:05:00,48.2,48.3,48.2,48.3,500,0
2017-04-10,18:10:00,48.2,48.2,48.15,48.15,700,0
2017-04-10,18:15:00,48.15,48.15,47.95,47.95,1900,0
2017-04-10,18:20:00,47.9,47.975,47.9,47.975,300,0
2017-04-10,18:25:00,47.9,47.9292,47.85,47.9,2048,0
2017-04-10,18:35:00,47.9,48,47.9,48,700,0
2017-04-10,18:40:00,48.075,48.075,48,48.05,500,0
2017-04-10,18:45:00,48.1,48.2,48.1,48.2,200,0
2017-04-10,18:50:00,48.2,48.2,48.2,48.2,200,0
2017-04-10,18:55:00,48.25,48.3,48.25,48.3,800,0
2017-04-10,19:00:00,48.25,48.25,48.25,48.25,609,0
2017-04-10,19:05:00,48.2,48.2,48.2,48.2,400,0
2017-04-10,19:10:00,48.15,48.25,48.15,48.25,500,0
2017-04-10,19:15:00,48.2,48.2,48.2,48.2,100,0
2017-04-10,19:20:00,48.2,48.2,48.2,48.2,100,0
2017-04-10,19:25:00,48.25,48.25,48.2,48.2,1300,0
2017-04-10,19:30:00,48.2,48.3,48.2,48.3,300,0
2017-04-10,19:35:00,48.2,48.25,48.2,48.25,855,0
2017-04-10,19:40:00,48.25,48.3,48.25,48.3,1083,0
2017-04-10,19:45:00,48.25,48.25,48.25,48.25,518,0
2017-04-10,19:50:00,48.25,48.25,48.25,48.25,100,0
2017-04-10,19:55:00,48.25,48.25,48.25,48.25,200,0
2017-04-10,20:00:00,48.25,48.25,48.225,48.25,400,0
2017-04-10,20:05:00,48.25,48.25,48.15,48.15,600,0
2017-04-10,20:10:00,48.15,48.1801,48.1,48.1,600,0
2017-04-10,20:15:00,48.1,48.15,48.1,48.15,1092,0
2017-04-10,20:20:00,48.15,48.15,48.125,48.125,400,0
2017-04-10,20:25:00,48.15,48.15,48.125,48.15,1000,0
2017-04-10,20:30:00,48.1,48.1,48.05,48.05,1200,0
2017-04-10,20:35:00,48,48.05,48,48.025,700,0
2017-04-10,20:40:00,48,48,48,48,200,0
2017-04-10,20:45:00,48,48.1,48,48.1,1800,0
2017-04-10,20:50:00,48.15,48.15,48.1,48.1,300,0
2017-04-10,20:55:00,48.2,48.2,48.15,48.2,500,0
2017-04-10,21:00:00,48.2,48.2,48.15,48.15,300,0
2017-04-10,21:05:00,48.25,48.25,48.15,48.15,600,0
2017-04-10,21:10:00,48.2,48.3,48.15,48.25,1900,0
2017-04-10,21:15:00,48.25,48.3,48.2,48.25,1631,0
2017-04-10,21:20:00,48.25,48.3,48.15,48.15,2700,0
2017-04-10,21:25:00,48.1,48.125,47.95,47.95,4295,0
2017-04-10,21:30:00,48,48.05,47.9,48.05,8327,0
2017-04-10,21:35:00,48.075,48.075,47.9,47.9,4098,0
2017-04-10,21:40:00,47.95,48,47.9,48,3224,0
2017-04-10,21:45:00,48,48,47.9,47.9,2300,0
2017-04-10,21:50:00,47.9,47.925,47.9,47.9,1639,0
2017-04-10,21:55:00,47.9,47.95,47.9,47.95,3026,0
2017-04-10,22:00:00,47.95,47.95,47.7,47.7,72748,0
2017-04-11,15:35:00,47.55,47.9,47.55,47.65,2571,0
2017-04-11,15:40:00,47.75,47.75,47.65,47.7,600,0
2017-04-11,15:45:00,47.65,47.7,47.45,47.45,5649,0
2017-04-11,15:50:00,47.4,47.6,47.4,47.55,1100,0
2017-04-11,15:55:00,47.6,47.7,47.6,47.7,600,0
2017-04-11,16:00:00,47.7,47.7,47.65,47.7,700,0
2017-04-11,16:05:00,47.85,47.9,47.75,47.75,2770,0
2017-04-11,16:10:00,47.9,47.9,47.7,47.7,1406,0
2017-04-11,16:15:00,47.75,47.85,47.75,47.75,1345,0
2017-04-11,16:20:00,47.7,47.7,47.6,47.65,800,0
2017-04-11,16:25:00,47.625,47.625,47.5,47.6,4752,0
2017-04-11,16:30:00,47.575,47.65,47.5,47.6,1113,0
2017-04-11,16:35:00,47.55,47.6,47.475,47.475,2500,0
2017-04-11,16:40:00,47.475,47.55,47.45,47.5,3933,0
2017-04-11,16:45:00,47.5,47.55,47.35,47.4,2196,0
