Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-27,15:35:00,26.896,26.896,26.886,26.886,1708,0
2017-02-27,15:45:00,26.856,26.856,26.856,26.856,404,0
2017-02-27,16:30:00,26.896,26.896,26.891,26.891,202,0
2017-02-27,16:40:00,26.906,26.906,26.886,26.886,605,0
2017-02-27,16:45:00,26.904,26.904,26.904,26.904,404,0
2017-02-27,16:50:00,26.906,26.906,26.891,26.891,202,0
2017-02-27,17:25:00,26.886,26.886,26.886,26.886,182,0
2017-02-27,17:40:00,26.866,26.866,26.866,26.866,202,0
2017-02-27,17:45:00,26.866,26.866,26.866,26.866,505,0
2017-02-27,18:00:00,26.826,26.826,26.826,26.826,186,0
2017-02-27,18:05:00,26.842,26.842,26.842,26.842,757,0
2017-02-27,18:30:00,26.856,26.856,26.856,26.856,252,0
2017-02-27,18:35:00,26.856,26.876,26.856,26.876,1110,0
2017-02-27,18:50:00,26.856,26.856,26.856,26.856,252,0
2017-02-27,19:10:00,26.852,26.852,26.852,26.852,1009,0
2017-02-27,20:45:00,26.896,26.896,26.896,26.896,404,0
2017-02-27,21:10:00,26.896,26.906,26.886,26.906,2119,0
2017-02-27,21:45:00,26.89,26.89,26.89,26.89,1009,0
2017-02-27,22:00:00,26.926,26.926,26.926,26.926,303,0
2017-02-28,15:35:00,26.926,26.926,26.836,26.836,1549,0
2017-02-28,15:40:00,26.787,26.787,26.787,26.787,101,0
2017-02-28,16:00:00,26.757,26.757,26.757,26.757,954,0
2017-02-28,16:25:00,26.727,26.747,26.727,26.747,477,0
2017-02-28,16:30:00,26.742,26.742,26.742,26.742,252,0
2017-02-28,16:35:00,26.727,26.727,26.727,26.727,202,0
2017-02-28,16:40:00,26.754,26.754,26.754,26.754,374,0
2017-02-28,16:55:00,26.737,26.737,26.737,26.737,101,0
2017-02-28,17:00:00,26.757,26.757,26.757,26.757,113,0
2017-02-28,17:25:00,26.757,26.757,26.757,26.757,151,0
2017-02-28,17:40:00,26.767,26.767,26.767,26.767,684,0
2017-02-28,17:45:00,26.761,26.761,26.761,26.761,151,0
2017-02-28,18:00:00,26.787,26.787,26.787,26.787,1009,0
2017-02-28,18:05:00,26.759,26.767,26.759,26.767,1633,0
2017-02-28,18:10:00,26.757,26.757,26.757,26.757,2614,0
2017-02-28,18:15:00,26.747,26.747,26.747,26.747,205,0
2017-02-28,18:25:00,26.714,26.714,26.708,26.708,733,0
2017-02-28,18:35:00,26.682,26.682,26.668,26.668,222,0
2017-02-28,18:45:00,26.668,26.688,26.668,26.688,1663,0
2017-02-28,19:05:00,26.707,26.707,26.707,26.707,410,0
2017-02-28,19:20:00,26.708,26.708,26.708,26.708,310,0
2017-02-28,19:30:00,26.708,26.708,26.708,26.708,101,0
2017-02-28,19:50:00,26.717,26.717,26.717,26.717,113,0
2017-02-28,20:10:00,26.708,26.708,26.708,26.708,101,0
2017-02-28,20:25:00,26.688,26.688,26.688,26.688,908,0
2017-02-28,20:45:00,26.698,26.698,26.698,26.698,2810,0
2017-02-28,20:55:00,26.717,26.717,26.7,26.717,4700,0
2017-02-28,21:25:00,26.708,26.708,26.708,26.708,523,0
2017-02-28,21:30:00,26.704,26.704,26.704,26.704,505,0
2017-02-28,21:35:00,26.688,26.707,26.688,26.707,1652,0
2017-02-28,21:45:00,26.688,26.688,26.688,26.688,202,0
2017-02-28,21:50:00,26.707,26.707,26.707,26.707,404,0
2017-02-28,21:55:00,26.688,26.717,26.688,26.717,202,0
2017-02-28,22:00:00,26.747,26.747,26.747,26.747,303,0
2017-03-01,15:35:00,26.955,26.955,26.955,26.955,1573,0
2017-03-01,15:45:00,26.868,26.868,26.868,26.868,148,0
2017-03-01,16:00:00,26.916,26.916,26.891,26.891,1009,0
2017-03-01,16:15:00,26.895,26.895,26.895,26.895,101,0
2017-03-01,16:35:00,26.926,26.926,26.926,26.926,252,0
2017-03-01,16:50:00,26.935,26.935,26.926,26.926,404,0
2017-03-01,16:55:00,26.928,26.928,26.928,26.928,303,0
2017-03-01,17:30:00,26.955,26.955,26.955,26.955,303,0
2017-03-01,17:45:00,26.946,26.946,26.946,26.946,101,0
2017-03-01,17:55:00,26.995,26.995,26.975,26.975,404,0
2017-03-01,18:15:00,27.025,27.025,27.025,27.025,4036,0
2017-03-01,18:30:00,27.051,27.064,27.045,27.064,1092,0
2017-03-01,18:40:00,27.064,27.064,27.064,27.064,202,0
2017-03-01,18:45:00,27.034,27.035,27.034,27.035,1241,0
2017-03-01,18:50:00,27.035,27.035,27.031,27.031,1514,0
2017-03-01,19:05:00,27.03,27.054,27.015,27.015,1746,0
2017-03-01,19:40:00,27.044,27.044,27.025,27.025,807,0
2017-03-01,20:05:00,27.03,27.03,27.03,27.03,101,0
2017-03-01,21:05:00,27.045,27.084,27.02,27.074,77595,0
2017-03-01,21:10:00,27.074,27.074,27.055,27.074,2018,0
2017-03-01,21:15:00,27.015,27.054,27.015,27.054,202,0
2017-03-01,21:20:00,27.018,27.018,27.018,27.018,404,0
2017-03-01,21:30:00,27.064,27.064,27.04,27.04,202,0
2017-03-01,21:35:00,27.049,27.049,27.049,27.049,101,0
2017-03-01,21:55:00,27.064,27.064,27.05,27.05,363,0
2017-03-01,22:00:00,27.035,27.035,27.015,27.035,505,0
2017-03-02,15:35:00,26.965,26.995,26.965,26.975,1312,0
2017-03-02,15:45:00,26.985,26.985,26.985,26.985,101,0
2017-03-02,15:55:00,26.975,26.975,26.975,26.975,168,0
2017-03-02,16:35:00,26.975,26.975,26.975,26.975,202,0
2017-03-02,16:40:00,26.935,26.935,26.935,26.935,303,0
2017-03-02,16:55:00,26.945,26.945,26.945,26.945,371,0
2017-03-02,17:25:00,26.916,26.916,26.906,26.906,404,0
2017-03-02,17:30:00,26.906,26.906,26.887,26.887,505,0
2017-03-02,18:10:00,26.899,26.899,26.886,26.886,807,0
2017-03-02,18:20:00,26.896,26.896,26.896,26.896,101,0
2017-03-02,18:25:00,26.896,26.896,26.896,26.896,558,0
2017-03-02,18:40:00,26.891,26.896,26.891,26.896,267,0
2017-03-02,18:45:00,26.906,26.906,26.906,26.906,434,0
2017-03-02,19:05:00,26.906,26.906,26.906,26.906,303,0
2017-03-02,19:40:00,26.886,26.886,26.886,26.886,252,0
2017-03-02,20:00:00,26.901,26.901,26.901,26.901,605,0
2017-03-02,20:15:00,26.886,26.886,26.886,26.886,268,0
2017-03-02,20:55:00,26.899,26.899,26.899,26.899,1110,0
2017-03-02,21:00:00,26.906,26.906,26.906,26.906,6054,0
2017-03-02,21:15:00,26.906,26.906,26.906,26.906,2220,0
2017-03-02,21:20:00,26.886,26.886,26.886,26.886,555,0
2017-03-02,21:35:00,26.885,26.885,26.885,26.885,505,0
2017-03-02,21:40:00,26.871,26.871,26.871,26.871,101,0
2017-03-02,22:00:00,26.846,26.876,26.846,26.876,807,0
2017-03-03,15:35:00,26.787,26.826,26.787,26.826,2423,0
2017-03-03,15:50:00,26.826,26.826,26.826,26.826,101,0
2017-03-03,15:55:00,26.861,26.861,26.836,26.836,605,0
