Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-10,15:35:00,9.968,9.968,9.968,9.968,2511,0
2017-03-10,15:45:00,9.978,9.978,9.978,9.978,100,0
2017-03-10,15:50:00,9.968,9.968,9.968,9.968,3013,0
2017-03-10,15:55:00,9.968,9.968,9.968,9.968,1406,0
2017-03-10,16:00:00,9.968,9.968,9.968,9.968,2209,0
2017-03-10,16:05:00,9.968,9.968,9.968,9.968,1406,0
2017-03-10,16:10:00,9.968,9.985,9.968,9.983,5770,0
2017-03-10,16:15:00,9.978,9.988,9.978,9.988,3816,0
2017-03-10,16:25:00,9.978,9.978,9.978,9.978,3669,0
2017-03-10,16:30:00,9.978,9.978,9.978,9.978,1305,0
2017-03-10,16:35:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,16:40:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,16:45:00,9.978,9.983,9.978,9.978,1195,0
2017-03-10,16:50:00,9.978,9.983,9.978,9.978,1205,0
2017-03-10,16:55:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,17:00:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,17:05:00,9.978,9.986,9.978,9.978,5724,0
2017-03-10,17:10:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,17:15:00,9.978,9.981,9.978,9.978,3716,0
2017-03-10,17:20:00,9.978,9.978,9.978,9.978,1205,0
2017-03-10,17:25:00,9.978,9.98,9.978,9.978,5122,0
2017-03-10,17:30:00,9.978,9.978,9.978,9.978,1105,0
2017-03-10,17:35:00,9.978,9.978,9.978,9.978,1004,0
2017-03-10,17:40:00,9.978,9.978,9.968,9.968,6327,0
2017-03-10,17:45:00,9.968,9.968,9.968,9.968,2511,0
2017-03-10,17:50:00,9.968,9.976,9.968,9.968,1506,0
2017-03-10,17:55:00,9.968,9.977,9.968,9.968,1155,0
2017-03-10,18:00:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,18:05:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,18:10:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,18:15:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,18:20:00,9.968,9.975,9.968,9.968,3213,0
2017-03-10,18:25:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,18:30:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,18:35:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,18:40:00,9.968,9.973,9.968,9.968,803,0
2017-03-10,18:45:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,18:50:00,9.968,9.968,9.968,9.968,803,0
2017-03-10,18:55:00,9.968,9.968,9.968,9.968,4318,0
2017-03-10,19:00:00,9.968,9.977,9.968,9.968,3716,0
2017-03-10,19:05:00,9.968,9.968,9.968,9.968,803,0
2017-03-10,19:10:00,9.968,9.968,9.968,9.968,803,0
2017-03-10,19:15:00,9.968,9.968,9.968,9.968,803,0
2017-03-10,19:20:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,19:25:00,9.968,9.968,9.968,9.968,803,0
2017-03-10,19:30:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,19:35:00,9.968,9.973,9.968,9.973,904,0
2017-03-10,19:40:00,9.968,9.969,9.968,9.968,8335,0
2017-03-10,19:45:00,9.968,9.968,9.968,9.968,3816,0
2017-03-10,19:50:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,19:55:00,9.968,9.968,9.968,9.968,904,0
2017-03-10,20:00:00,9.968,9.968,9.968,9.968,1406,0
2017-03-10,20:05:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,20:10:00,9.968,9.973,9.968,9.968,2385,0
2017-03-10,20:15:00,9.968,9.968,9.968,9.968,1858,0
2017-03-10,20:20:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,20:25:00,9.968,9.974,9.968,9.974,1356,0
2017-03-10,20:30:00,9.968,9.974,9.968,9.974,15173,0
2017-03-10,20:35:00,9.968,9.973,9.968,9.968,1004,0
2017-03-10,20:40:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,20:45:00,9.968,9.973,9.968,9.973,1105,0
2017-03-10,20:50:00,9.968,9.968,9.968,9.968,1004,0
2017-03-10,20:55:00,9.968,9.968,9.968,9.968,1105,0
2017-03-10,21:00:00,9.968,9.973,9.968,9.968,1105,0
2017-03-10,21:05:00,9.968,9.968,9.968,9.968,1105,0
2017-03-10,21:10:00,9.968,9.978,9.968,9.978,7230,0
2017-03-10,21:15:00,9.968,9.968,9.968,9.968,1205,0
2017-03-10,21:20:00,9.968,9.968,9.968,9.968,1305,0
2017-03-10,21:25:00,9.968,9.968,9.968,9.968,1406,0
2017-03-10,21:30:00,9.968,9.977,9.968,9.968,2912,0
2017-03-10,21:35:00,9.968,9.968,9.968,9.968,1808,0
2017-03-10,21:40:00,9.968,9.968,9.958,9.958,15666,0
2017-03-10,21:45:00,9.958,9.958,9.948,9.948,2812,0
2017-03-10,21:50:00,9.948,9.948,9.918,9.918,4519,0
2017-03-10,21:55:00,9.918,9.918,9.868,9.878,4519,0
2017-03-10,22:00:00,9.878,9.888,9.878,9.888,10544,0
2017-03-13,14:35:00,9.928,9.928,9.928,9.928,753,0
2017-03-13,15:20:00,9.927,9.927,9.927,9.927,382,0
2017-03-13,15:35:00,9.913,9.913,9.913,9.913,1004,0
2017-03-13,15:50:00,9.918,9.918,9.918,9.918,1105,0
2017-03-13,15:55:00,9.918,9.918,9.918,9.918,603,0
2017-03-13,16:00:00,9.918,9.918,9.918,9.918,402,0
2017-03-13,16:05:00,9.927,9.927,9.927,9.927,1506,0
2017-03-13,16:25:00,9.922,9.922,9.922,9.922,2008,0
2017-03-13,16:45:00,9.908,9.908,9.908,9.908,3013,0
2017-03-13,16:50:00,9.914,9.914,9.914,9.914,1205,0
2017-03-13,17:35:00,9.908,9.908,9.908,9.908,1289,0
2017-03-13,17:45:00,9.905,9.905,9.905,9.905,2008,0
2017-03-13,18:00:00,9.903,9.908,9.903,9.908,1506,0
2017-03-13,18:40:00,9.908,9.908,9.908,9.908,2511,0
2017-03-13,19:15:00,9.898,9.898,9.898,9.898,402,0
2017-03-13,19:20:00,9.888,9.888,9.888,9.888,1004,0
2017-03-13,19:40:00,9.894,9.894,9.894,9.894,703,0
2017-03-13,19:50:00,9.895,9.895,9.895,9.895,447,0
2017-03-13,19:55:00,9.898,9.898,9.898,9.898,1506,0
2017-03-13,20:10:00,9.898,9.908,9.898,9.908,4619,0
2017-03-13,20:15:00,9.908,9.908,9.908,9.908,904,0
2017-03-13,20:25:00,9.908,9.908,9.908,9.908,4017,0
2017-03-14,15:00:00,9.895,9.895,9.895,9.895,100,0
2017-03-14,15:35:00,9.888,9.888,9.888,9.888,1506,0
2017-03-14,15:45:00,9.898,9.908,9.893,9.898,4721,0
