Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-27,15:35:00,4.02,4.05,4.02,4.05,393,0
2017-03-27,15:40:00,4.1,4.1,4.1,4.1,100,0
2017-03-27,15:45:00,4.02,4.02,4.02,4.02,100,0
2017-03-27,15:55:00,4.04,4.04,4.04,4.04,300,0
2017-03-27,16:15:00,4.04,4.04,4.04,4.04,100,0
2017-03-27,16:25:00,4.045,4.045,4.045,4.045,100,0
2017-03-27,16:50:00,4.045,4.045,4.045,4.045,100,0
2017-03-27,17:00:00,4.05,4.05,4.05,4.05,500,0
2017-03-27,17:15:00,4.065,4.065,4.065,4.065,100,0
2017-03-27,17:35:00,4.08,4.08,4.06,4.06,400,0
2017-03-27,17:40:00,4.065,4.065,4.065,4.065,100,0
2017-03-27,17:45:00,4.08,4.08,4.08,4.08,100,0
2017-03-27,17:55:00,4.0637,4.11,4.06,4.1,1160,0
2017-03-27,18:05:00,4.14,4.14,4.14,4.14,200,0
2017-03-27,18:10:00,4.14,4.14,4.14,4.14,100,0
2017-03-27,18:20:00,4.15,4.15,4.15,4.15,300,0
2017-03-27,18:30:00,4.14,4.15,4.14,4.15,400,0
2017-03-27,18:50:00,4.15,4.16,4.11,4.16,489,0
2017-03-27,19:00:00,4.13,4.16,4.13,4.16,300,0
2017-03-27,19:20:00,4.18,4.18,4.135,4.135,200,0
2017-03-27,19:35:00,4.14,4.155,4.14,4.14,1197,0
2017-03-27,19:40:00,4.145,4.16,4.145,4.16,300,0
2017-03-27,19:50:00,4.18,4.21,4.1601,4.21,940,0
2017-03-27,19:55:00,4.2,4.2,4.195,4.2,700,0
2017-03-27,20:00:00,4.195,4.2,4.1901,4.2,1600,0
2017-03-27,20:05:00,4.2,4.2,4.2,4.2,300,0
2017-03-27,20:10:00,4.195,4.2,4.195,4.195,600,0
2017-03-27,20:15:00,4.1901,4.2,4.1901,4.2,200,0
2017-03-27,20:25:00,4.2,4.2,4.2,4.2,300,0
2017-03-27,20:30:00,4.2,4.2,4.195,4.2,900,0
2017-03-27,20:35:00,4.2,4.2,4.2,4.2,100,0
2017-03-27,20:40:00,4.21,4.21,4.21,4.21,100,0
2017-03-27,20:45:00,4.2,4.21,4.2,4.21,200,0
2017-03-27,20:55:00,4.21,4.21,4.2,4.2,300,0
2017-03-27,21:00:00,4.21,4.21,4.205,4.205,200,0
2017-03-27,21:05:00,4.21,4.25,4.2,4.25,2800,0
2017-03-27,21:10:00,4.26,4.26,4.26,4.26,100,0
2017-03-27,21:15:00,4.26,4.26,4.26,4.26,100,0
2017-03-27,21:20:00,4.26,4.34,4.26,4.33,1500,0
2017-03-27,21:25:00,4.325,4.34,4.3201,4.34,1200,0
2017-03-27,21:30:00,4.35,4.35,4.35,4.35,100,0
2017-03-27,21:40:00,4.34,4.34,4.34,4.34,100,0
2017-03-27,21:45:00,4.33,4.33,4.32,4.32,200,0
2017-03-27,21:50:00,4.31,4.3143,4.29,4.29,900,0
2017-03-27,21:55:00,4.29,4.32,4.29,4.32,1700,0
2017-03-27,22:00:00,4.31,4.31,4.26,4.27,5322,0
2017-03-28,15:35:00,4.23,4.23,4.23,4.23,431,0
2017-03-28,15:40:00,4.2925,4.2925,4.16,4.16,3100,0
2017-03-28,16:10:00,4.32,4.32,4.32,4.32,100,0
2017-03-28,16:20:00,4.28,4.47,4.28,4.47,200,0
2017-03-28,16:25:00,4.46,4.46,4.46,4.46,100,0
2017-03-28,16:30:00,4.46,4.46,4.37,4.37,400,0
2017-03-28,16:40:00,4.36,4.39,4.35,4.39,600,0
2017-03-28,16:45:00,4.28,4.28,4.23,4.23,400,0
2017-03-28,16:50:00,4.25,4.25,4.24,4.24,300,0
2017-03-28,17:00:00,4.26,4.3,4.26,4.3,300,0
2017-03-28,17:05:00,4.275,4.3,4.275,4.3,200,0
2017-03-28,17:10:00,4.3,4.3,4.3,4.3,100,0
2017-03-28,17:15:00,4.3635,4.3635,4.36,4.36,217,0
2017-03-28,17:25:00,4.33,4.33,4.33,4.33,100,0
2017-03-28,17:35:00,4.32,4.39,4.32,4.39,200,0
2017-03-28,17:45:00,4.38,4.38,4.38,4.38,100,0
2017-03-28,18:05:00,4.37,4.37,4.37,4.37,400,0
2017-03-28,18:10:00,4.33,4.33,4.33,4.33,100,0
2017-03-28,18:20:00,4.34,4.37,4.3335,4.37,5700,0
2017-03-28,18:40:00,4.37,4.37,4.37,4.37,100,0
2017-03-28,18:50:00,4.36,4.36,4.36,4.36,100,0
2017-03-28,18:55:00,4.35,4.35,4.35,4.35,100,0
2017-03-28,19:05:00,4.32,4.32,4.32,4.32,200,0
2017-03-28,19:10:00,4.33,4.33,4.315,4.315,200,0
2017-03-28,19:20:00,4.33,4.33,4.33,4.33,300,0
2017-03-28,19:30:00,4.36,4.36,4.36,4.36,100,0
2017-03-28,19:35:00,4.33,4.33,4.33,4.33,200,0
2017-03-28,19:40:00,4.32,4.33,4.32,4.33,300,0
2017-03-28,19:45:00,4.3201,4.35,4.32,4.33,2400,0
2017-03-28,20:05:00,4.328,4.328,4.328,4.328,460,0
2017-03-28,20:10:00,4.31,4.33,4.31,4.33,300,0
2017-03-28,20:25:00,4.32,4.32,4.32,4.32,100,0
2017-03-28,20:40:00,4.3409,4.3409,4.3409,4.3409,101,0
2017-03-28,20:50:00,4.33,4.33,4.33,4.33,300,0
2017-03-28,21:05:00,4.31,4.31,4.31,4.31,400,0
2017-03-28,21:15:00,4.31,4.31,4.31,4.31,400,0
2017-03-28,21:25:00,4.29,4.29,4.29,4.29,100,0
2017-03-28,21:30:00,4.29,4.29,4.29,4.29,100,0
2017-03-28,21:35:00,4.27,4.27,4.27,4.27,100,0
2017-03-28,21:45:00,4.28,4.28,4.28,4.28,200,0
2017-03-28,21:50:00,4.31,4.32,4.31,4.32,300,0
2017-03-28,21:55:00,4.3,4.35,4.3,4.35,1187,0
2017-03-28,22:00:00,4.35,4.35,4.33,4.33,3080,0
2017-03-29,15:35:00,4.34,4.34,4.34,4.34,516,0
2017-03-29,15:45:00,4.32,4.41,4.32,4.41,300,0
2017-03-29,15:50:00,4.4099,4.4099,4.4099,4.4099,100,0
2017-03-29,15:55:00,4.4,4.42,4.4,4.42,300,0
2017-03-29,16:00:00,4.38,4.38,4.37,4.37,400,0
2017-03-29,16:05:00,4.37,4.38,4.37,4.38,1057,0
2017-03-29,16:10:00,4.49,4.5899,4.46,4.46,1400,0
2017-03-29,16:15:00,4.43,4.4349,4.42,4.432,2098,0
2017-03-29,16:30:00,4.4499,4.4499,4.4499,4.4499,100,0
2017-03-29,16:35:00,4.44,4.45,4.44,4.45,200,0
2017-03-29,16:40:00,4.435,4.435,4.42,4.42,600,0
2017-03-29,16:45:00,4.39,4.39,4.37,4.37,2333,0
2017-03-29,16:55:00,4.39,4.39,4.39,4.39,100,0
2017-03-29,17:00:00,4.39,4.39,4.39,4.39,100,0
2017-03-29,17:05:00,4.42,4.42,4.42,4.42,100,0
2017-03-29,17:15:00,4.3905,4.45,4.3905,4.45,810,0
2017-03-29,17:20:00,4.45,4.45,4.44,4.45,2000,0
2017-03-29,17:25:00,4.47,4.55,4.47,4.55,2600,0
2017-03-29,17:35:00,4.5236,4.55,4.515,4.515,400,0
2017-03-29,17:50:00,4.52,4.52,4.52,4.52,200,0
2017-03-29,18:00:00,4.5,4.5,4.5,4.5,100,0
2017-03-29,18:10:00,4.54,4.6,4.51,4.54,5120,0
2017-03-29,18:25:00,4.58,4.6699,4.58,4.6699,1600,0
2017-03-29,18:35:00,4.581,4.586,4.5808,4.5808,1200,0
2017-03-29,18:40:00,4.56,4.5601,4.56,4.5601,400,0
2017-03-29,18:45:00,4.59,4.59,4.59,4.59,200,0
2017-03-29,19:00:00,4.585,4.585,4.585,4.585,100,0
2017-03-29,19:15:00,4.56,4.56,4.55,4.55,200,0
2017-03-29,19:20:00,4.57,4.57,4.57,4.57,100,0
2017-03-29,19:30:00,4.54,4.54,4.54,4.54,100,0
2017-03-29,19:35:00,4.56,4.56,4.56,4.56,100,0
2017-03-29,19:40:00,4.62,4.62,4.62,4.62,100,0
2017-03-29,19:50:00,4.6138,4.6138,4.6,4.6,500,0
2017-03-29,20:05:00,4.6,4.61,4.6,4.6,300,0
2017-03-29,20:30:00,4.63,4.63,4.6,4.6,273,0
2017-03-29,20:35:00,4.6,4.6,4.6,4.6,100,0
2017-03-29,20:40:00,4.61,4.61,4.6,4.6,200,0
2017-03-29,20:45:00,4.6,4.6,4.6,4.6,200,0
2017-03-29,20:55:00,4.6,4.65,4.6,4.6,1500,0
2017-03-29,21:00:00,4.66,4.66,4.66,4.66,100,0
2017-03-29,21:05:00,4.64,4.64,4.64,4.64,100,0
2017-03-29,21:15:00,4.67,4.67,4.67,4.67,100,0
2017-03-29,21:20:00,4.68,4.68,4.68,4.68,100,0
2017-03-29,21:25:00,4.65,4.65,4.65,4.65,100,0
2017-03-29,21:35:00,4.64,4.6461,4.621,4.6461,500,0
2017-03-29,21:40:00,4.6599,4.66,4.6599,4.66,200,0
2017-03-29,21:45:00,4.66,4.66,4.66,4.66,100,0
2017-03-29,21:50:00,4.62,4.65,4.62,4.65,200,0
2017-03-29,21:55:00,4.65,4.67,4.65,4.66,500,0
2017-03-29,22:00:00,4.66,4.66,4.64,4.64,1777,0
2017-03-30,15:35:00,4.66,4.69,4.66,4.69,400,0
2017-03-30,15:40:00,4.6,4.6,4.6,4.6,100,0
2017-03-30,15:50:00,4.71,4.71,4.71,4.71,100,0
2017-03-30,16:15:00,4.6,4.6,4.6,4.6,100,0
2017-03-30,16:25:00,4.59,4.59,4.58,4.58,300,0
2017-03-30,16:30:00,4.57,4.57,4.57,4.57,100,0
2017-03-30,16:35:00,4.613,4.613,4.55,4.61,4400,0
2017-03-30,16:40:00,4.6,4.6,4.59,4.59,400,0
2017-03-30,16:45:00,4.59,4.59,4.59,4.59,100,0
2017-03-30,16:55:00,4.59,4.59,4.54,4.54,300,0
2017-03-30,17:05:00,4.57,4.5838,4.56,4.5838,400,0
2017-03-30,17:15:00,4.56,4.56,4.56,4.56,100,0
2017-03-30,17:20:00,4.555,4.555,4.555,4.555,100,0
2017-03-30,17:45:00,4.53,4.53,4.53,4.53,100,0
2017-03-30,17:55:00,4.55,4.55,4.55,4.55,400,0
2017-03-30,18:05:00,4.55,4.55,4.55,4.55,100,0
2017-03-30,18:25:00,4.54,4.54,4.54,4.54,100,0
2017-03-30,18:35:00,4.57,4.57,4.57,4.57,100,0
2017-03-30,19:10:00,4.59,4.59,4.59,4.59,200,0
2017-03-30,19:25:00,4.61,4.61,4.61,4.61,200,0
2017-03-30,19:35:00,4.61,4.61,4.61,4.61,100,0
2017-03-30,19:50:00,4.63,4.63,4.63,4.63,100,0
2017-03-30,20:10:00,4.6,4.64,4.6,4.64,200,0
2017-03-30,20:15:00,4.57,4.57,4.57,4.57,100,0
2017-03-30,20:35:00,4.58,4.58,4.58,4.58,100,0
2017-03-30,20:55:00,4.54,4.54,4.54,4.54,100,0
2017-03-30,21:15:00,4.51,4.55,4.51,4.54,500,0
2017-03-30,21:25:00,4.5098,4.545,4.5098,4.545,750,0
2017-03-30,21:40:00,4.52,4.54,4.52,4.54,200,0
2017-03-30,21:50:00,4.51,4.5275,4.51,4.5275,200,0
2017-03-30,21:55:00,4.51,4.53,4.51,4.51,400,0
2017-03-30,22:00:00,4.51,4.56,4.51,4.55,4534,0
2017-03-31,16:15:00,4.4793,4.79,4.4793,4.79,1950,0
2017-03-31,16:20:00,4.5,4.5,4.5,4.5,100,0
2017-03-31,16:55:00,4.46,4.46,4.46,4.46,100,0
2017-03-31,17:05:00,4.44,4.44,4.44,4.44,100,0
2017-03-31,17:10:00,4.42,4.42,4.405,4.405,200,0
2017-03-31,17:25:00,4.46,4.46,4.46,4.46,100,0
2017-03-31,17:35:00,4.52,4.52,4.52,4.52,100,0
2017-03-31,17:40:00,4.51,4.51,4.51,4.51,100,0
2017-03-31,18:00:00,4.49,4.49,4.47,4.47,200,0
2017-03-31,18:45:00,4.46,4.46,4.46,4.46,100,0
2017-03-31,18:55:00,4.47,4.47,4.47,4.47,100,0
2017-03-31,19:30:00,4.46,4.46,4.46,4.46,100,0
2017-03-31,19:35:00,4.46,4.46,4.41,4.41,698,0
2017-03-31,20:05:00,4.36,4.36,4.36,4.36,100,0
2017-03-31,20:10:00,4.37,4.37,4.37,4.37,100,0
2017-03-31,20:15:00,4.37,4.37,4.37,4.37,100,0
2017-03-31,20:50:00,4.41,4.41,4.41,4.41,400,0
2017-03-31,21:05:00,4.37,4.37,4.37,4.37,100,0
2017-03-31,21:20:00,4.38,4.38,4.38,4.38,100,0
2017-03-31,21:35:00,4.36,4.36,4.36,4.36,100,0
2017-03-31,21:45:00,4.36,4.38,4.36,4.38,200,0
2017-03-31,21:50:00,4.39,4.4,4.39,4.4,200,0
2017-03-31,21:55:00,4.4,4.4,4.4,4.4,100,0
2017-03-31,22:00:00,4.4,4.41,4.37,4.4,2019,0
2017-04-03,16:20:00,4.39,4.39,4.39,4.39,100,0
2017-04-03,16:35:00,4.5056,4.55,4.5056,4.55,950,0
2017-04-03,16:55:00,4.4,4.4,4.35,4.4,4710,0
2017-04-03,17:00:00,4.33,4.33,4.33,4.33,100,0
2017-04-03,17:10:00,4.29,4.29,4.29,4.29,400,0
2017-04-03,17:20:00,4.37,4.37,4.36,4.36,200,0
2017-04-03,17:25:00,4.36,4.36,4.36,4.36,300,0
2017-04-03,17:30:00,4.34,4.34,4.34,4.34,100,0
2017-04-03,17:35:00,4.4,4.4,4.4,4.4,100,0
2017-04-03,18:00:00,4.38,4.38,4.38,4.38,100,0
2017-04-03,18:05:00,4.37,4.37,4.37,4.37,400,0
2017-04-03,18:10:00,4.36,4.36,4.36,4.36,100,0
2017-04-03,18:15:00,4.39,4.39,4.39,4.39,100,0
2017-04-03,18:25:00,4.4,4.4,4.4,4.4,100,0
2017-04-03,18:35:00,4.4,4.4,4.4,4.4,200,0
2017-04-03,18:50:00,4.4,4.4,4.4,4.4,100,0
2017-04-03,19:30:00,4.42,4.42,4.42,4.42,200,0
2017-04-03,19:35:00,4.43,4.43,4.43,4.43,100,0
2017-04-03,20:00:00,4.46,4.5,4.46,4.5,200,0
2017-04-03,20:15:00,4.45,4.45,4.45,4.45,100,0
2017-04-03,20:20:00,4.43,4.43,4.43,4.43,100,0
2017-04-03,20:25:00,4.46,4.46,4.46,4.46,100,0
2017-04-03,20:30:00,4.44,4.46,4.44,4.46,1700,0
2017-04-03,20:40:00,4.46,4.46,4.46,4.46,100,0
2017-04-03,20:50:00,4.44,4.46,4.44,4.46,200,0
2017-04-03,20:55:00,4.44,4.44,4.44,4.44,200,0
2017-04-03,21:00:00,4.36,4.36,4.36,4.36,100,0
2017-04-03,21:10:00,4.33,4.43,4.33,4.43,200,0
2017-04-03,21:15:00,4.34,4.34,4.32,4.32,200,0
