Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,40.25,40.25,39.85,40.05,6377,0
2017-04-07,15:40:00,40.15,40.275,40.15,40.225,6070,0
2017-04-07,15:45:00,40.2,40.225,40,40.05,3400,0
2017-04-07,15:50:00,40.025,40.025,40,40,2500,0
2017-04-07,15:55:00,40.05,40.05,39.9,39.9,5597,0
2017-04-07,16:00:00,39.9,40.025,39.85,40,6029,0
2017-04-07,16:05:00,39.975,40.1,39.975,40.1,1000,0
2017-04-07,16:10:00,40.15,40.25,40.1,40.25,1300,0
2017-04-07,16:15:00,40.3,40.45,40.3,40.3,2700,0
2017-04-07,16:20:00,40.25,40.25,40.225,40.25,700,0
2017-04-07,16:25:00,40.35,40.4,40.35,40.4,730,0
2017-04-07,16:30:00,40.45,40.5,40.45,40.45,900,0
2017-04-07,16:35:00,40.4,40.45,40.35,40.45,1300,0
2017-04-07,16:40:00,40.5,40.625,40.5,40.625,1200,0
2017-04-07,16:45:00,40.6,40.6,40.525,40.55,900,0
2017-04-07,16:50:00,40.5,40.5,40.35,40.4,3400,0
2017-04-07,16:55:00,40.4,40.4,40.4,40.4,600,0
2017-04-07,17:00:00,40.4,40.4,40.4,40.4,800,0
2017-04-07,17:05:00,40.45,40.45,40.4,40.4,800,0
2017-04-07,17:10:00,40.375,40.375,40.35,40.35,400,0
2017-04-07,17:15:00,40.35,40.37,40.3,40.3,900,0
2017-04-07,17:20:00,40.4,40.5,40.4,40.5,900,0
2017-04-07,17:25:00,40.45,40.5,40.45,40.5,1000,0
2017-04-07,17:30:00,40.5,40.5,40.45,40.45,1300,0
2017-04-07,17:35:00,40.3,40.45,40.3,40.4,1095,0
2017-04-07,17:40:00,40.35,40.35,40.25,40.25,700,0
2017-04-07,17:45:00,40.3,40.3,40.3,40.3,400,0
2017-04-07,17:50:00,40.35,40.35,40.3,40.3,800,0
2017-04-07,17:55:00,40.3,40.35,40.3,40.3,500,0
2017-04-07,18:00:00,40.3,40.4,40.3,40.4,300,0
2017-04-07,18:05:00,40.35,40.4,40.35,40.4,400,0
2017-04-07,18:10:00,40.45,40.475,40.4,40.45,600,0
2017-04-07,18:15:00,40.45,40.45,40.45,40.45,100,0
2017-04-07,18:20:00,40.5,40.55,40.5,40.55,900,0
2017-04-07,18:25:00,40.6,40.6,40.45,40.45,1840,0
2017-04-07,18:30:00,40.45,40.4739,40.45,40.45,1700,0
2017-04-07,18:35:00,40.425,40.4617,40.425,40.442,1900,0
2017-04-07,18:40:00,40.45,40.45,40.4,40.4,700,0
2017-04-07,18:45:00,40.375,40.45,40.375,40.45,1400,0
2017-04-07,18:50:00,40.4,40.4,40.4,40.4,1000,0
2017-04-07,18:55:00,40.45,40.45,40.45,40.45,1800,0
2017-04-07,19:00:00,40.5,40.55,40.45,40.525,2800,0
2017-04-07,19:05:00,40.55,40.55,40.5,40.5,1500,0
2017-04-07,19:10:00,40.525,40.525,40.525,40.525,300,0
2017-04-07,19:15:00,40.525,40.55,40.525,40.525,2300,0
2017-04-07,19:20:00,40.525,40.55,40.5,40.5,1400,0
2017-04-07,19:25:00,40.5,40.5,40.5,40.5,1200,0
2017-04-07,19:30:00,40.525,40.55,40.525,40.525,600,0
2017-04-07,19:35:00,40.6,40.6,40.55,40.55,7500,0
2017-04-07,19:40:00,40.5,40.5,40.4,40.4,1200,0
2017-04-07,19:45:00,40.4,40.45,40.4,40.45,800,0
2017-04-07,19:50:00,40.45,40.45,40.35,40.35,1100,0
2017-04-07,19:55:00,40.4,40.475,40.4,40.475,2900,0
2017-04-07,20:00:00,40.5,40.5,40.5,40.5,7740,0
2017-04-07,20:05:00,40.55,40.6,40.55,40.6,900,0
2017-04-07,20:10:00,40.6,40.65,40.6,40.64,550,0
2017-04-07,20:15:00,40.6,40.625,40.6,40.6,1400,0
2017-04-07,20:20:00,40.6,40.6,40.525,40.55,1500,0
2017-04-07,20:25:00,40.6,40.6,40.6,40.6,300,0
2017-04-07,20:30:00,40.6,40.65,40.6,40.65,600,0
2017-04-07,20:40:00,40.65,40.65,40.65,40.65,100,0
2017-04-07,20:45:00,40.65,40.65,40.45,40.55,2600,0
2017-04-07,20:50:00,40.45,40.45,40.45,40.45,100,0
2017-04-07,20:55:00,40.5,40.5,40.45,40.5,400,0
2017-04-07,21:00:00,40.525,40.55,40.475,40.5,2700,0
2017-04-07,21:05:00,40.55,40.55,40.55,40.55,1100,0
2017-04-07,21:10:00,40.55,40.575,40.55,40.55,900,0
2017-04-07,21:15:00,40.55,40.65,40.55,40.65,800,0
