Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,10.89,10.89,10.89,10.89,1607,0
2017-04-07,15:40:00,10.98,10.98,10.98,10.98,100,0
2017-04-07,15:45:00,10.93,10.93,10.93,10.93,100,0
2017-04-07,15:50:00,10.924,10.924,10.924,10.924,200,0
2017-04-07,15:55:00,10.9,10.9,10.9,10.9,400,0
2017-04-07,16:00:00,10.8773,10.8773,10.84,10.87,400,0
2017-04-07,16:05:00,10.87,10.9,10.87,10.88,1250,0
2017-04-07,16:10:00,10.9,10.9,10.9,10.9,100,0
2017-04-07,16:15:00,10.88,10.905,10.88,10.905,500,0
2017-04-07,16:20:00,10.9009,10.92,10.9009,10.92,500,0
2017-04-07,16:25:00,10.9,10.9,10.89,10.89,300,0
2017-04-07,16:30:00,10.88,10.8889,10.85,10.86,4330,0
2017-04-07,16:35:00,10.87,10.87,10.83,10.83,700,0
2017-04-07,16:40:00,10.83,10.92,10.83,10.92,2900,0
2017-04-07,16:45:00,10.91,10.91,10.88,10.91,6300,0
2017-04-07,16:50:00,10.9299,10.93,10.91,10.93,1300,0
2017-04-07,16:55:00,10.93,10.93,10.93,10.93,100,0
2017-04-07,17:00:00,10.92,10.92,10.9,10.9,2250,0
2017-04-07,17:05:00,10.91,10.92,10.91,10.92,900,0
2017-04-07,17:10:00,10.9326,10.94,10.9326,10.94,1750,0
2017-04-07,17:15:00,10.9101,10.93,10.91,10.93,3331,0
2017-04-07,17:20:00,10.9214,10.9214,10.9214,10.9214,200,0
2017-04-07,17:25:00,10.91,10.92,10.91,10.92,700,0
2017-04-07,17:30:00,10.93,10.93,10.93,10.93,200,0
2017-04-07,17:35:00,10.97,10.97,10.97,10.97,100,0
2017-04-07,17:40:00,10.94,10.95,10.93,10.95,800,0
2017-04-07,17:45:00,10.93,10.95,10.9,10.94,1613,0
2017-04-07,17:50:00,10.91,10.93,10.91,10.93,500,0
2017-04-07,18:00:00,10.92,10.93,10.92,10.93,900,0
2017-04-07,18:05:00,10.9,10.92,10.9,10.92,200,0
2017-04-07,18:15:00,10.92,10.93,10.91,10.93,1400,0
2017-04-07,18:20:00,10.92,10.92,10.92,10.92,200,0
2017-04-07,18:30:00,10.914,10.93,10.91,10.93,1300,0
2017-04-07,18:35:00,10.93,10.95,10.93,10.94,1000,0
2017-04-07,18:40:00,10.95,10.95,10.95,10.95,100,0
2017-04-07,18:45:00,10.95,10.95,10.95,10.95,100,0
2017-04-07,18:50:00,10.96,10.98,10.96,10.98,700,0
2017-04-07,18:55:00,10.97,10.97,10.959,10.959,200,0
2017-04-07,19:00:00,10.97,10.98,10.97,10.98,300,0
2017-04-07,19:05:00,10.96,10.97,10.949,10.96,1943,0
2017-04-07,19:15:00,10.95,10.97,10.95,10.97,750,0
2017-04-07,19:20:00,10.98,10.99,10.98,10.98,5366,0
2017-04-07,19:25:00,10.97,10.97,10.97,10.97,200,0
2017-04-07,19:30:00,10.97,10.98,10.97,10.98,500,0
2017-04-07,19:35:00,10.9873,10.9873,10.9873,10.9873,1000,0
2017-04-07,19:45:00,10.99,10.99,10.97,10.99,500,0
2017-04-07,19:50:00,10.97,10.984,10.97,10.97,1050,0
2017-04-07,19:55:00,10.97,10.97,10.97,10.97,500,0
2017-04-07,20:00:00,10.95,10.95,10.94,10.94,4650,0
2017-04-07,20:05:00,10.94,10.9499,10.93,10.93,300,0
2017-04-07,20:10:00,10.9499,10.9499,10.94,10.94,1500,0
2017-04-07,20:15:00,10.95,10.95,10.95,10.95,200,0
2017-04-07,20:20:00,10.93,10.95,10.93,10.95,200,0
2017-04-07,20:30:00,10.93,10.95,10.93,10.95,1123,0
2017-04-07,20:35:00,10.94,10.94,10.94,10.94,200,0
2017-04-07,20:40:00,10.96,10.96,10.96,10.96,700,0
2017-04-07,20:45:00,10.94,10.96,10.94,10.95,900,0
2017-04-07,20:50:00,10.94,10.96,10.94,10.96,2000,0
2017-04-07,20:55:00,10.97,10.97,10.97,10.97,100,0
2017-04-07,21:00:00,10.95,10.9667,10.95,10.95,1300,0
2017-04-07,21:05:00,10.946,10.9562,10.946,10.9562,2283,0
2017-04-07,21:15:00,10.96,10.97,10.96,10.97,1300,0
2017-04-07,21:20:00,10.96,10.96,10.95,10.95,1900,0
2017-04-07,21:25:00,10.95,10.955,10.95,10.95,800,0
2017-04-07,21:30:00,10.95,10.96,10.95,10.955,300,0
2017-04-07,21:35:00,10.95,10.95,10.95,10.95,820,0
2017-04-07,21:40:00,10.95,10.96,10.95,10.96,873,0
2017-04-07,21:45:00,10.94,10.95,10.94,10.94,800,0
2017-04-07,21:50:00,10.945,10.96,10.945,10.96,2400,0
2017-04-07,21:55:00,10.96,10.98,10.96,10.98,4731,0
2017-04-07,22:00:00,10.975,11,10.97,10.99,22750,0
2017-04-10,15:35:00,11.01,11.01,10.9689,10.9689,2406,0
2017-04-10,15:50:00,10.99,10.99,10.95,10.98,3132,0
2017-04-10,15:55:00,10.95,10.95,10.95,10.95,200,0
2017-04-10,16:00:00,10.95,10.99,10.95,10.99,1900,0
2017-04-10,16:05:00,10.96,10.96,10.96,10.96,200,0
2017-04-10,16:10:00,10.98,11.01,10.98,10.9986,8637,0
2017-04-10,16:15:00,11,11.02,11,11.02,2400,0
2017-04-10,16:20:00,11.01,11.01,11.01,11.01,200,0
2017-04-10,16:25:00,11.02,11.02,11.005,11.005,593,0
2017-04-10,16:30:00,11.01,11.0254,11.01,11.02,2989,0
2017-04-10,16:35:00,11.015,11.015,11.0125,11.0125,410,0
2017-04-10,16:40:00,11,11,11,11,300,0
2017-04-10,16:45:00,11,11,10.99,11,600,0
2017-04-10,16:50:00,11.02,11.02,11.02,11.02,100,0
2017-04-10,16:55:00,11.0164,11.0164,11.0164,11.0164,500,0
2017-04-10,17:00:00,11,11.0025,11,11.0001,1800,0
2017-04-10,17:05:00,11,11,10.99,10.99,1700,0
2017-04-10,17:10:00,11,11,10.99,10.99,200,0
2017-04-10,17:15:00,10.99,10.99,10.98,10.98,600,0
2017-04-10,17:20:00,10.98,10.98,10.98,10.98,200,0
2017-04-10,17:25:00,10.98,11,10.98,11,400,0
2017-04-10,17:30:00,11,11.01,11,11,1800,0
2017-04-10,17:35:00,11,11,10.99,10.99,582,0
2017-04-10,17:40:00,11.005,11.005,10.99,10.99,400,0
2017-04-10,17:45:00,10.98,10.98,10.98,10.98,600,0
2017-04-10,17:50:00,10.98,10.98,10.96,10.96,1200,0
2017-04-10,17:55:00,10.96,10.97,10.96,10.97,300,0
2017-04-10,18:00:00,10.96,10.96,10.94,10.94,200,0
2017-04-10,18:05:00,10.97,10.97,10.94,10.94,500,0
2017-04-10,18:15:00,10.93,10.9599,10.93,10.93,1444,0
2017-04-10,18:25:00,10.93,10.93,10.93,10.93,100,0
2017-04-10,18:30:00,10.93,10.93,10.93,10.93,300,0
2017-04-10,18:35:00,10.93,10.93,10.93,10.93,200,0
2017-04-10,18:45:00,10.9411,10.9411,10.93,10.94,1300,0
2017-04-10,18:50:00,10.93,10.93,10.93,10.93,300,0
2017-04-10,18:55:00,10.9497,10.9497,10.9497,10.9497,200,0
2017-04-10,19:00:00,10.92,10.92,10.92,10.92,200,0
2017-04-10,19:05:00,10.92,10.9362,10.92,10.9362,300,0
2017-04-10,19:10:00,10.94,10.95,10.93,10.95,1000,0
2017-04-10,19:15:00,10.94,10.94,10.92,10.92,300,0
2017-04-10,19:25:00,10.92,10.92,10.92,10.92,100,0
2017-04-10,19:30:00,10.91,10.91,10.91,10.91,100,0
2017-04-10,19:35:00,10.92,10.92,10.91,10.91,400,0
2017-04-10,19:40:00,10.9126,10.97,10.91,10.97,2760,0
2017-04-10,19:45:00,10.97,10.97,10.96,10.96,300,0
2017-04-10,19:50:00,10.98,10.98,10.98,10.98,100,0
2017-04-10,20:00:00,10.95,10.95,10.95,10.95,100,0
2017-04-10,20:10:00,10.95,10.95,10.95,10.95,100,0
2017-04-10,20:15:00,10.95,10.97,10.95,10.95,3407,0
2017-04-10,20:20:00,10.94,10.94,10.94,10.94,850,0
2017-04-10,20:25:00,10.9466,10.9484,10.94,10.9484,900,0
2017-04-10,20:30:00,10.93,10.93,10.92,10.92,200,0
2017-04-10,20:35:00,10.92,10.92,10.92,10.92,200,0
2017-04-10,20:40:00,10.96,10.96,10.93,10.945,500,0
2017-04-10,20:50:00,10.93,10.93,10.92,10.92,400,0
2017-04-10,20:55:00,10.935,10.94,10.93,10.93,1412,0
2017-04-10,21:00:00,10.92,10.92,10.92,10.92,100,0
2017-04-10,21:05:00,10.94,10.94,10.92,10.92,700,0
2017-04-10,21:10:00,10.93,10.93,10.92,10.93,1000,0
2017-04-10,21:15:00,10.94,10.94,10.92,10.92,800,0
2017-04-10,21:20:00,10.93,10.93,10.92,10.92,200,0
2017-04-10,21:25:00,10.93,10.93,10.92,10.92,200,0
2017-04-10,21:30:00,10.94,10.94,10.91,10.93,1389,0
2017-04-10,21:35:00,10.93,10.938,10.92,10.9272,1896,0
2017-04-10,21:40:00,10.93,10.93,10.93,10.93,800,0
2017-04-10,21:45:00,10.93,10.9301,10.92,10.92,3197,0
2017-04-10,21:50:00,10.93,10.93,10.92,10.93,1800,0
2017-04-10,21:55:00,10.93,10.94,10.93,10.94,1300,0
2017-04-10,22:00:00,10.935,10.96,10.935,10.95,6326,0
2017-04-11,15:35:00,10.93,10.96,10.93,10.96,1777,0
2017-04-11,15:40:00,10.96,10.96,10.96,10.96,100,0
2017-04-11,15:45:00,10.96,10.965,10.95,10.965,500,0
2017-04-11,15:50:00,10.97,10.99,10.97,10.99,200,0
2017-04-11,15:55:00,10.9639,11.01,10.9639,11.01,2485,0
2017-04-11,16:00:00,11,11,11,11,400,0
2017-04-11,16:05:00,11.01,11.03,11.01,11.03,4927,0
2017-04-11,16:10:00,11.0253,11.03,11.0211,11.03,1532,0
2017-04-11,16:15:00,11.0201,11.03,11.001,11.02,1500,0
2017-04-11,16:20:00,11.02,11.02,11,11,700,0
2017-04-11,16:25:00,11.02,11.02,11.0128,11.02,7700,0
2017-04-11,16:30:00,11.02,11.03,11.01,11.01,2100,0
2017-04-11,16:35:00,11.02,11.03,11.02,11.03,800,0
2017-04-11,16:40:00,11.03,11.03,11.03,11.03,2743,0
2017-04-11,16:45:00,11.04,11.1,11.04,11.09,2287,0
2017-04-11,16:50:00,11.07,11.09,11.05,11.09,840,0
2017-04-11,16:55:00,11.09,11.09,11.075,11.09,3200,0
2017-04-11,17:00:00,11.08,11.09,11.06,11.064,1241,0
2017-04-11,17:05:00,11.07,11.09,11.07,11.09,5548,0
2017-04-11,17:10:00,11.08,11.08,11.0743,11.0743,1450,0
2017-04-11,17:15:00,11.08,11.08,11.06,11.08,600,0
2017-04-11,17:20:00,11.08,11.08,11.08,11.08,200,0
2017-04-11,17:25:00,11.08,11.08,11.08,11.08,600,0
2017-04-11,17:30:00,11.06,11.07,11.06,11.06,1600,0
2017-04-11,17:35:00,11.06,11.06,11,11.0271,8550,0
2017-04-11,17:40:00,11.04,11.04,11.03,11.04,800,0
2017-04-11,17:45:00,11.04,11.05,11.04,11.0484,2074,0
2017-04-11,17:50:00,11.05,11.05,11.0401,11.0438,1231,0
2017-04-11,17:55:00,11.045,11.07,11.045,11.07,4445,0
2017-04-11,18:00:00,11.08,11.08,11.0729,11.08,500,0
2017-04-11,18:05:00,11.06,11.08,11.06,11.08,1000,0
2017-04-11,18:10:00,11.08,11.08,11.08,11.08,1600,0
2017-04-11,18:15:00,11.06,11.06,11,11,14965,0
2017-04-11,18:20:00,11.02,11.03,11.001,11.001,1000,0
2017-04-11,18:25:00,11.03,11.03,11.02,11.03,500,0
2017-04-11,18:30:00,11.03,11.05,11.03,11.04,800,0
2017-04-11,18:35:00,11.055,11.055,11.041,11.041,200,0
2017-04-11,18:40:00,11.06,11.06,11.04,11.04,600,0
2017-04-11,18:45:00,11.035,11.035,11.03,11.035,600,0
2017-04-11,18:50:00,11.04,11.0599,11.04,11.0599,2840,0
2017-04-11,18:55:00,11.05,11.06,11.05,11.06,300,0
2017-04-11,19:00:00,11.06,11.06,11.06,11.06,100,0
2017-04-11,19:05:00,11.06,11.06,11.045,11.06,555,0
2017-04-11,19:10:00,11.05,11.055,11.05,11.05,900,0
2017-04-11,19:15:00,11.04,11.04,11.04,11.04,200,0
2017-04-11,19:25:00,11.04,11.08,11.04,11.07,5500,0
2017-04-11,19:30:00,11.07,11.07,11.07,11.07,100,0
2017-04-11,19:35:00,11.06,11.07,11.06,11.07,1300,0
2017-04-11,19:40:00,11.08,11.08,11.059,11.08,740,0
2017-04-11,19:45:00,11.07,11.0773,11.06,11.07,5000,0
2017-04-11,19:50:00,11.06,11.07,11.06,11.07,300,0
2017-04-11,19:55:00,11.06,11.066,11.06,11.066,1200,0
2017-04-11,20:00:00,11.05,11.07,11.05,11.0532,1600,0
2017-04-11,20:05:00,11.07,11.07,11.06,11.069,2200,0
2017-04-11,20:10:00,11.0699,11.07,11.0699,11.07,2300,0
2017-04-11,20:15:00,11.065,11.065,11.0572,11.0572,2120,0
2017-04-11,20:20:00,11.05,11.06,11.05,11.06,300,0
2017-04-11,20:25:00,11.07,11.07,11.0501,11.0501,200,0
2017-04-11,20:30:00,11.07,11.07,11.07,11.07,200,0
2017-04-11,20:35:00,11.07,11.07,11.07,11.07,300,0
2017-04-11,20:40:00,11.07,11.07,11.07,11.07,200,0
2017-04-11,20:45:00,11.0749,11.08,11.07,11.08,3900,0
2017-04-11,20:50:00,11.08,11.08,11.0614,11.075,1600,0
2017-04-11,20:55:00,11.08,11.08,11.075,11.075,400,0
2017-04-11,21:00:00,11.08,11.08,11.07,11.07,200,0
2017-04-11,21:05:00,11.07,11.08,11.07,11.08,393,0
2017-04-11,21:10:00,11.07,11.08,11.07,11.08,2750,0
2017-04-11,21:15:00,11.07,11.08,11.06,11.08,900,0
2017-04-11,21:20:00,11.0776,11.08,11.0776,11.08,600,0
2017-04-11,21:30:00,11.08,11.08,11.07,11.07,1400,0
2017-04-11,21:35:00,11.08,11.08,11.07,11.07,800,0
2017-04-11,21:40:00,11.07,11.08,11.07,11.071,1400,0
2017-04-11,21:45:00,11.07,11.07,11.06,11.07,1246,0
2017-04-11,21:50:00,11.07,11.07,11.06,11.06,200,0
2017-04-11,21:55:00,11.06,11.0614,11.06,11.06,1203,0
2017-04-11,22:00:00,11.05,11.07,11.05,11.06,9214,0
2017-04-12,15:35:00,11.04,11.07,11.04,11.07,2072,0
2017-04-12,15:40:00,11.03,11.07,11.03,11.07,500,0
2017-04-12,15:45:00,11.07,11.08,11.07,11.08,3100,0
2017-04-12,15:55:00,11.07,11.08,11.07,11.08,595,0
2017-04-12,16:00:00,11.08,11.09,11.08,11.08,1000,0
2017-04-12,16:05:00,11.075,11.08,11.07,11.08,2400,0
2017-04-12,16:10:00,11.0617,11.0799,11.06,11.07,4100,0
2017-04-12,16:15:00,11.075,11.08,11.06,11.07,5500,0
2017-04-12,16:20:00,11.07,11.07,11.07,11.07,100,0
2017-04-12,16:25:00,11.075,11.08,11.07,11.07,600,0
2017-04-12,16:30:00,11.07,11.09,11.07,11.0843,1550,0
2017-04-12,16:35:00,11.09,11.09,11.08,11.08,1454,0
2017-04-12,16:40:00,11.08,11.09,11.07,11.085,1100,0
2017-04-12,16:45:00,11.08,11.11,11.08,11.105,9678,0
2017-04-12,16:50:00,11.105,11.105,11.1,11.1,1400,0
2017-04-12,16:55:00,11.09,11.11,11.09,11.11,400,0
2017-04-12,17:00:00,11.1,11.105,11.1,11.1026,1050,0
2017-04-12,17:05:00,11.1,11.12,11.1,11.11,11376,0
2017-04-12,17:10:00,11.11,11.15,11.11,11.15,4000,0
2017-04-12,17:15:00,11.15,11.15,11.14,11.15,1219,0
2017-04-12,17:20:00,11.1499,11.15,11.14,11.145,4900,0
2017-04-12,17:25:00,11.13,11.14,11.13,11.14,3500,0
2017-04-12,17:30:00,11.14,11.14,11.13,11.14,3206,0
2017-04-12,17:35:00,11.1349,11.1349,11.1349,11.1349,318,0
2017-04-12,17:40:00,11.1368,11.14,11.13,11.14,557,0
2017-04-12,17:45:00,11.13,11.14,11.13,11.13,400,0
2017-04-12,17:50:00,11.13,11.135,11.13,11.135,800,0
2017-04-12,17:55:00,11.1399,11.1399,11.1399,11.1399,100,0
2017-04-12,18:00:00,11.14,11.14,11.14,11.14,100,0
2017-04-12,18:05:00,11.136,11.15,11.135,11.15,3700,0
2017-04-12,18:10:00,11.1404,11.145,11.14,11.145,5600,0
2017-04-12,18:15:00,11.14,11.15,11.14,11.15,2625,0
2017-04-12,18:20:00,11.145,11.15,11.14,11.14,7605,0
2017-04-12,18:30:00,11.1346,11.135,11.12,11.13,3500,0
2017-04-12,18:40:00,11.1299,11.1299,11.1299,11.1299,100,0
2017-04-12,18:45:00,11.115,11.115,11.115,11.115,269,0
2017-04-12,18:50:00,11.14,11.14,11.11,11.11,300,0
2017-04-12,18:55:00,11.125,11.125,11.12,11.1225,1900,0
2017-04-12,19:00:00,11.14,11.14,11.12,11.13,1000,0
2017-04-12,19:05:00,11.12,11.12,11.12,11.12,100,0
2017-04-12,19:10:00,11.12,11.12,11.11,11.11,3258,0
2017-04-12,19:20:00,11.1,11.1,11.09,11.09,1100,0
2017-04-12,19:25:00,11.0846,11.09,11.07,11.07,1650,0
2017-04-12,19:30:00,11.0735,11.0735,11.05,11.0635,835,0
2017-04-12,19:35:00,11.06,11.06,11.06,11.06,200,0
2017-04-12,19:40:00,11.06,11.07,11.06,11.07,500,0
2017-04-12,19:45:00,11.06,11.0699,11.06,11.06,600,0
2017-04-12,19:50:00,11.06,11.0633,11.06,11.0633,300,0
2017-04-12,19:55:00,11.06,11.06,11.06,11.06,500,0
2017-04-12,20:00:00,11.06,11.06,11.06,11.06,2900,0
2017-04-12,20:05:00,11.06,11.06,11.04,11.04,700,0
2017-04-12,20:10:00,11.05,11.05,11.04,11.04,1186,0
2017-04-12,20:15:00,11.06,11.06,11.06,11.06,100,0
2017-04-12,20:20:00,11.05,11.0599,11.05,11.0599,400,0
2017-04-12,20:30:00,11.04,11.04,11.04,11.04,100,0
2017-04-12,20:35:00,11.0407,11.0407,11.03,11.03,300,0
2017-04-12,20:45:00,11.06,11.06,11.0432,11.05,700,0
2017-04-12,20:50:00,11.06,11.06,11.0552,11.06,4200,0
2017-04-12,20:55:00,11.06,11.06,11.06,11.06,100,0
2017-04-12,21:00:00,11.04,11.06,11.04,11.05,5208,0
2017-04-12,21:05:00,11.059,11.059,11.059,11.059,100,0
2017-04-12,21:10:00,11.05,11.05,11.05,11.05,223,0
2017-04-12,21:15:00,11.06,11.06,11.05,11.05,500,0
2017-04-12,21:20:00,11.05,11.05,11.04,11.04,300,0
2017-04-12,21:25:00,11.05,11.06,11.05,11.06,506,0
2017-04-12,21:35:00,11.06,11.06,11.05,11.05,1400,0
2017-04-12,21:40:00,11.0401,11.05,11.0401,11.05,816,0
2017-04-12,21:45:00,11.0549,11.06,11.05,11.06,1100,0
2017-04-12,21:50:00,11.06,11.06,11.06,11.06,200,0
2017-04-12,21:55:00,11.06,11.07,11.05,11.06,1300,0
2017-04-12,22:00:00,11.06,11.07,11.03,11.03,16910,0
2017-04-13,15:35:00,11.01,11.05,11.01,11.05,3063,0
2017-04-13,15:40:00,11.05,11.07,11.03,11.06,1100,0
2017-04-13,15:45:00,11.03,11.05,11.01,11.03,2478,0
2017-04-13,15:55:00,10.99,10.99,10.99,10.99,600,0
2017-04-13,16:00:00,10.99,11.01,10.99,11.01,1662,0
2017-04-13,16:05:00,11.04,11.0425,11.0232,11.0232,450,0
2017-04-13,16:10:00,11.0209,11.05,11.0209,11.05,400,0
2017-04-13,16:15:00,11.0599,11.06,11.04,11.05,6100,0
2017-04-13,16:20:00,11.07,11.07,11.07,11.07,100,0
2017-04-13,16:25:00,11.067,11.07,11.06,11.06,1400,0
2017-04-13,16:30:00,11.065,11.07,11.06,11.06,700,0
2017-04-13,16:35:00,11.07,11.11,11.05,11.11,7496,0
2017-04-13,16:40:00,11.09,11.12,11.08,11.095,13838,0
2017-04-13,16:45:00,11.1,11.1,11.1,11.1,790,0
2017-04-13,16:50:00,11.1,11.1,11.1,11.1,300,0
2017-04-13,16:55:00,11.11,11.13,11.11,11.13,1016,0
2017-04-13,17:00:00,11.13,11.13,11.1227,11.1227,550,0
2017-04-13,17:05:00,11.11,11.12,11.11,11.115,1100,0
2017-04-13,17:10:00,11.1,11.13,11.1,11.13,400,0
2017-04-13,17:15:00,11.13,11.14,11.13,11.14,506,0
2017-04-13,17:20:00,11.13,11.14,11.13,11.13,500,0
2017-04-13,17:25:00,11.13,11.13,11.13,11.13,300,0
2017-04-13,17:30:00,11.12,11.12,11.1,11.1,7782,0
2017-04-13,17:35:00,11.09,11.1,11.06,11.09,3900,0
2017-04-13,17:40:00,11.09,11.11,11.07,11.07,2900,0
2017-04-13,17:45:00,11.07,11.09,11.07,11.07,1077,0
2017-04-13,17:50:00,11.07,11.07,11.06,11.07,363,0
2017-04-13,17:55:00,11.05,11.09,11.05,11.08,2807,0
2017-04-13,18:00:00,11.06,11.06,11.06,11.06,300,0
2017-04-13,18:05:00,11.0512,11.07,11.05,11.06,2300,0
2017-04-13,18:10:00,11.04,11.04,11.02,11.02,900,0
2017-04-13,18:15:00,11.05,11.05,11.05,11.05,100,0
2017-04-13,18:20:00,11.0448,11.05,11.03,11.03,1133,0
2017-04-13,18:25:00,11.0457,11.0457,11.03,11.04,1000,0
2017-04-13,18:30:00,11.04,11.04,11.03,11.03,200,0
2017-04-13,18:35:00,11.05,11.05,11.05,11.05,1150,0
2017-04-13,18:40:00,11.05,11.05,11.05,11.05,400,0
2017-04-13,18:50:00,11.04,11.04,11.04,11.04,300,0
2017-04-13,19:00:00,11.05,11.07,11.05,11.07,200,0
2017-04-13,19:05:00,11.05,11.07,11.05,11.07,500,0
2017-04-13,19:10:00,11.0516,11.07,11.0516,11.07,5200,0
2017-04-13,19:15:00,11.06,11.06,11.05,11.05,900,0
2017-04-13,19:25:00,11.04,11.04,11.02,11.02,500,0
2017-04-13,19:30:00,11.01,11.02,11.01,11.015,422,0
2017-04-13,19:35:00,11.0101,11.03,11.0101,11.03,3409,0
2017-04-13,19:40:00,11.01,11.02,11.01,11.02,400,0
2017-04-13,19:45:00,11.03,11.03,11,11,800,0
2017-04-13,19:50:00,11.0001,11.01,11,11,1700,0
2017-04-13,19:55:00,11,11,10.98,10.9895,5759,0
2017-04-13,20:00:00,10.9887,11,10.9834,10.99,4050,0
2017-04-13,20:05:00,10.99,11.01,10.99,11.01,1560,0
2017-04-13,20:10:00,11.01,11.02,11.01,11.02,1273,0
2017-04-13,20:15:00,11.04,11.09,11.02,11.09,5111,0
2017-04-13,20:20:00,11.08,11.08,11.08,11.08,300,0
2017-04-13,20:25:00,11.08,11.09,11.08,11.09,750,0
2017-04-13,20:30:00,11.08,11.09,11.08,11.08,500,0
