Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-21,14:35:00,12.35,12.35,12.15,12.35,3289,0
2017-03-21,14:40:00,12.315,12.315,12.315,12.315,1209,0
2017-03-21,14:50:00,12.3326,12.3326,12.3326,12.3326,1260,0
2017-03-21,14:55:00,12.25,12.35,12.25,12.35,875,0
2017-03-21,15:30:00,12.1,12.1,12.1,12.1,3000,0
2017-03-21,15:35:00,12.1,12.1,12.1,12.1,400,0
2017-03-21,15:45:00,12.15,12.15,12.15,12.15,677,0
2017-03-21,16:05:00,12.15,12.15,12.15,12.15,100,0
2017-03-21,16:10:00,12.1,12.1,12.1,12.1,2994,0
2017-03-21,16:15:00,12.055,12.055,12.055,12.055,1200,0
2017-03-21,16:20:00,12.1,12.1,12.05,12.05,4263,0
2017-03-21,16:25:00,12,12.05,11.95,12.05,30700,0
2017-03-21,16:35:00,11.9822,12,11.9822,12,930,0
2017-03-21,16:45:00,12,12,12,12,100,0
2017-03-21,17:10:00,12,12,12,12,100,0
2017-03-21,17:15:00,12.05,12.05,12.05,12.05,100,0
2017-03-21,17:25:00,12.05,12.05,12.05,12.05,100,0
2017-03-21,17:35:00,12.05,12.05,12.05,12.05,100,0
2017-03-21,17:40:00,12,12.05,12,12.05,1200,0
2017-03-21,17:50:00,12.05,12.05,11.968,11.968,530,0
2017-03-21,18:00:00,12.05,12.05,12.05,12.05,200,0
2017-03-21,18:10:00,11.95,12,11.95,12,544,0
2017-03-21,18:15:00,11.95,11.95,11.95,11.95,935,0
2017-03-21,18:20:00,11.95,11.95,11.95,11.95,300,0
2017-03-21,18:35:00,12,12,12,12,100,0
2017-03-21,19:05:00,11.896,11.896,11.896,11.896,230,0
2017-03-21,19:10:00,11.85,11.85,11.85,11.85,145,0
2017-03-21,19:15:00,11.85,11.85,11.85,11.85,100,0
2017-03-21,19:45:00,11.8,11.8118,11.6,11.7,3925,0
2017-03-21,19:50:00,11.62,11.62,11.4,11.5,3947,0
2017-03-21,19:55:00,11.45,11.45,11.45,11.45,100,0
2017-03-21,20:10:00,11.44,11.5,11.44,11.5,300,0
2017-03-21,20:15:00,11.55,11.65,11.55,11.65,200,0
2017-03-21,20:35:00,11.65,11.65,11.45,11.45,700,0
2017-03-21,20:40:00,11.52,11.645,11.52,11.645,2400,0
2017-03-21,20:45:00,11.5322,11.5322,11.5322,11.5322,350,0
2017-03-21,20:55:00,11.59,11.6,11.59,11.6,1100,0
2017-03-22,14:35:00,11.85,11.85,11.85,11.85,575,0
2017-03-22,14:45:00,11.65,11.65,11.65,11.65,200,0
2017-03-22,14:55:00,11.6731,11.6731,11.6731,11.6731,889,0
2017-03-22,15:00:00,11.8,11.8,11.8,11.8,100,0
2017-03-22,15:05:00,11.8,11.8,11.8,11.8,100,0
2017-03-22,15:25:00,11.6,11.6,11.6,11.6,100,0
2017-03-22,15:35:00,11.8,11.8,11.8,11.8,100,0
2017-03-22,15:40:00,11.7,11.7,11.7,11.7,100,0
2017-03-22,16:00:00,11.5365,11.5365,11.5365,11.5365,150,0
2017-03-22,16:10:00,11.525,11.65,11.5,11.55,2339,0
2017-03-22,16:15:00,11.65,11.65,11.65,11.65,200,0
2017-03-22,16:20:00,11.65,11.65,11.65,11.65,100,0
2017-03-22,16:25:00,11.625,11.625,11.4,11.4,1285,0
2017-03-22,16:40:00,11.4,11.4,11.4,11.4,100,0
2017-03-22,16:45:00,11.45,11.45,11.3,11.3,900,0
2017-03-22,17:00:00,11.35,11.35,11.35,11.35,100,0
2017-03-22,17:05:00,11.35,11.35,11.35,11.35,100,0
