Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-07-18,17:40:00,13.5,13.5,13.5,13.5,200,0
2016-07-18,18:00:00,13.29,13.29,13.19,13.19,2700,0
2016-07-18,18:05:00,12.75,12.75,12.75,12.75,7836,0
2016-07-18,19:05:00,13.15,13.15,13.15,13.15,200,0
2016-07-18,19:10:00,13.15,13.15,13.15,13.15,100,0
2016-07-18,19:50:00,12.9,13,12.9,13,428,0
2016-07-18,21:05:00,12.9,12.94,12.9,12.94,1700,0
2016-07-18,21:10:00,13,13,13,13,708,0
2016-07-19,18:00:00,12.9,12.9,12.9,12.9,2000,0
2016-07-19,18:05:00,12.9,12.9,12.9,12.9,1200,0
2016-07-19,18:50:00,12.82,12.88,12.8,12.88,528,0
2016-07-19,18:55:00,12.8,12.8,12.8,12.8,428,0
2016-07-19,19:00:00,12.8,12.8,12.8,12.8,428,0
2016-07-19,19:05:00,12.8,12.8,12.8,12.8,428,0
2016-07-19,19:25:00,12.84,12.88,12.84,12.88,728,0
2016-07-19,19:35:00,12.83,12.83,12.82,12.82,200,0
2016-07-20,15:35:00,12.57,12.57,12.57,12.57,428,0
2016-07-20,16:30:00,12.65,12.65,12.65,12.65,400,0
2016-07-20,16:50:00,12.86,12.86,12.85,12.85,1500,0
2016-07-20,17:05:00,12.91,12.91,12.91,12.91,1875,0
2016-07-20,17:15:00,12.92,12.93,12.91,12.91,500,0
2016-07-20,17:50:00,12.93,12.93,12.93,12.93,100,0
2016-07-20,17:55:00,12.91,12.946,12.91,12.946,300,0
2016-07-20,18:05:00,12.982,13,12.982,12.99,1369,0
2016-07-20,18:40:00,12.91,12.91,12.91,12.91,100,0
2016-07-20,19:40:00,12.92,12.92,12.92,12.92,428,0
2016-07-20,19:55:00,12.92,12.92,12.92,12.92,200,0
2016-07-20,20:15:00,12.93,12.966,12.57,12.57,2088,0
2016-07-20,20:20:00,12.66,12.66,12.66,12.66,300,0
2016-07-20,20:30:00,12.57,12.57,12.57,12.57,100,0
2016-07-20,21:00:00,12.57,12.57,12.57,12.57,100,0
2016-07-20,21:20:00,12.75,12.75,12.75,12.75,100,0
2016-07-20,21:30:00,12.75,12.75,12.75,12.75,100,0
2016-07-20,21:50:00,12.75,12.75,12.75,12.75,300,0
2016-07-20,21:55:00,12.9,12.92,12.9,12.92,2324,0
2016-07-20,22:00:00,12.765,12.78,12.75,12.78,1400,0
2016-07-21,17:25:00,12.75,12.75,12.75,12.75,1100,0
2016-07-21,18:30:00,12.75,12.75,12.75,12.75,1110,0
2016-07-21,20:20:00,12.75,12.79,12.75,12.79,300,0
2016-07-21,20:50:00,12.7566,12.7566,12.7566,12.7566,1200,0
2016-07-21,20:55:00,12.75,12.756,12.75,12.75,1532,0
2016-07-21,21:05:00,12.75,12.75,12.75,12.75,500,0
2016-07-21,21:15:00,12.75,12.75,12.75,12.75,228,0
2016-07-21,21:30:00,12.75,12.75,12.75,12.75,500,0
2016-07-21,22:00:00,12.75,12.756,12.75,12.756,1000,0
2016-07-22,15:35:00,12.57,12.5943,12.57,12.5943,878,0
2016-07-22,16:00:00,12.74,12.75,12.74,12.75,2100,0
2016-07-22,16:10:00,12.7601,12.7601,12.7601,12.7601,1000,0
2016-07-22,16:15:00,12.79,12.85,12.79,12.8,2400,0
2016-07-22,16:20:00,12.8,12.8,12.8,12.8,100,0
2016-07-22,16:40:00,12.75,12.75,12.75,12.75,2428,0
2016-07-22,18:10:00,12.75,12.75,12.75,12.75,427,0
2016-07-22,18:35:00,12.7999,12.7999,12.7999,12.7999,400,0
2016-07-22,19:20:00,12.75,12.75,12.75,12.75,100,0
2016-07-22,20:15:00,12.75,12.75,12.75,12.75,1875,0
2016-07-22,20:30:00,12.75,12.75,12.75,12.75,500,0
2016-07-22,21:45:00,12.75,12.7501,12.75,12.75,1200,0
2016-07-22,21:50:00,12.75,12.75,12.75,12.75,100,0
2016-07-22,21:55:00,12.75,12.75,12.75,12.75,200,0
2016-07-22,22:00:00,12.75,12.75,12.75,12.75,100,0
2016-07-25,16:55:00,12.75,12.75,12.75,12.75,497,0
2016-07-25,21:45:00,12.59,12.59,12.571,12.571,428,0
2016-07-25,22:00:00,12.58,12.58,12.58,12.58,100,0
2016-07-26,16:20:00,12.57,12.57,12.57,12.57,200,0
2016-07-26,16:50:00,12.56,12.58,12.56,12.58,700,0
2016-07-26,18:10:00,12.5,12.5,12.5,12.5,1500,0
2016-07-26,19:15:00,12.5,12.5,12.5,12.5,250,0
2016-07-27,21:40:00,12.2701,12.29,12.27,12.27,1800,0
2016-07-27,21:45:00,12.25,12.2501,12.25,12.2501,1700,0
2016-07-27,21:50:00,12.27,12.27,12.27,12.27,500,0
2016-07-28,16:00:00,12.27,12.27,12.27,12.27,100,0
2016-07-28,16:30:00,12.27,12.27,12.27,12.27,428,0
2016-07-28,17:05:00,12.3,12.3,12.3,12.3,500,0
2016-07-28,17:50:00,12.34,12.34,12.34,12.34,300,0
2016-07-28,18:00:00,12.31,12.31,12.31,12.31,300,0
2016-07-28,18:15:00,12.3881,12.3881,12.3881,12.3881,637,0
2016-07-28,19:25:00,12.388,12.388,12.388,12.388,680,0
2016-07-28,19:40:00,12.3878,12.3878,12.3878,12.3878,903,0
2016-07-28,19:50:00,12.4,12.4,12.4,12.4,528,0
2016-07-28,19:55:00,12.4799,12.4799,12.42,12.43,2600,0
2016-07-28,20:05:00,12.4137,12.43,12.4137,12.4294,1386,0
2016-07-28,20:10:00,12.4568,12.4799,12.4568,12.4791,1114,0
2016-07-28,20:15:00,12.47,12.47,12.47,12.47,100,0
2016-07-28,20:30:00,12.48,12.48,12.48,12.48,428,0
2016-07-28,21:10:00,12.4801,12.4801,12.4801,12.4801,1000,0
2016-07-28,21:30:00,12.48,12.48,12.4791,12.4791,400,0
2016-07-29,18:55:00,12.4019,12.4019,12.4019,12.4019,428,0
2016-07-29,22:00:00,12.35,12.35,12.35,12.35,100,0
2016-08-01,19:00:00,12.4,12.4,12.4,12.4,1088,0
2016-08-01,19:55:00,12.4,12.5,12.4,12.5,1500,0
2016-08-01,21:30:00,12.4001,12.4001,12.4001,12.4001,428,0
2016-08-02,16:05:00,12.3722,12.3722,12.3722,12.3722,428,0
2016-08-02,17:50:00,12.3936,12.3999,12.3936,12.3997,872,0
2016-08-02,17:55:00,12.35,12.35,12.35,12.35,428,0
2016-08-02,18:45:00,12.3501,12.3753,12.3501,12.3753,1000,0
2016-08-03,15:35:00,12.35,12.35,12.35,12.35,428,0
2016-08-03,18:00:00,12.42,12.42,12.42,12.42,1000,0
2016-08-03,20:35:00,12.35,12.35,12.35,12.35,856,0
2016-08-03,20:55:00,12.35,12.35,12.35,12.35,100,0
2016-08-03,21:05:00,12.3599,12.36,12.3599,12.36,1000,0
2016-08-03,21:20:00,12.369,12.369,12.369,12.369,815,0
2016-08-03,22:00:00,12.37,12.403,12.37,12.4,1400,0
2016-08-04,15:50:00,12.4,12.4,12.4,12.4,400,0
2016-08-04,18:30:00,12.4421,12.4421,12.4421,12.4421,428,0
2016-08-04,22:00:00,12.4,12.4,12.4,12.4,100,0
2016-08-05,17:00:00,12.45,12.45,12.45,12.45,428,0
2016-08-05,17:05:00,12.47,12.47,12.4,12.4,372,0
2016-08-05,19:05:00,12.47,12.47,12.47,12.47,1052,0
2016-08-05,19:25:00,12.47,12.47,12.47,12.47,552,0
2016-08-05,19:40:00,12.47,12.47,12.4,12.4,2100,0
2016-08-08,15:40:00,12.4,12.4,12.4,12.4,8469,0
2016-08-08,22:00:00,12.37,12.37,12.37,12.37,209,0
2016-08-09,17:20:00,12.38,12.38,12.38,12.38,300,0
2016-08-09,17:30:00,12.365,12.38,12.365,12.38,600,0
2016-08-09,21:20:00,12.4,12.4,12.38,12.38,8500,0
2016-08-10,18:20:00,12.3501,12.38,12.3501,12.38,600,0
2016-08-11,21:00:00,12.38,12.38,12.3501,12.38,900,0
2016-08-12,16:00:00,12.38,12.398,12.38,12.398,1000,0
2016-08-12,20:40:00,12.4,12.4,12.4,12.4,400,0
2016-08-15,16:45:00,12.3992,12.3992,12.3992,12.3992,1000,0
2016-08-15,17:00:00,12.3992,12.3992,12.38,12.38,3000,0
2016-08-16,18:05:00,12.5,12.5,12.5,12.5,2808,0
2016-08-16,19:25:00,12.39,12.4,12.3801,12.4,6016,0
2016-08-16,19:45:00,12.49,12.49,12.48,12.48,1955,0
2016-08-16,20:15:00,12.48,12.49,12.48,12.49,945,0
2016-08-16,21:30:00,12.4,12.4,12.4,12.4,100,0
2016-08-16,21:50:00,12.43,12.43,12.43,12.43,100,0
2016-08-17,16:05:00,12.6942,12.6942,12.6942,12.6942,252,0
2016-08-18,16:25:00,12.7,12.7,12.69,12.7,2600,0
2016-08-18,16:30:00,12.7,12.7,12.7,12.7,600,0
2016-08-18,16:35:00,12.7,12.7,12.3801,12.3801,340,0
2016-08-18,17:10:00,12.7,12.7,12.67,12.7,2600,0
2016-08-18,17:40:00,12.7,12.7,12.7,12.7,300,0
2016-08-18,18:40:00,12.7,12.7,12.7,12.7,100,0
2016-08-18,18:50:00,12.7,12.7,12.7,12.7,600,0
2016-08-18,19:05:00,12.7,12.7,12.7,12.7,400,0
2016-08-18,19:20:00,12.7,12.7,12.57,12.57,3700,0
2016-08-18,21:40:00,12.45,12.45,12.45,12.45,800,0
2016-08-18,22:00:00,12.45,12.45,12.45,12.45,600,0
2016-08-19,17:55:00,12.555,12.555,12.555,12.555,200,0
2016-08-19,20:05:00,12.6,12.6,12.6,12.6,200,0
2016-08-19,20:45:00,12.6,12.6,12.6,12.6,200,0
2016-08-19,21:00:00,12.505,12.505,12.505,12.505,200,0
2016-08-19,21:15:00,12.505,12.505,12.505,12.505,100,0
2016-08-22,21:10:00,12.52,12.52,12.52,12.52,460,0
2016-08-22,21:50:00,12.59,12.5999,12.58,12.59,2500,0
2016-08-22,22:00:00,12.43,12.43,12.43,12.43,100,0
2016-08-24,15:50:00,12.5,12.5,12.5,12.5,4183,0
2016-08-24,16:00:00,12.5999,12.5999,12.5999,12.5999,1813,0
2016-08-24,16:45:00,12.5445,12.5499,12.54,12.54,700,0
