Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-28,15:35:00,1.19,1.19,1.19,1.19,505,0
2017-02-28,15:40:00,1.1712,1.1712,1.1712,1.1712,4000,0
2017-02-28,15:55:00,1.16,1.16,1.16,1.16,1400,0
2017-02-28,16:00:00,1.15,1.15,1.15,1.15,400,0
2017-02-28,16:05:00,1.14,1.14,1.14,1.14,600,0
2017-02-28,16:35:00,1.14,1.14,1.14,1.14,200,0
2017-02-28,16:40:00,1.16,1.16,1.16,1.16,200,0
2017-02-28,18:05:00,1.17,1.17,1.17,1.17,200,0
2017-02-28,18:35:00,1.1401,1.1442,1.14,1.1442,3900,0
2017-02-28,18:55:00,1.15,1.15,1.15,1.15,300,0
2017-02-28,19:00:00,1.16,1.16,1.16,1.16,100,0
2017-02-28,19:05:00,1.1457,1.1457,1.1457,1.1457,1000,0
2017-02-28,19:20:00,1.16,1.16,1.16,1.16,200,0
2017-02-28,19:30:00,1.14,1.14,1.14,1.14,200,0
2017-02-28,20:35:00,1.13,1.13,1.13,1.13,450,0
2017-02-28,20:50:00,1.1301,1.14,1.12,1.1301,15206,0
2017-02-28,21:00:00,1.12,1.1217,1.11,1.1117,9500,0
2017-02-28,21:20:00,1.12,1.12,1.12,1.12,500,0
2017-02-28,21:25:00,1.14,1.14,1.14,1.14,100,0
2017-02-28,21:40:00,1.13,1.13,1.13,1.13,100,0
2017-02-28,21:50:00,1.11,1.12,1.02,1.12,17529,0
2017-02-28,22:00:00,1.12,1.13,1.11,1.11,1664,0
2017-03-01,15:35:00,1.11,1.11,1.11,1.11,245,0
2017-03-01,15:40:00,1.085,1.085,1.085,1.085,650,0
2017-03-01,15:55:00,1.0967,1.0967,1.0967,1.0967,200,0
2017-03-01,16:00:00,1.09,1.1,1.09,1.1,900,0
2017-03-01,16:10:00,1.1,1.1,1.1,1.1,100,0
2017-03-01,16:15:00,1.1072,1.1072,1.1072,1.1072,500,0
2017-03-01,16:25:00,1.1002,1.1002,1.1002,1.1002,2624,0
2017-03-01,16:30:00,1.1,1.1082,1.1,1.1082,5300,0
2017-03-01,16:45:00,1.11,1.11,1.1,1.1,4200,0
2017-03-01,16:50:00,1.11,1.11,1.11,1.11,200,0
2017-03-01,18:10:00,1.1002,1.1002,1.1,1.1,2100,0
2017-03-01,18:30:00,1.1022,1.1022,1.1022,1.1022,300,0
2017-03-01,18:50:00,1.1052,1.1052,1.1052,1.1052,1000,0
2017-03-01,19:10:00,1.102,1.102,1.102,1.102,100,0
2017-03-01,19:25:00,1.105,1.105,1.105,1.105,400,0
2017-03-01,20:30:00,1.11,1.11,1.11,1.11,200,0
2017-03-01,21:05:00,1.102,1.102,1.102,1.102,150,0
2017-03-01,21:30:00,1.1,1.1,1.1,1.1,500,0
2017-03-01,21:35:00,1.105,1.11,1.105,1.11,600,0
2017-03-01,21:40:00,1.1,1.1,1.1,1.1,1000,0
2017-03-01,21:50:00,1.11,1.11,1.11,1.11,100,0
2017-03-01,22:00:00,1.1,1.1,1.1,1.1,464,0
2017-03-02,15:35:00,1.08,1.1,1.08,1.1,1309,0
2017-03-02,15:50:00,1.084,1.084,1.084,1.084,500,0
2017-03-02,16:35:00,1.11,1.11,1.1,1.1,480,0
2017-03-02,16:55:00,1.1,1.1,1.1,1.1,200,0
2017-03-02,17:00:00,1.0967,1.0967,1.0967,1.0967,295,0
2017-03-02,17:25:00,1.09,1.09,1.08,1.08,800,0
2017-03-02,18:20:00,1.1,1.1,1.1,1.1,100,0
2017-03-02,18:45:00,1.0918,1.0918,1.0917,1.0917,962,0
2017-03-02,18:50:00,1.09,1.09,1.09,1.09,100,0
2017-03-02,19:15:00,1.11,1.11,1.11,1.11,100,0
2017-03-02,19:20:00,1.11,1.11,1.11,1.11,100,0
