Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,68.91,68.96,68.88,68.88,2828,0
2017-04-05,15:45:00,68.6651,68.6651,68.6651,68.6651,250,0
2017-04-05,15:50:00,68.734,68.734,68.5747,68.585,1450,0
2017-04-05,15:55:00,68.4601,68.64,68.4601,68.4801,4950,0
2017-04-05,16:00:00,68.55,68.64,68.55,68.64,900,0
2017-04-05,16:05:00,68.6147,68.6147,68.5,68.5,1076,0
2017-04-05,16:10:00,68.55,68.57,68.515,68.54,988,0
2017-04-05,16:15:00,68.57,68.57,68.57,68.57,400,0
2017-04-05,16:20:00,68.57,68.57,68.478,68.57,1635,0
2017-04-05,16:25:00,68.57,68.57,68.46,68.51,1700,0
2017-04-05,16:30:00,68.46,68.53,68.45,68.45,3900,0
2017-04-05,16:35:00,68.436,68.436,68.436,68.436,300,0
2017-04-05,16:40:00,68.4295,68.4295,68.37,68.37,300,0
2017-04-05,16:45:00,68.365,68.37,68.35,68.37,1200,0
2017-04-05,16:55:00,68.36,68.38,68.355,68.355,400,0
2017-04-05,17:00:00,68.36,68.36,68.3503,68.3503,400,0
2017-04-05,17:10:00,68.33,68.38,68.33,68.38,500,0
2017-04-05,17:15:00,68.25,68.37,68.25,68.37,552,0
2017-04-05,17:35:00,68.34,68.3894,68.305,68.3894,1400,0
2017-04-05,17:40:00,68.37,68.4299,68.34,68.34,535,0
2017-04-05,17:45:00,68.33,68.33,68.28,68.28,600,0
2017-04-05,17:50:00,68.3471,68.3471,68.22,68.29,1145,0
2017-04-05,17:55:00,68.301,68.301,68.3,68.3,500,0
2017-04-05,18:05:00,68.2529,68.3,68.17,68.17,1670,0
2017-04-05,18:10:00,68.31,68.31,68.31,68.31,175,0
2017-04-05,18:25:00,68.1501,68.1942,68.15,68.1942,660,0
2017-04-05,18:35:00,68.1545,68.1545,68,68.014,1013,0
2017-04-05,18:40:00,67.961,67.961,67.897,67.9329,780,0
2017-04-05,18:45:00,67.89,67.89,67.89,67.89,100,0
2017-04-05,18:50:00,67.8378,67.91,67.8378,67.8988,570,0
2017-04-05,18:55:00,67.86,67.8918,67.86,67.8918,570,0
2017-04-05,19:00:00,67.895,67.95,67.86,67.95,2415,0
2017-04-05,19:10:00,68.04,68.04,67.97,67.97,1100,0
2017-04-05,19:20:00,67.9508,67.9508,67.95,67.95,300,0
2017-04-05,19:40:00,68.026,68.026,68.026,68.026,200,0
2017-04-05,19:45:00,67.98,67.98,67.87,67.905,1000,0
2017-04-05,19:50:00,67.9,67.95,67.85,67.94,2434,0
2017-04-05,19:55:00,67.94,67.95,67.85,67.85,900,0
2017-04-05,20:00:00,67.91,68.01,67.85,68.01,1500,0
2017-04-05,20:05:00,67.95,67.96,67.925,67.925,1033,0
2017-04-05,20:10:00,67.97,67.98,67.97,67.98,300,0
2017-04-05,20:15:00,67.9745,67.9745,67.9745,67.9745,300,0
2017-04-05,20:20:00,67.99,68,67.99,68,200,0
2017-04-05,20:25:00,68.132,68.132,68.132,68.132,211,0
2017-04-05,20:50:00,68.1075,68.11,68.1075,68.11,370,0
2017-04-05,20:55:00,68.0555,68.1299,67.9261,67.9261,967,0
2017-04-05,21:00:00,67.94,67.96,67.94,67.96,200,0
2017-04-05,21:10:00,67.9,68.03,67.9,67.99,800,0
2017-04-05,21:15:00,67.99,67.99,67.92,67.92,400,0
2017-04-05,21:20:00,67.88,67.95,67.88,67.95,2205,0
2017-04-05,21:25:00,67.8966,67.97,67.87,67.95,5008,0
2017-04-05,21:30:00,67.945,68,67.91,67.96,1787,0
2017-04-05,21:35:00,67.85,67.92,67.85,67.915,2157,0
2017-04-05,21:40:00,67.915,67.93,67.8601,67.8934,1365,0
2017-04-05,21:45:00,67.93,67.95,67.93,67.93,600,0
2017-04-05,21:50:00,67.92,67.95,67.91,67.92,1500,0
2017-04-05,21:55:00,67.88,67.99,67.88,67.99,2798,0
2017-04-05,22:00:00,68.06,68.12,67.92,68.04,3489,0
2017-04-06,15:35:00,68.73,69.25,68.73,69.25,4912,0
2017-04-06,15:40:00,69.07,69.34,69.07,69.34,1075,0
2017-04-06,15:45:00,69.1121,69.2103,68.8,68.8,900,0
2017-04-06,15:50:00,69.185,69.185,68.7101,68.7101,1367,0
2017-04-06,15:55:00,68.9183,69.08,68.9183,69,763,0
2017-04-06,16:00:00,69,69.07,68.9532,69.07,5425,0
2017-04-06,16:05:00,68.8643,68.8643,68.8643,68.8643,100,0
2017-04-06,16:10:00,68.7529,68.85,68.7529,68.85,1338,0
2017-04-06,16:15:00,68.7964,68.84,68.71,68.7599,2389,0
2017-04-06,16:20:00,68.7574,68.7574,68.7574,68.7574,1000,0
2017-04-06,16:25:00,68.72,68.789,68.71,68.71,400,0
2017-04-06,16:30:00,68.799,68.799,68.69,68.7623,400,0
2017-04-06,16:40:00,68.72,68.72,68.72,68.72,100,0
2017-04-06,16:50:00,68.685,68.685,68.685,68.685,100,0
2017-04-06,16:55:00,68.7,68.78,68.7,68.78,400,0
2017-04-06,17:00:00,68.71,68.744,68.71,68.744,300,0
2017-04-06,17:15:00,68.839,68.839,68.839,68.839,285,0
2017-04-06,17:20:00,68.7217,68.7217,68.7,68.7,250,0
2017-04-06,17:30:00,68.7476,68.7476,68.7476,68.7476,100,0
2017-04-06,17:35:00,68.7,68.7,68.7,68.7,400,0
2017-04-06,17:40:00,68.7006,68.7599,68.7,68.7599,575,0
2017-04-06,17:50:00,68.66,68.66,68.66,68.66,100,0
2017-04-06,17:55:00,68.71,68.71,68.71,68.71,100,0
2017-04-06,18:00:00,68.7213,68.7213,68.664,68.69,400,0
2017-04-06,18:05:00,68.8,68.8,68.8,68.8,275,0
2017-04-06,18:15:00,68.65,68.66,68.64,68.64,400,0
