Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,10.25,10.35,10.25,10.284,9662,0
2017-03-30,15:45:00,10.332,10.3681,10.332,10.3681,800,0
2017-03-30,15:50:00,10.3,10.3,10.25,10.25,200,0
2017-03-30,16:00:00,10.3,10.3,10.3,10.3,100,0
2017-03-30,16:10:00,10.2,10.3,10.2,10.2,500,0
2017-03-30,16:15:00,10.2,10.2,10.2,10.2,700,0
2017-03-30,16:20:00,10.2,10.2,10.1689,10.1689,1700,0
2017-03-30,16:30:00,10.15,10.15,10.15,10.15,300,0
2017-03-30,16:35:00,10.15,10.15,10.1,10.1,1771,0
2017-03-30,16:40:00,10.05,10.0535,10,10,3623,0
2017-03-30,16:45:00,10,10.05,10,10.05,1395,0
2017-03-30,17:05:00,10,10,10,10,100,0
2017-03-30,17:10:00,10,10.05,10,10.05,1089,0
2017-03-30,17:15:00,10,10,9.95,9.9535,1961,0
2017-03-30,17:35:00,10,10,9.95,9.95,200,0
2017-03-30,17:40:00,9.9965,9.9965,9.9965,9.9965,500,0
2017-03-30,17:50:00,9.95,9.9992,9.95,9.9992,300,0
2017-03-30,17:55:00,9.9505,9.9505,9.9505,9.9505,250,0
2017-03-30,18:00:00,9.9965,9.9965,9.9965,9.9965,100,0
2017-03-30,18:10:00,9.9965,9.9965,9.9781,9.9965,700,0
2017-03-30,18:15:00,9.9799,9.9799,9.9799,9.9799,150,0
2017-03-30,18:20:00,9.9989,9.9989,9.9989,9.9989,100,0
2017-03-30,18:25:00,10,10,9.9965,9.9965,200,0
2017-03-30,18:35:00,9.95,9.95,9.95,9.95,1100,0
2017-03-30,18:40:00,9.9,9.9,9.85,9.85,1400,0
2017-03-30,18:45:00,9.75,9.75,9.75,9.75,100,0
2017-03-30,18:50:00,9.8,9.8,9.75,9.8,2000,0
2017-03-30,19:00:00,9.8,9.8,9.775,9.8,1900,0
2017-03-30,19:05:00,9.8,9.8148,9.75,9.8,4100,0
2017-03-30,19:10:00,9.7999,9.85,9.775,9.8,900,0
2017-03-30,19:20:00,9.8843,9.8843,9.8843,9.8843,200,0
2017-03-30,19:25:00,9.8,9.8,9.8,9.8,100,0
2017-03-30,19:30:00,9.9,9.9,9.9,9.9,100,0
2017-03-30,19:35:00,9.8965,9.8965,9.8965,9.8965,100,0
2017-03-30,19:40:00,9.9,9.9465,9.9,9.9465,1254,0
2017-03-30,19:50:00,9.9465,9.9465,9.9465,9.9465,200,0
2017-03-30,19:55:00,9.9465,9.9465,9.9465,9.9465,100,0
2017-03-30,20:05:00,9.95,9.95,9.9,9.9,400,0
2017-03-30,20:15:00,9.9465,9.9465,9.9,9.9465,400,0
2017-03-30,20:20:00,9.925,9.982,9.925,9.982,2400,0
2017-03-30,20:25:00,9.95,9.9965,9.95,9.9965,200,0
2017-03-30,20:30:00,9.9965,9.9965,9.9965,9.9965,100,0
2017-03-30,20:45:00,9.975,9.975,9.975,9.975,200,0
2017-03-30,20:50:00,9.9535,9.9535,9.9535,9.9535,200,0
2017-03-30,20:55:00,9.975,9.975,9.975,9.975,100,0
2017-03-30,21:05:00,10,10,10,10,100,0
2017-03-30,21:15:00,9.95,9.9965,9.95,9.975,400,0
2017-03-30,21:20:00,9.95,9.975,9.95,9.975,200,0
2017-03-30,21:25:00,9.975,9.975,9.975,9.975,100,0
2017-03-30,21:45:00,9.975,10,9.975,10,4820,0
2017-03-30,21:50:00,10,10,10,10,100,0
2017-03-30,21:55:00,10.05,10.05,10,10,400,0
2017-03-30,22:00:00,10,10.05,10,10,2329,0
2017-03-31,15:35:00,10,10,10,10,194,0
2017-03-31,15:40:00,10.0747,10.125,10.05,10.125,1000,0
2017-03-31,16:00:00,10.0855,10.0855,10.057,10.057,447,0
2017-03-31,16:20:00,10.05,10.05,10.05,10.05,2921,0
2017-03-31,16:25:00,10.05,10.05,10.05,10.05,200,0
2017-03-31,16:30:00,10.1,10.1,10.1,10.1,800,0
2017-03-31,16:35:00,10.05,10.1,10.05,10.1,600,0
2017-03-31,16:40:00,10.05,10.05,10.05,10.05,100,0
2017-03-31,17:05:00,10.1,10.15,10.1,10.15,200,0
2017-03-31,17:20:00,10.05,10.05,10.05,10.05,100,0
2017-03-31,17:25:00,10.1,10.1,10.1,10.1,200,0
2017-03-31,17:45:00,10.05,10.05,10.05,10.05,100,0
2017-03-31,18:35:00,10,10,10,10,100,0
2017-03-31,19:30:00,10,10,10,10,100,0
2017-03-31,19:35:00,10,10.084,10,10.084,200,0
2017-03-31,20:40:00,10,10,10,10,100,0
2017-03-31,21:00:00,10.05,10.05,10.05,10.05,300,0
2017-03-31,21:25:00,10.05,10.05,10.05,10.05,100,0
2017-03-31,21:30:00,10.05,10.05,10.05,10.05,300,0
2017-03-31,21:40:00,10.05,10.05,10.05,10.05,100,0
2017-03-31,21:50:00,10.05,10.1,10,10.05,2959,0
2017-03-31,21:55:00,10,10.025,10,10,2356,0
2017-03-31,22:00:00,10,10,9.95,9.95,16221,0
2017-04-03,15:35:00,10.05,10.05,10.05,10.05,600,0
2017-04-03,15:55:00,10.1,10.1,10.1,10.1,100,0
2017-04-03,16:05:00,10.05,10.1,10.05,10.1,300,0
2017-04-03,16:10:00,10.05,10.05,10.05,10.05,100,0
2017-04-03,16:15:00,10.05,10.05,10.05,10.05,100,0
2017-04-03,16:20:00,10.1,10.1,10.05,10.05,700,0
2017-04-03,16:25:00,10.075,10.075,10.075,10.075,200,0
2017-04-03,16:30:00,10.1,10.15,10.1,10.15,1600,0
2017-04-03,16:45:00,10.15,10.15,10.05,10.15,800,0
2017-04-03,17:05:00,10.15,10.15,10.05,10.05,600,0
2017-04-03,17:20:00,10.15,10.15,10.15,10.15,200,0
