Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-02,15:35:00,25.98,26,25.98,26,1088,0
2017-03-02,15:40:00,26.1901,26.1901,26.15,26.15,800,0
2017-03-02,16:05:00,26.23,26.27,26.23,26.27,200,0
2017-03-02,16:45:00,26.2,26.2,26.2,26.2,500,0
2017-03-02,16:50:00,26.34,26.34,26.34,26.34,300,0
2017-03-02,16:55:00,26.3797,26.3797,26.2573,26.2573,1100,0
2017-03-02,17:00:00,26.2956,26.2956,26.2956,26.2956,200,0
2017-03-02,17:10:00,26.4163,26.4163,26.41,26.4163,800,0
2017-03-02,17:35:00,26.51,26.51,26.51,26.51,100,0
2017-03-02,17:40:00,26.5593,26.5593,26.5593,26.5593,300,0
2017-03-02,18:10:00,26.259,26.259,26.141,26.141,700,0
2017-03-02,18:25:00,26.26,26.26,26.26,26.26,100,0
2017-03-02,18:55:00,26.49,26.49,26.49,26.49,200,0
2017-03-02,19:05:00,26.44,26.44,26.44,26.44,100,0
2017-03-02,19:15:00,26.555,26.555,26.555,26.555,700,0
2017-03-02,19:30:00,26.53,26.53,26.53,26.53,300,0
2017-03-02,19:50:00,26.71,26.71,26.65,26.65,400,0
2017-03-02,19:55:00,26.8,26.81,26.75,26.75,700,0
2017-03-02,20:10:00,26.73,26.73,26.72,26.72,210,0
2017-03-02,21:00:00,26.5,26.5,26.5,26.5,600,0
2017-03-02,21:20:00,26.57,26.57,26.57,26.57,200,0
2017-03-02,21:25:00,26.56,26.56,26.51,26.51,200,0
2017-03-02,21:35:00,26.62,26.63,26.62,26.63,200,0
2017-03-02,21:45:00,26.65,26.71,26.65,26.71,900,0
2017-03-02,21:50:00,26.7201,26.7201,26.7201,26.7201,200,0
2017-03-02,22:00:00,26.78,26.78,26.73,26.73,1600,0
2017-03-03,15:35:00,26.5495,26.73,26.5495,26.73,500,0
2017-03-03,15:55:00,26.73,26.73,26.73,26.73,600,0
2017-03-03,16:30:00,26.54,26.54,26.52,26.52,400,0
2017-03-03,16:55:00,26.34,26.347,26.34,26.347,1000,0
2017-03-03,17:00:00,26.11,26.11,26.11,26.11,100,0
2017-03-03,17:25:00,26.38,26.39,26.3506,26.3506,957,0
2017-03-03,17:30:00,26.31,26.35,26.31,26.35,400,0
2017-03-03,17:35:00,26.43,26.43,26.43,26.43,100,0
2017-03-03,17:45:00,26.3574,26.38,26.3574,26.38,400,0
2017-03-03,18:25:00,26.77,26.77,26.77,26.77,100,0
2017-03-03,18:45:00,26.62,26.62,26.62,26.62,100,0
2017-03-03,18:50:00,26.64,26.64,26.64,26.64,180,0
2017-03-03,19:05:00,26.75,26.75,26.75,26.75,1000,0
2017-03-03,19:10:00,26.69,26.69,26.69,26.69,100,0
2017-03-03,19:45:00,26.9,26.9,26.88,26.88,200,0
2017-03-03,20:05:00,26.75,26.75,26.75,26.75,100,0
2017-03-03,21:05:00,27,27,26.98,26.98,200,0
2017-03-03,21:10:00,27.02,27.02,27.02,27.02,100,0
2017-03-03,21:15:00,27.17,27.17,27.17,27.17,100,0
2017-03-03,21:30:00,26.99,27.039,26.99,27.039,850,0
2017-03-03,21:55:00,26.92,26.923,26.86,26.86,500,0
2017-03-03,22:00:00,26.89,26.97,26.88,26.9,1000,0
2017-03-06,15:35:00,26.74,27.1799,26.66,27.1799,2750,0
2017-03-06,15:40:00,27.18,27.18,27.18,27.18,200,0
2017-03-06,15:45:00,27.18,27.18,27.18,27.18,645,0
2017-03-06,16:15:00,26.61,26.62,26.47,26.47,1750,0
2017-03-06,16:25:00,26.45,26.45,26.45,26.45,100,0
2017-03-06,16:30:00,26.57,26.57,26.57,26.57,300,0
2017-03-06,17:05:00,26.7327,26.7327,26.7327,26.7327,900,0
2017-03-06,17:10:00,26.66,26.66,26.66,26.66,300,0
2017-03-06,17:15:00,26.6,26.6,26.6,26.6,100,0
2017-03-06,18:05:00,26.54,26.54,26.54,26.54,100,0
2017-03-06,19:05:00,26.45,26.45,26.45,26.45,100,0
2017-03-06,19:15:00,26.37,26.38,26.36,26.38,300,0
2017-03-06,19:40:00,26.1263,26.1263,26.1263,26.1263,283,0
2017-03-06,19:45:00,26.27,26.27,26.27,26.27,200,0
2017-03-06,20:30:00,26.359,26.359,26.359,26.359,500,0
2017-03-06,21:10:00,26.1903,26.1903,26.16,26.1708,468,0
2017-03-06,21:20:00,26.25,26.25,26.25,26.25,100,0
2017-03-06,21:40:00,26.14,26.14,26.14,26.14,100,0
2017-03-06,21:45:00,26.23,26.23,26.23,26.23,100,0
2017-03-06,21:55:00,26.22,26.22,26.22,26.22,200,0
2017-03-06,22:00:00,26.2,26.22,26.2,26.22,623,0
2017-03-07,15:35:00,26.11,26.22,26.11,26.22,600,0
2017-03-07,15:40:00,26.15,26.41,26.15,26.41,300,0
2017-03-07,16:15:00,26.5,26.57,26.5,26.57,400,0
2017-03-07,17:10:00,26.85,26.85,26.85,26.85,300,0
2017-03-07,17:20:00,26.9071,26.9071,26.9071,26.9071,200,0
2017-03-07,17:40:00,26.91,26.9555,26.91,26.9555,200,0
2017-03-07,18:00:00,26.72,26.72,26.72,26.72,100,0
2017-03-07,19:20:00,26.83,26.83,26.83,26.83,100,0
2017-03-07,20:30:00,26.89,26.89,26.89,26.89,400,0
2017-03-07,20:55:00,26.96,26.96,26.96,26.96,500,0
2017-03-07,21:20:00,26.81,26.81,26.81,26.81,370,0
2017-03-07,21:40:00,26.93,27,26.93,27,700,0
2017-03-07,21:45:00,27,27.05,26.96,27.03,2326,0
2017-03-07,21:50:00,27.06,27.06,27.06,27.06,200,0
2017-03-07,21:55:00,27.1,27.1,27.03,27.0538,1300,0
2017-03-07,22:00:00,27.0413,27.0413,26.98,27,1700,0
2017-03-08,15:40:00,27.54,27.54,27.4374,27.4374,700,0
2017-03-08,16:05:00,27.05,27.06,27.05,27.06,750,0
2017-03-08,16:10:00,27.31,27.31,27.31,27.31,100,0
2017-03-08,16:15:00,27.4397,27.4397,27.4397,27.4397,200,0
2017-03-08,16:20:00,27.391,27.391,27.391,27.391,100,0
2017-03-08,16:30:00,27.1723,27.1723,27.1723,27.1723,100,0
2017-03-08,16:40:00,27.07,27.17,27.07,27.17,600,0
2017-03-08,16:45:00,27.1672,27.1672,27.1672,27.1672,237,0
2017-03-08,16:55:00,27.11,27.11,27.11,27.11,100,0
2017-03-08,17:10:00,27.28,27.5,27.28,27.5,700,0
2017-03-08,17:25:00,27.8003,27.8312,27.8003,27.8312,400,0
2017-03-08,17:30:00,27.8,27.85,27.8,27.85,400,0
2017-03-08,17:55:00,28.228,28.228,28.228,28.228,200,0
2017-03-08,18:10:00,28.55,28.55,28.55,28.55,1000,0
2017-03-08,18:15:00,28.6,28.65,28.6,28.63,600,0
2017-03-08,18:25:00,28.94,28.99,28.94,28.99,1300,0
2017-03-08,18:30:00,29.0736,29.0736,29.0736,29.0736,197,0
2017-03-08,18:35:00,29.06,29.0601,29.06,29.06,1616,0
2017-03-08,18:40:00,29.02,29.0452,29.02,29.0452,2000,0
2017-03-08,18:45:00,28.9,28.924,28.9,28.924,200,0
2017-03-08,18:50:00,28.76,28.76,28.76,28.76,200,0
2017-03-08,19:10:00,28.96,28.9842,28.96,28.9842,200,0
2017-03-08,19:35:00,28.96,28.96,28.96,28.96,100,0
2017-03-08,19:50:00,29.193,29.193,29.193,29.193,700,0
2017-03-08,19:55:00,29.3,29.3,29.3,29.3,500,0
2017-03-08,20:05:00,29.34,29.35,29.34,29.35,800,0
2017-03-08,20:20:00,29.56,29.56,29.56,29.56,100,0
2017-03-08,20:40:00,29.36,29.36,29.36,29.36,100,0
2017-03-08,21:35:00,29.81,29.81,29.81,29.81,100,0
2017-03-08,21:40:00,29.9,29.9,29.9,29.9,250,0
2017-03-08,21:45:00,30,30.07,30,30.07,200,0
2017-03-08,21:50:00,30.0951,30.0951,30.0951,30.0951,100,0
2017-03-08,21:55:00,30.15,30.16,30.12,30.12,1000,0
2017-03-08,22:00:00,29.98,30.09,29.98,30.09,1508,0
2017-03-09,15:35:00,30.18,30.5943,30.18,30.255,712,0
2017-03-09,15:40:00,30.2,30.2,30.09,30.09,714,0
2017-03-09,15:45:00,30.03,30.03,30.03,30.03,1000,0
2017-03-09,15:55:00,30.25,30.25,30.25,30.25,100,0
2017-03-09,16:00:00,30.5,30.5,30.5,30.5,500,0
2017-03-09,16:25:00,30.5,30.5,30.5,30.5,100,0
2017-03-09,16:40:00,30.97,30.97,30.97,30.97,100,0
2017-03-09,16:55:00,30.89,30.89,30.89,30.89,143,0
2017-03-09,17:10:00,30.54,30.62,30.54,30.62,429,0
2017-03-09,18:10:00,31.2,31.2,31.2,31.2,359,0
2017-03-09,18:55:00,31.72,31.72,31.72,31.72,2600,0
2017-03-09,19:00:00,31.8399,31.8399,31.6147,31.6147,500,0
2017-03-09,19:05:00,31.5108,31.5108,31.42,31.42,642,0
2017-03-09,19:15:00,31.39,31.39,31.39,31.39,100,0
2017-03-09,19:35:00,31.57,31.57,31.57,31.57,152,0
2017-03-09,19:40:00,31.51,31.55,31.51,31.55,300,0
2017-03-09,19:50:00,31.68,31.68,31.68,31.68,100,0
2017-03-09,19:55:00,31.58,31.58,31.58,31.58,200,0
2017-03-09,20:00:00,31.65,31.65,31.65,31.65,100,0
2017-03-09,20:10:00,31.46,31.5072,31.46,31.5072,200,0
2017-03-09,20:30:00,31.2432,31.2432,31.2432,31.2432,100,0
2017-03-09,20:40:00,31.28,31.28,31.28,31.28,200,0
2017-03-09,21:10:00,31.07,31.1999,31.07,31.1999,534,0
2017-03-09,21:15:00,30.5521,30.5521,30.5,30.5,1120,0
2017-03-09,21:35:00,30,30,30,30,300,0
2017-03-09,21:45:00,29.5117,29.5118,29.48,29.5117,1900,0
2017-03-09,21:50:00,29.39,29.39,29.3531,29.3531,400,0
2017-03-09,21:55:00,29.4,29.57,29.4,29.57,400,0
2017-03-09,22:00:00,29.53,29.55,29.5,29.54,500,0
2017-03-10,15:35:00,29.29,29.29,28.75,28.75,326,0
2017-03-10,15:40:00,28.97,28.97,28.97,28.97,1800,0
2017-03-10,15:45:00,29.161,29.3299,29.161,29.3299,867,0
2017-03-10,15:55:00,28.91,28.91,28.91,28.91,100,0
2017-03-10,16:00:00,29.14,29.14,29.0293,29.0293,300,0
2017-03-10,16:10:00,29.4401,29.4895,29.4401,29.46,300,0
2017-03-10,16:20:00,29.3,29.355,29.3,29.355,1100,0
2017-03-10,16:35:00,29.76,29.7601,29.75,29.75,1900,0
