Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-10,14:45:00,19.413,19.413,19.335,19.384,1667,0
2015-03-16,15:50:00,18.997,18.997,18.997,18.997,1043,0
2015-03-16,21:00:00,19.008,19.008,19.008,19.008,327,0
2015-03-19,15:05:00,19.044,19.044,19.044,19.044,683,0
2015-03-23,18:40:00,19.178,19.178,19.178,19.178,102,0
2015-03-23,18:45:00,19.161,19.161,19.141,19.141,204,0
2015-03-23,19:10:00,19.026,19.052,18.997,18.997,1931,0
2015-03-25,14:35:00,18.997,18.997,18.997,18.997,361,0
2015-03-25,14:45:00,18.997,18.997,18.997,18.997,582,0
2015-03-26,16:05:00,18.997,18.997,18.997,18.997,411,0
2015-03-30,15:35:00,18.997,18.997,18.997,18.997,785,0
2015-03-31,21:35:00,18.997,18.997,18.997,18.997,254,0
2015-04-08,19:40:00,18.997,18.997,18.967,18.967,888,0
2015-04-08,19:45:00,18.967,18.967,18.967,18.967,414,0
2015-04-10,16:40:00,19.62,19.62,19.62,19.62,101,0
2015-04-10,21:35:00,19.217,19.217,19.208,19.208,4141,0
2015-04-10,21:40:00,19.218,19.218,19.209,19.218,1551,0
2015-04-10,22:00:00,19.227,19.227,19.218,19.218,202,0
2015-04-13,15:45:00,19.218,19.218,19.218,19.218,1551,0
2015-04-13,17:10:00,19.315,19.315,19.315,19.315,411,0
2015-04-13,19:10:00,19.467,19.467,19.467,19.467,252,0
2015-04-13,20:50:00,19.472,19.472,19.472,19.472,202,0
2015-04-14,19:15:00,19.218,19.218,19.218,19.218,520,0
2015-04-14,21:30:00,19.57,19.57,19.57,19.57,101,0
2015-04-15,18:40:00,19.267,19.277,19.218,19.218,625,0
2015-04-15,19:15:00,19.218,19.218,19.218,19.218,202,0
2015-04-15,20:25:00,19.218,19.218,19.218,19.218,1,0
2015-04-15,21:35:00,19.267,19.267,19.267,19.267,2590,0
2015-04-15,21:45:00,19.267,19.267,19.267,19.267,625,0
2015-04-16,15:35:00,19.218,19.267,19.124,19.218,1293,0
