Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,17.5,17.5,17.5,17.5,381,0
2017-04-05,15:45:00,17.55,17.55,17.35,17.55,2210,0
2017-04-05,15:50:00,17.55,17.6,17.55,17.6,200,0
2017-04-05,15:55:00,17.65,17.65,17.5,17.55,7283,0
2017-04-05,16:00:00,17.6,17.65,17.6,17.6,300,0
2017-04-05,16:10:00,17.555,17.555,17.5,17.525,3819,0
2017-04-05,16:15:00,17.45,17.45,17.45,17.45,100,0
2017-04-05,16:20:00,17.5,17.5,17.5,17.5,100,0
2017-04-05,16:25:00,17.45,17.45,17.3,17.4,1200,0
2017-04-05,16:30:00,17.35,17.35,17.35,17.35,300,0
2017-04-05,16:35:00,17.3,17.3,17.2,17.25,1600,0
2017-04-05,16:45:00,17.25,17.25,17.25,17.25,100,0
2017-04-05,16:55:00,17.3,17.3,17.25,17.25,200,0
2017-04-05,17:00:00,17.25,17.25,17.225,17.25,400,0
2017-04-05,17:05:00,17.3,17.35,17.25,17.25,1800,0
2017-04-05,17:10:00,17.25,17.3,17.2,17.2,993,0
2017-04-05,17:15:00,17.15,17.15,17.1,17.15,2500,0
2017-04-05,17:20:00,17.175,17.2,17.1,17.1,1300,0
2017-04-05,17:25:00,17.075,17.1,17.06,17.1,1016,0
2017-04-05,17:30:00,17.05,17.05,16.9,16.9,1800,0
2017-04-05,17:35:00,16.95,17.1,16.95,17.1,900,0
2017-04-05,17:40:00,17.1,17.125,17.1,17.125,400,0
2017-04-05,17:45:00,17.15,17.175,17.055,17.055,5992,0
2017-04-05,17:50:00,17.125,17.125,17.1,17.1,500,0
2017-04-05,18:00:00,17.1,17.1,17.1,17.1,1000,0
2017-04-05,18:05:00,17.05,17.05,17.05,17.05,200,0
2017-04-05,18:10:00,17.1,17.1,17.1,17.1,1470,0
2017-04-05,18:15:00,17.15,17.15,17.15,17.15,200,0
2017-04-05,18:20:00,17.2,17.2,17.2,17.2,100,0
2017-04-05,18:25:00,17.2,17.2,17.2,17.2,1399,0
2017-04-05,18:30:00,17.15,17.175,17.1,17.1,1100,0
2017-04-05,18:35:00,17.1,17.15,17.05,17.1,1900,0
2017-04-05,18:50:00,17.15,17.15,17.15,17.15,100,0
2017-04-05,18:55:00,17.1,17.15,17.1,17.15,300,0
2017-04-05,19:05:00,17.15,17.15,17.15,17.15,200,0
2017-04-05,19:15:00,17.2,17.2,17.2,17.2,100,0
2017-04-05,19:20:00,17.175,17.175,17.175,17.175,100,0
2017-04-05,19:25:00,17.15,17.15,17.05,17.05,1580,0
2017-04-05,19:35:00,17.05,17.05,17.05,17.05,100,0
2017-04-05,19:40:00,17.05,17.05,17.05,17.05,100,0
2017-04-05,19:45:00,17.05,17.05,17.05,17.05,2100,0
2017-04-05,19:50:00,17.025,17.025,17,17,200,0
2017-04-05,19:55:00,17,17,17,17,100,0
2017-04-05,20:00:00,17.05,17.05,17.05,17.05,600,0
2017-04-05,20:05:00,17.1,17.15,17.1,17.15,1600,0
2017-04-05,20:10:00,17.1317,17.175,17.1317,17.175,838,0
2017-04-05,20:15:00,17.175,17.2,17.15,17.15,2200,0
2017-04-05,20:25:00,17.1,17.1,17.05,17.05,1200,0
2017-04-05,20:30:00,17,17.025,17,17.025,400,0
2017-04-05,20:35:00,17.05,17.075,17.05,17.05,2596,0
2017-04-05,20:50:00,17.05,17.1,17,17,3500,0
2017-04-05,20:55:00,17,17,16.8,16.9,6047,0
2017-04-05,21:00:00,16.9,16.9,16.9,16.9,500,0
2017-04-05,21:05:00,16.95,16.95,16.95,16.95,3410,0
2017-04-05,21:10:00,16.975,17,16.95,16.95,900,0
2017-04-05,21:15:00,16.95,16.95,16.725,16.8,12216,0
2017-04-05,21:20:00,16.775,16.9,16.775,16.85,4200,0
2017-04-05,21:25:00,16.85,16.85,16.75,16.8,2052,0
2017-04-05,21:30:00,16.81,16.85,16.8,16.85,1800,0
2017-04-05,21:35:00,16.8,16.825,16.75,16.8,6400,0
2017-04-05,21:40:00,16.8,16.8,16.8,16.8,800,0
2017-04-05,21:45:00,16.75,16.85,16.75,16.775,2100,0
2017-04-05,21:50:00,16.775,16.8,16.7,16.7,4326,0
2017-04-05,21:55:00,16.75,16.825,16.75,16.8,4412,0
2017-04-05,22:00:00,16.8,16.85,16.75,16.8,14925,0
2017-04-06,15:35:00,16.85,16.85,16.79,16.79,1205,0
2017-04-06,15:40:00,16.75,16.75,16.75,16.75,200,0
2017-04-06,15:50:00,16.65,16.65,16.6,16.6,1000,0
2017-04-06,15:55:00,16.65,16.7,16.6,16.7,1980,0
2017-04-06,16:00:00,16.7,16.7,16.7,16.7,100,0
2017-04-06,16:05:00,16.7,16.7,16.7,16.7,100,0
2017-04-06,16:10:00,16.75,16.8,16.75,16.8,700,0
2017-04-06,16:15:00,16.8,16.8,16.8,16.8,100,0
2017-04-06,16:30:00,16.7,16.75,16.7,16.75,1500,0
2017-04-06,16:45:00,16.75,16.75,16.7,16.7,300,0
2017-04-06,16:50:00,16.8,16.8,16.775,16.775,400,0
2017-04-06,16:55:00,16.76,16.76,16.75,16.75,2300,0
2017-04-06,17:00:00,16.75,16.75,16.725,16.725,300,0
2017-04-06,17:05:00,16.725,16.775,16.725,16.75,1100,0
2017-04-06,17:10:00,16.7,16.7,16.7,16.7,100,0
2017-04-06,17:15:00,16.725,16.725,16.7,16.7,3540,0
2017-04-06,17:25:00,16.65,16.85,16.65,16.85,3664,0
2017-04-06,17:30:00,16.9,16.925,16.875,16.925,500,0
2017-04-06,17:35:00,16.9,16.9,16.85,16.85,600,0
2017-04-06,17:40:00,16.85,16.85,16.85,16.85,500,0
2017-04-06,17:50:00,16.85,16.9,16.8,16.8,2300,0
2017-04-06,18:05:00,16.8,16.8,16.75,16.775,3000,0
2017-04-06,18:10:00,16.75,16.775,16.75,16.775,200,0
2017-04-06,18:15:00,16.75,16.75,16.725,16.725,200,0
2017-04-06,18:20:00,16.725,16.725,16.7,16.7,2074,0
2017-04-06,18:25:00,16.75,16.75,16.725,16.725,1500,0
2017-04-06,18:35:00,16.725,16.8,16.725,16.8,1697,0
2017-04-06,18:40:00,16.8,16.8,16.725,16.725,1195,0
2017-04-06,18:45:00,16.7,16.7,16.7,16.7,600,0
2017-04-06,18:50:00,16.65,16.7,16.65,16.7,500,0
2017-04-06,19:00:00,16.75,16.775,16.75,16.775,400,0
2017-04-06,19:05:00,16.8,16.825,16.8,16.825,400,0
2017-04-06,19:10:00,16.825,16.9,16.8,16.9,600,0
2017-04-06,19:15:00,16.9,16.9,16.9,16.9,600,0
2017-04-06,19:20:00,16.9,16.9,16.875,16.9,5900,0
2017-04-06,19:25:00,16.9,16.9,16.9,16.9,1100,0
2017-04-06,19:30:00,16.9,16.95,16.85,16.925,8315,0
2017-04-06,19:35:00,16.95,16.95,16.95,16.95,600,0
2017-04-06,19:40:00,16.95,16.95,16.95,16.95,400,0
2017-04-06,19:45:00,16.95,16.95,16.95,16.95,400,0
2017-04-06,19:50:00,16.95,16.95,16.95,16.95,100,0
2017-04-06,19:55:00,16.95,16.95,16.95,16.95,100,0
2017-04-06,20:00:00,16.95,16.975,16.95,16.975,1000,0
2017-04-06,20:05:00,16.975,16.975,16.95,16.95,1549,0
2017-04-06,20:10:00,16.9,16.9,16.9,16.9,400,0
2017-04-06,20:20:00,16.9,16.95,16.9,16.95,633,0
2017-04-06,20:25:00,16.925,16.925,16.925,16.925,600,0
2017-04-06,20:30:00,16.925,16.925,16.85,16.85,1200,0
2017-04-06,20:35:00,16.85,16.85,16.825,16.825,200,0
2017-04-06,20:40:00,16.85,16.9,16.85,16.9,399,0
2017-04-06,20:45:00,16.9,16.9,16.875,16.875,1659,0
2017-04-06,20:50:00,16.9,16.9,16.8,16.8,2200,0
2017-04-06,20:55:00,16.825,16.825,16.8,16.8,200,0
2017-04-06,21:00:00,16.825,16.825,16.8,16.8,800,0
2017-04-06,21:05:00,16.8,16.825,16.8,16.825,1200,0
2017-04-06,21:10:00,16.8,16.8,16.775,16.8,1569,0
2017-04-06,21:15:00,16.8,16.8,16.8,16.8,600,0
2017-04-06,21:20:00,16.8,16.85,16.8,16.85,500,0
2017-04-06,21:25:00,16.8,16.85,16.8,16.825,1000,0
2017-04-06,21:30:00,16.825,16.825,16.825,16.825,700,0
2017-04-06,21:35:00,16.825,16.85,16.775,16.8,1200,0
2017-04-06,21:40:00,16.8,16.9,16.8,16.9,2200,0
2017-04-06,21:50:00,16.9,16.9,16.9,16.9,1700,0
2017-04-06,21:55:00,16.875,16.9,16.85,16.875,600,0
2017-04-06,22:00:00,16.85,16.9,16.85,16.9,2071,0
2017-04-07,15:35:00,16.65,16.65,16.65,16.65,2100,0
2017-04-07,15:40:00,16.75,16.75,16.75,16.75,330,0
2017-04-07,15:45:00,16.8,16.8,16.75,16.75,1400,0
2017-04-07,15:50:00,16.75,16.75,16.75,16.75,100,0
2017-04-07,15:55:00,16.7,16.7,16.7,16.7,856,0
2017-04-07,16:00:00,16.65,16.65,16.65,16.65,200,0
2017-04-07,16:05:00,16.6,16.65,16.6,16.65,274,0
2017-04-07,16:10:00,16.65,16.65,16.65,16.65,500,0
2017-04-07,16:20:00,16.7,16.7,16.7,16.7,665,0
2017-04-07,16:25:00,16.7,16.75,16.7,16.75,400,0
2017-04-07,16:30:00,16.75,16.75,16.75,16.75,400,0
2017-04-07,16:35:00,16.7,16.75,16.7,16.75,200,0
2017-04-07,16:40:00,16.8,16.85,16.775,16.8,3200,0
2017-04-07,16:45:00,16.75,16.8,16.75,16.8,300,0
2017-04-07,16:50:00,16.75,16.75,16.725,16.75,600,0
2017-04-07,16:55:00,16.7,16.7,16.625,16.65,1800,0
2017-04-07,17:00:00,16.6,16.625,16.6,16.625,200,0
2017-04-07,17:05:00,16.6,16.6,16.575,16.575,656,0
2017-04-07,17:20:00,16.575,16.575,16.45,16.5,3200,0
2017-04-07,17:25:00,16.55,16.575,16.525,16.55,2619,0
2017-04-07,17:30:00,16.55,16.55,16.55,16.55,400,0
2017-04-07,17:35:00,16.525,16.525,16.525,16.525,100,0
2017-04-07,17:40:00,16.525,16.55,16.45,16.55,1614,0
2017-04-07,17:45:00,16.5,16.5,16.5,16.5,100,0
2017-04-07,18:15:00,16.5,16.5,16.5,16.5,100,0
2017-04-07,18:20:00,16.6,16.65,16.6,16.625,2958,0
2017-04-07,18:25:00,16.65,16.65,16.6,16.6,2000,0
2017-04-07,18:30:00,16.6,16.6,16.575,16.6,2500,0
2017-04-07,18:35:00,16.65,16.65,16.65,16.65,100,0
2017-04-07,18:40:00,16.65,16.65,16.65,16.65,100,0
2017-04-07,18:50:00,16.65,16.65,16.6,16.6,500,0
2017-04-07,18:55:00,16.6,16.6,16.6,16.6,700,0
2017-04-07,19:15:00,16.6,16.6,16.6,16.6,100,0
2017-04-07,19:25:00,16.7,16.7,16.675,16.7,3212,0
2017-04-07,19:35:00,16.7,16.7,16.65,16.7,10500,0
2017-04-07,19:40:00,16.675,16.675,16.65,16.675,1100,0
2017-04-07,19:50:00,16.675,16.675,16.675,16.675,100,0
2017-04-07,20:00:00,16.65,16.675,16.65,16.65,500,0
2017-04-07,20:10:00,16.7,16.7,16.7,16.7,1100,0
2017-04-07,20:20:00,16.725,16.725,16.725,16.725,100,0
2017-04-07,20:25:00,16.75,16.75,16.7,16.725,6500,0
2017-04-07,20:30:00,16.725,16.725,16.725,16.725,100,0
2017-04-07,20:40:00,16.7,16.7,16.65,16.675,1600,0
2017-04-07,20:50:00,16.7,16.75,16.7,16.725,800,0
2017-04-07,20:55:00,16.7,16.7,16.7,16.7,703,0
2017-04-07,21:05:00,16.7,16.7,16.7,16.7,500,0
