Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,4.23,4.25,4.23,4.23,16375,0
2017-04-10,15:40:00,4.23,4.24,4.12,4.16,29623,0
2017-04-10,15:45:00,4.1677,4.21,4.1677,4.21,10292,0
2017-04-10,15:50:00,4.19,4.22,4.19,4.215,5100,0
2017-04-10,15:55:00,4.215,4.2377,4.215,4.2377,9950,0
2017-04-10,16:00:00,4.2186,4.26,4.2186,4.26,4320,0
2017-04-10,16:05:00,4.27,4.3,4.27,4.3,7442,0
2017-04-10,16:10:00,4.29,4.3,4.28,4.285,3040,0
2017-04-10,16:15:00,4.28,4.3,4.28,4.3,7371,0
2017-04-10,16:20:00,4.29,4.32,4.29,4.32,2100,0
2017-04-10,16:25:00,4.315,4.33,4.315,4.33,4300,0
2017-04-10,16:30:00,4.3243,4.34,4.3243,4.34,4209,0
2017-04-10,16:35:00,4.34,4.34,4.3395,4.34,3664,0
2017-04-10,16:40:00,4.34,4.345,4.3348,4.3348,3600,0
2017-04-10,16:45:00,4.33,4.33,4.32,4.33,5182,0
2017-04-10,16:50:00,4.3353,4.34,4.335,4.34,3300,0
2017-04-10,16:55:00,4.34,4.37,4.34,4.37,23497,0
2017-04-10,17:00:00,4.36,4.37,4.36,4.37,5200,0
2017-04-10,17:05:00,4.37,4.37,4.36,4.36,2501,0
2017-04-10,17:10:00,4.36,4.36,4.35,4.35,1860,0
2017-04-10,17:15:00,4.3599,4.36,4.3565,4.3565,2669,0
2017-04-10,17:20:00,4.35,4.35,4.3479,4.3479,1900,0
2017-04-10,17:25:00,4.34,4.36,4.34,4.3438,27319,0
2017-04-10,17:30:00,4.34,4.35,4.33,4.34,6946,0
2017-04-10,17:35:00,4.34,4.35,4.34,4.34,11100,0
2017-04-10,17:40:00,4.34,4.35,4.34,4.35,2400,0
2017-04-10,17:45:00,4.35,4.35,4.3449,4.35,4090,0
2017-04-10,17:50:00,4.34,4.365,4.33,4.365,8214,0
2017-04-10,17:55:00,4.36,4.38,4.36,4.3619,9100,0
2017-04-10,18:00:00,4.37,4.38,4.362,4.362,5100,0
2017-04-10,18:05:00,4.38,4.39,4.38,4.38,5930,0
2017-04-10,18:10:00,4.38,4.386,4.36,4.365,5730,0
2017-04-10,18:15:00,4.365,4.38,4.36,4.36,16705,0
2017-04-10,18:20:00,4.36,4.38,4.36,4.37,2000,0
2017-04-10,18:25:00,4.37,4.38,4.37,4.3735,1196,0
2017-04-10,18:30:00,4.37,4.37,4.36,4.37,3989,0
2017-04-10,18:35:00,4.38,4.38,4.3738,4.3738,1929,0
2017-04-10,18:40:00,4.38,4.38,4.37,4.37,300,0
2017-04-10,18:45:00,4.37,4.37,4.36,4.3636,2616,0
2017-04-10,18:50:00,4.365,4.365,4.35,4.3511,2600,0
2017-04-10,18:55:00,4.3525,4.36,4.3501,4.36,1243,0
2017-04-10,19:00:00,4.37,4.37,4.37,4.37,100,0
2017-04-10,19:05:00,4.37,4.38,4.37,4.38,3900,0
2017-04-10,19:10:00,4.375,4.38,4.36,4.36,1500,0
2017-04-10,19:15:00,4.37,4.37,4.365,4.365,400,0
2017-04-10,19:20:00,4.365,4.375,4.365,4.375,2100,0
2017-04-10,19:25:00,4.37,4.38,4.345,4.35,13396,0
2017-04-10,19:30:00,4.35,4.36,4.34,4.34,996,0
2017-04-10,19:35:00,4.335,4.34,4.33,4.33,2496,0
2017-04-10,19:40:00,4.33,4.33,4.31,4.31,13748,0
2017-04-10,19:45:00,4.31,4.315,4.3,4.3,4352,0
2017-04-10,19:50:00,4.3,4.315,4.3,4.315,3040,0
2017-04-10,19:55:00,4.31,4.31,4.29,4.3,14655,0
2017-04-10,20:00:00,4.3,4.32,4.3,4.31,4500,0
2017-04-10,20:05:00,4.315,4.32,4.315,4.32,2607,0
2017-04-10,20:10:00,4.32,4.325,4.32,4.32,3200,0
2017-04-10,20:15:00,4.325,4.325,4.32,4.32,1797,0
2017-04-10,20:20:00,4.31,4.325,4.31,4.31,4300,0
2017-04-10,20:25:00,4.31,4.3184,4.3,4.31,4588,0
2017-04-10,20:35:00,4.32,4.32,4.32,4.32,1400,0
2017-04-10,20:40:00,4.33,4.33,4.31,4.31,2620,0
2017-04-10,20:45:00,4.31,4.31,4.3,4.305,3532,0
2017-04-10,20:50:00,4.31,4.33,4.31,4.33,4131,0
2017-04-10,20:55:00,4.325,4.33,4.32,4.32,4130,0
2017-04-10,21:05:00,4.32,4.32,4.32,4.32,400,0
2017-04-10,21:10:00,4.32,4.3232,4.32,4.3232,6432,0
2017-04-10,21:15:00,4.32,4.3262,4.32,4.32,3300,0
2017-04-10,21:20:00,4.325,4.325,4.31,4.31,1600,0
2017-04-10,21:25:00,4.32,4.32,4.315,4.32,1665,0
2017-04-10,21:30:00,4.33,4.33,4.32,4.32,2600,0
2017-04-10,21:35:00,4.33,4.33,4.325,4.33,5000,0
2017-04-10,21:40:00,4.33,4.33,4.315,4.325,17240,0
