Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,27.1,27.1,27.1,27.1,100,0
2016-06-15,18:10:00,26.71,26.71,26.7,26.7,368,0
2016-06-15,18:30:00,26.91,26.91,26.91,26.91,100,0
2016-06-15,19:00:00,26.78,26.78,26.71,26.71,900,0
2016-06-15,22:00:00,26.81,26.81,26.81,26.81,100,0
2016-06-16,15:35:00,26.65,26.65,26.65,26.65,100,0
2016-06-16,15:40:00,26.68,26.72,26.68,26.68,1400,0
2016-06-16,15:55:00,26.68,26.68,26.68,26.68,600,0
2016-06-16,16:45:00,26.8301,26.8301,26.83,26.83,300,0
2016-06-16,17:50:00,26.799,26.799,26.795,26.795,300,0
2016-06-16,18:45:00,26.66,26.66,26.63,26.63,1533,0
2016-06-16,18:50:00,26.51,26.51,26.51,26.51,400,0
2016-06-16,19:30:00,26.5101,26.5101,26.51,26.51,2567,0
2016-06-16,21:30:00,26.5101,26.5101,26.5101,26.5101,101,0
2016-06-17,15:35:00,26.51,26.51,26.51,26.51,100,0
2016-06-17,15:55:00,26.5101,26.5101,26.28,26.28,1800,0
2016-06-17,19:20:00,26.45,26.45,26.45,26.45,100,0
2016-06-17,20:10:00,26.5983,26.5983,26.5983,26.5983,121,0
2016-06-17,20:25:00,26.6,26.6,26.6,26.6,300,0
2016-06-17,20:50:00,26.43,26.43,26.43,26.43,700,0
2016-06-17,21:45:00,26.3801,26.3801,26.38,26.3801,1400,0
2016-06-17,21:50:00,26.4,26.4,26.4,26.4,5650,0
2016-06-17,22:00:00,26.38,26.38,26.38,26.38,100,0
2016-06-20,16:05:00,26.5,26.5,26.5,26.5,400,0
2016-06-20,16:30:00,26.5,26.5,26.5,26.5,1500,0
2016-06-20,16:40:00,26.5,26.5,26.5,26.5,500,0
2016-06-20,16:45:00,26.52,26.52,26.5,26.5,900,0
2016-06-20,16:50:00,26.5,26.55,26.5,26.55,1900,0
2016-06-20,16:55:00,26.525,26.525,26.5,26.5,300,0
2016-06-20,17:35:00,26.5,26.525,26.5,26.5,1701,0
2016-06-20,17:45:00,26.5,26.5,26.5,26.5,600,0
2016-06-20,17:55:00,26.5,26.5,26.5,26.5,400,0
2016-06-20,18:00:00,26.5,26.5,26.5,26.5,900,0
2016-06-20,18:05:00,26.5,26.5,26.5,26.5,1000,0
2016-06-20,18:10:00,26.5,26.5,26.5,26.5,2700,0
2016-06-20,18:20:00,26.5,26.5,26.5,26.5,3100,0
2016-06-20,18:25:00,26.5,26.5,26.5,26.5,100,0
2016-06-20,18:30:00,26.5,26.5,26.5,26.5,100,0
2016-06-20,18:35:00,26.5,26.5,26.5,26.5,2000,0
2016-06-20,18:45:00,26.5,26.5,26.5,26.5,400,0
2016-06-20,18:50:00,26.5,26.5,26.5,26.5,400,0
2016-06-20,18:55:00,26.5,26.5,26.5,26.5,300,0
2016-06-20,20:20:00,26.46,26.46,26.46,26.46,499,0
2016-06-20,20:25:00,26.42,26.42,26.42,26.42,2000,0
2016-06-20,20:50:00,26.4665,26.4665,26.42,26.42,741,0
2016-06-20,22:00:00,26.42,26.42,26.42,26.42,100,0
2016-06-21,16:20:00,26.4,26.4,26.18,26.18,5357,0
2016-06-21,17:00:00,26.35,26.35,26.35,26.35,100,0
2016-06-21,17:55:00,26.3995,26.3995,26.3995,26.3995,165,0
2016-06-21,18:50:00,26.39,26.4,26.39,26.4,4900,0
2016-06-21,21:15:00,26.37,26.37,26.37,26.37,202,0
2016-06-21,22:00:00,26.5,26.5,26.5,26.5,100,0
2016-06-22,16:45:00,26.41,26.41,26.4,26.4,5000,0
2016-06-22,17:20:00,26.35,26.35,26.35,26.35,600,0
2016-06-22,18:20:00,26.395,26.395,26.395,26.395,104,0
2016-06-22,19:20:00,26.35,26.35,26.35,26.35,5000,0
2016-06-22,19:45:00,26.35,26.35,26.35,26.35,4400,0
2016-06-23,17:05:00,26.31,26.385,26.01,26.01,1799,0
2016-06-23,18:20:00,26.374,26.374,26.374,26.374,100,0
2016-06-23,19:15:00,26.38,26.38,26.38,26.38,100,0
2016-06-23,20:00:00,26.35,26.35,26.35,26.35,100,0
2016-06-23,20:10:00,26.3705,26.3705,26.3705,26.3705,126,0
2016-06-23,20:15:00,26.3478,26.3478,26.3478,26.3478,297,0
2016-06-24,17:30:00,26.4999,26.4999,26.4999,26.4999,347,0
2016-06-24,18:00:00,26.3255,26.3255,26.3255,26.3255,394,0
2016-06-24,20:45:00,26.2041,26.2041,26.2041,26.2041,109,0
2016-06-27,15:35:00,26.01,26.01,26.01,26.01,100,0
2016-06-27,19:25:00,26.35,26.35,26.35,26.35,200,0
2016-06-27,20:20:00,26.3313,26.3313,26.3313,26.3313,600,0
2016-06-27,20:25:00,26.3499,26.3499,26.3499,26.3499,800,0
2016-06-27,21:45:00,26.21,26.21,26.21,26.21,100,0
2016-06-29,18:20:00,26.27,26.27,26.26,26.26,600,0
2016-06-29,19:10:00,26.5,26.5,26.5,26.5,74000,0
2016-06-29,20:50:00,26.4499,26.4499,26.4499,26.4499,106,0
2016-06-29,22:00:00,26.395,26.4,26.385,26.385,300,0
2016-06-30,17:10:00,27.085,27.085,27.085,27.085,126,0
2016-06-30,18:10:00,27.07,27.07,26.7139,26.7139,300,0
2016-06-30,20:35:00,26.3801,26.3801,26.3801,26.3801,750,0
2016-07-01,15:35:00,26.15,26.15,26.15,26.15,943,0
2016-07-01,16:05:00,27.085,27.085,27.085,27.085,166,0
2016-07-01,17:25:00,26.48,26.5001,26.38,26.48,1100,0
2016-07-01,17:30:00,26.6001,26.6001,26.6001,26.6001,300,0
2016-07-01,17:35:00,26.4,26.53,26.4,26.51,1100,0
2016-07-01,17:40:00,26.7201,26.86,26.7201,26.86,200,0
2016-07-01,17:45:00,26.72,26.85,26.65,26.7071,1140,0
2016-07-01,18:20:00,26.6,26.6,26.5,26.5,1500,0
2016-07-05,17:00:00,26.4299,26.47,26.4299,26.47,200,0
2016-07-05,18:05:00,26.46,26.46,26.46,26.46,100,0
2016-07-06,17:45:00,26.4056,26.4056,26.4056,26.4056,181,0
2016-07-06,20:30:00,26.45,26.45,26.45,26.45,100,0
2016-07-06,21:30:00,26.5,26.5,26.5,26.5,200,0
2016-07-07,15:35:00,26.79,26.79,26.79,26.79,2000,0
2016-07-07,15:45:00,26.7,26.7,26.7,26.7,200,0
2016-07-07,16:45:00,26.7,26.7,26.7,26.7,100,0
2016-07-07,17:10:00,26.7,26.7,26.7,26.7,500,0
2016-07-07,17:30:00,26.7,26.7,26.7,26.7,283,0
2016-07-07,17:45:00,26.6658,26.6658,26.6658,26.6658,191,0
2016-07-07,18:00:00,26.61,26.61,26.61,26.61,100,0
2016-07-07,18:05:00,26.6,26.65,26.6,26.65,300,0
2016-07-07,18:20:00,26.52,26.52,26.52,26.52,200,0
2016-07-07,18:25:00,26.5,26.5,26.5,26.5,300,0
2016-07-07,20:20:00,26.49,26.49,26.49,26.49,100,0
2016-07-08,17:50:00,26.73,26.74,26.4757,26.74,300,0
2016-07-11,19:45:00,26.6,26.6,26.598,26.598,200,0
2016-07-11,21:10:00,26.65,26.65,26.61,26.61,900,0
2016-07-11,21:15:00,26.6,26.6,26.6,26.6,2100,0
2016-07-11,21:20:00,26.6,26.6,26.6,26.6,1000,0
2016-07-11,21:25:00,26.6,26.6,26.6,26.6,500,0
2016-07-11,22:00:00,26.6,26.6,26.6,26.6,200,0
2016-07-12,18:45:00,26.6,26.6,26.6,26.6,1300,0
2016-07-12,18:50:00,26.6,26.6,26.6,26.6,2134,0
2016-07-12,19:55:00,26.5245,26.5245,26.5245,26.5245,141,0
2016-07-12,20:05:00,26.66,26.7,26.66,26.66,1050,0
2016-07-12,20:30:00,26.71,26.73,26.62,26.62,1883,0
2016-07-12,20:35:00,26.62,26.62,26.6,26.62,2025,0
2016-07-12,21:00:00,26.75,26.75,26.73,26.75,4780,0
2016-07-12,21:05:00,26.75,26.75,26.75,26.75,899,0
2016-07-13,16:10:00,26.7,26.7,26.7,26.7,261,0
2016-07-13,16:45:00,26.5,26.5,26.5,26.5,300,0
2016-07-13,17:15:00,26.63,26.66,26.62,26.65,1100,0
2016-07-13,19:25:00,26.7737,26.7737,26.7737,26.7737,197,0
2016-07-13,20:00:00,26.6,26.6,26.6,26.6,100,0
2016-07-13,20:40:00,26.61,26.61,26.6,26.6,300,0
2016-07-13,21:20:00,26.61,26.61,26.6,26.6,200,0
2016-07-13,21:25:00,26.6,26.6,26.6,26.6,100,0
2016-07-14,19:25:00,26.65,26.65,26.645,26.6486,2900,0
2016-07-14,19:50:00,26.6499,26.6499,26.6499,26.6499,100,0
2016-07-14,21:15:00,26.56,26.635,26.56,26.635,200,0
2016-07-14,21:45:00,26.6,26.72,26.6,26.65,8715,0
2016-07-15,16:45:00,26.745,26.745,26.745,26.745,134,0
2016-07-15,17:45:00,26.687,26.687,26.687,26.687,221,0
2016-07-15,18:45:00,26.675,26.675,26.6,26.635,600,0
2016-07-18,18:05:00,26.7714,26.7714,26.7714,26.7714,619,0
2016-07-18,19:50:00,26.64,26.64,26.64,26.64,100,0
2016-07-18,21:35:00,26.64,26.64,26.64,26.64,100,0
2016-07-19,20:15:00,26.9499,26.9499,26.9499,26.9499,112,0
2016-07-20,16:25:00,26.55,26.55,26.55,26.55,41144,0
2016-07-20,17:55:00,26.8499,26.8499,26.8499,26.8499,249,0
2016-07-20,18:50:00,26.85,26.85,26.85,26.85,142,0
2016-07-20,20:40:00,26.8499,26.8499,26.8499,26.8499,118,0
2016-07-20,20:45:00,26.65,26.65,26.65,26.65,100,0
2016-07-20,21:00:00,26.83,26.83,26.83,26.83,200,0
2016-07-21,20:05:00,26.65,26.6501,26.65,26.65,10000,0
2016-07-22,15:35:00,26.51,26.51,26.51,26.51,300,0
2016-07-22,15:45:00,26.4501,26.4501,26.4501,26.4501,250,0
2016-07-22,15:55:00,26.649,26.65,26.64,26.6485,600,0
2016-07-22,17:55:00,26.56,26.56,26.56,26.56,121,0
2016-07-22,18:50:00,26.8,26.8,26.795,26.795,250,0
2016-07-22,20:10:00,26.698,26.698,26.698,26.698,873,0
2016-07-25,17:25:00,26.6242,26.6242,26.6242,26.6242,119,0
2016-07-25,17:45:00,26.69,26.7,26.69,26.695,500,0
2016-07-25,19:35:00,26.695,26.695,26.695,26.695,171,0
2016-07-25,20:10:00,26.68,26.7,26.68,26.7,300,0
2016-07-25,20:30:00,26.6,26.6,26.6,26.6,10200,0
2016-07-25,20:35:00,26.6,26.6,26.6,26.6,100,0
2016-07-25,21:55:00,26.6,26.6,26.6,26.6,800,0
2016-07-26,18:40:00,26.5999,26.5999,26.5999,26.5999,131,0
2016-07-26,19:40:00,26.5288,26.5288,26.5288,26.5288,120,0
2016-07-27,17:55:00,26.85,26.85,26.85,26.85,15000,0
2016-07-27,18:10:00,26.7569,26.7569,26.7569,26.7569,141,0
2016-07-27,18:45:00,26.625,26.625,26.625,26.625,400,0
2016-07-27,19:25:00,26.61,26.63,26.61,26.63,200,0
2016-07-27,20:05:00,26.6,26.6,26.6,26.6,207,0
2016-07-27,20:15:00,26.5999,26.6,26.5999,26.6,200,0
2016-07-27,21:15:00,26.4878,26.4878,26.4878,26.4878,300,0
2016-07-28,17:50:00,26.5346,26.5346,26.5346,26.5346,100,0
2016-07-28,18:15:00,26.4001,26.4001,26.4001,26.4001,1000,0
