Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,18:50:00,1.25,1.25,1.25,1.25,10000,0
2017-04-07,20:00:00,1.24,1.24,1.24,1.24,200,0
2017-04-07,20:15:00,1.23,1.23,1.2299,1.2299,5000,0
2017-04-07,21:45:00,1.24,1.24,1.24,1.24,800,0
2017-04-19,19:35:00,1.15,1.15,1.15,1.15,10000,0
2017-04-19,20:55:00,1.15,1.15,1.15,1.15,9900,0
2017-04-19,21:00:00,1.15,1.15,1.15,1.15,100,0
2017-04-19,21:35:00,1.15,1.22,1.15,1.22,15100,0
2017-04-26,15:45:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,15:50:00,1.22,1.22,1.22,1.22,300,0
2017-04-26,15:55:00,1.22,1.22,1.22,1.22,300,0
2017-04-26,16:00:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:05:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,16:10:00,1.22,1.22,1.22,1.22,500,0
2017-04-26,16:15:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:20:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:25:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:30:00,1.22,1.22,1.22,1.22,300,0
2017-04-26,16:35:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:40:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:45:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:50:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,16:55:00,1.22,1.22,1.22,1.22,300,0
2017-04-26,17:00:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:05:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:10:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:15:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:20:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:25:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:30:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:35:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:40:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:45:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:50:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,17:55:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:00:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:05:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:10:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:15:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:20:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:25:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:30:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:35:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:40:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:45:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,18:50:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,18:55:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,19:00:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,19:05:00,1.22,1.22,1.2,1.2,600,0
2017-04-26,19:10:00,1.2,1.22,1.2,1.22,1320,0
2017-04-26,19:20:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,19:25:00,1.22,1.22,1.2,1.2,200,0
2017-04-26,19:30:00,1.2,1.2,1.2,1.2,100,0
2017-04-26,19:35:00,1.2,1.22,1.2,1.22,200,0
2017-04-26,19:40:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,19:45:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,19:50:00,1.22,1.22,1.22,1.22,100,0
2017-04-26,19:55:00,1.22,1.22,1.22,1.22,200,0
2017-04-26,20:00:00,1.22,1.22,1.22,1.22,200,0
