Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,1.99,2.02,1.99,1.99,21077,0
2017-04-10,15:40:00,1.99,1.99,1.96,1.96,2804,0
2017-04-10,15:45:00,1.96,1.96,1.93,1.95,32494,0
2017-04-10,15:50:00,1.95,1.9575,1.94,1.94,7100,0
2017-04-10,15:55:00,1.9401,1.96,1.94,1.9507,29342,0
2017-04-10,16:00:00,1.95,1.958,1.93,1.93,5600,0
2017-04-10,16:05:00,1.94,1.94,1.93,1.93,20628,0
2017-04-10,16:10:00,1.94,1.94,1.93,1.9327,3950,0
2017-04-10,16:15:00,1.93,1.9398,1.91,1.91,42006,0
2017-04-10,16:20:00,1.911,1.93,1.91,1.93,22292,0
2017-04-10,16:25:00,1.93,1.94,1.92,1.94,19512,0
2017-04-10,16:30:00,1.94,1.97,1.94,1.965,14600,0
2017-04-10,16:35:00,1.97,1.99,1.96,1.965,65676,0
2017-04-10,16:40:00,1.9602,1.97,1.9602,1.97,200,0
2017-04-10,16:45:00,1.96,1.965,1.96,1.965,300,0
2017-04-10,16:50:00,1.96,1.97,1.96,1.97,800,0
2017-04-10,16:55:00,1.965,1.975,1.93,1.95,34751,0
2017-04-10,17:00:00,1.95,1.95,1.94,1.9406,6100,0
2017-04-10,17:05:00,1.945,1.96,1.94,1.96,12209,0
2017-04-10,17:10:00,1.95,1.96,1.95,1.95,11350,0
2017-04-10,17:15:00,1.95,1.96,1.95,1.95,1200,0
2017-04-10,17:20:00,1.95,1.96,1.95,1.96,300,0
2017-04-10,17:25:00,1.955,1.96,1.95,1.95,1600,0
2017-04-10,17:30:00,1.9575,1.96,1.95,1.95,11018,0
2017-04-10,17:35:00,1.95,1.96,1.95,1.96,3900,0
2017-04-10,17:40:00,1.95,1.96,1.95,1.96,16654,0
2017-04-10,17:45:00,1.96,1.96,1.95,1.955,3331,0
2017-04-10,17:50:00,1.96,1.979,1.955,1.979,12400,0
2017-04-10,17:55:00,1.98,1.98,1.98,1.98,200,0
2017-04-10,18:00:00,1.98,2,1.97,1.9958,76216,0
2017-04-10,18:05:00,2,2,1.99,1.9925,9450,0
2017-04-10,18:10:00,1.995,2,1.99,2,15500,0
2017-04-10,18:15:00,2,2,1.99,2,4000,0
2017-04-10,18:20:00,2,2,1.99,1.995,5400,0
2017-04-10,18:25:00,1.995,2,1.98,2,18200,0
2017-04-10,18:30:00,2,2,1.99,2,6179,0
2017-04-10,18:35:00,1.9901,2,1.9901,1.995,2630,0
