Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,40.5,40.5,40.29,40.29,3335,0
2017-04-07,15:40:00,40.34,40.53,40.34,40.42,3329,0
2017-04-07,15:45:00,40.405,40.67,40.405,40.61,6000,0
2017-04-07,15:50:00,40.62,40.62,40.55,40.59,1900,0
2017-04-07,15:55:00,40.555,40.58,40.33,40.455,10600,0
2017-04-07,16:00:00,40.33,40.39,40.32,40.3575,600,0
2017-04-07,16:05:00,40.3201,40.54,40.3201,40.5,5450,0
2017-04-07,16:10:00,40.51,40.54,40.46,40.51,14250,0
2017-04-07,16:15:00,40.505,40.71,40.5,40.66,10600,0
2017-04-07,16:20:00,40.66,40.68,40.66,40.66,1400,0
2017-04-07,16:25:00,40.68,40.69,40.57,40.64,2619,0
2017-04-07,16:30:00,40.635,40.635,40.62,40.62,900,0
2017-04-07,16:35:00,40.63,40.63,40.61,40.63,1500,0
2017-04-07,16:40:00,40.64,40.66,40.64,40.66,1254,0
2017-04-07,16:45:00,40.665,40.675,40.665,40.675,200,0
2017-04-07,16:50:00,40.68,40.69,40.63,40.63,1000,0
2017-04-07,16:55:00,40.62,40.63,40.54,40.55,1200,0
2017-04-07,17:00:00,40.56,40.57,40.54,40.54,1300,0
2017-04-07,17:05:00,40.53,40.53,40.45,40.47,2200,0
2017-04-07,17:10:00,40.465,40.51,40.44,40.48,3300,0
2017-04-07,17:15:00,40.47,40.52,40.47,40.52,900,0
2017-04-07,17:20:00,40.53,40.575,40.53,40.55,1891,0
2017-04-07,17:25:00,40.55,40.57,40.54,40.57,1500,0
2017-04-07,17:30:00,40.555,40.555,40.53,40.53,700,0
2017-04-07,17:35:00,40.49,40.5,40.46,40.48,1900,0
2017-04-07,17:40:00,40.49,40.52,40.49,40.515,2755,0
2017-04-07,17:45:00,40.51,40.51,40.48,40.48,500,0
2017-04-07,17:50:00,40.49,40.505,40.49,40.505,600,0
2017-04-07,17:55:00,40.51,40.52,40.48,40.5,800,0
2017-04-07,18:00:00,40.5,40.53,40.5,40.53,1600,0
2017-04-07,18:05:00,40.5201,40.56,40.51,40.55,1700,0
2017-04-07,18:10:00,40.56,40.56,40.54,40.54,900,0
2017-04-07,18:15:00,40.56,40.58,40.56,40.56,665,0
2017-04-07,18:20:00,40.56,40.57,40.55,40.55,1100,0
2017-04-07,18:25:00,40.53,40.53,40.44,40.44,900,0
2017-04-07,18:30:00,40.45,40.45,40.4401,40.4401,300,0
2017-04-07,18:35:00,40.47,40.49,40.47,40.49,1905,0
2017-04-07,18:40:00,40.49,40.495,40.44,40.45,1624,0
2017-04-07,18:45:00,40.44,40.49,40.43,40.49,1386,0
2017-04-07,18:50:00,40.47,40.5,40.4675,40.5,1300,0
2017-04-07,18:55:00,40.5,40.53,40.5,40.515,1500,0
2017-04-07,19:00:00,40.53,40.54,40.52,40.535,1100,0
2017-04-07,19:05:00,40.55,40.56,40.53,40.54,1500,0
2017-04-07,19:10:00,40.55,40.575,40.55,40.55,2021,0
2017-04-07,19:15:00,40.56,40.56,40.54,40.54,3100,0
2017-04-07,19:20:00,40.54,40.54,40.51,40.51,1100,0
2017-04-07,19:25:00,40.5,40.5075,40.5,40.5075,200,0
2017-04-07,19:30:00,40.49,40.515,40.485,40.51,2500,0
2017-04-07,19:35:00,40.515,40.56,40.515,40.56,3354,0
2017-04-07,19:40:00,40.56,40.57,40.555,40.56,2900,0
2017-04-07,19:45:00,40.565,40.565,40.55,40.56,1900,0
2017-04-07,19:50:00,40.555,40.56,40.54,40.555,1000,0
2017-04-07,19:55:00,40.56,40.575,40.5575,40.575,1200,0
