Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-16,15:40:00,11.624,11.624,11.624,11.624,202,0
2016-11-16,15:45:00,11.624,11.633,11.614,11.614,8137,0
2016-11-16,15:50:00,11.633,11.633,11.614,11.614,1106,0
2016-11-16,15:55:00,11.633,11.633,11.614,11.633,3017,0
2016-11-16,16:20:00,11.662,11.733,11.662,11.733,1609,0
2016-11-16,16:25:00,11.833,11.833,11.833,11.833,502,0
2016-11-16,16:30:00,12.061,12.061,11.952,11.952,2450,0
2016-11-16,19:35:00,11.713,11.798,11.693,11.798,704,0
2016-11-16,20:05:00,11.887,11.887,11.887,11.887,100,0
2016-11-16,20:30:00,11.882,11.882,11.882,11.882,100,0
2016-11-16,20:35:00,11.882,11.882,11.882,11.882,100,0
2016-11-16,21:15:00,11.882,11.882,11.882,11.882,100,0
2016-11-16,21:20:00,11.873,11.873,11.873,11.873,202,0
2016-11-16,21:55:00,11.873,11.873,11.873,11.873,100,0
2016-11-16,22:00:00,11.873,11.873,11.873,11.873,100,0
2016-11-17,15:35:00,11.833,11.833,11.833,11.833,202,0
2016-11-17,16:20:00,11.795,11.795,11.795,11.795,302,0
2016-11-17,16:25:00,11.833,11.912,11.833,11.912,1710,0
2016-11-17,16:45:00,11.998,11.998,11.998,11.998,302,0
2016-11-17,17:10:00,11.969,11.969,11.969,11.969,302,0
2016-11-17,17:30:00,12.031,12.041,12.031,12.041,604,0
2016-11-17,17:35:00,12.051,12.051,12.051,12.051,100,0
2016-11-17,17:40:00,12.083,12.083,12.083,12.083,502,0
2016-11-17,17:50:00,12.086,12.086,12.086,12.086,100,0
2016-11-17,18:40:00,12.042,12.042,12.042,12.042,502,0
2016-11-17,18:45:00,12.121,12.121,12.121,12.121,100,0
2016-11-17,18:50:00,12.101,12.101,12.101,12.101,100,0
2016-11-17,19:05:00,12.071,12.071,12.071,12.071,100,0
2016-11-17,19:20:00,12.089,12.089,12.089,12.089,502,0
2016-11-17,19:25:00,12.101,12.101,12.101,12.101,202,0
2016-11-17,19:45:00,12.103,12.103,12.051,12.051,604,0
2016-11-17,20:15:00,12.066,12.066,12.066,12.066,100,0
2016-11-17,20:25:00,12.056,12.056,12.039,12.041,1106,0
2016-11-17,20:35:00,12.081,12.081,12.081,12.081,100,0
2016-11-17,20:50:00,12.061,12.061,12.061,12.061,202,0
2016-11-17,20:55:00,12.056,12.056,12.056,12.056,100,0
2016-11-17,21:00:00,12.081,12.081,12.081,12.081,100,0
2016-11-17,21:10:00,12.06,12.066,12.06,12.066,604,0
2016-11-17,21:20:00,12.091,12.091,12.091,12.091,100,0
2016-11-17,21:55:00,12.067,12.091,12.067,12.091,604,0
2016-11-17,22:00:00,12.091,12.121,12.051,12.051,1207,0
2016-11-18,18:25:00,12.081,12.081,12.081,12.081,100,0
2016-11-18,18:30:00,12.091,12.091,12.091,12.091,402,0
2016-11-18,19:25:00,12.081,12.081,12.081,12.081,100,0
2016-11-18,19:40:00,12.081,12.081,12.081,12.081,604,0
2016-11-18,19:55:00,12.009,12.009,12.009,12.009,1006,0
2016-11-18,20:25:00,12.051,12.051,12.051,12.051,100,0
2016-11-18,21:35:00,12.071,12.071,12.036,12.036,402,0
2016-11-18,21:45:00,12.031,12.031,12.031,12.031,402,0
2016-11-18,21:55:00,12.081,12.081,12.081,12.081,100,0
2016-11-18,22:00:00,12.031,12.081,12.011,12.011,761,0
2016-11-21,15:35:00,12.071,12.071,12.071,12.071,100,0
2016-11-21,16:15:00,12.021,12.039,11.922,11.922,2816,0
2016-11-21,16:35:00,11.922,11.922,11.922,11.922,100,0
2016-11-21,16:50:00,11.94,11.94,11.94,11.94,222,0
2016-11-21,16:55:00,11.932,11.932,11.932,11.932,100,0
2016-11-21,17:15:00,11.967,11.967,11.967,11.967,100,0
2016-11-21,17:25:00,12.001,12.001,11.833,11.833,11747,0
