Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,26.64,26.75,26.63,26.73,18730,0
2017-04-10,15:40:00,26.73,26.85,26.72,26.8,29764,0
2017-04-10,15:45:00,26.805,26.9299,26.805,26.89,22345,0
2017-04-10,15:50:00,26.9,26.97,26.89,26.96,13417,0
2017-04-10,15:55:00,26.97,27.0801,26.97,27.07,20179,0
2017-04-10,16:00:00,27.07,27.13,27,27.13,33869,0
2017-04-10,16:05:00,27.13,27.13,27.04,27.04,17125,0
2017-04-10,16:10:00,27.03,27.1195,27.025,27.1195,25939,0
2017-04-10,16:15:00,27.11,27.13,27.05,27.13,25830,0
2017-04-10,16:20:00,27.12,27.125,27.08,27.115,20067,0
2017-04-10,16:25:00,27.1125,27.21,27.11,27.195,16537,0
2017-04-10,16:30:00,27.2,27.21,27.17,27.18,15872,0
2017-04-10,16:35:00,27.19,27.22,27.17,27.2,27399,0
2017-04-10,16:40:00,27.2,27.23,27.18,27.214,27498,0
2017-04-10,16:45:00,27.21,27.225,27.19,27.2,12545,0
2017-04-10,16:50:00,27.193,27.2,27.15,27.17,13132,0
2017-04-10,16:55:00,27.18,27.19,27.13,27.135,13981,0
2017-04-10,17:00:00,27.1312,27.16,27.11,27.16,49655,0
2017-04-10,17:05:00,27.15,27.17,27.11,27.15,26027,0
2017-04-10,17:10:00,27.155,27.18,27.12,27.18,73201,0
2017-04-10,17:15:00,27.185,27.23,27.18,27.22,11648,0
2017-04-10,17:20:00,27.22,27.225,27.19,27.21,13481,0
2017-04-10,17:25:00,27.215,27.29,27.215,27.27,23941,0
2017-04-10,17:30:00,27.265,27.27,27.25,27.27,22302,0
2017-04-10,17:35:00,27.275,27.275,27.14,27.14,32629,0
2017-04-10,17:40:00,27.13,27.155,27.09,27.15,30945,0
2017-04-10,17:45:00,27.14,27.15,27.09,27.15,72734,0
2017-04-10,17:50:00,27.14,27.215,27.14,27.215,32537,0
2017-04-10,17:55:00,27.215,27.215,27.175,27.19,15221,0
2017-04-10,18:00:00,27.19,27.195,27.15,27.175,15492,0
2017-04-10,18:05:00,27.18,27.235,27.18,27.23,20533,0
