Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,31,31,31,31,859,0
2017-04-07,15:40:00,30.99,31,30.86,30.92,4000,0
2017-04-07,15:45:00,30.99,31,30.925,30.925,626,0
2017-04-07,15:50:00,30.88,30.96,30.88,30.95,500,0
2017-04-07,15:55:00,31.01,31.05,30.99,31.05,1200,0
2017-04-07,16:00:00,31.1,31.1,31.03,31.03,1542,0
2017-04-07,16:05:00,31.03,31.1,30.95,31.03,5100,0
2017-04-07,16:10:00,31,31.09,31,31.0311,1000,0
2017-04-07,16:15:00,30.995,31.04,30.96,30.97,2500,0
2017-04-07,16:20:00,30.97,30.97,30.9,30.91,2998,0
2017-04-07,16:25:00,30.97,31.02,30.93,30.97,1500,0
2017-04-07,16:30:00,30.9401,30.96,30.94,30.94,1200,0
2017-04-07,16:35:00,30.945,30.96,30.87,30.87,2200,0
2017-04-07,16:40:00,30.86,30.9,30.86,30.9,4500,0
2017-04-07,16:45:00,30.87,30.96,30.81,30.81,2600,0
2017-04-07,16:50:00,30.8,30.83,30.77,30.82,3800,0
2017-04-07,16:55:00,30.815,30.88,30.77,30.77,3000,0
2017-04-07,17:00:00,30.78,30.84,30.77,30.84,1800,0
2017-04-07,17:05:00,30.7601,30.79,30.76,30.78,500,0
2017-04-07,17:10:00,30.79,30.79,30.71,30.75,2551,0
2017-04-07,17:15:00,30.73,30.73,30.68,30.68,600,0
2017-04-07,17:20:00,30.69,30.75,30.69,30.715,1700,0
2017-04-07,17:25:00,30.715,30.72,30.7,30.72,2000,0
2017-04-07,17:30:00,30.72,30.81,30.72,30.81,4100,0
2017-04-07,17:35:00,30.8,30.86,30.78,30.82,5200,0
2017-04-07,17:40:00,30.82,30.88,30.8,30.8,10075,0
2017-04-07,17:45:00,30.81,30.85,30.8,30.85,23973,0
2017-04-07,17:50:00,30.88,30.95,30.81,30.83,5100,0
2017-04-07,17:55:00,30.83,30.87,30.8,30.815,18980,0
2017-04-07,18:00:00,30.8,30.84,30.79,30.81,11563,0
2017-04-07,18:05:00,30.82,30.86,30.81,30.82,9706,0
2017-04-07,18:10:00,30.81,30.87,30.75,30.805,4234,0
2017-04-07,18:15:00,30.7825,30.85,30.77,30.77,6500,0
2017-04-07,18:20:00,30.77,30.79,30.67,30.71,3434,0
2017-04-07,18:25:00,30.68,30.68,30.59,30.6,4947,0
2017-04-07,18:30:00,30.59,30.6,30.54,30.54,2009,0
2017-04-07,18:35:00,30.5101,30.56,30.51,30.54,1547,0
2017-04-07,18:40:00,30.54,30.75,30.54,30.6,3833,0
2017-04-07,18:45:00,30.6,30.63,30.57,30.59,1928,0
2017-04-07,18:50:00,30.6,30.67,30.59,30.63,3100,0
2017-04-07,18:55:00,30.64,30.7,30.61,30.61,1600,0
2017-04-07,19:00:00,30.6,30.6,30.6,30.6,300,0
2017-04-07,19:05:00,30.6,30.6,30.6,30.6,300,0
2017-04-07,19:10:00,30.55,30.58,30.54,30.57,1500,0
2017-04-07,19:15:00,30.585,30.62,30.585,30.62,300,0
2017-04-07,19:20:00,30.6,30.62,30.54,30.62,1890,0
2017-04-07,19:25:00,30.64,30.75,30.64,30.7,1300,0
2017-04-07,19:30:00,30.71,30.74,30.58,30.61,2900,0
2017-04-07,19:35:00,30.63,30.66,30.63,30.65,1500,0
2017-04-07,19:40:00,30.69,30.72,30.69,30.72,200,0
2017-04-07,19:45:00,30.67,30.67,30.64,30.64,600,0
2017-04-07,19:50:00,30.66,30.66,30.62,30.645,900,0
2017-04-07,19:55:00,30.63,30.75,30.61,30.75,1202,0
2017-04-07,20:00:00,30.75,30.75,30.67,30.71,1400,0
2017-04-07,20:05:00,30.6701,30.71,30.67,30.71,400,0
2017-04-07,20:10:00,30.71,30.71,30.67,30.7,2702,0
2017-04-07,20:20:00,30.68,30.72,30.68,30.72,300,0
2017-04-07,20:25:00,30.68,30.72,30.68,30.7,700,0
2017-04-07,20:30:00,30.72,30.72,30.67,30.7,3350,0
2017-04-07,20:35:00,30.7,30.71,30.7,30.71,600,0
2017-04-07,20:40:00,30.74,30.74,30.685,30.72,3100,0
2017-04-07,20:45:00,30.7,30.72,30.7,30.71,2000,0
2017-04-07,20:50:00,30.72,30.73,30.71,30.73,1800,0
2017-04-07,20:55:00,30.73,30.73,30.695,30.705,1500,0
2017-04-07,21:00:00,30.71,30.82,30.695,30.76,36526,0
2017-04-07,21:05:00,30.74,30.76,30.72,30.72,2300,0
2017-04-07,21:10:00,30.76,30.76,30.67,30.67,3036,0
2017-04-07,21:15:00,30.64,30.68,30.56,30.59,5990,0
2017-04-07,21:20:00,30.6,30.625,30.54,30.54,6531,0
2017-04-07,21:25:00,30.5,30.56,30.5,30.51,3400,0
2017-04-07,21:30:00,30.54,30.54,30.44,30.45,4933,0
2017-04-07,21:35:00,30.44,30.57,30.44,30.57,6700,0
2017-04-07,21:40:00,30.57,30.67,30.565,30.67,9500,0
2017-04-07,21:45:00,30.62,30.655,30.6,30.64,7817,0
2017-04-07,21:50:00,30.65,30.66,30.57,30.61,15093,0
2017-04-07,21:55:00,30.615,30.68,30.615,30.66,13360,0
2017-04-07,22:00:00,30.66,30.67,30.57,30.61,40404,0
2017-04-10,15:35:00,30.53,30.96,30.53,30.74,3089,0
2017-04-10,15:40:00,30.735,30.92,30.57,30.57,500,0
2017-04-10,15:45:00,30.7,30.86,30.7,30.73,500,0
2017-04-10,15:50:00,30.745,30.94,30.67,30.8,900,0
2017-04-10,15:55:00,30.84,30.94,30.83,30.94,300,0
2017-04-10,16:00:00,30.9,31,30.89,30.98,5700,0
2017-04-10,16:05:00,31,31.03,30.98,31.03,747,0
2017-04-10,16:10:00,31.03,31.125,31.02,31.06,8612,0
2017-04-10,16:15:00,31.12,31.25,31.06,31.225,3650,0
2017-04-10,16:20:00,31.205,31.24,31.205,31.24,1100,0
2017-04-10,16:25:00,31.19,31.25,31.12,31.25,3498,0
2017-04-10,16:30:00,31.2453,31.37,31.2453,31.37,3991,0
2017-04-10,16:35:00,31.2936,31.305,31.23,31.27,975,0
2017-04-10,16:40:00,31.2699,31.3,31.2,31.26,3118,0
2017-04-10,16:45:00,31.28,31.36,31.28,31.31,3699,0
2017-04-10,16:50:00,31.3152,31.48,31.3152,31.48,2510,0
2017-04-10,16:55:00,31.42,31.46,31.31,31.345,12984,0
2017-04-10,17:00:00,31.345,31.38,31.295,31.295,4900,0
2017-04-10,17:05:00,31.3,31.32,31.3,31.32,500,0
2017-04-10,17:10:00,31.34,31.34,31.27,31.3,3112,0
2017-04-10,17:15:00,31.3,31.33,31.3,31.3156,1150,0
2017-04-10,17:20:00,31.3,31.32,31.3,31.3,900,0
2017-04-10,17:25:00,31.29,31.3,31.29,31.3,400,0
2017-04-10,17:30:00,31.3,31.3,31.265,31.27,1000,0
2017-04-10,17:35:00,31.24,31.34,31.24,31.29,3000,0
2017-04-10,17:40:00,31.275,31.29,31.25,31.25,8400,0
2017-04-10,17:45:00,31.23,31.23,31.2,31.21,1126,0
2017-04-10,17:50:00,31.21,31.3,31.2,31.29,4400,0
2017-04-10,17:55:00,31.27,31.27,31.25,31.2699,800,0
2017-04-10,18:00:00,31.2316,31.2316,31.21,31.22,335,0
2017-04-10,18:05:00,31.23,31.23,31.23,31.23,100,0
2017-04-10,18:10:00,31.25,31.25,31.19,31.19,1953,0
2017-04-10,18:15:00,31.205,31.23,31.19,31.19,1684,0
2017-04-10,18:20:00,31.195,31.195,31.09,31.09,1634,0
2017-04-10,18:25:00,31.0901,31.0901,31.01,31.08,1661,0
2017-04-10,18:30:00,31.02,31.02,31.02,31.02,200,0
2017-04-10,18:35:00,31.0101,31.0101,31.01,31.01,200,0
2017-04-10,18:40:00,31.06,31.06,31.025,31.035,400,0
2017-04-10,18:45:00,31.03,31.04,31.02,31.04,2388,0
2017-04-10,18:50:00,31.03,31.04,31.03,31.04,300,0
2017-04-10,18:55:00,31.06,31.0991,31.05,31.0991,438,0
2017-04-10,19:00:00,31.14,31.1678,31.14,31.1678,600,0
2017-04-10,19:05:00,31.145,31.22,31.145,31.2,2900,0
2017-04-10,19:10:00,31.17,31.18,31.17,31.18,200,0
2017-04-10,19:15:00,31.15,31.18,31.15,31.16,1000,0
2017-04-10,19:20:00,31.14,31.18,31.14,31.18,400,0
2017-04-10,19:25:00,31.1475,31.1475,31.14,31.14,200,0
2017-04-10,19:30:00,31.155,31.1699,31.15,31.1699,1500,0
2017-04-10,19:35:00,31.15,31.15,31.11,31.12,400,0
2017-04-10,19:40:00,31.12,31.17,31.12,31.17,800,0
2017-04-10,19:45:00,31.24,31.24,31.21,31.21,300,0
2017-04-10,19:50:00,31.2,31.239,31.2,31.239,700,0
2017-04-10,19:55:00,31.2,31.2225,31.19,31.2225,600,0
2017-04-10,20:00:00,31.19,31.28,31.19,31.27,7900,0
2017-04-10,20:05:00,31.26,31.26,31.17,31.26,3800,0
2017-04-10,20:10:00,31.26,31.29,31.2,31.24,8200,0
2017-04-10,20:15:00,31.24,31.3,31.23,31.255,9574,0
2017-04-10,20:20:00,31.255,31.3,31.22,31.25,8361,0
2017-04-10,20:25:00,31.245,31.285,31.245,31.285,3400,0
2017-04-10,20:30:00,31.275,31.3,31.25,31.27,6190,0
2017-04-10,20:35:00,31.24,31.28,31.24,31.27,10300,0
2017-04-10,20:40:00,31.26,31.28,31.24,31.265,11000,0
2017-04-10,20:45:00,31.27,31.28,31.235,31.27,1039,0
2017-04-10,20:50:00,31.22,31.235,31.16,31.16,1100,0
2017-04-10,20:55:00,31.13,31.19,31.08,31.19,2474,0
2017-04-10,21:00:00,31.2,31.23,31.1,31.14,2711,0
2017-04-10,21:05:00,31.19,31.22,31.16,31.215,1800,0
2017-04-10,21:10:00,31.25,31.25,31.2,31.23,2200,0
2017-04-10,21:15:00,31.23,31.23,31.2,31.2,900,0
2017-04-10,21:20:00,31.22,31.27,31.21,31.26,4789,0
2017-04-10,21:25:00,31.23,31.25,31.195,31.25,9985,0
2017-04-10,21:30:00,31.19,31.25,31.19,31.25,1000,0
2017-04-10,21:35:00,31.16,31.24,31.16,31.235,5000,0
2017-04-10,21:40:00,31.23,31.28,31.205,31.28,10000,0
2017-04-10,21:45:00,31.27,31.27,31.22,31.22,1500,0
2017-04-10,21:50:00,31.22,31.26,31.17,31.25,8030,0
2017-04-10,21:55:00,31.195,31.27,31.17,31.23,6176,0
2017-04-10,22:00:00,31.23,31.27,31.14,31.27,51324,0
2017-04-11,15:35:00,31.25,31.25,31.25,31.25,829,0
2017-04-11,15:45:00,31.22,31.23,31.22,31.23,200,0
2017-04-11,15:50:00,31.23,31.26,31.2,31.26,800,0
2017-04-11,15:55:00,31.23,31.38,31.23,31.38,4370,0
2017-04-11,16:00:00,31.34,31.39,31.27,31.35,1900,0
2017-04-11,16:05:00,31.3,31.3712,31.3,31.32,550,0
2017-04-11,16:10:00,31.32,31.39,31.32,31.39,2380,0
2017-04-11,16:15:00,31.37,31.41,31.34,31.41,2600,0
2017-04-11,16:20:00,31.44,31.44,31.4,31.4,800,0
2017-04-11,16:25:00,31.39,31.4,31.39,31.4,300,0
2017-04-11,16:30:00,31.4,31.41,31.39,31.39,700,0
2017-04-11,16:35:00,31.41,31.42,31.4,31.4,1525,0
2017-04-11,16:40:00,31.42,31.43,31.42,31.43,800,0
2017-04-11,16:45:00,31.43,31.43,31.33,31.37,8203,0
2017-04-11,16:50:00,31.4,31.4195,31.4,31.4,508,0
2017-04-11,16:55:00,31.39,31.4,31.32,31.32,2300,0
2017-04-11,17:00:00,31.29,31.33,31.25,31.33,1249,0
2017-04-11,17:05:00,31.33,31.33,31.25,31.25,700,0
2017-04-11,17:10:00,31.26,31.27,31.17,31.25,1500,0
2017-04-11,17:15:00,31.26,31.26,31.26,31.26,100,0
2017-04-11,17:20:00,31.25,31.26,31.21,31.21,700,0
2017-04-11,17:25:00,31.2474,31.2474,31.21,31.21,320,0
2017-04-11,17:30:00,31.21,31.26,31.21,31.26,400,0
2017-04-11,17:35:00,31.2438,31.2438,31.2438,31.2438,151,0
2017-04-11,17:40:00,31.22,31.22,31.21,31.21,400,0
2017-04-11,17:45:00,31.21,31.24,31.21,31.21,1100,0
2017-04-11,17:50:00,31.205,31.205,30.97,30.97,4400,0
2017-04-11,17:55:00,30.95,31.03,30.8,30.85,5709,0
2017-04-11,18:00:00,30.94,30.95,30.83,30.9,1200,0
2017-04-11,18:05:00,30.9,31.1,30.83,31.09,3467,0
2017-04-11,18:10:00,31.15,31.15,31.03,31.12,2100,0
2017-04-11,18:15:00,31.06,31.17,31.06,31.17,600,0
2017-04-11,18:20:00,31.11,31.11,31.01,31.06,1560,0
2017-04-11,18:25:00,31.02,31.045,31.01,31.03,600,0
2017-04-11,18:30:00,31,31.03,31,31.01,1032,0
2017-04-11,18:35:00,31.01,31.01,31.01,31.01,300,0
2017-04-11,18:40:00,31.0504,31.0504,31.02,31.02,2520,0
2017-04-11,18:45:00,31.03,31.03,31.03,31.03,100,0
2017-04-11,18:50:00,31.03,31.05,31.03,31.05,3100,0
2017-04-11,18:55:00,31.07,31.11,31.06,31.08,1400,0
2017-04-11,19:00:00,31.08,31.08,31,31.065,3200,0
2017-04-11,19:05:00,31.0501,31.06,31.05,31.06,800,0
2017-04-11,19:10:00,31.0301,31.04,30.98,30.98,1800,0
2017-04-11,19:15:00,30.94,30.97,30.93,30.95,900,0
2017-04-11,19:20:00,30.93,30.93,30.87,30.87,1000,0
2017-04-11,19:25:00,30.87,30.8701,30.86,30.86,500,0
2017-04-11,19:30:00,30.83,30.84,30.78,30.78,1200,0
2017-04-11,19:35:00,30.78,30.96,30.78,30.96,3100,0
2017-04-11,19:40:00,30.95,31.01,30.95,30.95,533,0
2017-04-11,19:45:00,30.97,31,30.86,31,2300,0
2017-04-11,19:50:00,31.01,31.06,30.97,30.97,2812,0
2017-04-11,19:55:00,30.97,31.005,30.97,31.005,200,0
2017-04-11,20:00:00,31.03,31.03,30.97,31.02,1500,0
2017-04-11,20:05:00,31.03,31.03,31,31,200,0
2017-04-11,20:10:00,30.99,30.99,30.9178,30.95,1740,0
2017-04-11,20:15:00,30.98,30.98,30.95,30.97,1300,0
2017-04-11,20:20:00,30.9,30.97,30.88,30.97,1903,0
2017-04-11,20:25:00,30.965,31.035,30.95,31.01,3200,0
2017-04-11,20:30:00,31.01,31.01,30.95,30.96,1390,0
2017-04-11,20:35:00,30.95,31.03,30.94,31.03,1700,0
2017-04-11,20:40:00,31.02,31.05,31.01,31.03,1219,0
2017-04-11,20:45:00,31.03,31.03,30.95,30.98,1600,0
2017-04-11,20:50:00,30.95,31,30.93,31,2000,0
2017-04-11,20:55:00,31.04,31.05,31.01,31.05,1700,0
2017-04-11,21:00:00,31.05,31.05,30.97,30.99,1000,0
2017-04-11,21:05:00,30.98,31,30.98,30.98,800,0
2017-04-11,21:10:00,31.01,31.025,30.99,31.02,1922,0
2017-04-11,21:15:00,31.02,31.02,31,31.02,2219,0
2017-04-11,21:20:00,31.01,31.04,31.01,31.04,2800,0
2017-04-11,21:25:00,31.04,31.04,31.02,31.035,1000,0
2017-04-11,21:30:00,31.03,31.05,31.02,31.03,801,0
2017-04-11,21:35:00,31.04,31.08,31.03,31.07,3231,0
2017-04-11,21:40:00,31.075,31.09,31.075,31.09,1428,0
2017-04-11,21:45:00,31.0899,31.0899,31.01,31.02,3465,0
2017-04-11,21:50:00,31.01,31.02,30.99,31.02,7288,0
2017-04-11,21:55:00,31.03,31.16,31,31.16,27900,0
2017-04-11,22:00:00,31.16,31.24,31.16,31.19,45970,0
2017-04-12,15:35:00,31.78,31.78,31.61,31.7,6380,0
2017-04-12,15:40:00,31.495,31.5,31.485,31.5,600,0
2017-04-12,15:45:00,31.495,31.64,31.495,31.63,1310,0
2017-04-12,15:50:00,31.56,31.905,31.555,31.905,2625,0
2017-04-12,15:55:00,31.8,32,31.79,31.9899,1400,0
2017-04-12,16:00:00,31.97,31.97,31.76,31.78,4299,0
2017-04-12,16:05:00,31.82,31.84,31.69,31.69,3300,0
2017-04-12,16:10:00,31.72,31.8083,31.69,31.71,14800,0
2017-04-12,16:15:00,31.775,31.775,31.66,31.69,3200,0
2017-04-12,16:20:00,31.63,31.715,31.62,31.62,2300,0
2017-04-12,16:25:00,31.6425,31.68,31.42,31.4201,3228,0
2017-04-12,16:30:00,31.43,31.44,31.31,31.33,2500,0
2017-04-12,16:35:00,31.33,31.55,31.33,31.43,3733,0
2017-04-12,16:40:00,31.41,31.44,31.38,31.38,1200,0
