Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,15:35:00,3.98,3.98,3.97,3.97,828,0
2017-04-06,15:40:00,3.96,3.96,3.91,3.96,109800,0
2017-04-06,15:45:00,3.96,3.9601,3.92,3.93,18161,0
2017-04-06,15:50:00,3.95,3.96,3.94,3.96,5853,0
2017-04-06,15:55:00,3.99,3.99,3.99,3.99,300,0
2017-04-06,16:00:00,3.99,4,3.99,4,600,0
2017-04-06,16:05:00,4,4,3.99,3.99,2369,0
2017-04-06,16:10:00,3.99,4.01,3.99,4,1300,0
2017-04-06,16:15:00,4,4,3.99,4,3000,0
2017-04-06,16:20:00,3.99,4,3.98,3.98,1400,0
2017-04-06,16:25:00,3.99,3.99,3.99,3.99,600,0
2017-04-06,16:30:00,3.98,4,3.98,4,1200,0
2017-04-06,16:35:00,3.995,3.995,3.98,3.98,1000,0
2017-04-06,16:40:00,3.985,3.99,3.985,3.99,1700,0
2017-04-06,16:45:00,3.99,3.99,3.99,3.99,200,0
2017-04-06,16:50:00,3.98,3.99,3.98,3.985,600,0
2017-04-06,16:55:00,3.99,3.995,3.99,3.995,700,0
2017-04-06,17:00:00,3.99,3.995,3.99,3.995,600,0
2017-04-06,17:05:00,3.99,4,3.985,3.985,1000,0
2017-04-06,17:15:00,3.9838,4.01,3.9838,4,15201,0
2017-04-06,17:20:00,4,4.005,3.99,3.99,2148,0
2017-04-06,17:25:00,4,4.01,4,4.01,2400,0
2017-04-06,17:30:00,4.02,4.02,4.01,4.01,6000,0
2017-04-06,17:35:00,4.01,4.02,4.01,4.02,700,0
2017-04-06,17:40:00,4.02,4.03,4.02,4.03,3541,0
2017-04-06,17:45:00,4.02,4.03,4.02,4.03,3100,0
2017-04-06,17:50:00,4.025,4.025,4.025,4.025,200,0
2017-04-06,17:55:00,4.02,4.02,4.02,4.02,1057,0
2017-04-06,18:05:00,4.03,4.03,4.03,4.03,100,0
2017-04-06,18:10:00,4.03,4.03,4.03,4.03,1500,0
2017-04-06,18:15:00,4.03,4.03,4.02,4.02,600,0
2017-04-06,18:20:00,4.02,4.02,4.02,4.02,400,0
2017-04-06,18:25:00,4.02,4.03,4.02,4.03,1600,0
2017-04-06,18:30:00,4.03,4.03,4.02,4.02,2700,0
2017-04-06,18:35:00,4.02,4.025,4.02,4.025,300,0
2017-04-06,18:40:00,4.02,4.02,4.01,4.01,1400,0
2017-04-06,18:45:00,4.02,4.02,4.01,4.01,2000,0
2017-04-06,18:50:00,4.01,4.01,4.01,4.01,1200,0
2017-04-06,18:55:00,4.0144,4.02,4.0144,4.02,1995,0
2017-04-06,19:00:00,4.02,4.02,4.02,4.02,300,0
2017-04-06,19:05:00,4.025,4.025,4.025,4.025,200,0
2017-04-06,19:10:00,4.03,4.03,4.03,4.03,200,0
2017-04-06,19:15:00,4.02,4.02,4.02,4.02,496,0
2017-04-06,19:20:00,4.025,4.025,4.02,4.025,3476,0
2017-04-06,19:25:00,4.025,4.0398,4.02,4.03,6621,0
2017-04-06,19:30:00,4.03,4.03,4.03,4.03,100,0
2017-04-06,19:35:00,4.03,4.03,4.02,4.0257,6079,0
2017-04-06,19:40:00,4.03,4.03,4.03,4.03,1193,0
2017-04-06,19:45:00,4.03,4.03,4.028,4.028,235,0
2017-04-06,19:50:00,4.03,4.035,4.03,4.035,900,0
2017-04-06,19:55:00,4.03,4.03,4.03,4.03,400,0
2017-04-06,20:00:00,4.03,4.04,4.03,4.04,400,0
2017-04-06,20:05:00,4.03,4.035,4.02,4.02,600,0
2017-04-06,20:15:00,4.03,4.03,4.03,4.03,800,0
2017-04-06,20:20:00,4.03,4.04,4.03,4.04,1607,0
2017-04-06,20:25:00,4.03,4.04,4.03,4.035,3100,0
2017-04-06,20:30:00,4.035,4.035,4.03,4.035,6667,0
2017-04-06,20:35:00,4.035,4.04,4.035,4.04,4200,0
2017-04-06,20:40:00,4.04,4.04,4.03,4.035,2200,0
2017-04-06,20:45:00,4.04,4.04,4.04,4.04,100,0
2017-04-06,20:50:00,4.035,4.035,4.035,4.035,100,0
2017-04-06,20:55:00,4.03,4.04,4.03,4.04,500,0
2017-04-06,21:00:00,4.035,4.035,4.03,4.03,200,0
2017-04-06,21:05:00,4.04,4.04,4.01,4.015,5699,0
2017-04-06,21:10:00,4.01,4.01,4.01,4.01,1100,0
