Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-18,16:05:00,23.87,23.87,23.8464,23.8464,200,0
2017-01-18,16:10:00,23.87,23.87,23.86,23.87,800,0
2017-01-18,16:25:00,23.85,23.85,23.85,23.85,377,0
2017-01-18,16:40:00,23.84,23.85,23.84,23.85,400,0
2017-01-18,16:45:00,23.95,23.95,23.95,23.95,100,0
2017-01-18,16:50:00,23.84,23.912,23.84,23.912,300,0
2017-01-18,17:10:00,23.9347,23.9347,23.9347,23.9347,136,0
2017-01-18,17:15:00,23.94,23.94,23.94,23.94,100,0
2017-01-18,18:00:00,23.95,23.95,23.95,23.95,100,0
2017-01-18,18:05:00,23.9937,23.9937,23.9937,23.9937,166,0
2017-01-18,18:25:00,23.99,23.99,23.99,23.99,100,0
2017-01-18,19:50:00,23.93,23.93,23.93,23.93,100,0
2017-01-18,20:45:00,23.77,23.9,23.77,23.9,1000,0
2017-01-18,20:55:00,23.8168,23.91,23.8168,23.91,700,0
2017-01-18,21:15:00,23.8983,23.91,23.88,23.91,1290,0
2017-01-18,21:40:00,23.9125,23.9125,23.9125,23.9125,1000,0
2017-01-18,21:45:00,23.98,23.98,23.98,23.98,105,0
2017-01-18,22:00:00,23.88,24,23.88,24,300,0
2017-01-19,16:30:00,23.64,23.69,23.64,23.69,200,0
2017-01-19,16:35:00,23.71,23.71,23.71,23.71,100,0
2017-01-19,16:55:00,23.71,23.71,23.71,23.71,100,0
2017-01-19,17:05:00,23.64,23.64,23.62,23.62,206,0
2017-01-19,17:10:00,23.67,23.67,23.67,23.67,100,0
2017-01-19,17:15:00,23.59,23.6,23.59,23.6,600,0
2017-01-19,17:20:00,23.58,23.58,23.58,23.58,100,0
2017-01-19,17:25:00,23.6,23.6,23.6,23.6,100,0
2017-01-19,17:35:00,23.51,23.63,23.51,23.63,200,0
2017-01-19,17:40:00,23.52,23.52,23.52,23.52,100,0
2017-01-19,18:00:00,23.57,23.57,23.57,23.57,262,0
2017-01-19,18:10:00,23.65,23.65,23.65,23.65,100,0
2017-01-19,18:15:00,23.57,23.57,23.57,23.57,162,0
2017-01-19,18:30:00,23.5658,23.5658,23.5658,23.5658,204,0
2017-01-19,18:35:00,23.51,23.51,23.51,23.51,100,0
2017-01-19,19:05:00,23.45,23.45,23.44,23.44,362,0
2017-01-19,19:10:00,23.44,23.5273,23.44,23.5273,1400,0
2017-01-19,19:20:00,23.5325,23.5325,23.45,23.45,300,0
2017-01-19,19:35:00,23.45,23.45,23.45,23.45,292,0
2017-01-19,19:45:00,23.45,23.45,23.45,23.45,162,0
2017-01-19,19:55:00,23.5265,23.54,23.36,23.36,658,0
2017-01-19,20:10:00,23.5146,23.5146,23.5146,23.5146,223,0
2017-01-19,20:20:00,23.4071,23.4071,23.4071,23.4071,154,0
2017-01-19,20:25:00,23.3101,23.35,23.3,23.33,3908,0
2017-01-19,20:40:00,23.56,23.56,23.56,23.56,100,0
2017-01-19,20:45:00,23.58,23.58,23.58,23.58,162,0
2017-01-19,20:55:00,23.7,23.7,23.7,23.7,100,0
2017-01-19,21:50:00,23.47,23.49,23.33,23.33,800,0
2017-01-19,21:55:00,23.33,23.47,23.33,23.47,300,0
2017-01-19,22:00:00,23.49,23.5,23.48,23.5,2142,0
2017-01-20,15:50:00,23.45,23.5387,23.45,23.5387,826,0
2017-01-20,18:35:00,23.55,23.5501,23.35,23.35,1461,0
2017-01-20,19:30:00,23.51,23.51,23.51,23.51,200,0
2017-01-20,19:40:00,23.4782,23.4782,23.45,23.45,800,0
2017-01-20,19:45:00,23.44,23.45,23.44,23.45,500,0
2017-01-20,20:15:00,23.54,23.54,23.54,23.54,100,0
2017-01-20,20:30:00,23.62,23.63,23.62,23.63,200,0
2017-01-20,21:00:00,23.65,23.65,23.65,23.65,200,0
2017-01-20,21:40:00,23.6472,23.6472,23.44,23.61,1955,0
2017-01-20,21:55:00,23.5994,23.5994,23.42,23.42,950,0
2017-01-20,22:00:00,23.42,23.5,23.22,23.22,2307,0
2017-01-23,16:20:00,23.96,23.96,23.96,23.96,400,0
2017-01-23,17:20:00,23.7538,23.7538,23.7538,23.7538,2000,0
2017-01-23,18:15:00,23.79,23.79,23.79,23.79,100,0
2017-01-23,18:20:00,23.46,23.46,23.46,23.46,1781,0
2017-01-23,18:45:00,23.46,23.4648,23.46,23.4648,400,0
2017-01-23,18:50:00,23.6247,23.6247,23.6247,23.6247,300,0
2017-01-23,20:10:00,23.6525,23.6525,23.6525,23.6525,1000,0
2017-01-23,21:25:00,23.8763,23.8763,23.8763,23.8763,2000,0
2017-01-23,21:35:00,23.75,23.75,23.75,23.75,100,0
2017-01-23,22:00:00,23.94,23.94,23.67,23.67,3400,0
2017-01-24,16:10:00,23.7218,23.7218,23.7218,23.7218,1500,0
2017-01-24,16:25:00,23.7541,23.7541,23.7541,23.7541,400,0
2017-01-24,17:00:00,23.7604,23.7604,23.7604,23.7604,1000,0
2017-01-24,17:05:00,23.8486,23.8486,23.8486,23.8486,100,0
2017-01-24,17:40:00,23.72,23.72,23.72,23.72,100,0
2017-01-24,17:50:00,23.73,23.73,23.73,23.73,700,0
2017-01-24,18:00:00,23.76,23.76,23.71,23.72,1200,0
2017-01-24,18:05:00,23.69,23.84,23.4,23.84,5162,0
2017-01-24,18:25:00,23.83,23.83,23.79,23.79,400,0
2017-01-24,18:40:00,23.79,23.79,23.79,23.79,154,0
2017-01-24,18:45:00,23.7991,23.81,23.7991,23.81,1625,0
2017-01-24,18:50:00,23.86,23.9,23.86,23.9,400,0
2017-01-24,18:55:00,23.89,23.89,23.89,23.89,200,0
