Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,21.7,21.7,21.6,21.6,2203,0
2017-04-07,15:40:00,21.5333,21.7,21.5333,21.7,606,0
2017-04-07,15:45:00,21.7,21.7,21.7,21.7,300,0
2017-04-07,15:50:00,21.65,21.725,21.525,21.525,3682,0
2017-04-07,15:55:00,21.6,21.65,21.55,21.55,1167,0
2017-04-07,16:00:00,21.6,21.6,21.6,21.6,500,0
2017-04-07,16:05:00,21.6,21.6,21.6,21.6,300,0
2017-04-07,16:10:00,21.65,21.65,21.6,21.6,1000,0
2017-04-07,16:15:00,21.6,21.6,21.55,21.581,353,0
2017-04-07,16:20:00,21.55,21.6,21.5,21.5,300,0
2017-04-07,16:25:00,21.5,21.5,21.5,21.5,200,0
2017-04-07,16:30:00,21.45,21.5,21.45,21.4999,3700,0
2017-04-07,16:35:00,21.475,21.5,21.4,21.4,1600,0
2017-04-07,16:40:00,21.45,21.45,21.4,21.4,856,0
2017-04-07,16:45:00,21.45,21.45,21.35,21.35,1900,0
2017-04-07,16:50:00,21.375,21.375,21.3,21.3,2506,0
2017-04-07,16:55:00,21.3,21.3,21.25,21.3,400,0
2017-04-07,17:00:00,21.3171,21.4,21.3,21.3,1248,0
2017-04-07,17:05:00,21.35,21.35,21.3,21.3,400,0
2017-04-07,17:10:00,21.25,21.25,21.2,21.2,300,0
2017-04-07,17:15:00,21.2,21.2,21.15,21.15,938,0
2017-04-07,17:20:00,21.175,21.2,21.15,21.2,800,0
2017-04-07,17:25:00,21.15,21.2,21.15,21.2,200,0
2017-04-07,17:30:00,21.225,21.225,21.1,21.1,400,0
2017-04-07,17:35:00,21.1,21.1,21.1,21.1,300,0
2017-04-07,17:40:00,21.1,21.1,21.1,21.1,100,0
2017-04-07,17:45:00,21.05,21.15,21,21,2600,0
2017-04-07,17:50:00,21.05,21.05,21,21.05,400,0
2017-04-07,17:55:00,21.1,21.2,21.1,21.15,1100,0
2017-04-07,18:05:00,21.15,21.2,21.15,21.2,500,0
2017-04-07,18:10:00,21.15,21.15,21.15,21.15,200,0
2017-04-07,18:20:00,21.25,21.25,21.2,21.2,800,0
2017-04-07,18:30:00,21.15,21.15,21.15,21.15,100,0
2017-04-07,18:35:00,21.175,21.175,21.15,21.15,200,0
2017-04-07,18:40:00,21.15,21.15,21.15,21.15,2285,0
2017-04-07,18:45:00,21.15,21.15,21.15,21.15,200,0
2017-04-07,18:50:00,21.15,21.15,21.15,21.15,100,0
2017-04-07,18:55:00,21.2,21.25,21.2,21.25,1200,0
2017-04-07,19:00:00,21.25,21.3,21.25,21.25,993,0
2017-04-07,19:05:00,21.275,21.2999,21.2,21.2,1401,0
2017-04-07,19:10:00,21.2,21.2,21.2,21.2,100,0
2017-04-07,19:15:00,21.2,21.2,21.2,21.2,400,0
2017-04-07,19:20:00,21.25,21.25,21.2,21.2,300,0
2017-04-07,19:25:00,21.2,21.2,21.2,21.2,100,0
2017-04-07,19:30:00,21.2,21.25,21.2,21.25,1078,0
2017-04-07,19:35:00,21.2,21.25,21.2,21.2,1200,0
2017-04-07,19:40:00,21.225,21.225,21.2,21.2,400,0
2017-04-07,19:45:00,21.15,21.15,21.1,21.1,500,0
2017-04-07,19:50:00,21.1,21.1,21.1,21.1,100,0
2017-04-07,20:00:00,21.1,21.1,21.1,21.1,1332,0
2017-04-07,20:05:00,21.1,21.1,21.05,21.05,1200,0
2017-04-07,20:10:00,21.071,21.071,21.071,21.071,1721,0
2017-04-07,20:15:00,21.05,21.05,21.05,21.05,200,0
2017-04-07,20:20:00,21.075,21.075,21.05,21.05,300,0
2017-04-07,20:25:00,21.05,21.05,21,21,400,0
2017-04-07,20:30:00,21,21,21,21,1226,0
2017-04-07,20:35:00,21,21.05,21,21.05,400,0
2017-04-07,20:40:00,21.05,21.075,21.05,21.05,1700,0
2017-04-07,20:45:00,21.05,21.05,21,21.025,838,0
2017-04-07,20:50:00,21,21.1,21,21.05,1225,0
2017-04-07,20:55:00,21.05,21.05,21.05,21.05,600,0
2017-04-07,21:00:00,21,21.05,21,21,2300,0
2017-04-07,21:10:00,21,21,21,21,600,0
2017-04-07,21:15:00,21,21.05,21,21.05,1800,0
2017-04-07,21:20:00,21.025,21.075,21.025,21.05,1600,0
2017-04-07,21:25:00,21.1,21.1,21.1,21.1,1260,0
2017-04-07,21:30:00,21.125,21.125,21.1,21.1,200,0
2017-04-07,21:35:00,21.1,21.1,21.05,21.05,1605,0
2017-04-07,21:40:00,21.075,21.1,21.05,21.1,3000,0
2017-04-07,21:45:00,21.125,21.125,21.1,21.1,600,0
2017-04-07,21:50:00,21.15,21.15,21.1,21.1,4788,0
2017-04-07,21:55:00,21.1,21.2,21.1,21.2,5240,0
2017-04-07,22:00:00,21.2,21.25,21.1,21.1,38767,0
2017-04-10,15:35:00,21.15,21.15,21.1,21.1,2056,0
2017-04-10,15:40:00,21.1,21.2,21.1,21.2,200,0
2017-04-10,15:45:00,21.25,21.35,21.25,21.35,1841,0
2017-04-10,15:50:00,21.3,21.4,21.3,21.4,1000,0
2017-04-10,15:55:00,21.4,21.4,21.4,21.4,300,0
2017-04-10,16:10:00,21.45,21.55,21.45,21.5333,3443,0
2017-04-10,16:15:00,21.5,21.5,21.5,21.5,1100,0
2017-04-10,16:20:00,21.475,21.475,21.4,21.4,1800,0
2017-04-10,16:30:00,21.4,21.4,21.325,21.35,700,0
2017-04-10,16:35:00,21.35,21.4,21.35,21.4,648,0
2017-04-10,16:40:00,21.4218,21.45,21.4,21.45,1300,0
2017-04-10,16:45:00,21.4,21.4,21.4,21.4,200,0
2017-04-10,16:50:00,21.4,21.4,21.4,21.4,200,0
2017-04-10,16:55:00,21.4,21.4,21.4,21.4,100,0
2017-04-10,17:05:00,21.4,21.4,21.35,21.375,400,0
2017-04-10,17:10:00,21.25,21.25,21.25,21.25,900,0
2017-04-10,17:20:00,21.3,21.3,21.25,21.2965,700,0
2017-04-10,17:30:00,21.25,21.25,21.25,21.25,600,0
