Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-17,15:50:00,2.7365,2.7959,2.6373,2.6373,2522,0
2015-04-17,16:10:00,2.6076,2.6076,2.6076,2.6076,100,0
2015-04-17,17:05:00,2.5193,2.5193,2.5193,2.5193,50,0
2015-04-17,18:10:00,2.558,2.5674,2.558,2.5674,504,0
2015-04-17,18:55:00,2.558,2.558,2.558,2.558,100,0
2015-04-17,19:00:00,2.558,2.558,2.558,2.558,100,0
2015-04-17,19:20:00,2.558,2.5679,2.558,2.5679,1501,0
2015-04-17,20:00:00,2.5679,2.5779,2.5679,2.5779,1514,0
2015-04-17,20:05:00,2.5085,2.5085,2.5085,2.5085,100,0
2015-04-17,21:40:00,2.5779,2.5779,2.5779,2.5779,100,0
2015-04-17,22:00:00,2.6472,2.6472,2.6472,2.6472,100,0
2015-04-20,16:10:00,2.5283,2.5283,2.5283,2.5283,302,0
2015-04-20,16:15:00,2.4291,2.4291,2.3796,2.3796,4806,0
2015-04-20,16:30:00,2.3101,2.3101,2.092,2.092,504,0
2015-04-20,16:40:00,2.1316,2.1316,2.1316,2.1316,504,0
2015-04-20,18:00:00,2.1515,2.1515,2.1515,2.1515,1,0
2015-04-20,21:25:00,2.303,2.3696,2.303,2.3696,541,0
2015-04-20,21:30:00,2.3796,2.3796,2.3696,2.3796,3833,0
2015-04-21,17:10:00,2.3004,2.3101,2.2963,2.3096,504,0
2015-04-21,17:25:00,2.2507,2.2605,2.2507,2.2605,2622,0
2015-04-21,18:00:00,2.2209,2.2209,2.2209,2.2209,100,0
2015-04-21,18:10:00,2.1912,2.1912,2.1912,2.1912,202,0
2015-04-21,18:15:00,2.1912,2.1932,2.1912,2.1932,605,0
2015-04-21,18:35:00,2.2209,2.26,2.2209,2.26,908,0
2015-04-21,18:50:00,2.3201,2.3201,2.3201,2.3201,404,0
2015-04-21,20:00:00,2.2308,2.2308,2.2308,2.2308,706,0
2015-04-21,20:05:00,2.3201,2.3201,2.3201,2.3201,807,0
2015-04-21,20:35:00,2.3299,2.3299,2.3299,2.3299,10,0
2015-04-21,20:45:00,2.3201,2.3201,2.3201,2.3201,605,0
2015-04-21,20:50:00,2.3201,2.3399,2.3201,2.3399,1199,0
2015-04-21,22:00:00,2.2705,2.2705,2.2705,2.2705,100,0
2015-04-22,17:55:00,2.2033,2.2033,2.2033,2.2033,100,0
2015-04-22,18:00:00,2.2705,2.3597,2.2705,2.3597,1413,0
2015-04-22,18:05:00,2.4092,2.4092,2.3994,2.4092,606,0
2015-04-22,18:35:00,2.4092,2.4092,2.4092,2.4092,604,0
2015-04-22,19:05:00,2.4787,2.4787,2.4787,2.4787,1009,0
2015-04-22,20:15:00,2.4291,2.4291,2.4291,2.4291,302,0
2015-04-23,16:55:00,2.4092,2.4886,2.4092,2.4886,252,0
2015-04-23,18:10:00,2.4276,2.4276,2.4276,2.4276,336,0
2015-04-23,22:00:00,2.3994,2.3994,2.3994,2.3994,302,0
2015-04-24,18:15:00,2.3201,2.3201,2.2507,2.2507,3158,0
2015-04-24,18:20:00,2.2507,2.2705,2.2507,2.2705,1513,0
2015-04-24,19:40:00,2.2308,2.2308,2.2308,2.2308,748,0
