Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,14.459,14.529,14.459,14.529,5040,0
2017-03-30,15:40:00,14.519,14.519,14.519,14.519,689,0
2017-03-30,15:50:00,14.519,14.519,14.519,14.519,789,0
2017-03-30,16:00:00,14.519,14.519,14.519,14.519,835,0
2017-03-30,16:05:00,14.523,14.523,14.523,14.523,100,0
2017-03-30,16:10:00,14.521,14.521,14.519,14.519,5003,0
2017-03-30,16:15:00,14.528,14.528,14.528,14.528,100,0
2017-03-30,16:20:00,14.519,14.519,14.509,14.509,3565,0
2017-03-30,16:25:00,14.514,14.519,14.509,14.509,4017,0
2017-03-30,16:30:00,14.509,14.519,14.509,14.519,4845,0
2017-03-30,16:35:00,14.509,14.519,14.509,14.519,2655,0
2017-03-30,16:40:00,14.509,14.509,14.509,14.509,844,0
2017-03-30,16:45:00,14.509,14.516,14.509,14.516,933,0
2017-03-30,16:50:00,14.509,14.514,14.509,14.509,1707,0
2017-03-30,16:55:00,14.499,14.499,14.499,14.499,703,0
2017-03-30,17:05:00,14.503,14.503,14.503,14.503,325,0
2017-03-30,17:10:00,14.5,14.509,14.499,14.507,4557,0
2017-03-30,17:15:00,14.504,14.504,14.504,14.504,402,0
2017-03-30,17:20:00,14.509,14.509,14.504,14.504,603,0
2017-03-30,17:25:00,14.505,14.505,14.499,14.499,854,0
2017-03-30,17:35:00,14.504,14.504,14.504,14.504,100,0
2017-03-30,17:40:00,14.499,14.499,14.499,14.499,100,0
2017-03-30,17:55:00,14.499,14.509,14.499,14.509,2310,0
2017-03-30,18:10:00,14.499,14.499,14.499,14.499,2443,0
2017-03-30,18:15:00,14.508,14.509,14.499,14.509,2109,0
2017-03-30,18:25:00,14.499,14.509,14.499,14.509,3213,0
2017-03-30,18:30:00,14.499,14.499,14.499,14.499,100,0
2017-03-30,18:35:00,14.499,14.499,14.499,14.499,100,0
2017-03-30,18:45:00,14.499,14.499,14.499,14.499,100,0
2017-03-30,19:10:00,14.499,14.509,14.499,14.499,1706,0
2017-03-30,19:35:00,14.502,14.502,14.499,14.499,678,0
2017-03-30,20:00:00,14.507,14.507,14.507,14.507,100,0
2017-03-30,20:40:00,14.509,14.509,14.499,14.499,904,0
2017-03-30,20:45:00,14.506,14.506,14.506,14.506,583,0
2017-03-30,20:50:00,14.5,14.5,14.5,14.5,197,0
2017-03-30,20:55:00,14.509,14.519,14.509,14.519,1476,0
2017-03-30,21:00:00,14.519,14.519,14.509,14.509,301,0
2017-03-30,21:05:00,14.514,14.514,14.509,14.509,684,0
2017-03-30,21:10:00,14.513,14.513,14.513,14.513,422,0
2017-03-30,21:20:00,14.516,14.516,14.516,14.516,115,0
2017-03-30,21:35:00,14.509,14.509,14.509,14.509,934,0
2017-03-30,21:45:00,14.504,14.504,14.499,14.499,603,0
2017-03-30,21:50:00,14.509,14.509,14.499,14.499,1047,0
2017-03-30,21:55:00,14.509,14.509,14.499,14.499,2286,0
2017-03-30,22:00:00,14.504,14.509,14.499,14.499,2120,0
2017-03-31,15:35:00,14.529,14.539,14.529,14.529,11205,0
2017-03-31,15:50:00,14.519,14.529,14.519,14.529,529,0
2017-03-31,16:05:00,14.524,14.524,14.522,14.522,2449,0
2017-03-31,16:15:00,14.522,14.522,14.522,14.522,131,0
2017-03-31,16:20:00,14.529,14.529,14.522,14.522,2746,0
2017-03-31,16:30:00,14.509,14.509,14.499,14.499,4105,0
2017-03-31,16:35:00,14.519,14.519,14.519,14.519,100,0
2017-03-31,16:45:00,14.499,14.499,14.499,14.499,100,0
2017-03-31,16:50:00,14.509,14.509,14.509,14.509,100,0
2017-03-31,16:55:00,14.509,14.517,14.509,14.517,502,0
2017-03-31,17:15:00,14.519,14.519,14.519,14.519,100,0
2017-03-31,17:20:00,14.509,14.509,14.509,14.509,100,0
2017-03-31,17:25:00,14.509,14.509,14.506,14.506,1506,0
2017-03-31,17:30:00,14.499,14.509,14.499,14.509,1928,0
2017-03-31,17:40:00,14.509,14.509,14.509,14.509,301,0
2017-03-31,17:55:00,14.509,14.519,14.509,14.519,8562,0
2017-03-31,18:00:00,14.519,14.519,14.509,14.509,7632,0
2017-03-31,18:10:00,14.509,14.509,14.509,14.509,301,0
2017-03-31,18:15:00,14.509,14.509,14.504,14.504,201,0
2017-03-31,18:25:00,14.503,14.503,14.503,14.503,112,0
2017-03-31,18:35:00,14.503,14.503,14.503,14.503,1516,0
2017-03-31,18:45:00,14.509,14.509,14.509,14.509,301,0
2017-03-31,19:05:00,14.499,14.499,14.499,14.499,100,0
2017-03-31,19:10:00,14.509,14.509,14.499,14.499,2093,0
2017-03-31,19:15:00,14.509,14.509,14.509,14.509,504,0
2017-03-31,19:25:00,14.506,14.506,14.506,14.506,108,0
2017-03-31,19:30:00,14.505,14.505,14.499,14.499,1205,0
2017-03-31,19:35:00,14.504,14.504,14.504,14.504,301,0
2017-03-31,19:40:00,14.509,14.509,14.509,14.509,402,0
2017-03-31,20:00:00,14.499,14.509,14.499,14.499,3615,0
2017-03-31,20:30:00,14.509,14.509,14.499,14.499,201,0
2017-03-31,20:35:00,14.499,14.5,14.499,14.5,1225,0
2017-03-31,20:55:00,14.509,14.519,14.504,14.519,4720,0
2017-03-31,21:15:00,14.519,14.519,14.514,14.514,301,0
2017-03-31,21:30:00,14.517,14.517,14.509,14.509,1893,0
2017-03-31,21:35:00,14.514,14.514,14.511,14.511,554,0
2017-03-31,21:40:00,14.519,14.519,14.514,14.519,1919,0
2017-03-31,21:45:00,14.519,14.519,14.519,14.519,301,0
2017-03-31,21:55:00,14.519,14.525,14.519,14.525,1004,0
2017-03-31,22:00:00,14.529,14.529,14.519,14.529,5700,0
2017-04-03,15:35:00,14.529,14.539,14.529,14.539,8583,0
2017-04-03,15:40:00,14.551,14.551,14.529,14.529,678,0
2017-04-03,15:55:00,14.542,14.549,14.542,14.549,1171,0
2017-04-03,16:05:00,14.549,14.559,14.549,14.559,10038,0
2017-04-03,16:10:00,14.559,14.559,14.559,14.559,1938,0
2017-04-03,16:15:00,14.559,14.569,14.539,14.539,4869,0
2017-04-03,16:20:00,14.539,14.539,14.539,14.539,1031,0
2017-04-03,16:25:00,14.541,14.541,14.541,14.541,510,0
2017-04-03,16:30:00,14.559,14.559,14.559,14.559,201,0
2017-04-03,16:35:00,14.539,14.539,14.539,14.539,502,0
2017-04-03,16:40:00,14.547,14.547,14.547,14.547,1738,0
2017-04-03,16:45:00,14.559,14.559,14.539,14.539,3843,0
2017-04-03,16:50:00,14.539,14.539,14.539,14.539,100,0
2017-04-03,17:00:00,14.559,14.559,14.549,14.559,2059,0
2017-04-03,17:05:00,14.569,14.579,14.559,14.559,11103,0
2017-04-03,17:10:00,14.576,14.579,14.559,14.559,1305,0
2017-04-03,17:20:00,14.579,14.579,14.569,14.569,502,0
2017-04-03,17:30:00,14.56,14.56,14.56,14.56,230,0
2017-04-03,17:40:00,14.569,14.569,14.569,14.569,201,0
2017-04-03,17:45:00,14.562,14.569,14.562,14.569,904,0
2017-04-03,17:50:00,14.569,14.589,14.559,14.559,5131,0
2017-04-03,17:55:00,14.569,14.569,14.559,14.559,5694,0
2017-04-03,18:05:00,14.565,14.569,14.565,14.569,2209,0
2017-04-03,18:10:00,14.568,14.568,14.568,14.568,904,0
2017-04-03,18:15:00,14.559,14.559,14.559,14.559,502,0
