Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-29,15:35:00,9.11,9.11,9.03,9.0676,5022,0
2017-03-29,15:40:00,9.0676,9.0676,9.0676,9.0676,200,0
2017-03-29,15:50:00,9.0676,9.0676,9.06,9.06,200,0
2017-03-29,15:55:00,9.06,9.08,9.06,9.08,400,0
2017-03-29,16:00:00,9.08,9.08,9.08,9.08,200,0
2017-03-29,16:05:00,9.0801,9.09,9.0801,9.09,4439,0
2017-03-29,16:15:00,9.08,9.0818,9.08,9.0818,200,0
2017-03-29,16:20:00,9.09,9.1,9.0827,9.0999,4749,0
2017-03-29,16:30:00,9.0839,9.0888,9.0801,9.0888,2798,0
2017-03-29,16:35:00,9.08,9.1061,9.08,9.1061,1200,0
2017-03-29,16:40:00,9.0912,9.11,9.09,9.11,3600,0
2017-03-29,16:55:00,9.11,9.11,9.11,9.11,200,0
2017-03-29,17:00:00,9.11,9.11,9.1,9.11,700,0
2017-03-29,17:05:00,9.1168,9.1168,9.1168,9.1168,5000,0
2017-03-29,17:20:00,9.11,9.12,9.11,9.1175,1200,0
2017-03-29,17:30:00,9.115,9.12,9.115,9.1175,1200,0
2017-03-29,17:40:00,9.115,9.115,9.1132,9.1132,1100,0
2017-03-29,17:50:00,9.11,9.11,9.11,9.11,200,0
2017-03-29,18:00:00,9.11,9.11,9.11,9.11,200,0
2017-03-29,18:05:00,9.117,9.117,9.117,9.117,500,0
2017-03-29,18:10:00,9.11,9.115,9.11,9.115,300,0
2017-03-29,18:15:00,9.1158,9.1158,9.1158,9.1158,400,0
2017-03-29,18:20:00,9.11,9.1105,9.11,9.1105,200,0
2017-03-29,18:25:00,9.115,9.12,9.115,9.12,499,0
2017-03-29,18:35:00,9.11,9.11,9.11,9.11,100,0
2017-03-29,18:45:00,9.11,9.11,9.11,9.11,200,0
2017-03-29,18:50:00,9.1105,9.1105,9.1105,9.1105,100,0
2017-03-29,18:55:00,9.12,9.15,9.12,9.15,11384,0
2017-03-29,19:10:00,9.1437,9.1437,9.1437,9.1437,697,0
2017-03-29,19:15:00,9.131,9.131,9.131,9.131,100,0
2017-03-29,19:20:00,9.1447,9.1447,9.13,9.13,1400,0
2017-03-29,19:30:00,9.13,9.13,9.13,9.13,100,0
2017-03-29,19:35:00,9.1388,9.15,9.13,9.131,2200,0
2017-03-29,19:40:00,9.13,9.13,9.13,9.13,100,0
