Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,12.4,12.6,12.4,12.6,2139,0
2017-04-07,15:40:00,12.55,12.575,12.55,12.55,1700,0
2017-04-07,15:45:00,12.6,12.6,12.575,12.575,1300,0
2017-04-07,15:50:00,12.55,12.55,12.55,12.55,1700,0
2017-04-07,15:55:00,12.5375,12.5375,12.525,12.525,250,0
2017-04-07,16:00:00,12.55,12.55,12.55,12.55,1000,0
2017-04-07,16:05:00,12.55,12.6,12.475,12.525,2200,0
2017-04-07,16:10:00,12.55,12.55,12.55,12.55,2400,0
2017-04-07,16:15:00,12.525,12.65,12.525,12.575,4383,0
2017-04-07,16:20:00,12.55,12.55,12.5,12.525,3200,0
2017-04-07,16:30:00,12.525,12.6,12.525,12.55,5035,0
2017-04-07,16:35:00,12.6,12.6,12.4813,12.5,6202,0
2017-04-07,16:40:00,12.55,12.55,12.5,12.525,300,0
2017-04-07,16:45:00,12.55,12.55,12.5,12.525,5602,0
2017-04-07,16:50:00,12.5,12.55,12.45,12.45,4600,0
2017-04-07,16:55:00,12.45,12.45,12.45,12.45,2400,0
2017-04-07,17:05:00,12.45,12.45,12.4,12.4,2873,0
2017-04-07,17:10:00,12.4,12.425,12.4,12.425,1000,0
2017-04-07,17:15:00,12.4,12.4,12.35,12.35,3793,0
2017-04-07,17:20:00,12.35,12.4,12.35,12.375,9924,0
2017-04-07,17:25:00,12.4,12.4,12.35,12.35,1300,0
2017-04-07,17:30:00,12.375,12.4,12.375,12.375,700,0
2017-04-07,17:35:00,12.375,12.4,12.35,12.375,5388,0
2017-04-07,17:40:00,12.375,12.375,12.375,12.375,100,0
2017-04-07,17:45:00,12.35,12.35,12.35,12.35,100,0
2017-04-07,17:50:00,12.35,12.35,12.325,12.325,3300,0
2017-04-07,17:55:00,12.3,12.35,12.3,12.3,1300,0
2017-04-07,18:05:00,12.3,12.325,12.3,12.3,300,0
2017-04-07,18:10:00,12.325,12.325,12.3,12.3,700,0
2017-04-07,18:20:00,12.325,12.325,12.325,12.325,100,0
2017-04-07,18:25:00,12.3,12.325,12.3,12.325,900,0
2017-04-07,18:30:00,12.3,12.3,12.3,12.3,100,0
2017-04-07,18:40:00,12.325,12.325,12.3,12.3,200,0
2017-04-07,18:45:00,12.325,12.325,12.3,12.3,800,0
2017-04-07,18:50:00,12.325,12.325,12.3,12.3,200,0
2017-04-07,18:55:00,12.325,12.325,12.3,12.3,7392,0
2017-04-07,19:00:00,12.3,12.3,12.3,12.3,100,0
2017-04-07,19:05:00,12.331,12.331,12.3,12.3,349,0
2017-04-07,19:10:00,12.325,12.325,12.25,12.25,12564,0
2017-04-07,19:15:00,12.25,12.3,12.2,12.2,3874,0
2017-04-07,19:20:00,12.2,12.225,12.2,12.225,1500,0
2017-04-07,19:30:00,12.2395,12.2395,12.2,12.225,831,0
2017-04-07,19:35:00,12.225,12.225,12.225,12.225,100,0
2017-04-07,19:40:00,12.2,12.2,12.2,12.2,200,0
2017-04-07,19:45:00,12.225,12.225,12.2,12.2,500,0
2017-04-07,19:50:00,12.2,12.225,12.2,12.225,1000,0
2017-04-07,19:55:00,12.2,12.2,12.2,12.2,1100,0
2017-04-07,20:00:00,12.2,12.225,12.2,12.2,4700,0
2017-04-07,20:05:00,12.25,12.25,12.2,12.225,800,0
2017-04-07,20:10:00,12.225,12.25,12.2,12.225,4196,0
2017-04-07,20:15:00,12.225,12.25,12.2,12.2,1700,0
2017-04-07,20:20:00,12.2375,12.2375,12.2375,12.2375,100,0
2017-04-07,20:30:00,12.2,12.225,12.2,12.225,400,0
2017-04-07,20:35:00,12.225,12.25,12.2,12.2,3500,0
2017-04-07,20:40:00,12.2,12.225,12.2,12.225,3400,0
2017-04-07,20:45:00,12.2,12.225,12.2,12.225,800,0
2017-04-07,20:50:00,12.225,12.225,12.15,12.15,11257,0
2017-04-07,20:55:00,12.15,12.1835,12.15,12.175,630,0
2017-04-07,21:00:00,12.175,12.2,12.15,12.175,1800,0
2017-04-07,21:05:00,12.175,12.2,12.15,12.175,1200,0
2017-04-07,21:10:00,12.175,12.2,12.15,12.175,2700,0
2017-04-07,21:15:00,12.175,12.25,12.15,12.25,13310,0
2017-04-07,21:20:00,12.25,12.35,12.225,12.35,17585,0
2017-04-07,21:25:00,12.35,12.4,12.35,12.375,8400,0
2017-04-07,21:30:00,12.375,12.4,12.35,12.375,5100,0
2017-04-07,21:35:00,12.4,12.4,12.275,12.275,12634,0
2017-04-07,21:40:00,12.275,12.3,12.25,12.3,5400,0
2017-04-07,21:45:00,12.275,12.35,12.25,12.325,22145,0
2017-04-07,21:50:00,12.35,12.35,12.3,12.325,16767,0
2017-04-07,21:55:00,12.35,12.475,12.35,12.45,40285,0
2017-04-07,22:00:00,12.4,12.475,12.35,12.4,67240,0
2017-04-10,15:35:00,12.4,12.6,12.4,12.6,1932,0
2017-04-10,15:40:00,12.5,12.55,12.5,12.55,2400,0
2017-04-10,15:45:00,12.6,12.6,12.55,12.55,2167,0
2017-04-10,15:50:00,12.575,12.6,12.575,12.6,900,0
2017-04-10,15:55:00,12.6,12.6,12.55,12.575,1100,0
2017-04-10,16:00:00,12.575,12.575,12.55,12.55,400,0
2017-04-10,16:05:00,12.575,12.575,12.55,12.55,200,0
2017-04-10,16:10:00,12.575,12.65,12.575,12.65,5400,0
2017-04-10,16:15:00,12.65,12.65,12.55,12.55,1800,0
2017-04-10,16:20:00,12.6,12.6,12.55,12.55,3214,0
2017-04-10,16:25:00,12.575,12.575,12.575,12.575,100,0
2017-04-10,16:35:00,12.575,12.575,12.575,12.575,400,0
2017-04-10,16:40:00,12.575,12.6,12.55,12.55,3700,0
2017-04-10,16:45:00,12.55,12.55,12.55,12.55,200,0
2017-04-10,16:50:00,12.55,12.55,12.45,12.45,5140,0
2017-04-10,16:55:00,12.45,12.5,12.45,12.45,800,0
2017-04-10,17:00:00,12.4563,12.475,12.4563,12.475,586,0
2017-04-10,17:05:00,12.45,12.45,12.45,12.45,100,0
2017-04-10,17:15:00,12.45,12.45,12.45,12.45,100,0
2017-04-10,17:20:00,12.5,12.5375,12.45,12.45,11930,0
2017-04-10,17:25:00,12.45,12.45,12.4,12.45,2104,0
2017-04-10,17:30:00,12.425,12.425,12.4124,12.4124,700,0
2017-04-10,17:35:00,12.4,12.425,12.4,12.4,800,0
2017-04-10,17:40:00,12.4375,12.4375,12.4,12.4,200,0
2017-04-10,17:45:00,12.4,12.45,12.4,12.45,1700,0
2017-04-10,17:50:00,12.45,12.45,12.425,12.45,1000,0
2017-04-10,17:55:00,12.45,12.45,12.4,12.4,5200,0
2017-04-10,18:00:00,12.4,12.45,12.4,12.425,500,0
2017-04-10,18:05:00,12.425,12.45,12.4,12.4,2200,0
2017-04-10,18:10:00,12.425,12.425,12.425,12.425,100,0
2017-04-10,18:15:00,12.45,12.475,12.4,12.4,3612,0
2017-04-10,18:20:00,12.4,12.4,12.4,12.4,200,0
2017-04-10,18:25:00,12.421,12.421,12.4,12.4,400,0
2017-04-10,18:30:00,12.4,12.4,12.4,12.4,100,0
2017-04-10,18:35:00,12.425,12.4375,12.425,12.425,300,0
2017-04-10,18:40:00,12.4,12.4499,12.4,12.4499,300,0
2017-04-10,18:55:00,12.45,12.5,12.4,12.4999,10641,0
2017-04-10,19:00:00,12.4999,12.5,12.475,12.475,3416,0
