Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-22,15:35:00,3.13,3.13,3.13,3.13,500,0
2016-02-22,16:45:00,3.03,3.03,3.03,3.03,100,0
2016-02-22,17:50:00,3.02,3.02,3.02,3.02,100,0
2016-02-22,21:50:00,2.87,2.87,2.87,2.87,100,0
2016-02-23,22:00:00,2.75,2.75,2.75,2.75,100,0
2016-02-24,15:35:00,2.71,2.71,2.71,2.71,500,0
2016-02-24,22:00:00,2.75,2.75,2.75,2.75,100,0
2016-02-25,15:35:00,2.71,2.71,2.71,2.71,406,0
2016-02-25,15:45:00,2.76,2.798,2.76,2.798,200,0
2016-02-25,16:00:00,2.81,2.81,2.81,2.81,900,0
2016-02-25,22:00:00,2.75,2.75,2.75,2.75,100,0
2016-02-26,16:05:00,2.8571,2.8571,2.8571,2.8571,700,0
2016-02-26,16:15:00,2.75,2.75,2.75,2.75,100,0
2016-02-26,22:00:00,2.78,2.78,2.76,2.76,200,0
2016-03-01,16:35:00,2.7601,2.7601,2.75,2.76,1578,0
2016-03-01,17:35:00,2.7668,2.7668,2.7668,2.7668,420,0
2016-03-01,22:00:00,2.76,2.76,2.76,2.76,100,0
2016-03-02,21:40:00,2.85,2.86,2.85,2.86,600,0
2016-03-02,22:00:00,2.87,2.87,2.87,2.87,100,0
2016-03-03,16:15:00,2.92,2.92,2.92,2.92,100,0
2016-03-03,16:30:00,2.87,2.89,2.87,2.89,800,0
2016-03-03,16:55:00,2.89,2.89,2.89,2.89,100,0
2016-03-03,21:25:00,2.9185,3.07,2.9185,3.07,13791,0
2016-03-03,21:30:00,3.1,3.23,3.1,3.23,18300,0
2016-03-03,21:35:00,3.29,3.3,3.02,3.05,8240,0
2016-03-03,21:45:00,3.02,3.02,3.02,3.02,100,0
2016-03-03,22:00:00,2.88,2.88,2.88,2.88,200,0
2016-03-04,17:10:00,3.01,3.01,2.88,3,3100,0
2016-03-04,17:15:00,3,3.06,2.93,3.04,7891,0
2016-03-04,17:20:00,3.045,3.14,3.04,3.14,10500,0
2016-03-04,17:25:00,3.18,3.32,3.12,3.12,11909,0
2016-03-04,17:30:00,3.1,3.1,3.05,3.05,1500,0
2016-03-04,18:10:00,3.15,3.15,3.15,3.15,100,0
2016-03-04,18:15:00,3.1276,3.1276,3.1276,3.1276,1501,0
2016-03-04,18:20:00,3.136,3.136,3.136,3.136,2000,0
2016-03-04,18:25:00,3.15,3.15,3.15,3.15,100,0
2016-03-04,18:40:00,3.05,3.05,3.05,3.05,400,0
2016-03-04,19:10:00,2.97,2.97,2.97,2.97,100,0
2016-03-04,19:20:00,3.0399,3.0399,3.0399,3.0399,2000,0
2016-03-04,22:00:00,2.94,2.94,2.94,2.94,144,0
2016-03-07,15:35:00,3.03,3.03,3.03,3.03,331,0
2016-03-07,15:45:00,3.04,3.04,3.04,3.04,100,0
2016-03-07,15:55:00,3.04,3.04,3.04,3.04,100,0
2016-03-07,19:25:00,3.05,3.1,3.0328,3.1,3029,0
2016-03-07,21:25:00,3.1,3.1,3.1,3.1,200,0
2016-03-07,22:00:00,3.1,3.1,3.1,3.1,100,0
2016-03-08,22:00:00,3.09,3.1,3.01,3.01,406,0
2016-03-11,15:35:00,2.9,2.9,2.9,2.9,835,0
2016-03-11,17:00:00,2.79,2.79,2.79,2.79,100,0
2016-03-11,20:20:00,2.9617,2.9617,2.9617,2.9617,115,0
2016-03-15,15:25:00,2.82,2.82,2.82,2.82,100,0
2016-03-15,20:30:00,2.887,2.887,2.887,2.887,200,0
2016-03-17,16:50:00,2.89,2.89,2.89,2.89,200,0
2016-03-17,20:15:00,2.971,2.971,2.971,2.971,1792,0
2016-03-18,16:55:00,2.95,2.96,2.95,2.96,800,0
2016-03-18,17:00:00,3,3.03,3,3.03,210,0
2016-03-18,17:30:00,3.15,3.15,3.15,3.15,100,0
2016-03-18,18:05:00,3.25,3.45,3.25,3.45,1713,0
2016-03-18,18:10:00,3.45,3.73,3.45,3.73,500,0
2016-03-18,18:20:00,3.6001,3.6001,3.6001,3.6001,600,0
2016-03-18,18:25:00,3.6195,3.6195,3.6195,3.6195,500,0
2016-03-18,18:30:00,3.6,3.6,3.6,3.6,306,0
2016-03-18,18:45:00,3.73,3.73,3.73,3.73,510,0
2016-03-18,18:50:00,3.62,3.62,3.6001,3.6001,2100,0
2016-03-18,18:55:00,3.62,3.62,3.6,3.6,300,0
2016-03-18,19:00:00,3.6001,3.73,3.6,3.73,6500,0
2016-03-18,19:10:00,3.6133,3.6133,3.58,3.58,2744,0
2016-03-18,19:40:00,3.43,3.43,3.25,3.25,1100,0
2016-03-18,19:45:00,3.2,3.21,3.2,3.2,1700,0
