Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,39.9,40.15,39.9,40.15,1536,0
2017-04-07,15:40:00,39.8,40,39.8,40,1000,0
2017-04-07,15:45:00,39.9,39.9598,39.9,39.9598,200,0
2017-04-07,15:50:00,40.05,40.05,39.925,39.925,900,0
2017-04-07,15:55:00,39.95,39.95,39.7,39.7,3264,0
2017-04-07,16:00:00,39.7,39.75,39.7,39.725,1992,0
2017-04-07,16:05:00,39.75,39.75,39.7,39.75,2220,0
2017-04-07,16:10:00,39.7,39.7,39.6,39.7,3400,0
2017-04-07,16:15:00,39.7,40.05,39.7,40,16473,0
2017-04-07,16:20:00,40.05,40.15,39.95,40,13506,0
2017-04-07,16:25:00,40.15,40.35,40.15,40.35,1400,0
2017-04-07,16:30:00,40.3,40.3,40.2,40.2,3200,0
2017-04-07,16:35:00,40.3,40.3,40.3,40.3,535,0
2017-04-07,16:40:00,40.4,40.5,40.4,40.5,1500,0
2017-04-07,16:45:00,40.45,40.45,40.35,40.35,1701,0
2017-04-07,16:50:00,40.3,40.3,40.25,40.25,400,0
2017-04-07,16:55:00,40.2,40.2,40.2,40.2,100,0
2017-04-07,17:00:00,40.15,40.25,40,40.05,4447,0
2017-04-07,17:05:00,40.15,40.15,40.1,40.1321,1000,0
2017-04-07,17:10:00,40.2,40.2,40,40,1700,0
2017-04-07,17:15:00,40,40,40,40,300,0
2017-04-07,17:20:00,40,40.05,40,40,900,0
2017-04-07,17:25:00,40.05,40.1,40,40,2900,0
2017-04-07,17:30:00,39.95,40,39.95,40,1100,0
2017-04-07,17:35:00,40,40.05,40,40.05,600,0
2017-04-07,17:40:00,39.95,39.95,39.95,39.95,200,0
2017-04-07,17:45:00,39.9,40,39.9,40,800,0
2017-04-07,17:50:00,40,40.05,40,40.012,1555,0
2017-04-07,17:55:00,40,40,39.95,40,500,0
2017-04-07,18:00:00,40,40.05,40,40.05,900,0
2017-04-07,18:05:00,40.1,40.1,40,40,2139,0
2017-04-07,18:10:00,40,40.1,39.95,40.1,1314,0
2017-04-07,18:15:00,40.1,40.15,40.1,40.15,600,0
2017-04-07,18:20:00,40.1,40.15,40.1,40.1,500,0
2017-04-07,18:25:00,40.1,40.1,40.1,40.1,300,0
2017-04-07,18:30:00,40.15,40.15,40.1,40.1,200,0
2017-04-07,18:35:00,40.1,40.15,40.1,40.15,300,0
2017-04-07,18:40:00,40.15,40.15,40.1,40.1,700,0
2017-04-07,18:45:00,40.125,40.125,40.125,40.125,100,0
2017-04-07,18:50:00,40.1,40.1,39.95,39.95,1619,0
2017-04-07,18:55:00,39.95,40.05,39.9,40.05,720,0
2017-04-07,19:00:00,40.05,40.2,40.05,40.2,1100,0
2017-04-07,19:05:00,40.15,40.15,40.1,40.1,500,0
2017-04-07,19:10:00,40.1,40.15,40.1,40.15,700,0
2017-04-07,19:15:00,40.2,40.2,40.2,40.2,500,0
2017-04-07,19:20:00,40.15,40.15,40.15,40.15,500,0
2017-04-07,19:30:00,40.2,40.2,40.2,40.2,400,0
2017-04-07,19:35:00,40.3,40.35,40.3,40.35,200,0
2017-04-07,19:40:00,40.3,40.3,40.3,40.3,200,0
2017-04-07,19:45:00,40.2,40.3,40.15,40.25,5600,0
2017-04-07,19:50:00,40.2,40.25,40.2,40.25,500,0
2017-04-07,19:55:00,40.3,40.3,40.25,40.25,703,0
2017-04-07,20:00:00,40.25,40.3,40.2,40.25,1869,0
2017-04-07,20:05:00,40.3,40.45,40.3,40.45,800,0
2017-04-07,20:10:00,40.375,40.4,40.375,40.4,200,0
2017-04-07,20:15:00,40.4,40.5,40.35,40.5,17200,0
2017-04-07,20:20:00,40.425,40.425,40.3,40.3,2900,0
2017-04-07,20:30:00,40.4,40.4,40.4,40.4,400,0
2017-04-07,20:35:00,40.4,40.4,40.4,40.4,200,0
2017-04-07,20:40:00,40.35,40.35,40.35,40.35,777,0
2017-04-07,20:45:00,40.325,40.325,40.1,40.1,4318,0
2017-04-07,20:50:00,40.1,40.1,40.05,40.1,705,0
2017-04-07,20:55:00,40.1,40.1,40.1,40.1,200,0
2017-04-07,21:00:00,40.05,40.075,40.05,40.075,1430,0
2017-04-07,21:05:00,40.05,40.1,40.05,40.1,800,0
2017-04-07,21:10:00,40.15,40.25,40.15,40.2,3650,0
2017-04-07,21:15:00,40.2,40.2,40.1,40.2,2320,0
2017-04-07,21:20:00,40.2,40.3,40.2,40.2,300,0
2017-04-07,21:25:00,40.35,40.35,40.25,40.3215,900,0
2017-04-07,21:30:00,40.3,40.3,40.2,40.2,4021,0
2017-04-07,21:35:00,40.225,40.225,40.15,40.15,1600,0
2017-04-07,21:40:00,40.15,40.15,40.1,40.1,500,0
2017-04-07,21:45:00,40.1,40.125,40.05,40.125,7973,0
2017-04-07,21:50:00,40.1,40.1,39.95,39.95,2630,0
2017-04-07,21:55:00,40.05,40.05,39.95,40.05,3906,0
2017-04-07,22:00:00,40.05,40.25,40.05,40.2,54528,0
2017-04-10,15:35:00,40.1,40.1,40.05,40.05,414,0
2017-04-10,15:40:00,40.25,40.4,40.25,40.3,900,0
2017-04-10,15:45:00,40.4,40.55,40.3,40.3,1272,0
2017-04-10,15:50:00,40.45,40.675,40.45,40.65,1100,0
2017-04-10,15:55:00,40.6,40.75,40.6,40.7,1000,0
2017-04-10,16:00:00,40.725,40.725,40.725,40.725,200,0
2017-04-10,16:05:00,40.8,40.8,40.8,40.8,100,0
2017-04-10,16:10:00,40.75,40.75,40.65,40.7,1400,0
2017-04-10,16:15:00,40.65,40.65,40.65,40.65,800,0
2017-04-10,16:20:00,40.6,40.6,40.55,40.55,900,0
2017-04-10,16:25:00,40.55,40.55,40.5,40.5,200,0
2017-04-10,16:30:00,40.45,40.45,40.386,40.386,450,0
2017-04-10,16:35:00,40.4,40.5,40.4,40.45,841,0
2017-04-10,16:40:00,40.4,40.4,40.3,40.3,1399,0
2017-04-10,16:45:00,40.35,40.35,40.3,40.3,500,0
2017-04-10,16:50:00,40.35,40.45,40.35,40.35,800,0
2017-04-10,16:55:00,40.25,40.25,40.25,40.25,100,0
2017-04-10,17:00:00,40.25,40.25,40.15,40.15,554,0
2017-04-10,17:05:00,40.2,40.2,40.2,40.2,200,0
2017-04-10,17:10:00,40.2,40.2,40.125,40.15,1218,0
2017-04-10,17:15:00,40.2,40.25,40.2,40.25,1000,0
2017-04-10,17:20:00,40.3,40.35,40.3,40.35,200,0
2017-04-10,17:25:00,40.3,40.3,40.3,40.3,100,0
2017-04-10,17:30:00,40.35,40.35,40.35,40.35,100,0
2017-04-10,17:35:00,40.25,40.25,40.1,40.1,1482,0
2017-04-10,17:40:00,40,40.05,39.95,40,1575,0
2017-04-10,17:45:00,39.95,39.95,39.85,39.9,600,0
2017-04-10,17:50:00,39.95,39.95,39.85,39.85,585,0
2017-04-10,17:55:00,39.85,39.8502,39.85,39.8502,550,0
2017-04-10,18:00:00,39.8,39.8,39.775,39.8,700,0
2017-04-10,18:05:00,39.85,39.9,39.85,39.9,300,0
2017-04-10,18:10:00,39.9,39.9,39.9,39.9,100,0
2017-04-10,18:15:00,39.8,39.8,39.65,39.65,1105,0
2017-04-10,18:20:00,39.65,39.65,39.65,39.65,100,0
2017-04-10,18:25:00,39.6,39.6,39.45,39.55,500,0
2017-04-10,18:30:00,39.5,39.6,39.5,39.6,575,0
2017-04-10,18:35:00,39.55,39.55,39.55,39.55,300,0
2017-04-10,18:40:00,39.6,39.6,39.6,39.6,475,0
2017-04-10,18:45:00,39.6,39.6,39.6,39.6,100,0
2017-04-10,18:50:00,39.65,39.8,39.625,39.75,1720,0
2017-04-10,19:00:00,39.8,39.8,39.7754,39.8,350,0
2017-04-10,19:05:00,39.85,39.9,39.85,39.9,300,0
2017-04-10,19:10:00,39.9,39.9,39.85,39.85,200,0
2017-04-10,19:15:00,39.85,39.85,39.75,39.85,1343,0
2017-04-10,19:20:00,39.85,39.85,39.85,39.85,611,0
2017-04-10,19:25:00,39.85,39.85,39.8,39.8,200,0
2017-04-10,19:30:00,39.75,39.75,39.75,39.75,100,0
2017-04-10,19:35:00,39.75,39.75,39.75,39.75,100,0
2017-04-10,19:40:00,39.85,39.85,39.85,39.85,300,0
2017-04-10,19:45:00,39.95,39.95,39.9,39.9,936,0
2017-04-10,20:00:00,39.95,39.95,39.9,39.95,400,0
2017-04-10,20:05:00,39.85,39.85,39.65,39.65,1416,0
2017-04-10,20:10:00,39.675,39.75,39.675,39.725,900,0
2017-04-10,20:15:00,39.725,39.85,39.725,39.8,1358,0
2017-04-10,20:20:00,39.75,39.75,39.75,39.75,300,0
2017-04-10,20:25:00,39.75,39.775,39.7,39.7,600,0
2017-04-10,20:30:00,39.75,39.75,39.65,39.65,1000,0
2017-04-10,20:35:00,39.65,39.7,39.65,39.65,700,0
2017-04-10,20:40:00,39.7,39.75,39.7,39.7,700,0
2017-04-10,20:45:00,39.75,39.75,39.7,39.7,300,0
2017-04-10,20:50:00,39.7,39.8,39.7,39.8,800,0
2017-04-10,20:55:00,39.75,39.75,39.7,39.75,500,0
2017-04-10,21:00:00,39.7,39.7,39.7,39.7,1100,0
2017-04-10,21:05:00,39.7,39.7761,39.7,39.7,781,0
2017-04-10,21:10:00,39.7,39.9,39.7,39.9,3501,0
2017-04-10,21:15:00,39.85,39.875,39.8,39.875,600,0
2017-04-10,21:20:00,39.85,39.9,39.85,39.9,2828,0
2017-04-10,21:25:00,39.85,39.9,39.75,39.8,1932,0
2017-04-10,21:30:00,39.75,39.8,39.75,39.75,500,0
2017-04-10,21:35:00,39.75,39.75,39.7,39.7,1810,0
2017-04-10,21:40:00,39.75,39.75,39.7,39.75,1300,0
2017-04-10,21:45:00,39.7,39.75,39.7,39.75,1950,0
2017-04-10,21:50:00,39.8,39.8,39.75,39.8,1800,0
2017-04-10,21:55:00,39.775,39.8,39.75,39.775,1700,0
2017-04-10,22:00:00,39.8,39.85,39.75,39.8,20793,0
2017-04-11,15:35:00,39.6,39.95,39.6,39.7,788,0
2017-04-11,15:45:00,39.65,39.65,39.5,39.6,500,0
2017-04-11,15:50:00,39.6,39.6,39.6,39.6,200,0
2017-04-11,15:55:00,39.65,39.65,39.6,39.6,1400,0
2017-04-11,16:00:00,39.6,39.6,39.6,39.6,100,0
2017-04-11,16:05:00,39.625,39.65,39.55,39.55,2511,0
2017-04-11,16:10:00,39.6,39.65,39.525,39.525,1500,0
2017-04-11,16:15:00,39.55,39.6,39.55,39.6,1500,0
2017-04-11,16:20:00,39.6,39.6,39.6,39.6,890,0
2017-04-11,16:25:00,39.575,39.6,39.5,39.575,3788,0
2017-04-11,16:30:00,39.6,39.65,39.55,39.6,1400,0
2017-04-11,16:35:00,39.6,39.65,39.55,39.6,1573,0
2017-04-11,16:40:00,39.65,39.65,39.56,39.65,2164,0
2017-04-11,16:45:00,39.625,39.7,39.55,39.7,3861,0
2017-04-11,16:50:00,39.7,39.75,39.7,39.75,1700,0
2017-04-11,16:55:00,39.75,39.8,39.75,39.75,1632,0
2017-04-11,17:00:00,39.75,39.75,39.65,39.7,2305,0
2017-04-11,17:05:00,39.75,39.9,39.75,39.9,900,0
2017-04-11,17:15:00,39.95,40,39.9,39.9,500,0
2017-04-11,17:20:00,39.95,40,39.95,40,500,0
2017-04-11,17:25:00,40,40.1,39.95,40.1,1000,0
2017-04-11,17:35:00,40.0933,40.2,40.0933,40.2,1544,0
2017-04-11,17:40:00,40.2,40.3,40.2,40.3,4300,0
2017-04-11,17:45:00,40.3,40.3,40.3,40.3,200,0
2017-04-11,17:50:00,40.25,40.375,40.2,40.375,1900,0
2017-04-11,17:55:00,40.375,40.375,40.35,40.35,1480,0
2017-04-11,18:00:00,40.35,40.35,40.25,40.35,865,0
2017-04-11,18:05:00,40.3,40.35,40.3,40.3,4409,0
2017-04-11,18:10:00,40.3,40.375,40.3,40.375,1100,0
2017-04-11,18:15:00,40.375,40.45,40.35,40.35,2700,0
2017-04-11,18:20:00,40.3,40.3,40.1,40.25,4040,0
2017-04-11,18:25:00,40.375,40.375,40.35,40.35,400,0
