Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,39.63,40.01,39.63,40.01,3741,0
2017-04-10,15:40:00,40.065,40.065,39.85,39.98,2900,0
2017-04-10,15:45:00,39.99,40.04,39.99,40.03,500,0
2017-04-10,15:50:00,40.1,40.14,40.07,40.07,845,0
2017-04-10,15:55:00,40.07,40.07,40.07,40.07,100,0
2017-04-10,16:00:00,40.06,40.105,40.02,40.05,1303,0
2017-04-10,16:05:00,40.1,40.12,40.1,40.12,900,0
2017-04-10,16:10:00,40.18,40.25,40.18,40.25,52750,0
2017-04-10,16:15:00,40.26,40.26,40.2,40.23,2500,0
2017-04-10,16:20:00,40.22,40.39,40.22,40.37,3852,0
2017-04-10,16:25:00,40.34,40.34,40.32,40.33,800,0
2017-04-10,16:30:00,40.31,40.345,40.28,40.345,1200,0
2017-04-10,16:35:00,40.36,40.51,40.36,40.47,13051,0
2017-04-10,16:40:00,40.47,40.48,40.37,40.37,3100,0
2017-04-10,16:45:00,40.34,40.35,40.29,40.34,1200,0
2017-04-10,16:50:00,40.36,40.39,40.345,40.38,1100,0
2017-04-10,16:55:00,40.38,40.38,40.35,40.36,700,0
2017-04-10,17:00:00,40.36,40.36,40.27,40.27,1735,0
2017-04-10,17:05:00,40.24,40.28,40.23,40.27,1900,0
2017-04-10,17:10:00,40.27,40.27,40.22,40.27,1400,0
2017-04-10,17:15:00,40.29,40.35,40.29,40.35,1200,0
2017-04-10,17:20:00,40.335,40.37,40.32,40.36,2600,0
2017-04-10,17:25:00,40.38,40.39,40.37,40.38,2000,0
2017-04-10,17:30:00,40.36,40.36,40.33,40.34,1800,0
2017-04-10,17:35:00,40.34,40.34,40.1,40.1,3200,0
2017-04-10,17:40:00,40.0906,40.0906,40.05,40.06,2574,0
2017-04-10,17:45:00,40.05,40.05,39.95,40.04,2000,0
2017-04-10,17:50:00,40.01,40.03,40,40.02,1400,0
2017-04-10,17:55:00,40.02,40.08,40.02,40.06,1815,0
2017-04-10,18:00:00,40.06,40.07,40.04,40.04,1000,0
2017-04-10,18:05:00,40.04,40.06,40.01,40.01,1200,0
2017-04-10,18:10:00,40.02,40.02,39.95,39.95,600,0
2017-04-10,18:15:00,39.96,39.96,39.83,39.84,3200,0
2017-04-10,18:20:00,39.848,39.9,39.848,39.89,1075,0
2017-04-10,18:25:00,39.87,39.87,39.87,39.87,100,0
2017-04-10,18:30:00,39.87,39.94,39.87,39.94,1100,0
2017-04-10,18:35:00,39.93,39.99,39.91,39.99,2242,0
2017-04-10,18:40:00,39.98,39.99,39.95,39.95,500,0
2017-04-10,18:45:00,39.965,40.05,39.965,40.04,1186,0
2017-04-10,18:50:00,40.065,40.1,40.05,40.1,600,0
2017-04-10,18:55:00,40.11,40.16,40.11,40.16,2900,0
2017-04-10,19:00:00,40.14,40.16,40.13,40.13,1900,0
2017-04-10,19:05:00,40.145,40.145,40.06,40.06,2300,0
2017-04-10,19:10:00,40.06,40.12,40.06,40.11,3100,0
2017-04-10,19:15:00,40.11,40.17,40.1,40.17,1500,0
2017-04-10,19:20:00,40.18,40.2,40.13,40.13,1500,0
2017-04-10,19:25:00,40.1516,40.22,40.14,40.19,3200,0
2017-04-10,19:30:00,40.18,40.18,40.18,40.18,100,0
2017-04-10,19:35:00,40.16,40.18,40.15,40.16,1500,0
2017-04-10,19:40:00,40.21,40.31,40.21,40.26,2300,0
2017-04-10,19:45:00,40.22,40.25,40.22,40.22,600,0
2017-04-10,19:50:00,40.23,40.23,40.16,40.16,1000,0
2017-04-10,19:55:00,40.16,40.18,40.14,40.14,2400,0
2017-04-10,20:00:00,40.16,40.2,40.14,40.2,2200,0
2017-04-10,20:05:00,40.18,40.18,40.04,40.04,1200,0
2017-04-10,20:10:00,40.06,40.09,40.06,40.08,1300,0
2017-04-10,20:15:00,40.09,40.13,40.06,40.13,2357,0
2017-04-10,20:20:00,40.13,40.13,40.08,40.08,1200,0
2017-04-10,20:25:00,40.13,40.14,40.09,40.09,1400,0
2017-04-10,20:30:00,40.09,40.09,39.99,39.99,1849,0
2017-04-10,20:35:00,40.02,40.08,40.02,40.07,3000,0
2017-04-10,20:40:00,40.08,40.08,40.04,40.04,1300,0
