Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,11.74,11.74,11.74,11.74,295,0
2017-03-30,15:45:00,11.7653,11.7653,11.72,11.72,600,0
2017-03-30,15:50:00,11.72,11.72,11.72,11.72,100,0
2017-03-30,16:00:00,11.7614,11.77,11.72,11.77,2496,0
2017-03-30,16:05:00,11.76,11.76,11.755,11.76,2700,0
2017-03-30,16:10:00,11.755,11.76,11.755,11.76,8966,0
2017-03-30,16:15:00,11.76,11.7601,11.76,11.76,1737,0
2017-03-30,16:25:00,11.78,11.78,11.78,11.78,100,0
2017-03-30,16:35:00,11.77,11.77,11.77,11.77,400,0
2017-03-30,16:40:00,11.77,11.77,11.77,11.77,1800,0
2017-03-30,16:45:00,11.75,11.77,11.75,11.7699,1000,0
2017-03-30,16:55:00,11.7641,11.777,11.75,11.777,1599,0
2017-03-30,17:05:00,11.77,11.77,11.77,11.77,100,0
2017-03-30,17:10:00,11.77,11.77,11.77,11.77,400,0
2017-03-30,17:15:00,11.77,11.77,11.77,11.77,100,0
2017-03-30,17:20:00,11.78,11.8,11.75,11.79,1900,0
2017-03-30,17:25:00,11.79,11.79,11.79,11.79,300,0
2017-03-30,17:30:00,11.79,11.79,11.79,11.79,300,0
2017-03-30,17:35:00,11.78,11.79,11.78,11.79,332,0
2017-03-30,17:40:00,11.75,11.79,11.75,11.78,1109,0
2017-03-30,17:45:00,11.79,11.79,11.776,11.79,1300,0
2017-03-30,18:00:00,11.77,11.78,11.77,11.78,400,0
2017-03-30,18:05:00,11.75,11.75,11.75,11.75,100,0
2017-03-30,18:10:00,11.74,11.78,11.74,11.78,600,0
2017-03-30,18:20:00,11.74,11.74,11.74,11.74,100,0
2017-03-30,18:25:00,11.74,11.74,11.74,11.74,200,0
2017-03-30,18:30:00,11.73,11.73,11.73,11.73,100,0
2017-03-30,18:35:00,11.73,11.77,11.73,11.77,600,0
2017-03-30,18:40:00,11.7524,11.7524,11.7524,11.7524,465,0
2017-03-30,18:55:00,11.77,11.77,11.77,11.77,100,0
2017-03-30,19:00:00,11.73,11.7386,11.73,11.7386,633,0
2017-03-30,19:05:00,11.73,11.76,11.72,11.76,700,0
2017-03-30,19:10:00,11.7568,11.76,11.7568,11.76,1100,0
2017-03-30,19:15:00,11.74,11.74,11.74,11.74,100,0
2017-03-30,19:20:00,11.73,11.73,11.73,11.73,100,0
2017-03-30,19:25:00,11.73,11.73,11.72,11.72,500,0
2017-03-30,19:30:00,11.74,11.78,11.74,11.75,5628,0
2017-03-30,19:35:00,11.7854,11.7854,11.7854,11.7854,465,0
2017-03-30,19:50:00,11.75,11.75,11.75,11.75,500,0
2017-03-30,20:05:00,11.74,11.74,11.74,11.74,500,0
2017-03-30,20:10:00,11.7453,11.7453,11.73,11.73,550,0
2017-03-30,20:20:00,11.75,11.75,11.75,11.75,100,0
2017-03-30,20:25:00,11.75,11.78,11.75,11.78,600,0
2017-03-30,20:30:00,11.751,11.78,11.751,11.78,1159,0
2017-03-30,20:35:00,11.75,11.75,11.74,11.74,600,0
2017-03-30,20:40:00,11.7594,11.78,11.7594,11.78,1593,0
2017-03-30,20:45:00,11.7667,11.77,11.73,11.77,1754,0
2017-03-30,21:00:00,11.73,11.73,11.73,11.73,100,0
2017-03-30,21:05:00,11.73,11.73,11.73,11.73,500,0
2017-03-30,21:15:00,11.74,11.74,11.74,11.74,275,0
2017-03-30,21:20:00,11.73,11.73,11.73,11.73,200,0
2017-03-30,21:25:00,11.78,11.78,11.73,11.73,600,0
2017-03-30,21:35:00,11.74,11.74,11.74,11.74,100,0
2017-03-30,21:40:00,11.7557,11.78,11.73,11.77,1700,0
2017-03-30,21:50:00,11.75,11.75,11.75,11.75,600,0
2017-03-30,21:55:00,11.75,11.75,11.75,11.75,100,0
2017-03-30,22:00:00,11.75,11.76,11.75,11.76,1800,0
2017-03-31,15:35:00,11.74,11.74,11.73,11.73,5306,0
2017-03-31,15:40:00,11.7622,11.7622,11.7622,11.7622,200,0
2017-03-31,15:45:00,11.75,11.75,11.73,11.735,5155,0
2017-03-31,15:50:00,11.735,11.735,11.7324,11.735,950,0
2017-03-31,15:55:00,11.76,11.76,11.76,11.76,100,0
2017-03-31,16:00:00,11.745,11.76,11.745,11.755,5400,0
2017-03-31,16:05:00,11.755,11.755,11.75,11.751,745,0
2017-03-31,16:10:00,11.75,11.755,11.75,11.75,400,0
2017-03-31,16:15:00,11.75,11.7598,11.75,11.7598,500,0
2017-03-31,16:20:00,11.75,11.75,11.75,11.75,1299,0
2017-03-31,16:25:00,11.75,11.75,11.75,11.75,100,0
2017-03-31,16:30:00,11.755,11.755,11.75,11.75,200,0
2017-03-31,16:35:00,11.75,11.79,11.75,11.78,4800,0
2017-03-31,16:40:00,11.79,11.8,11.76,11.8,7278,0
2017-03-31,16:45:00,11.785,11.785,11.77,11.785,500,0
2017-03-31,16:50:00,11.7803,11.8,11.7802,11.79,1500,0
2017-03-31,16:55:00,11.77,11.7792,11.77,11.7792,400,0
2017-03-31,17:00:00,11.78,11.8,11.78,11.8,800,0
2017-03-31,17:05:00,11.78,11.785,11.78,11.785,1100,0
2017-03-31,17:10:00,11.785,11.7992,11.785,11.7992,500,0
2017-03-31,17:15:00,11.7928,11.8,11.7928,11.7992,1504,0
2017-03-31,17:20:00,11.79,11.7934,11.79,11.79,2920,0
2017-03-31,17:25:00,11.7972,11.7972,11.79,11.79,700,0
2017-03-31,17:30:00,11.795,11.795,11.79,11.79,200,0
2017-03-31,17:35:00,11.7972,11.8,11.79,11.79,2300,0
2017-03-31,17:40:00,11.79,11.79,11.79,11.79,200,0
2017-03-31,17:45:00,11.79,11.79,11.785,11.785,300,0
2017-03-31,17:50:00,11.785,11.8,11.785,11.8,300,0
2017-03-31,17:55:00,11.77,11.77,11.77,11.77,100,0
2017-03-31,18:00:00,11.77,11.77,11.77,11.77,200,0
2017-03-31,18:05:00,11.77,11.77,11.77,11.77,200,0
2017-03-31,18:10:00,11.77,11.77,11.77,11.77,100,0
2017-03-31,18:15:00,11.77,11.7886,11.77,11.77,300,0
2017-03-31,18:20:00,11.7756,11.79,11.77,11.78,3404,0
2017-03-31,18:25:00,11.7889,11.7893,11.7889,11.7893,200,0
2017-03-31,18:30:00,11.8,11.8,11.79,11.7928,1916,0
2017-03-31,18:35:00,11.7985,11.81,11.795,11.808,4090,0
2017-03-31,18:45:00,11.808,11.81,11.805,11.8092,3600,0
2017-03-31,18:50:00,11.8029,11.81,11.8029,11.81,907,0
2017-03-31,18:55:00,11.8099,11.81,11.805,11.81,3670,0
2017-03-31,19:00:00,11.815,11.83,11.815,11.83,1650,0
2017-03-31,19:10:00,11.82,11.83,11.82,11.83,1676,0
2017-03-31,19:15:00,11.82,11.82,11.82,11.82,100,0
2017-03-31,19:30:00,11.8299,11.8299,11.8299,11.8299,208,0
2017-03-31,19:35:00,11.81,11.81,11.8,11.8,200,0
2017-03-31,19:40:00,11.81,11.81,11.81,11.81,100,0
2017-03-31,19:45:00,11.8,11.8,11.8,11.8,100,0
2017-03-31,19:50:00,11.8,11.82,11.8,11.82,2200,0
2017-03-31,19:55:00,11.806,11.82,11.8,11.82,1401,0
2017-03-31,20:00:00,11.8,11.8,11.8,11.8,100,0
2017-03-31,20:05:00,11.8,11.8199,11.8,11.8,1610,0
2017-03-31,20:10:00,11.8,11.8,11.8,11.8,200,0
2017-03-31,20:15:00,11.8,11.8,11.79,11.79,200,0
2017-03-31,20:20:00,11.79,11.79,11.79,11.79,100,0
2017-03-31,20:25:00,11.79,11.82,11.79,11.82,400,0
2017-03-31,20:30:00,11.79,11.79,11.79,11.79,200,0
2017-03-31,20:35:00,11.79,11.805,11.79,11.799,500,0
2017-03-31,20:40:00,11.79,11.79,11.79,11.79,100,0
2017-03-31,20:45:00,11.79,11.79,11.79,11.79,200,0
2017-03-31,20:50:00,11.79,11.82,11.79,11.82,600,0
2017-03-31,20:55:00,11.805,11.8179,11.805,11.8179,300,0
2017-03-31,21:00:00,11.805,11.805,11.805,11.805,100,0
2017-03-31,21:05:00,11.79,11.79,11.79,11.79,200,0
2017-03-31,21:10:00,11.79,11.8054,11.79,11.79,700,0
2017-03-31,21:15:00,11.79,11.7993,11.79,11.7993,600,0
2017-03-31,21:20:00,11.79,11.79,11.78,11.78,1200,0
2017-03-31,21:25:00,11.78,11.78,11.78,11.78,200,0
2017-03-31,21:30:00,11.77,11.797,11.77,11.797,300,0
2017-03-31,21:35:00,11.76,11.79,11.76,11.78,500,0
2017-03-31,21:40:00,11.76,11.77,11.76,11.77,200,0
2017-03-31,21:45:00,11.76,11.79,11.76,11.79,200,0
2017-03-31,21:50:00,11.77,11.77,11.76,11.77,300,0
2017-03-31,21:55:00,11.7999,11.8,11.76,11.79,800,0
2017-03-31,22:00:00,11.7999,11.82,11.795,11.81,2713,0
2017-04-03,15:35:00,11.8,11.8488,11.8,11.8247,10298,0
2017-04-03,15:40:00,11.84,11.84,11.84,11.84,100,0
2017-04-03,15:55:00,11.82,11.82,11.78,11.78,1900,0
2017-04-03,16:00:00,11.78,11.79,11.78,11.79,200,0
2017-04-03,16:05:00,11.8,11.845,11.8,11.84,2279,0
2017-04-03,16:10:00,11.85,11.85,11.85,11.85,386,0
2017-04-03,16:15:00,11.8024,11.8024,11.8024,11.8024,100,0
2017-04-03,16:20:00,11.8,11.845,11.8,11.845,1200,0
2017-04-03,16:25:00,11.84,11.85,11.83,11.84,5194,0
2017-04-03,16:30:00,11.84,11.84,11.83,11.84,800,0
2017-04-03,16:35:00,11.83,11.83,11.83,11.83,100,0
2017-04-03,16:40:00,11.82,11.83,11.82,11.83,500,0
2017-04-03,16:45:00,11.835,11.835,11.82,11.82,564,0
2017-04-03,16:50:00,11.82,11.8479,11.82,11.82,2589,0
2017-04-03,16:55:00,11.82,11.82,11.82,11.82,300,0
2017-04-03,17:00:00,11.82,11.8423,11.82,11.8423,1200,0
2017-04-03,17:05:00,11.83,11.8312,11.83,11.8312,200,0
2017-04-03,17:10:00,11.83,11.833,11.83,11.833,625,0
2017-04-03,17:15:00,11.83,11.83,11.83,11.83,200,0
2017-04-03,17:20:00,11.8312,11.8312,11.8312,11.8312,200,0
2017-04-03,17:25:00,11.8312,11.8312,11.8312,11.8312,200,0
2017-04-03,17:30:00,11.83,11.83,11.83,11.83,400,0
2017-04-03,17:35:00,11.8218,11.8218,11.82,11.82,300,0
2017-04-03,17:40:00,11.82,11.8212,11.82,11.82,400,0
2017-04-03,17:45:00,11.8399,11.8399,11.81,11.82,600,0
