Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-02,15:35:00,17.349,17.349,17.349,17.349,744,0
2017-03-02,15:55:00,17.349,17.349,17.349,17.349,167,0
2017-03-02,16:00:00,17.329,17.329,17.329,17.329,102,0
2017-03-02,16:05:00,17.251,17.251,17.251,17.251,443,0
2017-03-02,16:15:00,17.268,17.268,17.268,17.268,408,0
2017-03-02,16:20:00,17.241,17.241,17.241,17.241,102,0
2017-03-02,16:30:00,17.251,17.251,17.251,17.251,102,0
2017-03-02,16:40:00,17.241,17.241,17.241,17.241,102,0
2017-03-02,16:55:00,17.27,17.27,17.27,17.27,102,0
2017-03-02,17:00:00,17.28,17.28,17.28,17.28,204,0
2017-03-02,17:05:00,17.266,17.266,17.26,17.26,204,0
2017-03-02,17:15:00,17.261,17.261,17.26,17.26,917,0
2017-03-02,17:30:00,17.26,17.26,17.26,17.26,102,0
2017-03-02,17:40:00,17.26,17.26,17.26,17.26,204,0
2017-03-02,17:45:00,17.273,17.273,17.273,17.273,510,0
2017-03-02,17:50:00,17.26,17.26,17.26,17.26,102,0
2017-03-02,18:00:00,17.241,17.241,17.241,17.241,102,0
2017-03-02,19:10:00,17.221,17.221,17.221,17.221,102,0
2017-03-02,19:35:00,17.221,17.221,17.221,17.221,172,0
2017-03-02,19:40:00,17.193,17.193,17.193,17.193,1236,0
2017-03-02,20:00:00,17.184,17.184,17.184,17.184,1019,0
2017-03-02,20:20:00,17.172,17.172,17.172,17.172,569,0
2017-03-02,20:35:00,17.172,17.172,17.172,17.172,204,0
2017-03-02,21:20:00,17.172,17.172,17.172,17.172,102,0
2017-03-02,21:25:00,17.162,17.162,17.154,17.154,611,0
2017-03-02,21:55:00,17.152,17.152,17.152,17.152,309,0
2017-03-02,22:00:00,17.182,17.182,17.182,17.182,102,0
2017-03-03,15:35:00,17.211,17.221,17.211,17.221,1704,0
2017-03-03,16:05:00,17.192,17.192,17.192,17.192,102,0
2017-03-03,16:20:00,17.182,17.182,17.182,17.182,102,0
2017-03-03,16:30:00,17.172,17.181,17.172,17.181,276,0
2017-03-03,16:40:00,17.172,17.172,17.172,17.172,102,0
2017-03-03,16:50:00,17.143,17.143,17.143,17.143,102,0
2017-03-03,17:05:00,17.143,17.177,17.143,17.177,1050,0
2017-03-03,17:15:00,17.143,17.143,17.143,17.143,102,0
2017-03-03,17:30:00,17.143,17.143,17.143,17.143,102,0
2017-03-03,17:40:00,17.133,17.133,17.133,17.133,102,0
2017-03-03,17:55:00,17.133,17.133,17.133,17.133,102,0
2017-03-03,18:00:00,17.133,17.184,17.133,17.184,1146,0
2017-03-03,18:35:00,17.13,17.13,17.13,17.13,102,0
2017-03-03,19:00:00,17.157,17.185,17.157,17.185,2955,0
2017-03-03,19:50:00,17.143,17.143,17.143,17.143,102,0
2017-03-03,20:35:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,20:40:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,20:45:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,20:50:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,20:55:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:00:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,21:05:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,21:10:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,21:15:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:20:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:25:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:30:00,17.133,17.133,17.133,17.133,204,0
2017-03-03,21:35:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:40:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:45:00,17.133,17.133,17.133,17.133,306,0
2017-03-03,21:50:00,17.133,17.133,17.123,17.133,917,0
2017-03-03,21:55:00,17.123,17.123,17.123,17.123,816,0
2017-03-03,22:00:00,17.123,17.241,17.103,17.241,1885,0
2017-03-06,15:35:00,17.133,17.133,17.133,17.133,2805,0
2017-03-06,16:05:00,17.084,17.084,17.084,17.084,102,0
2017-03-06,16:15:00,17.123,17.123,17.103,17.103,408,0
2017-03-06,16:25:00,17.143,17.143,17.103,17.103,2010,0
2017-03-06,16:45:00,17.113,17.113,17.113,17.113,204,0
2017-03-06,16:50:00,17.094,17.094,17.094,17.094,102,0
2017-03-06,17:00:00,17.094,17.094,17.094,17.094,102,0
2017-03-06,17:05:00,17.095,17.095,17.094,17.094,807,0
2017-03-06,17:25:00,17.084,17.084,17.084,17.084,102,0
2017-03-06,17:40:00,17.084,17.084,17.084,17.084,102,0
2017-03-06,17:50:00,17.084,17.084,17.084,17.084,102,0
2017-03-06,18:00:00,17.084,17.084,17.084,17.084,102,0
2017-03-06,20:00:00,17.103,17.113,17.103,17.113,502,0
2017-03-06,20:05:00,17.099,17.099,17.099,17.099,204,0
2017-03-06,20:10:00,17.113,17.113,17.113,17.113,581,0
2017-03-06,21:15:00,17.084,17.152,17.084,17.135,2990,0
2017-03-06,21:20:00,17.147,17.147,17.147,17.147,598,0
2017-03-06,21:30:00,17.103,17.103,17.103,17.103,102,0
2017-03-06,21:50:00,17.103,17.103,17.103,17.103,102,0
2017-03-06,22:00:00,17.123,17.143,17.036,17.143,8065,0
