Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-02,15:35:00,10.07,10.07,10.07,10.07,203,0
2017-03-02,17:15:00,10.117,10.117,10.08,10.08,1214,0
2017-03-02,18:40:00,10.089,10.11,10.089,10.09,2274,0
2017-03-02,19:05:00,10.11,10.11,10.11,10.11,102,0
2017-03-02,19:55:00,10.11,10.11,10.11,10.11,102,0
2017-03-02,20:00:00,10.11,10.11,10.11,10.11,102,0
2017-03-02,20:05:00,10.12,10.12,10.12,10.12,102,0
2017-03-02,20:10:00,10.12,10.12,10.12,10.12,202,0
2017-03-02,20:20:00,10.129,10.129,10.129,10.129,102,0
2017-03-02,20:25:00,10.129,10.129,10.129,10.129,102,0
2017-03-02,21:20:00,10.139,10.139,10.139,10.139,102,0
2017-03-02,21:50:00,10.149,10.149,10.149,10.149,202,0
2017-03-02,22:00:00,10.149,10.149,10.139,10.139,304,0
2017-03-03,15:35:00,10.08,10.08,10.08,10.08,306,0
2017-03-03,15:45:00,10.088,10.088,10.07,10.07,5560,0
2017-03-03,16:00:00,10.129,10.139,10.129,10.129,304,0
2017-03-03,16:25:00,10.129,10.129,10.129,10.129,304,0
2017-03-03,16:40:00,10.129,10.129,10.129,10.129,102,0
2017-03-03,19:00:00,10.148,10.188,10.148,10.188,2396,0
2017-03-03,19:30:00,10.188,10.188,10.188,10.188,102,0
2017-03-03,19:40:00,10.188,10.188,10.188,10.188,202,0
2017-03-03,19:45:00,10.188,10.188,10.188,10.188,202,0
2017-03-03,19:50:00,10.188,10.188,10.178,10.188,606,0
2017-03-03,20:30:00,10.195,10.195,10.195,10.195,688,0
2017-03-03,21:30:00,10.193,10.198,10.188,10.188,6323,0
2017-03-03,21:55:00,10.194,10.194,10.194,10.194,1516,0
2017-03-03,22:00:00,10.198,10.198,10.188,10.188,910,0
2017-03-06,15:35:00,10.188,10.188,10.188,10.188,808,0
2017-03-06,15:40:00,10.198,10.198,10.149,10.17,2096,0
