Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-22,14:35:00,33.938,33.954,33.918,33.918,3352,0
2016-03-22,14:50:00,33.888,33.888,33.888,33.888,100,0
2016-03-22,18:30:00,33.898,33.899,33.888,33.888,1306,0
2016-03-22,19:45:00,33.878,33.878,33.878,33.878,300,0
2016-03-22,20:20:00,33.885,33.885,33.885,33.885,100,0
2016-03-23,14:35:00,33.888,33.888,33.888,33.888,500,0
2016-03-23,14:40:00,33.858,33.869,33.858,33.869,400,0
2016-03-23,15:00:00,33.878,33.878,33.878,33.878,900,0
2016-03-23,17:05:00,33.818,33.818,33.798,33.798,200,0
2016-03-23,19:15:00,33.798,33.798,33.788,33.788,1400,0
2016-03-23,19:25:00,33.798,33.798,33.798,33.798,200,0
2016-03-23,19:30:00,33.788,33.788,33.788,33.788,200,0
2016-03-23,19:40:00,33.798,33.808,33.788,33.798,2102,0
2016-03-23,19:45:00,33.798,33.798,33.798,33.798,400,0
2016-03-24,14:35:00,33.748,33.748,33.748,33.748,100,0
2016-03-24,17:30:00,33.758,33.758,33.748,33.748,350,0
2016-03-24,19:25:00,33.758,33.758,33.758,33.758,100,0
2016-03-24,19:55:00,33.748,33.748,33.748,33.748,100,0
2016-03-24,20:30:00,33.728,33.728,33.71,33.728,928,0
2016-03-24,21:00:00,33.738,33.738,33.738,33.738,300,0
2016-03-28,15:35:00,33.718,33.718,33.718,33.718,200,0
2016-03-28,15:50:00,33.838,33.863,33.838,33.838,1300,0
2016-03-28,18:10:00,33.808,33.808,33.778,33.778,200,0
2016-03-28,18:20:00,33.781,33.781,33.778,33.778,300,0
2016-03-28,20:25:00,33.807,33.807,33.807,33.807,100,0
2016-03-29,15:35:00,33.728,33.838,33.728,33.838,200,0
2016-03-29,18:00:00,33.788,33.788,33.788,33.788,100,0
2016-03-29,19:35:00,33.829,33.829,33.828,33.828,800,0
2016-03-29,21:30:00,33.852,33.852,33.848,33.848,2101,0
2016-03-29,21:40:00,33.848,33.848,33.848,33.848,1000,0
2016-03-29,22:00:00,33.856,33.856,33.856,33.856,600,0
2016-03-30,15:35:00,33.888,33.948,33.858,33.948,550,0
2016-03-30,15:40:00,33.948,33.948,33.948,33.948,200,0
