Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-20,15:35:00,2.3,2.3,2.3,2.3,200,0
2016-12-20,16:20:00,2.3045,2.3045,2.3045,2.3045,711,0
2016-12-20,16:40:00,2.34,2.34,2.34,2.34,100,0
2016-12-20,16:55:00,2.34,2.34,2.34,2.34,500,0
2016-12-20,17:25:00,2.33,2.33,2.33,2.33,400,0
2016-12-20,18:25:00,2.33,2.33,2.33,2.33,100,0
2016-12-20,19:15:00,2.33,2.33,2.33,2.33,100,0
2016-12-20,19:20:00,2.3397,2.34,2.3397,2.3399,2900,0
2016-12-20,20:55:00,2.34,2.34,2.34,2.34,300,0
2016-12-20,21:20:00,2.3427,2.3427,2.34,2.34,6263,0
2016-12-20,21:25:00,2.35,2.35,2.35,2.35,650,0
2016-12-20,21:30:00,2.35,2.44,2.35,2.36,4028,0
2016-12-20,21:50:00,2.37,2.37,2.37,2.37,200,0
2016-12-20,21:55:00,2.39,2.42,2.3899,2.42,2100,0
2016-12-20,22:00:00,2.4199,2.4199,2.37,2.37,300,0
2016-12-21,16:40:00,2.3699,2.37,2.3689,2.37,811,0
2016-12-21,20:35:00,2.3617,2.37,2.3617,2.37,500,0
2016-12-21,20:45:00,2.35,2.35,2.35,2.35,100,0
2016-12-21,20:50:00,2.37,2.37,2.37,2.37,236,0
2016-12-21,21:20:00,2.37,2.37,2.37,2.37,300,0
2016-12-21,21:40:00,2.37,2.37,2.37,2.37,100,0
2016-12-22,15:35:00,2.37,2.37,2.37,2.37,422,0
2016-12-22,17:10:00,2.399,2.399,2.399,2.399,3000,0
2016-12-22,17:45:00,2.3901,2.3901,2.39,2.39,1000,0
2016-12-22,17:55:00,2.39,2.39,2.39,2.39,800,0
2016-12-22,18:35:00,2.35,2.35,2.35,2.35,100,0
2016-12-22,20:10:00,2.35,2.35,2.35,2.35,100,0
2016-12-22,21:15:00,2.35,2.35,2.35,2.35,100,0
2016-12-23,15:35:00,2.35,2.35,2.35,2.35,3044,0
2016-12-23,15:40:00,2.35,2.35,2.3499,2.3499,2000,0
2016-12-23,20:30:00,2.3499,2.3499,2.3499,2.3499,100,0
2016-12-27,15:35:00,2.36,2.36,2.36,2.36,200,0
2016-12-27,18:05:00,2.355,2.355,2.31,2.31,1280,0
2016-12-28,15:35:00,2.3,2.3,2.3,2.3,151,0
2016-12-28,15:40:00,2.31,2.31,2.31,2.31,100,0
2016-12-28,20:10:00,2.3045,2.3045,2.3,2.3,477,0
2016-12-28,21:25:00,2.31,2.3253,2.31,2.3253,575,0
2016-12-28,21:45:00,2.34,2.37,2.32,2.3612,2858,0
