Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,31.14,31.14,31.14,31.14,2014,0
2017-04-10,15:40:00,30.96,31.17,30.96,31.17,300,0
2017-04-10,15:45:00,31.13,31.25,31.13,31.25,500,0
2017-04-10,15:50:00,31.275,31.44,31.23,31.23,2751,0
2017-04-10,15:55:00,31.3,31.32,31.22,31.3,1819,0
2017-04-10,16:00:00,31.285,31.34,31.25,31.325,1600,0
2017-04-10,16:05:00,31.28,31.31,31.28,31.31,400,0
2017-04-10,16:10:00,31.285,31.285,31.17,31.25,3100,0
2017-04-10,16:15:00,31.27,31.3,31.155,31.285,1944,0
2017-04-10,16:20:00,31.3,31.34,31.25,31.31,1657,0
2017-04-10,16:25:00,31.32,31.345,31.2,31.225,900,0
2017-04-10,16:30:00,31.2,31.25,31.13,31.25,3957,0
2017-04-10,16:35:00,31.23,31.32,31.23,31.25,2200,0
2017-04-10,16:40:00,31.26,31.45,31.25,31.41,13941,0
2017-04-10,16:45:00,31.4,31.48,31.35,31.42,6657,0
2017-04-10,16:50:00,31.46,31.46,31.4,31.4,1773,0
2017-04-10,16:55:00,31.42,31.44,31.38,31.425,2000,0
2017-04-10,17:00:00,31.41,31.41,31.37,31.37,700,0
2017-04-10,17:05:00,31.37,31.45,31.37,31.43,5204,0
2017-04-10,17:10:00,31.4001,31.445,31.4001,31.445,1175,0
2017-04-10,17:15:00,31.432,31.47,31.432,31.47,923,0
2017-04-10,17:20:00,31.49,31.51,31.485,31.485,2400,0
2017-04-10,17:25:00,31.49,31.51,31.47,31.51,1700,0
2017-04-10,17:30:00,31.485,31.485,31.4,31.43,2100,0
2017-04-10,17:35:00,31.41,31.41,31.35,31.385,7656,0
2017-04-10,17:40:00,31.37,31.45,31.365,31.4,7100,0
2017-04-10,17:45:00,31.4,31.45,31.35,31.4,17834,0
2017-04-10,17:50:00,31.35,31.39,31.35,31.39,776,0
2017-04-10,17:55:00,31.395,31.45,31.395,31.42,900,0
2017-04-10,18:00:00,31.4,31.435,31.3875,31.41,5914,0
2017-04-10,18:05:00,31.42,31.425,31.38,31.38,3000,0
2017-04-10,18:10:00,31.39,31.45,31.38,31.4,7196,0
2017-04-10,18:15:00,31.4,31.46,31.35,31.37,16300,0
2017-04-10,18:20:00,31.37,31.44,31.37,31.43,5586,0
2017-04-10,18:25:00,31.44,31.44,31.37,31.38,14584,0
2017-04-10,18:30:00,31.37,31.45,31.36,31.415,16261,0
