Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,50.7,50.73,50.56,50.64,9492,0
2017-04-10,15:40:00,50.63,50.67,50.5901,50.63,2148,0
2017-04-10,15:45:00,50.62,50.68,50.62,50.68,600,0
2017-04-10,15:50:00,50.58,50.76,50.57,50.74,3300,0
2017-04-10,15:55:00,50.72,50.85,50.72,50.85,2886,0
2017-04-10,16:00:00,50.8694,50.87,50.8,50.87,1959,0
2017-04-10,16:05:00,50.89,50.91,50.88,50.91,1600,0
2017-04-10,16:10:00,50.94,51,50.94,50.9899,2650,0
2017-04-10,16:15:00,50.97,50.97,50.89,50.95,2400,0
2017-04-10,16:20:00,50.95,50.98,50.95,50.97,1600,0
2017-04-10,16:25:00,50.95,50.975,50.95,50.96,1200,0
2017-04-10,16:30:00,50.96,51,50.96,51,1100,0
2017-04-10,16:35:00,51,51.07,51,51.03,2902,0
2017-04-10,16:40:00,51.04,51.05,50.98,50.98,9593,0
2017-04-10,16:45:00,50.95,50.9594,50.9191,50.9191,2601,0
2017-04-10,16:50:00,50.92,50.93,50.88,50.91,4712,0
2017-04-10,16:55:00,50.88,50.89,50.8,50.83,9451,0
2017-04-10,17:00:00,50.82,50.88,50.76,50.76,6364,0
2017-04-10,17:05:00,50.76,50.87,50.74,50.81,8115,0
2017-04-10,17:10:00,50.77,50.805,50.74,50.805,3598,0
2017-04-10,17:15:00,50.8194,50.89,50.8186,50.86,5200,0
2017-04-10,17:20:00,50.86,50.91,50.78,50.78,24166,0
2017-04-10,17:25:00,50.78,50.82,50.78,50.79,18236,0
2017-04-10,17:30:00,50.79,50.8,50.77,50.78,12768,0
2017-04-10,17:35:00,50.78,50.8,50.67,50.73,12186,0
2017-04-10,17:40:00,50.71,50.73,50.68,50.72,7175,0
2017-04-10,17:45:00,50.69,50.72,50.68,50.71,6423,0
2017-04-10,17:50:00,50.72,50.76,50.69,50.72,14497,0
2017-04-10,17:55:00,50.735,50.75,50.71,50.74,4800,0
2017-04-10,18:00:00,50.74,50.755,50.64,50.64,3594,0
2017-04-10,18:05:00,50.6401,50.66,50.6401,50.6401,1500,0
2017-04-10,18:10:00,50.62,50.6401,50.57,50.57,6346,0
2017-04-10,18:15:00,50.58,50.59,50.42,50.42,6010,0
2017-04-10,18:20:00,50.46,50.49,50.46,50.47,4350,0
