Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,84.99,85.13,84.96,84.96,2242,0
2017-04-10,15:40:00,84.99,84.99,84.66,84.66,700,0
2017-04-10,15:45:00,84.74,84.74,84.73,84.73,1100,0
2017-04-10,15:50:00,84.745,84.8105,84.625,84.67,2863,0
2017-04-10,15:55:00,84.75,84.855,84.725,84.76,3400,0
2017-04-10,16:00:00,84.87,84.95,84.87,84.95,800,0
2017-04-10,16:05:00,84.7129,85.06,84.7129,85,3300,0
2017-04-10,16:10:00,84.985,85.08,84.915,84.95,9700,0
2017-04-10,16:15:00,84.93,85,84.92,84.98,2100,0
2017-04-10,16:20:00,84.96,85.025,84.94,84.95,1200,0
2017-04-10,16:25:00,84.89,84.94,84.89,84.94,200,0
2017-04-10,16:30:00,85.05,85.05,84.99,85.04,1900,0
2017-04-10,16:35:00,85.025,85.06,84.91,85.03,8387,0
2017-04-10,16:40:00,85,85.13,84.99,85.05,3100,0
2017-04-10,16:45:00,85.045,85.29,85.03,85.29,1247,0
2017-04-10,16:50:00,85.29,85.38,85.29,85.3,1166,0
2017-04-10,16:55:00,85.375,85.44,85.35,85.405,1214,0
2017-04-10,17:00:00,85.36,85.3994,85.33,85.3994,814,0
2017-04-10,17:05:00,85.34,85.35,85.24,85.25,3563,0
2017-04-10,17:10:00,85.21,85.36,85.2,85.36,800,0
2017-04-10,17:15:00,85.39,85.43,85.39,85.4,500,0
2017-04-10,17:20:00,85.4,85.49,85.4,85.47,557,0
2017-04-10,17:25:00,85.51,85.56,85.51,85.56,400,0
2017-04-10,17:30:00,85.53,85.53,85.52,85.52,200,0
2017-04-10,17:35:00,85.5,85.5,85.46,85.48,1195,0
2017-04-10,17:40:00,85.44,85.45,85.43,85.45,1185,0
2017-04-10,17:45:00,85.39,85.39,85.3477,85.3477,600,0
2017-04-10,17:50:00,85.45,85.46,85.45,85.45,892,0
2017-04-10,17:55:00,85.4,85.52,85.36,85.5,1801,0
2017-04-10,18:00:00,85.485,85.49,85.43,85.46,2100,0
2017-04-10,18:05:00,85.51,85.51,85.45,85.46,600,0
2017-04-10,18:10:00,85.45,85.45,85.355,85.355,2006,0
2017-04-10,18:15:00,85.34,85.34,85.26,85.26,905,0
2017-04-10,18:20:00,85.25,85.27,85.25,85.27,400,0
2017-04-10,18:25:00,85.22,85.31,85.22,85.29,900,0
