Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-12,19:30:00,15.191,15.191,15.191,15.191,1333,0
2016-09-13,16:05:00,14.811,14.918,14.811,14.918,207,0
2016-09-13,16:40:00,14.899,14.899,14.899,14.899,100,0
2016-09-13,16:45:00,14.928,14.928,14.928,14.928,1026,0
2016-09-13,21:40:00,14.664,14.669,14.664,14.669,719,0
2016-09-15,15:50:00,14.694,14.694,14.694,14.694,207,0
2016-09-19,15:40:00,14.699,14.699,14.694,14.696,716,0
2016-09-19,16:25:00,14.666,14.666,14.644,14.645,922,0
2016-09-19,17:10:00,14.85,14.85,14.82,14.82,6795,0
2016-09-19,18:55:00,14.762,14.762,14.752,14.752,207,0
2016-09-20,21:05:00,14.85,14.85,14.85,14.85,921,0
2016-09-20,21:10:00,14.811,14.862,14.811,14.862,1128,0
2016-09-20,21:45:00,14.851,14.851,14.851,14.851,921,0
2016-09-23,16:15:00,14.879,14.879,14.869,14.869,612,0
2016-09-23,21:20:00,14.811,14.811,14.801,14.801,1023,0
2016-09-26,17:00:00,14.869,14.997,14.869,14.997,206,0
2016-09-26,21:10:00,14.977,14.977,14.977,14.977,347,0
2016-09-27,15:50:00,14.912,14.912,14.912,14.912,100,0
2016-09-27,21:25:00,14.937,14.937,14.937,14.937,1023,0
2016-09-28,16:05:00,15.007,15.007,15.007,15.007,100,0
2016-09-28,16:10:00,15.045,15.045,15.045,15.045,206,0
2016-09-28,16:25:00,15.035,15.035,15.035,15.035,100,0
2016-09-29,16:20:00,14.907,14.912,14.733,14.733,1547,0
2016-09-29,19:30:00,14.926,14.926,14.926,14.926,100,0
2016-09-29,22:00:00,14.927,14.927,14.927,14.927,306,0
2016-09-30,15:35:00,15.025,15.025,15.025,15.025,234,0
2016-09-30,16:05:00,14.927,14.927,14.927,14.927,100,0
2016-09-30,16:55:00,14.927,14.927,14.927,14.927,206,0
2016-09-30,18:45:00,14.927,14.927,14.927,14.927,100,0
2016-09-30,19:05:00,14.937,14.947,14.937,14.947,716,0
2016-09-30,21:05:00,14.956,14.956,14.956,14.956,1023,0
2016-10-03,15:45:00,14.997,14.997,14.966,14.966,1645,0
2016-10-03,19:55:00,14.947,14.947,14.927,14.927,306,0
2016-10-03,20:10:00,14.947,14.947,14.947,14.947,100,0
2016-10-04,17:05:00,14.868,14.868,14.742,14.742,612,0
2016-10-04,17:25:00,14.742,14.742,14.742,14.742,716,0
2016-10-05,18:20:00,14.733,14.733,14.733,14.733,5005,0
2016-10-05,22:00:00,14.7,14.7,14.683,14.683,519,0
2016-10-06,15:35:00,14.733,14.83,14.693,14.693,4231,0
2016-10-06,15:40:00,14.693,14.693,14.693,14.693,100,0
2016-10-06,15:45:00,14.683,14.683,14.683,14.683,525,0
2016-10-06,22:00:00,14.801,14.801,14.801,14.801,404,0
2016-10-07,15:50:00,14.78,14.78,14.78,14.78,1023,0
2016-10-07,16:20:00,14.771,14.771,14.771,14.771,100,0
2016-10-07,16:40:00,14.683,14.683,14.683,14.683,753,0
2016-10-07,17:10:00,14.771,14.771,14.683,14.683,289,0
2016-10-07,17:50:00,14.771,14.771,14.771,14.771,331,0
2016-10-07,18:00:00,14.723,14.723,14.723,14.723,189,0
2016-10-07,18:05:00,14.761,14.761,14.761,14.761,100,0
2016-10-07,19:15:00,14.733,14.733,14.733,14.733,100,0
2016-10-07,20:00:00,14.781,14.781,14.758,14.758,206,0
2016-10-07,20:05:00,14.683,14.692,14.683,14.692,722,0
2016-10-07,20:30:00,14.683,14.683,14.683,14.683,189,0
2016-10-07,22:00:00,14.82,14.82,14.82,14.82,100,0
2016-10-10,16:10:00,14.703,14.703,14.693,14.693,206,0
2016-10-10,17:40:00,14.733,14.733,14.733,14.733,100,0
2016-10-10,18:35:00,14.761,14.761,14.736,14.736,632,0
2016-10-10,21:40:00,14.703,14.703,14.703,14.703,1701,0
2016-10-10,21:55:00,14.683,14.683,14.683,14.683,206,0
2016-10-11,16:05:00,14.937,14.937,14.937,14.937,100,0
2016-10-11,16:25:00,14.917,14.917,14.917,14.917,100,0
2016-10-11,16:45:00,14.898,14.898,14.898,14.898,100,0
2016-10-11,17:10:00,14.84,14.84,14.84,14.84,100,0
2016-10-11,17:35:00,14.849,14.849,14.849,14.849,100,0
2016-10-11,18:05:00,14.751,14.751,14.751,14.751,100,0
2016-10-11,18:10:00,14.751,14.751,14.751,14.751,206,0
2016-10-11,18:40:00,14.751,14.751,14.751,14.751,100,0
2016-10-11,19:10:00,14.751,14.751,14.751,14.751,100,0
2016-10-11,19:40:00,14.751,14.751,14.751,14.751,100,0
2016-10-11,21:25:00,14.683,14.683,14.683,14.683,189,0
2016-10-12,15:35:00,14.683,14.703,14.683,14.683,1119,0
2016-10-12,16:00:00,14.693,14.693,14.693,14.693,206,0
2016-10-12,16:30:00,14.84,14.84,14.84,14.84,100,0
2016-10-12,16:55:00,14.84,14.84,14.84,14.84,100,0
2016-10-12,17:25:00,14.84,14.84,14.84,14.84,100,0
2016-10-12,17:30:00,14.83,14.83,14.83,14.83,100,0
2016-10-12,18:25:00,14.713,14.713,14.703,14.703,306,0
2016-10-12,18:30:00,14.83,14.83,14.83,14.83,100,0
2016-10-12,18:50:00,14.703,14.703,14.703,14.703,206,0
2016-10-12,20:00:00,14.683,14.683,14.585,14.585,1693,0
2016-10-12,21:15:00,14.586,14.586,14.585,14.585,206,0
2016-10-12,21:50:00,14.643,14.653,14.586,14.586,1124,0
2016-10-13,15:35:00,14.586,14.586,14.586,14.586,596,0
2016-10-13,16:00:00,14.595,14.595,14.595,14.595,100,0
2016-10-13,16:25:00,14.709,14.709,14.709,14.709,716,0
2016-10-13,16:35:00,14.605,14.605,14.605,14.605,311,0
2016-10-13,16:40:00,14.605,14.605,14.527,14.595,1428,0
2016-10-14,15:50:00,14.497,14.497,14.497,14.497,206,0
2016-10-14,17:10:00,14.497,14.497,14.497,14.497,612,0
2016-10-14,21:20:00,14.208,14.208,14.208,14.208,100,0
2016-10-17,18:15:00,14.321,14.321,13.851,13.852,6108,0
2016-10-17,18:25:00,14.279,14.279,14.279,14.279,256,0
2016-10-17,19:40:00,14.389,14.389,14.389,14.389,100,0
2016-10-17,20:00:00,14.012,14.012,14.012,14.012,100,0
2016-10-17,20:30:00,14.022,14.022,14.022,14.022,100,0
2016-10-17,20:45:00,14.095,14.095,14.095,14.095,512,0
2016-10-17,21:25:00,14.047,14.047,14.047,14.047,100,0
2016-10-17,21:50:00,14.047,14.047,14.047,14.047,100,0
2016-10-18,15:55:00,14.048,14.048,14.048,14.048,1424,0
2016-10-19,15:35:00,14.057,14.066,14.047,14.066,406,0
2016-10-19,15:55:00,14.076,14.095,14.047,14.095,4149,0
2016-10-19,16:25:00,14.44,14.44,14.439,14.439,1224,0
2016-10-19,18:25:00,14.199,14.199,14.199,14.199,100,0
2016-10-19,18:30:00,14.22,14.243,14.199,14.243,512,0
2016-10-19,22:00:00,14.184,14.184,14.184,14.184,306,0
2016-10-20,16:20:00,14.331,14.341,14.331,14.341,305,0
2016-10-20,16:40:00,14.252,14.252,14.252,14.252,510,0
2016-10-20,16:45:00,14.183,14.281,14.183,14.261,2518,0
2016-10-20,21:55:00,14.217,14.217,14.217,14.217,100,0
2016-10-20,22:00:00,14.203,14.203,14.203,14.203,100,0
2016-10-21,15:50:00,14.291,14.291,14.291,14.291,100,0
2016-10-21,16:55:00,14.261,14.336,14.261,14.336,305,0
2016-10-21,18:20:00,14.386,14.386,14.386,14.386,175,0
2016-10-21,19:10:00,14.346,14.346,14.346,14.346,135,0
2016-10-21,21:15:00,14.318,14.318,14.318,14.318,1020,0
2016-10-24,17:35:00,14.261,14.261,14.261,14.261,1425,0
2016-10-24,18:25:00,14.307,14.307,14.307,14.307,4072,0
2016-10-25,18:50:00,14.252,14.355,14.252,14.355,313,0
2016-10-26,15:35:00,14.321,14.321,14.321,14.321,100,0
2016-10-26,18:35:00,14.335,14.335,14.335,14.335,1020,0
2016-10-26,19:10:00,14.311,14.311,14.311,14.311,510,0
2016-10-26,20:10:00,14.321,14.321,14.321,14.321,100,0
2016-10-26,20:15:00,14.311,14.319,14.311,14.319,2393,0
2016-10-26,21:55:00,14.311,14.311,14.311,14.311,205,0
2016-10-26,22:00:00,14.311,14.311,14.311,14.311,305,0
2016-10-27,16:10:00,14.782,14.782,14.331,14.546,405,0
2016-10-27,16:25:00,14.311,14.35,14.311,14.35,492,0
2016-10-27,16:50:00,14.321,14.359,14.311,14.359,1730,0
2016-10-27,19:55:00,14.311,14.32,14.311,14.32,2878,0
2016-10-27,20:35:00,14.311,14.311,14.311,14.311,1264,0
2016-10-27,20:40:00,14.173,14.178,14.173,14.178,923,0
2016-10-27,21:50:00,14.173,14.173,14.173,14.173,205,0
2016-10-28,17:00:00,14.204,14.209,14.183,14.188,610,0
2016-10-28,21:45:00,14.472,14.472,14.472,14.472,1020,0
2016-10-28,22:00:00,14.341,14.341,14.341,14.341,100,0
2016-10-31,14:35:00,14.439,14.439,14.439,14.439,263,0
2016-11-01,17:30:00,14.369,14.369,14.369,14.369,116,0
2016-11-01,18:45:00,14.242,14.242,14.242,14.242,100,0
2016-11-01,19:35:00,14.287,14.287,14.287,14.287,915,0
2016-11-01,20:10:00,14.232,14.232,14.232,14.232,100,0
2016-11-01,21:00:00,14.281,14.281,14.281,14.281,205,0
2016-11-02,14:40:00,14.193,14.193,14.114,14.114,2035,0
2016-11-03,18:05:00,14.114,14.114,14.106,14.106,2005,0
2016-11-07,20:10:00,14.154,14.154,14.046,14.046,1120,0
2016-11-07,21:20:00,14.094,14.094,14.078,14.078,355,0
2016-11-07,21:35:00,14.085,14.173,14.07,14.173,1964,0
2016-11-07,21:50:00,14.258,14.258,14.253,14.253,1668,0
2016-11-07,21:55:00,14.261,14.261,14.154,14.162,3297,0
2016-11-07,22:00:00,14.154,14.154,14.154,14.154,100,0
2016-11-09,16:45:00,14.08,14.08,14.078,14.078,2341,0
2016-11-09,19:25:00,14.046,14.046,14.046,14.046,286,0
2016-11-09,21:30:00,14.046,14.046,14.046,14.046,284,0
2016-11-10,15:35:00,14.046,14.046,13.996,13.996,205,0
2016-11-10,17:30:00,13.849,13.849,13.849,13.849,100,0
2016-11-10,17:50:00,13.858,13.858,13.849,13.849,1120,0
2016-11-10,18:10:00,13.814,13.814,13.814,13.814,510,0
2016-11-10,19:05:00,13.781,13.781,13.781,13.781,100,0
2016-11-10,19:10:00,13.752,13.76,13.752,13.76,2035,0
2016-11-10,19:45:00,13.77,13.771,13.77,13.771,610,0
2016-11-10,19:50:00,13.751,13.751,13.751,13.751,100,0
2016-11-10,22:00:00,13.751,13.751,13.751,13.751,100,0
2016-11-11,20:55:00,13.702,13.702,13.702,13.702,100,0
2016-11-11,21:15:00,13.545,13.545,13.545,13.545,610,0
2016-11-11,21:25:00,13.535,13.535,13.535,13.535,100,0
2016-11-14,15:45:00,13.348,13.348,12.906,12.906,4513,0
2016-11-14,15:50:00,12.965,13.002,12.949,12.949,305,0
2016-11-14,16:10:00,13.005,13.005,12.965,12.965,510,0
2016-11-14,16:15:00,12.96,12.96,12.96,12.96,405,0
2016-11-14,16:20:00,12.96,12.96,12.96,12.96,155,0
2016-11-14,16:25:00,12.947,12.965,12.947,12.965,3055,0
2016-11-14,16:40:00,12.955,12.955,12.955,12.955,205,0
2016-11-14,16:50:00,12.93,12.93,12.93,12.93,2035,0
2016-11-14,17:00:00,12.965,12.965,12.926,12.926,714,0
2016-11-14,17:05:00,12.926,12.926,12.926,12.926,100,0
2016-11-14,17:25:00,12.951,12.951,12.951,12.951,510,0
2016-11-14,17:30:00,12.964,12.965,12.964,12.965,405,0
2016-11-14,17:35:00,12.955,12.965,12.955,12.965,1630,0
2016-11-14,18:40:00,13.074,13.074,13.073,13.073,510,0
2016-11-14,19:15:00,13.123,13.123,13.073,13.073,3802,0
2016-11-14,19:35:00,13.181,13.181,13.181,13.181,380,0
2016-11-14,19:45:00,13.191,13.201,13.126,13.126,4810,0
2016-11-14,20:00:00,13.133,13.133,13.133,13.133,205,0
2016-11-14,20:15:00,13.132,13.132,13.132,13.132,205,0
2016-11-14,21:00:00,13.201,13.201,13.201,13.201,100,0
2016-11-14,21:45:00,13.25,13.26,13.25,13.26,510,0
2016-11-14,21:55:00,13.25,13.26,13.25,13.26,405,0
2016-11-14,22:00:00,13.26,13.28,13.26,13.28,1020,0
2016-11-15,15:35:00,13.151,13.151,13.151,13.151,100,0
2016-11-15,16:00:00,13.152,13.201,13.152,13.201,205,0
2016-11-15,16:35:00,13.161,13.161,13.152,13.152,205,0
2016-11-15,16:40:00,13.289,13.358,13.28,13.358,1146,0
2016-11-15,16:55:00,13.358,13.358,13.303,13.338,1730,0
2016-11-15,17:00:00,13.289,13.289,13.289,13.289,100,0
2016-11-15,17:10:00,13.358,13.358,13.358,13.358,373,0
2016-11-15,18:15:00,13.299,13.305,13.27,13.305,1220,0
2016-11-15,18:35:00,13.344,13.344,13.344,13.344,1425,0
2016-11-15,18:45:00,13.328,13.328,13.328,13.328,100,0
2016-11-15,18:55:00,13.338,13.338,13.328,13.328,205,0
2016-11-15,20:00:00,13.348,13.348,13.348,13.348,100,0
2016-11-15,21:00:00,13.335,13.338,13.335,13.338,405,0
