Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-03,15:35:00,7.55,7.6153,7.55,7.6153,1376,0
2017-04-03,15:40:00,7.629,7.629,7.629,7.629,130,0
2017-04-03,15:45:00,7.6214,7.63,7.6214,7.63,1600,0
2017-04-03,15:50:00,7.6,7.6,7.54,7.55,2000,0
2017-04-03,15:55:00,7.5085,7.55,7.5,7.5,7559,0
2017-04-03,16:00:00,7.52,7.6,7.52,7.59,11050,0
2017-04-03,16:05:00,7.508,7.55,7.508,7.55,2000,0
2017-04-03,16:10:00,7.5092,7.5187,7.5092,7.5187,2000,0
2017-04-03,16:20:00,7.4901,7.53,7.4901,7.53,1400,0
2017-04-03,16:30:00,7.521,7.53,7.5,7.5299,2349,0
2017-04-03,16:40:00,7.54,7.54,7.54,7.54,100,0
2017-04-03,16:45:00,7.52,7.57,7.52,7.54,1600,0
2017-04-03,16:50:00,7.5362,7.5362,7.5362,7.5362,200,0
2017-04-03,16:55:00,7.53,7.53,7.49,7.49,2000,0
2017-04-03,17:00:00,7.5,7.5,7.5,7.5,500,0
2017-04-03,17:05:00,7.5,7.5029,7.49,7.5029,819,0
2017-04-03,17:10:00,7.53,7.53,7.49,7.49,300,0
2017-04-03,17:15:00,7.4998,7.4998,7.44,7.47,3532,0
2017-04-03,17:20:00,7.45,7.5,7.45,7.49,1300,0
2017-04-03,17:25:00,7.48,7.4913,7.44,7.45,5100,0
2017-04-03,17:30:00,7.44,7.445,7.42,7.42,1000,0
2017-04-03,17:35:00,7.406,7.44,7.406,7.44,600,0
2017-04-03,17:40:00,7.425,7.425,7.425,7.425,100,0
2017-04-03,17:45:00,7.4101,7.44,7.4101,7.44,600,0
2017-04-03,17:55:00,7.4385,7.4385,7.42,7.42,800,0
2017-04-03,18:00:00,7.43,7.43,7.43,7.43,100,0
2017-04-03,18:05:00,7.42,7.42,7.41,7.41,200,0
2017-04-03,18:15:00,7.4001,7.43,7.4001,7.43,800,0
2017-04-03,18:30:00,7.4048,7.43,7.4048,7.43,1100,0
2017-04-03,18:35:00,7.43,7.43,7.43,7.43,100,0
2017-04-03,18:45:00,7.41,7.41,7.38,7.39,1700,0
2017-04-03,18:50:00,7.4,7.4064,7.391,7.4064,1900,0
2017-04-03,18:55:00,7.405,7.405,7.405,7.405,100,0
2017-04-03,19:00:00,7.42,7.42,7.42,7.42,100,0
2017-04-03,19:05:00,7.4,7.4,7.4,7.4,250,0
2017-04-03,19:10:00,7.41,7.41,7.41,7.41,100,0
2017-04-03,19:15:00,7.42,7.43,7.41,7.43,900,0
2017-04-03,19:25:00,7.42,7.42,7.38,7.38,1300,0
2017-04-03,19:30:00,7.41,7.41,7.41,7.41,100,0
2017-04-03,19:40:00,7.39,7.39,7.37,7.37,400,0
2017-04-03,19:45:00,7.365,7.38,7.35,7.38,1200,0
2017-04-03,19:50:00,7.3593,7.38,7.35,7.35,2000,0
2017-04-03,19:55:00,7.36,7.37,7.33,7.35,1400,0
2017-04-03,20:10:00,7.37,7.37,7.37,7.37,100,0
2017-04-03,20:15:00,7.37,7.37,7.3685,7.37,1100,0
2017-04-03,20:35:00,7.37,7.37,7.355,7.355,200,0
2017-04-03,20:40:00,7.36,7.36,7.35,7.35,500,0
2017-04-03,20:45:00,7.3599,7.3599,7.33,7.33,1600,0
2017-04-03,21:00:00,7.33,7.34,7.3,7.34,6053,0
2017-04-03,21:10:00,7.35,7.38,7.32,7.38,4393,0
2017-04-03,21:15:00,7.35,7.3566,7.34,7.34,890,0
2017-04-03,21:20:00,7.3493,7.3493,7.34,7.34,1100,0
2017-04-03,21:25:00,7.36,7.36,7.34,7.34,2450,0
2017-04-03,21:30:00,7.36,7.36,7.3511,7.3511,200,0
2017-04-03,21:35:00,7.36,7.37,7.36,7.37,200,0
2017-04-03,21:40:00,7.3659,7.3703,7.3599,7.3703,655,0
2017-04-03,21:45:00,7.38,7.38,7.36,7.37,600,0
2017-04-03,21:50:00,7.37,7.3799,7.36,7.3799,400,0
2017-04-03,21:55:00,7.37,7.38,7.37,7.37,400,0
2017-04-03,22:00:00,7.38,7.39,7.34,7.35,7886,0
2017-04-04,15:35:00,7.39,7.39,7.39,7.39,1059,0
2017-04-04,15:40:00,7.37,7.37,7.26,7.3502,2788,0
2017-04-04,15:45:00,7.32,7.32,7.31,7.31,500,0
2017-04-04,15:50:00,7.32,7.33,7.32,7.33,400,0
2017-04-04,16:00:00,7.3,7.3,7.3,7.3,300,0
2017-04-04,16:10:00,7.2999,7.2999,7.2999,7.2999,100,0
2017-04-04,16:15:00,7.28,7.28,7.25,7.25,2600,0
2017-04-04,16:20:00,7.28,7.285,7.27,7.275,1950,0
2017-04-04,16:25:00,7.29,7.29,7.29,7.29,200,0
2017-04-04,16:40:00,7.273,7.3,7.27,7.3,700,0
2017-04-04,16:45:00,7.3,7.31,7.3,7.31,1840,0
2017-04-04,16:50:00,7.32,7.34,7.32,7.3292,1500,0
2017-04-04,16:55:00,7.32,7.32,7.32,7.32,100,0
2017-04-04,17:00:00,7.32,7.32,7.32,7.32,400,0
2017-04-04,17:05:00,7.31,7.31,7.31,7.31,385,0
2017-04-04,17:20:00,7.31,7.31,7.31,7.31,100,0
2017-04-04,17:25:00,7.305,7.3099,7.305,7.3099,250,0
2017-04-04,17:30:00,7.31,7.31,7.3,7.3,574,0
2017-04-04,17:35:00,7.3,7.31,7.3,7.31,1000,0
2017-04-04,17:45:00,7.3,7.31,7.3,7.31,800,0
2017-04-04,17:55:00,7.3031,7.3031,7.3031,7.3031,500,0
2017-04-04,18:10:00,7.31,7.31,7.31,7.31,100,0
2017-04-04,18:25:00,7.3,7.3,7.29,7.3,1000,0
2017-04-04,18:30:00,7.3,7.31,7.3,7.31,400,0
2017-04-04,18:35:00,7.3,7.3,7.3,7.3,175,0
2017-04-04,18:50:00,7.3,7.3,7.25,7.25,5390,0
2017-04-04,18:55:00,7.25,7.26,7.25,7.2575,400,0
2017-04-04,19:00:00,7.25,7.27,7.25,7.27,1500,0
2017-04-04,19:20:00,7.28,7.28,7.27,7.27,200,0
2017-04-04,19:25:00,7.26,7.26,7.25,7.25,500,0
2017-04-04,19:30:00,7.26,7.26,7.2484,7.2484,400,0
2017-04-04,19:35:00,7.24,7.24,7.18,7.21,10900,0
2017-04-04,19:40:00,7.23,7.24,7.22,7.23,2300,0
2017-04-04,19:45:00,7.23,7.29,7.23,7.27,2900,0
2017-04-04,19:55:00,7.263,7.27,7.263,7.27,600,0
2017-04-04,20:00:00,7.2803,7.29,7.2803,7.29,350,0
2017-04-04,20:15:00,7.2701,7.2701,7.2701,7.2701,200,0
2017-04-04,20:20:00,7.2848,7.2848,7.2848,7.2848,100,0
2017-04-04,20:25:00,7.29,7.29,7.29,7.29,100,0
2017-04-04,20:30:00,7.2823,7.2823,7.27,7.27,1100,0
2017-04-04,20:40:00,7.26,7.26,7.26,7.26,100,0
2017-04-04,20:50:00,7.26,7.26,7.25,7.26,400,0
2017-04-04,20:55:00,7.26,7.26,7.26,7.26,100,0
2017-04-04,21:00:00,7.25,7.25,7.25,7.25,400,0
2017-04-04,21:10:00,7.25,7.25,7.25,7.25,100,0
2017-04-04,21:15:00,7.2493,7.2493,7.23,7.23,1755,0
2017-04-04,21:20:00,7.24,7.24,7.22,7.23,900,0
2017-04-04,21:25:00,7.24,7.25,7.24,7.25,700,0
2017-04-04,21:35:00,7.25,7.25,7.24,7.24,200,0
2017-04-04,21:40:00,7.2596,7.2596,7.2545,7.2545,400,0
2017-04-04,21:45:00,7.26,7.27,7.25,7.26,1400,0
2017-04-04,21:50:00,7.26,7.2677,7.2587,7.2677,1100,0
2017-04-04,21:55:00,7.28,7.28,7.27,7.28,3043,0
2017-04-04,22:00:00,7.27,7.29,7.26,7.27,1866,0
2017-04-05,15:35:00,7.36,7.369,7.33,7.369,6137,0
2017-04-05,15:40:00,7.375,7.39,7.36,7.36,600,0
2017-04-05,15:45:00,7.33,7.33,7.3,7.319,1293,0
2017-04-05,15:50:00,7.3141,7.3141,7.3141,7.3141,137,0
2017-04-05,15:55:00,7.3227,7.3227,7.3227,7.3227,1000,0
2017-04-05,16:00:00,7.31,7.32,7.31,7.32,300,0
2017-04-05,16:05:00,7.31,7.32,7.31,7.32,600,0
2017-04-05,16:10:00,7.285,7.285,7.285,7.285,130,0
2017-04-05,16:15:00,7.284,7.284,7.2816,7.2822,1100,0
2017-04-05,16:20:00,7.29,7.29,7.29,7.29,100,0
2017-04-05,16:30:00,7.28,7.2801,7.2606,7.2606,3600,0
2017-04-05,16:35:00,7.25,7.27,7.24,7.27,2100,0
2017-04-05,16:50:00,7.255,7.255,7.255,7.255,165,0
2017-04-05,16:55:00,7.25,7.25,7.24,7.24,800,0
2017-04-05,17:05:00,7.2292,7.2292,7.1821,7.1821,1230,0
2017-04-05,17:10:00,7.1821,7.1821,7.1,7.1692,22626,0
2017-04-05,17:15:00,7.17,7.17,7.14,7.141,3650,0
2017-04-05,17:25:00,7.1642,7.17,7.16,7.17,1340,0
2017-04-05,17:30:00,7.17,7.17,7.14,7.14,2549,0
2017-04-05,17:35:00,7.1448,7.1556,7.1448,7.1556,8130,0
2017-04-05,17:45:00,7.1583,7.1583,7.1583,7.1583,2500,0
2017-04-05,18:00:00,7.16,7.16,7.1402,7.1402,600,0
2017-04-05,18:05:00,7.15,7.15,7.1454,7.1454,700,0
2017-04-05,18:10:00,7.17,7.17,7.17,7.17,500,0
2017-04-05,18:20:00,7.1753,7.1783,7.1753,7.1783,450,0
2017-04-05,18:25:00,7.18,7.18,7.1748,7.1748,560,0
2017-04-05,18:35:00,7.1898,7.1898,7.1898,7.1898,2000,0
2017-04-05,18:40:00,7.1669,7.1669,7.1669,7.1669,100,0
2017-04-05,18:45:00,7.16,7.1648,7.16,7.1648,700,0
2017-04-05,18:50:00,7.19,7.19,7.19,7.19,800,0
2017-04-05,18:55:00,7.21,7.21,7.21,7.21,100,0
2017-04-05,19:15:00,7.2248,7.25,7.2248,7.2489,2700,0
2017-04-05,19:20:00,7.25,7.27,7.25,7.27,500,0
2017-04-05,19:25:00,7.278,7.278,7.278,7.278,100,0
2017-04-05,19:30:00,7.29,7.29,7.29,7.29,100,0
2017-04-05,19:35:00,7.2834,7.29,7.28,7.28,10945,0
2017-04-05,19:45:00,7.26,7.2709,7.25,7.25,1800,0
2017-04-05,19:55:00,7.2696,7.2696,7.262,7.262,600,0
2017-04-05,20:00:00,7.25,7.25,7.25,7.25,400,0
2017-04-05,20:05:00,7.25,7.2604,7.24,7.2604,610,0
2017-04-05,20:20:00,7.2511,7.2511,7.2511,7.2511,2500,0
2017-04-05,20:25:00,7.2545,7.255,7.24,7.2426,1800,0
2017-04-05,20:40:00,7.23,7.23,7.22,7.22,500,0
2017-04-05,20:50:00,7.2232,7.2298,7.21,7.21,4800,0
2017-04-05,20:55:00,7.2,7.2,7.17,7.17,1800,0
2017-04-05,21:00:00,7.161,7.161,7.16,7.16,2100,0
2017-04-05,21:05:00,7.161,7.161,7.14,7.14,1400,0
2017-04-05,21:10:00,7.16,7.16,7.15,7.15,200,0
2017-04-05,21:15:00,7.14,7.14,7.1,7.1,5372,0
2017-04-05,21:20:00,7.0926,7.0926,7.0926,7.0926,450,0
2017-04-05,21:25:00,7.09,7.09,7.04,7.0521,2200,0
2017-04-05,21:30:00,7.051,7.051,7.05,7.05,200,0
