Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,36.8,36.8,36.8,36.8,1351,0
2017-04-07,15:40:00,36.85,36.9,36.85,36.9,600,0
2017-04-07,15:45:00,36.85,36.85,36.85,36.85,145,0
2017-04-07,15:50:00,36.85,36.9,36.85,36.8868,2200,0
2017-04-07,15:55:00,36.8,36.8,36.65,36.65,1200,0
2017-04-07,16:00:00,36.55,36.65,36.55,36.6,1100,0
2017-04-07,16:05:00,36.65,36.75,36.6,36.65,1045,0
2017-04-07,16:10:00,36.7,36.8,36.65,36.65,2200,0
2017-04-07,16:15:00,36.711,36.711,36.711,36.711,127,0
2017-04-07,16:20:00,36.7,36.7,36.7,36.7,100,0
2017-04-07,16:25:00,36.75,36.8,36.75,36.75,1111,0
2017-04-07,16:30:00,36.75,36.9,36.75,36.85,3400,0
2017-04-07,16:35:00,36.85,36.9,36.8,36.9,2101,0
2017-04-07,16:40:00,36.95,37,36.95,36.95,1940,0
2017-04-07,16:50:00,36.95,36.95,36.85,36.85,5987,0
2017-04-07,17:05:00,36.85,36.85,36.85,36.85,201,0
2017-04-07,17:10:00,36.85,36.85,36.85,36.85,205,0
2017-04-07,17:15:00,36.85,36.85,36.75,36.75,1200,0
2017-04-07,17:20:00,36.75,36.825,36.75,36.825,550,0
2017-04-07,17:25:00,36.85,36.875,36.8,36.8,2122,0
2017-04-07,17:30:00,36.8,36.85,36.8,36.85,200,0
2017-04-07,17:35:00,36.8,36.8,36.75,36.8,1800,0
2017-04-07,17:40:00,36.8,36.8,36.8,36.8,100,0
2017-04-07,17:50:00,36.773,36.8,36.773,36.8,1241,0
2017-04-07,17:55:00,36.75,36.779,36.75,36.775,1571,0
2017-04-07,18:00:00,36.75,36.8,36.75,36.75,500,0
2017-04-07,18:05:00,36.8,36.825,36.775,36.825,1300,0
2017-04-07,18:10:00,36.8,36.8,36.75,36.75,700,0
2017-04-07,18:15:00,36.8,36.8,36.8,36.8,100,0
2017-04-07,18:20:00,36.825,36.85,36.8,36.8,2112,0
2017-04-07,18:25:00,36.8,36.8001,36.8,36.8,400,0
2017-04-07,18:30:00,36.85,36.85,36.8,36.8,1200,0
2017-04-07,18:35:00,36.8,36.8,36.775,36.775,200,0
2017-04-07,18:40:00,36.75,36.75,36.7,36.7,800,0
2017-04-07,18:45:00,36.725,36.725,36.725,36.725,100,0
2017-04-07,18:50:00,36.725,36.725,36.7,36.725,1100,0
2017-04-07,18:55:00,36.75,36.8,36.725,36.75,2028,0
2017-04-07,19:00:00,36.8,36.8,36.775,36.775,1063,0
2017-04-07,19:05:00,36.75,36.75,36.75,36.75,600,0
2017-04-07,19:10:00,36.75,36.75,36.7001,36.75,1300,0
2017-04-07,19:15:00,36.75,36.825,36.75,36.825,2550,0
2017-04-07,19:20:00,36.8298,36.8298,36.8,36.8,971,0
2017-04-07,19:25:00,36.8,36.8,36.8,36.8,100,0
2017-04-07,19:30:00,36.8,36.8,36.75,36.8,3700,0
2017-04-07,19:35:00,36.775,36.8,36.75,36.75,2784,0
2017-04-07,19:40:00,36.7,36.7,36.65,36.65,1637,0
2017-04-07,19:45:00,36.65,36.65,36.6,36.65,1500,0
2017-04-07,19:50:00,36.65,36.65,36.625,36.625,300,0
2017-04-07,19:55:00,36.65,36.75,36.625,36.75,1100,0
2017-04-07,20:00:00,36.725,36.725,36.7,36.7,1277,0
2017-04-07,20:05:00,36.7,36.75,36.7,36.725,703,0
2017-04-07,20:10:00,36.75,36.75,36.725,36.725,1496,0
2017-04-07,20:15:00,36.725,36.725,36.7,36.7,1100,0
2017-04-07,20:20:00,36.7,36.7,36.65,36.7,1000,0
2017-04-07,20:25:00,36.7,36.7,36.65,36.67,450,0
2017-04-07,20:30:00,36.65,36.7,36.65,36.65,400,0
2017-04-07,20:35:00,36.65,36.65,36.55,36.55,2400,0
2017-04-07,20:40:00,36.6,36.6,36.5,36.525,4173,0
2017-04-07,20:45:00,36.5,36.55,36.45,36.5,1917,0
2017-04-07,20:50:00,36.475,36.5,36.45,36.4748,1700,0
2017-04-07,20:55:00,36.45,36.45,36.4,36.4,1828,0
2017-04-07,21:00:00,36.4,36.4,36.35,36.35,600,0
2017-04-07,21:05:00,36.4,36.4,36.4,36.4,200,0
2017-04-07,21:10:00,36.4,36.4,36.35,36.35,1400,0
2017-04-07,21:15:00,36.4,36.45,36.35,36.35,6837,0
2017-04-07,21:20:00,36.4,36.425,36.35,36.4,2925,0
2017-04-07,21:25:00,36.45,36.5,36.425,36.5,3000,0
2017-04-07,21:30:00,36.525,36.525,36.45,36.45,2325,0
2017-04-07,21:35:00,36.45,36.45,36.4,36.425,1000,0
2017-04-07,21:40:00,36.425,36.45,36.35,36.4,5185,0
2017-04-07,21:45:00,36.4,36.4,36.4,36.4,1100,0
2017-04-07,21:50:00,36.45,36.45,36.4,36.425,4000,0
2017-04-07,21:55:00,36.425,36.45,36.4,36.4375,2300,0
2017-04-07,22:00:00,36.425,36.425,36.35,36.4,18976,0
2017-04-10,15:35:00,36.5,36.5,36.4,36.4,2487,0
2017-04-10,15:40:00,36.505,36.55,36.45,36.45,900,0
2017-04-10,15:45:00,36.45,36.55,36.4,36.475,2259,0
2017-04-10,15:50:00,36.45,36.45,36.45,36.45,234,0
2017-04-10,15:55:00,36.45,36.5,36.45,36.5,914,0
2017-04-10,16:00:00,36.45,36.5,36.45,36.45,300,0
2017-04-10,16:05:00,36.45,36.45,36.4,36.4,500,0
2017-04-10,16:10:00,36.45,36.45,36.4,36.4,1100,0
2017-04-10,16:15:00,36.4,36.4,36.3,36.35,800,0
2017-04-10,16:20:00,36.35,36.35,36.35,36.35,100,0
2017-04-10,16:25:00,36.3499,36.35,36.2,36.25,7696,0
2017-04-10,16:30:00,36.25,36.25,36.25,36.25,400,0
2017-04-10,16:35:00,36.25,36.3,36.25,36.25,1408,0
2017-04-10,16:40:00,36.25,36.25,36.1,36.1,4262,0
2017-04-10,16:45:00,36.1,36.15,35.95,36.15,5080,0
2017-04-10,16:50:00,36.1,36.2,36.1,36.2,600,0
2017-04-10,16:55:00,36.194,36.2,36.1,36.1,2700,0
2017-04-10,17:00:00,36.079,36.15,36.06,36.06,450,0
2017-04-10,17:05:00,36.1112,36.2,36.1,36.1,1600,0
2017-04-10,17:10:00,36.1,36.1,36,36.1,1200,0
2017-04-10,17:15:00,36.1,36.14,36.1,36.1,1554,0
2017-04-10,17:20:00,36.05,36.05,36.05,36.05,500,0
2017-04-10,17:25:00,36.15,36.15,36.1,36.1,400,0
2017-04-10,17:30:00,36.15,36.15,35.95,36,1611,0
2017-04-10,17:35:00,36.05,36.05,35.9,35.9,631,0
2017-04-10,17:40:00,35.85,35.95,35.85,35.95,200,0
2017-04-10,17:45:00,35.85,35.85,35.75,35.75,3301,0
2017-04-10,17:50:00,35.833,35.85,35.833,35.85,1477,0
2017-04-10,18:00:00,35.85,35.85,35.8,35.8,3822,0
2017-04-10,18:05:00,35.825,35.85,35.8,35.8,1800,0
2017-04-10,18:10:00,35.85,35.85,35.8,35.8,300,0
2017-04-10,18:15:00,35.75,35.75,35.65,35.65,1102,0
2017-04-10,18:20:00,35.75,35.75,35.7,35.7,375,0
2017-04-10,18:25:00,35.75,35.75,35.65,35.65,200,0
2017-04-10,18:30:00,35.7,35.725,35.7,35.725,400,0
2017-04-10,18:35:00,35.725,36,35.725,35.9999,1600,0
2017-04-10,18:40:00,35.925,35.9999,35.925,35.9999,200,0
2017-04-10,18:45:00,35.9,35.975,35.9,35.9,2458,0
2017-04-10,18:50:00,35.8995,35.95,35.8995,35.9,2240,0
2017-04-10,18:55:00,35.95,36,35.9,36,21153,0
2017-04-10,19:00:00,36.0499,36.0499,35.9,35.95,4134,0
2017-04-10,19:05:00,36,36,35.95,35.95,1101,0
2017-04-10,19:10:00,35.95,35.95,35.95,35.95,300,0
2017-04-10,19:15:00,35.9999,36,35.9001,35.9001,700,0
2017-04-10,19:20:00,35.9999,35.9999,35.9001,35.9999,500,0
2017-04-10,19:25:00,35.9001,36,35.9001,35.9001,1800,0
2017-04-10,19:30:00,35.95,36,35.9001,36,650,0
2017-04-10,19:35:00,35.9644,36,35.9,35.9001,907,0
2017-04-10,19:40:00,36,36,35.95,36,2029,0
2017-04-10,19:45:00,36,36.05,36,36.0499,1638,0
2017-04-10,19:50:00,36.0499,36.0499,36.0499,36.0499,200,0
2017-04-10,19:55:00,36.0001,36.1,36,36,5448,0
2017-04-10,20:00:00,36,36.025,36,36.0035,4000,0
2017-04-10,20:05:00,36,36.025,35.85,35.925,3600,0
2017-04-10,20:10:00,35.95,36,35.95,35.95,1000,0
2017-04-10,20:15:00,35.9074,36,35.9001,35.9001,709,0
2017-04-10,20:20:00,35.9001,36,35.9001,35.9501,600,0
2017-04-10,20:25:00,35.975,36,35.9,35.9,3100,0
2017-04-10,20:30:00,35.975,36,35.85,35.85,1843,0
2017-04-10,20:35:00,35.85,35.9,35.825,35.825,2868,0
2017-04-10,20:40:00,35.85,35.9,35.85,35.875,816,0
2017-04-10,20:45:00,35.85,35.85,35.75,35.7501,4200,0
2017-04-10,20:50:00,35.75,35.85,35.75,35.8,2583,0
2017-04-10,20:55:00,35.8,35.85,35.7501,35.85,17850,0
2017-04-10,21:00:00,35.85,35.8999,35.8,35.85,2625,0
2017-04-10,21:05:00,35.8999,35.9,35.85,35.85,1800,0
2017-04-10,21:10:00,35.9,35.9,35.85,35.85,1900,0
2017-04-10,21:15:00,35.85,36,35.8,36,2000,0
2017-04-10,21:20:00,35.9999,36,35.9999,35.9999,400,0
2017-04-10,21:25:00,35.9499,35.9499,35.85,35.85,2300,0
2017-04-10,21:30:00,35.95,35.95,35.925,35.9499,735,0
2017-04-10,21:35:00,35.95,35.95,35.8,35.825,2158,0
2017-04-10,21:40:00,35.85,35.8835,35.8,35.8,5850,0
2017-04-10,21:45:00,35.75,35.8,35.7,35.7,6729,0
2017-04-10,21:50:00,35.7,35.775,35.675,35.7,7792,0
2017-04-10,21:55:00,35.7,35.75,35.7,35.725,9767,0
2017-04-10,22:00:00,35.7,35.725,35.65,35.7,23180,0
2017-04-11,15:35:00,35.6,36,35.5,35.75,11706,0
2017-04-11,15:45:00,35.6,35.652,35.55,35.55,1582,0
2017-04-11,15:50:00,35.6,35.6,35.45,35.475,4700,0
2017-04-11,15:55:00,35.45,35.5,35.45,35.45,3100,0
2017-04-11,16:00:00,35.45,35.45,35.35,35.4,8210,0
2017-04-11,16:05:00,35.45,35.45,35.355,35.425,10014,0
2017-04-11,16:10:00,35.425,35.45,35.35,35.4,6356,0
2017-04-11,16:15:00,35.4,35.45,35.4,35.4,4758,0
2017-04-11,16:20:00,35.4,35.45,35.35,35.35,2900,0
2017-04-11,16:25:00,35.35,35.35,35.35,35.35,2400,0
2017-04-11,16:30:00,35.395,35.436,35.395,35.4,1275,0
2017-04-11,16:35:00,35.4,35.45,35.4,35.45,1900,0
2017-04-11,16:40:00,35.4,35.45,35.4,35.4,3310,0
2017-04-11,16:45:00,35.4,35.45,35.35,35.45,1559,0
2017-04-11,16:50:00,35.45,35.475,35.45,35.45,1291,0
2017-04-11,16:55:00,35.45,35.5,35.45,35.5,300,0
2017-04-11,17:00:00,35.5,35.5,35.45,35.5,500,0
2017-04-11,17:05:00,35.5,35.55,35.5,35.55,434,0
2017-04-11,17:10:00,35.55,35.6,35.55,35.6,500,0
2017-04-11,17:15:00,35.5,35.525,35.45,35.5,2800,0
2017-04-11,17:20:00,35.45,35.45,35.45,35.45,100,0
2017-04-11,17:25:00,35.5,35.55,35.5,35.55,300,0
2017-04-11,17:30:00,35.55,35.6,35.549,35.6,1300,0
2017-04-11,17:35:00,35.6,35.65,35.6,35.65,300,0
2017-04-11,17:40:00,35.65,35.8,35.65,35.8,3750,0
2017-04-11,17:45:00,35.8,35.8,35.775,35.775,500,0
2017-04-11,17:50:00,35.775,35.8,35.775,35.8,400,0
2017-04-11,17:55:00,35.8,35.85,35.8,35.85,400,0
2017-04-11,18:00:00,35.85,35.95,35.825,35.95,2000,0
2017-04-11,18:05:00,35.9,35.925,35.85,35.9,2121,0
2017-04-11,18:10:00,35.85,35.9,35.8,35.8,3000,0
2017-04-11,18:15:00,35.85,35.875,35.85,35.875,400,0
2017-04-11,18:20:00,35.95,35.95,35.95,35.95,400,0
2017-04-11,18:25:00,36,36.05,35.95,36.025,13591,0
2017-04-11,18:30:00,36.05,36.075,36.05,36.075,400,0
2017-04-11,18:35:00,36.0747,36.1,36.05,36.1,2395,0
2017-04-11,18:40:00,36.1,36.15,36.1,36.15,1933,0
2017-04-11,18:45:00,36.15,36.15,36.1,36.125,2301,0
2017-04-11,18:50:00,36.2,36.2,36.2,36.2,100,0
2017-04-11,18:55:00,36.2,36.25,36.2,36.25,200,0
2017-04-11,19:00:00,36.225,36.3,36.212,36.25,1221,0
2017-04-11,19:05:00,36.3,36.35,36.3,36.35,200,0
2017-04-11,19:10:00,36.35,36.4,36.35,36.4,200,0
2017-04-11,19:15:00,36.4,36.4,36.35,36.35,500,0
2017-04-11,19:20:00,36.35,36.35,36.3,36.3,2100,0
2017-04-11,19:25:00,36.3,36.35,36.3,36.3,1000,0
2017-04-11,19:30:00,36.25,36.3,36.25,36.3,400,0
2017-04-11,19:35:00,36.3,36.3,36.3,36.3,200,0
2017-04-11,19:40:00,36.3,36.35,36.25,36.35,600,0
2017-04-11,19:45:00,36.35,36.35,36.3,36.3,443,0
2017-04-11,19:55:00,36.35,36.35,36.2,36.25,1601,0
2017-04-11,20:00:00,36.2319,36.275,36.2,36.2,3409,0
2017-04-11,20:05:00,36.2,36.2,36.15,36.15,500,0
2017-04-11,20:10:00,36.2,36.25,36.2,36.25,200,0
2017-04-11,20:15:00,36.25,36.275,36.15,36.15,6132,0
2017-04-11,20:20:00,36.1305,36.15,36.1,36.15,2725,0
2017-04-11,20:25:00,36.15,36.175,36.15,36.175,300,0
2017-04-11,20:30:00,36.175,36.225,36.175,36.225,2800,0
2017-04-11,20:35:00,36.25,36.25,36.2,36.25,400,0
2017-04-11,20:40:00,36.2,36.25,36.2,36.25,12306,0
2017-04-11,20:45:00,36.2,36.2,36.15,36.15,900,0
2017-04-11,20:50:00,36.15,36.175,36.15,36.175,900,0
2017-04-11,20:55:00,36.175,36.25,36.175,36.225,1000,0
2017-04-11,21:00:00,36.25,36.25,36.2,36.225,1000,0
2017-04-11,21:05:00,36.25,36.25,36.1,36.175,5282,0
2017-04-11,21:10:00,36.15,36.175,36.1,36.15,2450,0
2017-04-11,21:15:00,36.125,36.15,36.1125,36.125,4900,0
2017-04-11,21:20:00,36.15,36.175,36.125,36.15,3652,0
2017-04-11,21:25:00,36.15,36.15,36.125,36.15,2420,0
2017-04-11,21:30:00,36.15,36.2,36.1,36.15,5567,0
2017-04-11,21:35:00,36.15,36.15,36.1202,36.15,4028,0
2017-04-11,21:40:00,36.15,36.2,36.125,36.175,4983,0
2017-04-11,21:45:00,36.175,36.2,36.15,36.175,3016,0
2017-04-11,21:50:00,36.175,36.2,36.075,36.15,11222,0
2017-04-11,21:55:00,36.15,36.25,36.125,36.25,4337,0
2017-04-11,22:00:00,36.25,36.35,36.225,36.35,21946,0
2017-04-12,15:35:00,36.3,36.3,36.05,36.05,2222,0
2017-04-12,15:40:00,36.0375,36.1,35.85,36,1988,0
2017-04-12,15:45:00,36.025,36.05,36.025,36.025,400,0
2017-04-12,15:50:00,36,36.05,35.95,36,2000,0
2017-04-12,15:55:00,35.95,35.95,35.95,35.95,100,0
2017-04-12,16:05:00,36,36,35.9,35.9,2400,0
2017-04-12,16:10:00,35.95,35.975,35.95,35.95,500,0
2017-04-12,16:15:00,35.9,35.9,35.7,35.7,1595,0
2017-04-12,16:20:00,35.8,35.8,35.75,35.75,501,0
2017-04-12,16:35:00,35.85,35.85,35.65,35.7,3100,0
2017-04-12,16:40:00,35.7,35.7,35.65,35.65,500,0
2017-04-12,16:45:00,35.6,35.6,35.5,35.5,1987,0
2017-04-12,16:50:00,35.45,35.55,35.25,35.55,5463,0
2017-04-12,16:55:00,35.55,35.55,35.5,35.55,300,0
2017-04-12,17:00:00,35.6,35.65,35.6,35.6,2000,0
2017-04-12,17:05:00,35.6,35.6,35.6,35.6,700,0
2017-04-12,17:10:00,35.6,35.7,35.6,35.7,800,0
2017-04-12,17:20:00,35.7499,35.7499,35.7499,35.7499,100,0
2017-04-12,17:25:00,35.7,35.7,35.7,35.7,900,0
2017-04-12,17:30:00,35.7,35.7,35.7,35.7,300,0
2017-04-12,17:35:00,35.675,35.675,35.675,35.675,100,0
2017-04-12,17:40:00,35.7,35.7,35.55,35.55,2900,0
2017-04-12,17:45:00,35.55,35.57,35.505,35.55,1909,0
2017-04-12,17:50:00,35.55,35.55,35.5,35.5,1200,0
2017-04-12,17:55:00,35.55,35.6,35.55,35.575,2515,0
2017-04-12,18:00:00,35.6,35.625,35.6,35.625,800,0
2017-04-12,18:05:00,35.6,35.6,35.6,35.6,200,0
2017-04-12,18:10:00,35.65,35.675,35.65,35.675,500,0
2017-04-12,18:15:00,35.7,35.7,35.65,35.65,900,0
2017-04-12,18:20:00,35.7,35.7,35.675,35.675,1300,0
2017-04-12,18:30:00,35.7,35.7,35.7,35.7,100,0
2017-04-12,18:35:00,35.65,35.65,35.55,35.55,3800,0
2017-04-12,18:40:00,35.6,35.65,35.6,35.65,700,0
2017-04-12,18:45:00,35.6375,35.65,35.625,35.625,400,0
2017-04-12,18:50:00,35.65,35.65,35.625,35.65,400,0
2017-04-12,18:55:00,35.6369,35.6499,35.5,35.525,10500,0
2017-04-12,19:00:00,35.5,35.5,35.475,35.5,2600,0
2017-04-12,19:05:00,35.5,35.55,35.5,35.5,1300,0
2017-04-12,19:10:00,35.55,35.6,35.55,35.6,1700,0
2017-04-12,19:15:00,35.6,35.65,35.6,35.625,300,0
2017-04-12,19:20:00,35.633,35.633,35.633,35.633,285,0
2017-04-12,19:25:00,35.6,35.6,35.6,35.6,500,0
2017-04-12,19:30:00,35.6,35.6,35.6,35.6,100,0
2017-04-12,19:35:00,35.6,35.6,35.575,35.6,1500,0
2017-04-12,19:40:00,35.6,35.65,35.6,35.65,1300,0
2017-04-12,19:45:00,35.7,35.75,35.7,35.75,1238,0
2017-04-12,19:50:00,35.7,35.7,35.7,35.7,1595,0
2017-04-12,19:55:00,35.7324,35.7324,35.7,35.7,3474,0
2017-04-12,20:00:00,35.725,35.8,35.725,35.8,2200,0
2017-04-12,20:05:00,35.8,35.8,35.7,35.7,2861,0
2017-04-12,20:10:00,35.75,35.8,35.75,35.8,2400,0
2017-04-12,20:15:00,35.825,35.825,35.825,35.825,100,0
2017-04-12,20:20:00,35.8,35.8,35.75,35.8,2930,0
2017-04-12,20:25:00,35.8,35.8,35.775,35.775,1100,0
2017-04-12,20:30:00,35.775,35.775,35.75,35.75,686,0
2017-04-12,20:35:00,35.775,35.8,35.75,35.775,2200,0
2017-04-12,20:40:00,35.8,35.8,35.8,35.8,100,0
2017-04-12,20:45:00,35.75,35.75,35.675,35.675,2600,0
2017-04-12,20:50:00,35.65,35.7,35.65,35.675,503,0
2017-04-12,21:00:00,35.675,35.7,35.675,35.675,300,0
2017-04-12,21:05:00,35.675,35.7,35.65,35.7,1300,0
2017-04-12,21:10:00,35.675,35.7,35.675,35.675,600,0
2017-04-12,21:15:00,35.675,35.675,35.6,35.6,6086,0
2017-04-12,21:20:00,35.55,35.6,35.5,35.5,2900,0
2017-04-12,21:25:00,35.5,35.5,35.475,35.5,3000,0
2017-04-12,21:30:00,35.5,35.5043,35.475,35.475,1985,0
2017-04-12,21:35:00,35.45,35.55,35.45,35.45,400,0
2017-04-12,21:40:00,35.45,35.55,35.45,35.55,4215,0
2017-04-12,21:45:00,35.525,35.55,35.45,35.45,3853,0
