Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,44.23,44.53,44.23,44.51,216046,0
2017-04-10,15:40:00,44.51,44.53,44.27,44.44,122281,0
2017-04-10,15:45:00,44.44,44.56,44.44,44.47,71503,0
2017-04-10,15:50:00,44.46,44.49,44.35,44.42,94889,0
2017-04-10,15:55:00,44.42,44.46,44.35,44.46,85781,0
2017-04-10,16:00:00,44.47,44.52,44.4,44.445,61889,0
2017-04-10,16:05:00,44.47,44.47,44.39,44.435,39262,0
2017-04-10,16:10:00,44.43,44.5,44.42,44.465,90596,0
2017-04-10,16:15:00,44.46,44.48,44.44,44.445,40684,0
2017-04-10,16:20:00,44.44,44.5,44.435,44.49,114574,0
2017-04-10,16:25:00,44.495,44.5,44.47,44.48,53920,0
2017-04-10,16:30:00,44.475,44.48,44.41,44.455,66057,0
2017-04-10,16:35:00,44.45,44.51,44.44,44.51,95625,0
2017-04-10,16:40:00,44.52,44.535,44.42,44.42,52959,0
2017-04-10,16:45:00,44.43,44.48,44.42,44.46,49258,0
2017-04-10,16:50:00,44.455,44.46,44.38,44.4037,151130,0
2017-04-10,16:55:00,44.41,44.455,44.4,44.41,61699,0
2017-04-10,17:00:00,44.41,44.425,44.35,44.365,97059,0
2017-04-10,17:05:00,44.37,44.41,44.33,44.39,196082,0
2017-04-10,17:10:00,44.39,44.425,44.37,44.405,75227,0
2017-04-10,17:15:00,44.41,44.455,44.4,44.455,54129,0
2017-04-10,17:20:00,44.46,44.46,44.41,44.41,58811,0
2017-04-10,17:25:00,44.41,44.41,44.36,44.38,53967,0
2017-04-10,17:30:00,44.38,44.43,44.35,44.4253,65215,0
2017-04-10,17:35:00,44.425,44.425,44.26,44.269,69807,0
2017-04-10,17:40:00,44.27,44.3,44.26,44.26,42685,0
2017-04-10,17:45:00,44.29,44.3,44.2,44.24,132307,0
2017-04-10,17:50:00,44.24,44.285,44.24,44.27,33860,0
2017-04-10,17:55:00,44.28,44.3,44.2599,44.27,49612,0
2017-04-10,18:00:00,44.265,44.31,44.26,44.31,71072,0
2017-04-10,18:05:00,44.3,44.335,44.28,44.33,33003,0
2017-04-10,18:10:00,44.325,44.34,44.29,44.3,60585,0
2017-04-10,18:15:00,44.3,44.305,44.18,44.21,65459,0
2017-04-10,18:20:00,44.22,44.25,44.22,44.2307,26247,0
2017-04-10,18:25:00,44.24,44.25,44.18,44.18,32820,0
2017-04-10,18:30:00,44.185,44.215,44.16,44.19,79454,0
2017-04-10,18:35:00,44.19,44.265,44.18,44.26,35931,0
2017-04-10,18:40:00,44.26,44.269,44.2,44.2,44250,0
2017-04-10,18:45:00,44.2,44.24,44.2,44.21,33123,0
2017-04-10,18:50:00,44.2,44.315,44.2,44.3,52173,0
2017-04-10,18:55:00,44.31,44.37,44.3,44.33,49681,0
