Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,64.01,64.25,63.77,64.13,104410,0
2017-04-10,15:40:00,64.2,64.52,64.1259,64.52,8904,0
2017-04-10,15:45:00,64.49,64.49,64.23,64.335,10164,0
2017-04-10,15:50:00,64.43,64.43,63.72,63.78,23003,0
2017-04-10,15:55:00,63.76,63.76,63.33,63.61,14100,0
2017-04-10,16:00:00,63.5294,63.7,63.48,63.69,9680,0
2017-04-10,16:05:00,63.66,63.82,63.51,63.7,42117,0
2017-04-10,16:10:00,63.7,64.01,63.69,64.01,8387,0
2017-04-10,16:15:00,64.02,64.2,64,64,25032,0
2017-04-10,16:20:00,63.93,63.985,63.44,63.51,22916,0
2017-04-10,16:25:00,63.51,63.72,63.4,63.565,14278,0
2017-04-10,16:30:00,63.565,63.59,63.371,63.51,13106,0
2017-04-10,16:35:00,63.56,63.83,63.535,63.79,10286,0
2017-04-10,16:40:00,63.76,63.9,63.55,63.69,29000,0
2017-04-10,16:45:00,63.65,63.74,63.59,63.74,4825,0
2017-04-10,16:50:00,63.73,63.8,63.57,63.75,15900,0
2017-04-10,16:55:00,63.73,63.73,63.43,63.55,11258,0
2017-04-10,17:00:00,63.6,63.6,63.5,63.55,5557,0
2017-04-10,17:05:00,63.57,63.57,63.45,63.5,3700,0
2017-04-10,17:10:00,63.5001,63.55,63.07,63.08,26946,0
2017-04-10,17:15:00,63.12,63.28,63.11,63.28,13399,0
2017-04-10,17:20:00,63.28,63.36,63.06,63.23,17375,0
2017-04-10,17:25:00,63.235,63.235,62.98,63.04,10610,0
2017-04-10,17:30:00,63.03,63.08,62.83,62.98,31948,0
2017-04-10,17:35:00,62.97,63.11,62.9,63.05,22200,0
2017-04-10,17:40:00,63.03,63.2,62.93,63.2,23295,0
2017-04-10,17:45:00,63.22,63.24,62.99,63.19,15866,0
2017-04-10,17:50:00,63.18,63.19,63,63.11,6300,0
2017-04-10,17:55:00,63.14,63.2,62.98,63.15,24400,0
2017-04-10,18:00:00,63.13,63.19,63.08,63.16,11613,0
2017-04-10,18:05:00,63.145,63.175,63.1,63.15,6530,0
2017-04-10,18:10:00,63.17,63.24,63.1,63.225,8540,0
2017-04-10,18:15:00,63.24,63.3,63.03,63.075,7400,0
2017-04-10,18:20:00,63.0697,63.11,63.04,63.11,300,0
2017-04-10,18:25:00,63.08,63.08,62.81,62.88,10023,0
2017-04-10,18:30:00,62.86,62.9,62.8,62.9,1250,0
2017-04-10,18:35:00,62.92,62.93,62.84,62.93,4899,0
2017-04-10,18:40:00,62.93,62.96,62.93,62.94,3250,0
2017-04-10,18:45:00,62.93,62.98,62.89,62.98,2811,0
2017-04-10,18:50:00,62.97,62.97,62.87,62.95,2400,0
2017-04-10,18:55:00,62.96,63,62.96,62.98,4199,0
