Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,23.87,23.91,23.87,23.91,549,0
2017-04-07,15:40:00,23.9651,24.1,23.9651,24.1,1600,0
2017-04-07,15:45:00,24.17,24.17,24.09,24.09,700,0
2017-04-07,15:50:00,24.08,24.11,24.07,24.11,1160,0
2017-04-07,15:55:00,24.13,24.15,24.1,24.1,1200,0
2017-04-07,16:00:00,24.09,24.19,24.08,24.19,3446,0
2017-04-07,16:05:00,24.17,24.22,24.17,24.22,900,0
2017-04-07,16:10:00,24.26,24.26,24.16,24.18,2480,0
2017-04-07,16:15:00,24.15,24.2098,24.15,24.2098,602,0
2017-04-07,16:20:00,24.19,24.2,24.155,24.17,624,0
2017-04-07,16:25:00,24.18,24.18,24.16,24.17,600,0
2017-04-07,16:30:00,24.17,24.2,24.17,24.18,712,0
2017-04-07,16:35:00,24.16,24.21,24.13,24.1936,2025,0
2017-04-07,16:40:00,24.16,24.2202,24.16,24.2202,1200,0
2017-04-07,16:45:00,24.22,24.22,24.21,24.21,600,0
2017-04-07,16:50:00,24.18,24.22,24.14,24.14,3620,0
2017-04-07,16:55:00,24.14,24.14,24.12,24.12,400,0
2017-04-07,17:00:00,24.11,24.11,24.11,24.11,400,0
2017-04-07,17:05:00,24.1228,24.15,24.12,24.12,605,0
2017-04-07,17:10:00,24.1579,24.1579,24.11,24.12,525,0
2017-04-07,17:15:00,24.13,24.13,24.1,24.1,500,0
2017-04-07,17:20:00,24.08,24.105,24.08,24.105,935,0
2017-04-07,17:25:00,24.1525,24.17,24.1525,24.17,200,0
2017-04-07,17:30:00,24.16,24.16,24.1,24.1,300,0
2017-04-07,17:35:00,24.09,24.09,24.08,24.08,300,0
2017-04-07,17:40:00,24.08,24.09,24.08,24.09,300,0
2017-04-07,17:45:00,24.085,24.085,24.07,24.07,200,0
2017-04-07,17:50:00,24.06,24.06,24.06,24.06,100,0
2017-04-07,17:55:00,24.11,24.13,24.11,24.13,400,0
2017-04-07,18:05:00,24.125,24.16,24.125,24.16,400,0
2017-04-07,18:10:00,24.18,24.18,24.18,24.18,100,0
2017-04-07,18:15:00,24.165,24.165,24.15,24.15,400,0
2017-04-07,18:20:00,24.15,24.18,24.1,24.14,4400,0
2017-04-07,18:25:00,24.14,24.14,24.14,24.14,100,0
2017-04-07,18:40:00,24.13,24.13,24.13,24.13,500,0
2017-04-07,18:45:00,24.15,24.15,24.15,24.15,300,0
2017-04-07,18:50:00,24.12,24.12,24.12,24.12,300,0
2017-04-07,18:55:00,24.1,24.15,24.1,24.15,800,0
2017-04-07,19:00:00,24.1301,24.1301,24.12,24.12,300,0
2017-04-07,19:05:00,24.13,24.13,24.1101,24.1101,1054,0
2017-04-07,19:10:00,24.11,24.12,24.09,24.12,900,0
2017-04-07,19:15:00,24.13,24.13,24.12,24.12,200,0
2017-04-07,19:20:00,24.08,24.08,24.08,24.08,100,0
2017-04-07,19:25:00,24.11,24.11,24.06,24.06,800,0
2017-04-07,19:30:00,24.0601,24.07,24.055,24.07,600,0
2017-04-07,19:35:00,24.12,24.12,24.1,24.1,400,0
2017-04-07,19:40:00,24.1,24.1,24.05,24.0501,1300,0
2017-04-07,19:45:00,24.04,24.07,24.04,24.07,300,0
2017-04-07,19:50:00,24.08,24.1,24.07,24.07,1082,0
2017-04-07,19:55:00,24.07,24.07,24.07,24.07,1200,0
2017-04-07,20:00:00,24.0501,24.0501,24.03,24.03,400,0
2017-04-07,20:05:00,24.0301,24.08,24.0301,24.08,800,0
2017-04-07,20:10:00,24.06,24.11,24.06,24.11,1200,0
2017-04-07,20:15:00,24.11,24.14,24.06,24.08,3531,0
2017-04-07,20:20:00,24.06,24.09,24.0501,24.0501,900,0
2017-04-07,20:25:00,24.05,24.08,24.04,24.07,1400,0
2017-04-07,20:30:00,24.07,24.07,24.05,24.05,1700,0
2017-04-07,20:35:00,24.04,24.04,24.01,24.03,900,0
2017-04-07,20:40:00,24.03,24.04,24.01,24.03,2500,0
2017-04-07,20:45:00,24.03,24.04,24.01,24.03,1000,0
2017-04-07,20:50:00,24.03,24.04,24.02,24.02,300,0
2017-04-07,20:55:00,24.01,24.02,24,24.015,600,0
2017-04-07,21:00:00,24.03,24.03,24.01,24.01,1300,0
2017-04-07,21:05:00,24,24.02,24,24.0001,1700,0
2017-04-07,21:10:00,24.01,24.01,23.985,23.985,1500,0
2017-04-07,21:15:00,23.99,24.01,23.97,23.97,1300,0
2017-04-07,21:20:00,24,24.04,24,24.04,300,0
2017-04-07,21:25:00,24.01,24.03,24.01,24.03,700,0
2017-04-07,21:30:00,24.02,24.04,24.02,24.02,900,0
2017-04-07,21:35:00,24.01,24.04,24.01,24.03,3900,0
2017-04-07,21:40:00,24.01,24.02,24.01,24.02,400,0
2017-04-07,21:45:00,24.02,24.03,24.01,24.01,2200,0
2017-04-07,21:50:00,24.02,24.03,24,24.01,4167,0
2017-04-07,21:55:00,24.0198,24.04,23.98,23.98,7801,0
2017-04-07,22:00:00,23.98,24,23.95,23.95,23781,0
2017-04-10,15:35:00,24,24.14,23.99,24.1138,2013,0
2017-04-10,15:45:00,24.21,24.385,24.21,24.34,3865,0
2017-04-10,15:50:00,24.34,24.35,24.34,24.35,500,0
2017-04-10,15:55:00,24.325,24.36,24.26,24.28,5800,0
2017-04-10,16:00:00,24.2428,24.26,24.2428,24.25,400,0
2017-04-10,16:05:00,24.26,24.28,24.26,24.28,400,0
2017-04-10,16:10:00,24.36,24.37,24.34,24.37,2053,0
2017-04-10,16:15:00,24.39,24.39,24.31,24.31,2682,0
2017-04-10,16:20:00,24.28,24.35,24.28,24.35,300,0
2017-04-10,16:25:00,24.34,24.34,24.31,24.31,400,0
2017-04-10,16:30:00,24.28,24.29,24.265,24.27,500,0
2017-04-10,16:35:00,24.29,24.39,24.29,24.35,1600,0
2017-04-10,16:40:00,24.35,24.35,24.28,24.28,2100,0
2017-04-10,16:45:00,24.3,24.325,24.26,24.27,2000,0
2017-04-10,16:50:00,24.29,24.3,24.29,24.29,1500,0
2017-04-10,16:55:00,24.29,24.3,24.28,24.29,1992,0
2017-04-10,17:00:00,24.35,24.35,24.2999,24.32,1850,0
2017-04-10,17:05:00,24.31,24.37,24.31,24.37,2874,0
2017-04-10,17:10:00,24.35,24.35,24.3,24.32,959,0
2017-04-10,17:15:00,24.31,24.32,24.28,24.28,1100,0
2017-04-10,17:20:00,24.32,24.32,24.29,24.29,800,0
2017-04-10,17:25:00,24.31,24.43,24.3075,24.43,2900,0
2017-04-10,17:30:00,24.38,24.4,24.37,24.4,1100,0
2017-04-10,17:35:00,24.36,24.36,24.24,24.24,5809,0
2017-04-10,17:40:00,24.24,24.25,24.23,24.23,1400,0
2017-04-10,17:45:00,24.24,24.24,24.17,24.17,774,0
2017-04-10,17:50:00,24.16,24.16,24.12,24.15,900,0
2017-04-10,17:55:00,24.19,24.22,24.19,24.22,500,0
2017-04-10,18:00:00,24.2,24.23,24.2,24.23,200,0
2017-04-10,18:05:00,24.17,24.17,24.12,24.16,1700,0
2017-04-10,18:10:00,24.13,24.13,24.13,24.13,200,0
2017-04-10,18:15:00,24.14,24.14,24.06,24.1,1000,0
2017-04-10,18:20:00,24.05,24.08,24,24.08,600,0
2017-04-10,18:25:00,24.09,24.09,24.09,24.09,100,0
2017-04-10,18:30:00,24.05,24.1,24.04,24.09,700,0
2017-04-10,18:35:00,24.1,24.1,24.03,24.07,1400,0
2017-04-10,18:40:00,24.11,24.17,24.1,24.17,4111,0
2017-04-10,18:45:00,24.16,24.19,24.16,24.19,600,0
2017-04-10,18:50:00,24.17,24.2,24.17,24.18,300,0
2017-04-10,18:55:00,24.185,24.27,24.185,24.27,1900,0
2017-04-10,19:00:00,24.26,24.26,24.26,24.26,100,0
2017-04-10,19:05:00,24.27,24.27,24.27,24.27,100,0
2017-04-10,19:10:00,24.27,24.29,24.27,24.29,500,0
2017-04-10,19:15:00,24.26,24.26,24.25,24.26,500,0
2017-04-10,19:20:00,24.28,24.29,24.28,24.29,200,0
2017-04-10,19:25:00,24.31,24.31,24.29,24.29,300,0
2017-04-10,19:30:00,24.31,24.31,24.28,24.28,200,0
2017-04-10,19:35:00,24.29,24.29,24.29,24.29,200,0
2017-04-10,19:40:00,24.3,24.33,24.3,24.33,600,0
2017-04-10,19:45:00,24.34,24.34,24.3,24.3,500,0
2017-04-10,19:50:00,24.32,24.32,24.32,24.32,100,0
2017-04-10,19:55:00,24.29,24.29,24.28,24.28,1105,0
2017-04-10,20:00:00,24.3,24.3,24.3,24.3,100,0
2017-04-10,20:05:00,24.265,24.28,24.23,24.23,500,0
2017-04-10,20:10:00,24.23,24.23,24.23,24.23,200,0
2017-04-10,20:15:00,24.22,24.23,24.2,24.22,1300,0
2017-04-10,20:20:00,24.22,24.22,24.18,24.18,500,0
2017-04-10,20:25:00,24.19,24.2,24.18,24.2,1003,0
2017-04-10,20:30:00,24.19,24.19,24.16,24.16,600,0
2017-04-10,20:35:00,24.15,24.19,24.15,24.19,900,0
2017-04-10,20:40:00,24.22,24.22,24.17,24.17,700,0
2017-04-10,20:45:00,24.17,24.21,24.17,24.2,400,0
2017-04-10,20:50:00,24.185,24.22,24.17,24.19,1354,0
2017-04-10,20:55:00,24.17,24.23,24.17,24.21,3051,0
2017-04-10,21:00:00,24.24,24.24,24.21,24.21,1300,0
2017-04-10,21:05:00,24.24,24.24,24.24,24.24,300,0
2017-04-10,21:10:00,24.28,24.31,24.25,24.2975,7091,0
2017-04-10,21:15:00,24.3,24.33,24.29,24.33,2579,0
2017-04-10,21:20:00,24.31,24.32,24.2999,24.3,2100,0
2017-04-10,21:25:00,24.3,24.32,24.2499,24.3,9700,0
2017-04-10,21:30:00,24.29,24.33,24.27,24.33,2509,0
2017-04-10,21:35:00,24.32,24.32,24.28,24.3,1300,0
2017-04-10,21:40:00,24.31,24.34,24.3,24.34,2000,0
2017-04-10,21:45:00,24.34,24.37,24.33,24.34,3026,0
2017-04-10,21:50:00,24.33,24.33,24.3,24.315,3921,0
2017-04-10,21:55:00,24.31,24.35,24.31,24.33,3302,0
2017-04-10,22:00:00,24.33,24.4,24.33,24.4,20617,0
2017-04-11,15:35:00,24.36,24.36,24.36,24.36,1439,0
